line	position	sign	confidence
05801_p5_L01	1	84	M
05801_p5_L01	2	55	M
05801_p5_L01	3	62	M
05801_p5_L01	4	3	M
05801_p5_L01	5	32	M
05801_p5_L01	6	102	L
05801_p5_L01	7	69	M
05801_p5_L01	8	4	M
05801_p5_L01	9	14	M
05801_p5_L01	10	5	M
05801_p5_L01	11	7	M
05801_p5_L01	12	83	L
05801_p5_L01	13	132	H
05801_p5_L01	14	129	H
05801_p5_L01	15	72	L
05801_p5_L01	16	60	M
05801_p5_L01	17	79	L
05801_p5_L01	18	36	M
05801_p5_L01	19	27	M
05801_p5_L01	20	47	M
05801_p5_L01	21	27	M
05801_p5_L01	22	132	H
05801_p5_L01	23	47	M
05801_p5_L01	24	12	L
05801_p5_L01	25	199	M
05801_p5_L01	26	125	M
05801_p5_L01	27	132	H
05801_p5_L01	28	=Toutefois	M
05801_p5_L01	29	=ne	H
05801_p5_L01	30	=avons	M
05801_p5_L01	31	=point	H
05801_p5_L01	32	=aupres	M
05801_p5_L01	33	=sil	M
05801_p5_L01	34	=y	H
05801_p5_L01	35	=a	H
05801_p5_L01	36	=quelque	M
05801_p5_L01	37	=moyen	H
05801_p5_L01	38	=de	H
05801_p5_L01	39	=le	H
05801_p5_L01	40	=mettre	M
05801_p5_L01	41	=a	H
05801_p5_L01	42	=escripre	L
05801_p5_L02	1	=a	M
05801_p5_L02	2	=al	L
05801_p5_L02	3	=Glogmie	L
05801_p5_L02	4	172	M
05801_p5_L02	5	132	H
05801_p5_L02	6	129	H
05801_p5_L02	7	62	M
05801_p5_L02	8	37	M
05801_p5_L02	9	82	M
05801_p5_L02	10	80	M
05801_p5_L02	11	32	M
05801_p5_L02	12	65	L
05801_p5_L02	13	102	M
05801_p5_L02	14	74	L
05801_p5_L02	15	35	M
05801_p5_L02	16	87	L
05801_p5_L02	17	83	L
05801_p5_L02	18	38	M
05801_p5_L02	19	83	L
05801_p5_L02	20	73	M
05801_p5_L02	21	157	M
05801_p5_L02	22	132	H
05801_p5_L02	23	129	H
05801_p5_L02	24	175	L
05801_p5_L02	25	150	M
05801_p5_L02	26	=Je	L
05801_p5_L02	27	=suis	L
05801_p5_L02	28	=en	L
05801_p5_L02	29	=demande	L
05801_p5_L02	30	=estat	L
05801_p5_L02	31	=ou	L
05801_p5_L02	32	=dequoy	L
05801_p5_L02	33	=il	L
05801_p5_L02	34	=plus	M
05801_p5_L02	35	=particulierement	L
05801_p5_L02	36	=quelle	L
05801_p5_L02	37	=sera	L
05801_p5_L02	38	=nostre	L
05801_p5_L02	39	=resolution	L
05801_p5_L02	40	132	H
05801_p5_L02	41	129	H
05801_p5_L02	42	190	M
05801_p5_L02	43	73	M
05801_p5_L02	44	71	L
05801_p5_L02	45	86	L
05801_p5_L02	46	87	L
05801_p5_L02	47	82	M
05801_p5_L02	48	102	M
05801_p5_L02	49	24	L
05801_p5_L02	50	83	L
05801_p5_L02	51	52	M
05801_p5_L02	52	59	L
05801_p5_L02	53	79	L
05801_p5_L02	54	7	M
05801_p5_L02	55	109	L
05801_p5_L02	56	39	M
05801_p5_L02	57	=Du	M
05801_p5_L02	58	=bout	L
05801_p5_L02	59	170	L
05801_p5_L02	60	126	M
05801_p5_L02	61	132	H
05801_p5_L02	62	22	M
