L13	1	cipher	K-like glyph (vertical stroke with two diagonal legs meeting at a point)
L13	2	cipher	h-with-crossbar
L13	3	cipher	capital Pi-like glyph
L13	4	cipher	Y-shaped fork
L13	5	cipher	double-dagger
L13	6	cipher	loop-d shape / a curl
L13	7	cipher	figure-8 loop
L13	8	cipher	circle with a small cross hanging beneath it (Venus-like sign)
L13	9	cipher	hooked-b / rho-like curl
L13	10	cipher	y-like curl
L13	11	cipher	slashed-z / "3"
L13	12	cipher	small tied loop ligature (ae-like double loop)
L13	13	cipher	cross (X)
L13	14	cipher	hooked-b / rho-like curl
L13	15	cipher	h-with-crossbar
L13	16	cipher	capital Pi-like glyph with two small dots beneath it
L13	17	cipher	small circle (numeral-0-like)
L13	18	cipher	hooked p/thorn-like glyph with a descender loop
L13	19	cipher	figure-8 loop
L13	20	cipher	short hooked stroke curving up-right
L13	21	cipher	long horizontal stroke barring a small ascender (barred-cross)
L13	22	cipher	y-like curl
L13	23	cipher	square divided by a cross, grid-like glyph
L13	24	cipher	circle bisected by a horizontal line (theta/omega-like loop)
L14	1	clear	b[ur]
L14	2	cipher	figure-8 loop
L14	3	cipher	numeral-1-like vertical stroke
L14	4	cipher	small hooked v-shaped loop
L14	5	clear	ren
L14	6	clear	mussen
L14	7	clear	dermaſſen
L15	1	cipher	loop-d shape
L15	2	cipher	small hook/open curl
L15	3	cipher	T-shaped glyph
L15	4	cipher	small circle
L15	5	cipher	short diagonal checkmark-like stroke
L15	6	clear	e
L15	7	cipher	T-shaped glyph
L15	8	cipher	single vertical stroke (numeral-1-like)
L15	9	cipher	Y-with-bar glyph (currency-like)
L15	10	cipher	short hooked stroke curving up-right
L15	11	cipher	hooked curl (long-s/rho-like)
L15	12	cipher	R-like curl with a loop
L15	13	cipher	R-like curl with a loop
L15	14	cipher	figure-8 loop
L15	15	cipher	z-like glyph with a hooked descender
L15	16	cipher	short hooked stroke, joined to a figure-8 loop
L15	17	cipher	T-shaped glyph, joined to a short hooked stroke
L15	18	cipher	loop-d shape
L15	19	cipher	R-like curl with a loop
L15	20	cipher	plain T-shaped glyph
L15	21	cipher	cross (X)
L16	1	clear	das
L16	2	cipher	blot (illegible)
L16	3	clear	w
L16	4	clear	rer
L16	5	clear	f
L16	6	clear	rnc[k]
L16	7	cipher	ampersand-like ligature
L16	8	clear	t
L16	9	clear	or
L16	10	clear	e[?]
L16	11	clear	g[?]
L17	1	cipher	z-like glyph with a hooked descender
L17	2	cipher	double-dagger
L17	3	cipher	R-like curl with a loop
L17	4	cipher	R-like curl with a loop
L17	5	cipher	small circle joined to a short hooked up-right stroke
L17	6	cipher	cross (X)
L17	7	cipher	small looped ligature
L17	8	cipher	T-shaped glyph
L17	9	cipher	figure-8 loop
L17	10	cipher	T-shaped glyph
L17	11	cipher	square (box shape)
L17	12	cipher	T-shaped glyph
L17	13	cipher	hooked curl (long-s/rho-like)
L17	14	cipher	h-with-crossbar
L17	15	cipher	capital Pi-like glyph
L17	16	cipher	figure-8 loop
L17	17	cipher	T-shaped glyph
L17	18	cipher	circle bisected by a horizontal line (theta-like)
L17	19	clear	e
L17	20	cipher	loop-d shape / curl
L17	21	cipher	z-like glyph with hooked descender
L17	22	clear	e
L17	23	cipher	small looped ligature
L17	24	clear	worden
L18	1	cipher	hooked loop (P/2-like) joined to a "7"-like stroke with a crossbar
L18	2	cipher	z-like glyph with hooked descender
L18	3	cipher	figure-8 loop
L18	4	cipher	y-like curl
L18	5	cipher	figure-8 loop
L18	6	cipher	small circle joined to a short hooked up-right stroke
L18	7	clear	Der
L18	8	clear	m
L18	9	clear	m
L18	10	clear	[abbreviated word, indistinct]
