page	shelfmark	folio	date	sender	key_named	tomokiyo_exact_words	image_free_online	held_by
francis.htm	BnF fr.2980	f.29 (no.21), f.30 (no.22)	Rome, 20 May 1530	Cardinal Gabriel de Gramont, Bishop of Tarbe, to Jean Breton, seigneur de Villandry	Gramont's cipher (1530)	"These undeciphered letters can be read with Gramont's cipher (1530) below."	yes, Gallica (see francis.htm)	IN HAND: our own board, ciphers/fr2980-gramont/ (M8), transcription+key worker running as of this pass (ROOM.md 00:05 line)
francis.htm	BnF Clairambault 329	f.10	1529 (undated within volume)	Bishop of Bayonne (implied by section)	Bayonne's Cipher (1529)	"F.10, mostly in cipher, can be read with Bayonne's Cipher (1529) below."	Gallica (btv1b9000762t)	Bourdeau, dbourdeau/cyphersolver/dubellay/ (catalogue item 4/36) -- key already reconstructed there from the du Bellay 1529 correspondence; this folio not individually named in dubellay/NOTES.md's folio list but falls under the same volume/cipher
francis.htm	BnF Clairambault 329	f.139	30 June 1529	Bishop of Bayonne to Montmorency	Bayonne's Cipher (1529)	"F.139, Bayonne's letter dated 30 June 1529, can be read with Bayonne's Cipher (1529)."	Gallica (btv1b9000762t)	Bourdeau, dbourdeau/cyphersolver/dubellay/NOTES.md line 51 names this folio explicitly ("Clair. 329 f. 139 (30 June 1529)") as covered by the same key
francis.htm	BnF Clairambault 330	f.16, f.71	18 Sept 1529 (f.16); 17 Oct 1529, London (f.71)	Bishop of Bayonne to Montmorency	Bayonne's Cipher (1529)	"The following three letters can be read with Bayonne's Cipher (1529)." (f.85 excluded here: Tomokiyo notes it is "deciphered on the previous pdf page", i.e. already read)	Gallica (btv1b9000769q)	Bourdeau, dbourdeau/cyphersolver/dubellay/NOTES.md lines 51-52, 108 names f.16 and f.71 explicitly; f.71 already partially decoded there with the reconstructed key ("the first cipher lines... read with the key above, sign by sign")
francis.htm	BnF Clairambault 312	f.325	London, 15 Dec (year not given)	Bishop of Bayonne to Montmorency	Bayonne's Cipher (1529)	"F.325 (London, 15 December) is a letter from Bishop of Bayonne to Montmorency in Bayonne's Cipher (1529)."	Gallica (btv1b9000685g)	Bourdeau, dbourdeau/cyphersolver/dubellay/NOTES.md line 53 names this folio explicitly
francis.htm	BnF Clairambault 313	f.339, f.343	London, 15 June (year not given)	Bishop of Bayonne to Montmorency	Bayonne's Cipher (1529)	"F.339 (London, 15 June) and f.343 are letters from Bishop of Bayonne to Montmorency in Bayonne's Cipher (1529)."	Gallica (btv1b9000775f)	Bourdeau, dbourdeau/cyphersolver/dubellay/NOTES.md line 53 names both folios explicitly
francis.htm	BnF fr.3005	f.165 (no.67)	London, 22 October [1529]	Bishop of Bayonne to Montmorency	Bayonne's Cipher (1529)	"Letter, dated London 22 October, of Bishop of Bayonne to Montmorency. Unsolved. In Bayonne's Cipher (1529)."	Gallica (btv1b90599952)	Bourdeau, dbourdeau/cyphersolver/dubellay/ -- explicitly flagged as "also open" in cyphersolver/TARGETS.md item 36 and listed under "Not checked" in dubellay/NOTES.md line 128; also our own dubellay-derived note found this is the SAME letter as fr.3078/fr.3077's catalogue item 4/36 cluster
francis.htm	BnF Clairambault 331	f.15	10 Jan/10 Feb 1530 (Tomokiyo's text gives both dates)	Count Guido Rangone to Montmorency	"the cipher seems to be the same as the one used in BnF Clair.330 above" (tentative)	"f.15 (10 February 1530) Count Guido Rangone to Montmorency, 10 January 1530 (The cipher seems to be the same as the one used in BnF Clair.330 above.)"	Gallica (btv1b9000761d)	FOUND-SOLVED: Bourdeau, dbourdeau/cyphersolver/rangone1530/ -- "read in part" 22 Sept 2026, 232/264 signs (87.9%), homophonic cipher broken ciphertext-only with sibling fr.3082 f.42; SOLVED_CATALOGUE.md item 109
francis.htm	BnF Clairambault 331	f.149	13 March 1530	Signor Joachim [Giovan Gioacchino da Passano] to Montmorency	(unnamed at this mention; Tomokiyo lists as one of "three undeciphered letters in Italian")	"f.149 (13 March 1530) Signor Joachim to Montmorency"	Gallica (btv1b9000761d)	FOUND-SOLVED (adjacent leaf, not this exact one -- see note): Bourdeau's joachim1530/ solves Clair.331 f.156-157 (a different letter, "Passano's account of Wolsey's assets", March 1530), not explicitly f.149; f.149 itself not confirmed read -- flagged for a follow-up check, not claimed solved here
unsolved.htm	BnF fr.20974	no.1	ca.1556 (Duke of Guise collection)	(Guise correspondence, sender not specified in this passage)	Nevers-Piles cipher	"In the same month, Biermann found that no.1 could be read with the Nevers-Piles cipher."	Gallica (see guise.htm)	FOUND-SOLVED: Biermann, private communication, March 2021, per Tomokiyo's own page
unsolved.htm	BnF fr.3251	ff.11, 21v, 35, 87 (1570-71 group); ff.138, 144, 152, 160, 168, 174, 178, 184 (1572 group)	Sept 1570-Oct 1572	Lodovico Birago to Duke of Nevers	Ceppo-Nevers Cipher (1570-71 group); Nevers-Birago Cipher (1572, reconstructed from decipherment attached to no.87)	"The French archives has many other cipher materials. In some cases, they can be solved with keys reconstructed from letters with decipherment." (general framing; per-folio detail from nevers.htm)	Gallica (archivesetmanuscrits.bnf.fr/ark:/12148/cc49712p)	Bourdeau, dbourdeau/cyphersolver, SOLVED_CATALOGUE.md: "Birago and Ceppo to Nevers (about 13 letters)... catalogue 318... Read in part... ff. 11, 21v, 35, 87, 138-174, 184... have no published reading" -- i.e. Bourdeau has already identified exactly this set of unread folios as his own open work, not novel here
unsolved.htm	Manchester Papers (no specific shelfmark/folio given)	unspecified	unspecified	unspecified (siblings of the Stepney-to-Manchester correspondence)	the key "(THE=454)" preserved with the papers	"Some other undeciphered letters in the Manchester Papers can be read with the key (THE=454) preserved with them."	unknown (not stated)	RELATED TO OUR OWN BOARD TARGET: ciphers/stepney-manchester-1702/ (Tier B, open) is the Stepney-to-Manchester letter this same passage says is NOT deciphered; this parenthetical about sibling letters is a lead for that target's NOTES.md, not a separate target -- no specific folio given, too vague to act on without visiting the Manchester Papers catalogue
unsolved.htm	Melanges de Colbert 168bis, 127	f.553 (168bis); f.349 (127)	1674 (168bis); 1665 (127)	abbé de Gravel to Comte de Maulevrier (168bis); unspecified (127)	"a key reconstructed from other materials" (unspecified which key, ambiguous whether these two or the third example in the same paragraph are the readable ones)	"Melanges de Colbert in BnF contains some undeciphered letters. Some can be read with a key reconstructed from other materials, but some still remain unsolved."	unknown (not checked this pass)	ALREADY TRACKED: LANDSCAPE.md "Colbert passages 1665-75" row -- "Charost and Gravel are one key (Maulevrier's)... closed-negative against controls", cyphersolver/colbert/; this is the Gravel/168bis and related Charost material, already attempted and closed-negative, not a fresh lead
