htid	series	oclc	enumcron	title	publishDates
uva.x030526639	Calendar of State Papers Spanish	2567428		Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526638	Calendar of State Papers Spanish	2567428	v.1	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
osu.32435028427425	Calendar of State Papers Spanish	2567428	V2	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526640	Calendar of State Papers Spanish	2567428	v.2	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
osu.32435028427417	Calendar of State Papers Spanish	2567428	V3PT1	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526641	Calendar of State Papers Spanish	2567428	v.3 pt.1	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526642	Calendar of State Papers Spanish	2567428	v.3 pt.2	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
coo.31924091769632	Calendar of State Papers Spanish	2567428	v.3:pt.2	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526643	Calendar of State Papers Spanish	2567428	v.4 pt.1	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
coo.31924091769640	Calendar of State Papers Spanish	2567428	v.4:pt.1	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526644	Calendar of State Papers Spanish	2567428	v.4 pt.2	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526645	Calendar of State Papers Spanish	2567428	v.5 pt.1	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526646	Calendar of State Papers Spanish	2567428	v.5 pt.2	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
oxu1.605249985	Calendar of State Papers Spanish	2567428	v.5:pt.2	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526647	Calendar of State Papers Spanish	2567428	v.6 pt.1	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
oxu1.605250000	Calendar of State Papers Spanish	2567428	v.6:pt.1	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526648	Calendar of State Papers Spanish	2567428	v.6 pt.2	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
oxu1.605249996	Calendar of State Papers Spanish	2567428	v.6:pt.2	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526649	Calendar of State Papers Spanish	2567428	v.7	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
osu.32435028427367	Calendar of State Papers Spanish	2567428	V7PT1	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526650	Calendar of State Papers Spanish	2567428	v.8	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526651	Calendar of State Papers Spanish	2567428	v.9	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x030526652	Calendar of State Papers Spanish	2567428	v.10	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
