# tools/print_check.py, 24 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
je serai inutile dans l'ignorance	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2
mandez moi donc quelque ordre pour ma	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2
sans qu'il m'ait jamais dit ce que je pouvois fournir	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2
pour le mieux a l'accommodement	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2
monsieur de Patino m'en a	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2
arme de rechef une grosse escadre pour empescher les gallions	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2
qui s'est sauve du chateau de Segovie	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2
je serai inutile dans l'ignorance	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3
mandez moi donc quelque ordre pour ma	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3
sans qu'il m'ait jamais dit ce que je pouvois fournir	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3
pour le mieux a l'accommodement	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3
monsieur de Patino m'en a	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3
arme de rechef une grosse escadre pour empescher les gallions	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3
qui s'est sauve du chateau de Segovie	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3
je serai inutile dans l'ignorance	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1
mandez moi donc quelque ordre pour ma	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1
sans qu'il m'ait jamais dit ce que je pouvois fournir	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1
pour le mieux a l'accommodement	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1
monsieur de Patino m'en a	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1
arme de rechef une grosse escadre pour empescher les gallions	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1
qui s'est sauve du chateau de Segovie	ia:bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1	no hits	downloaded djvu text; 	https://archive.org/details/bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1
je serai inutile dans l'ignorance	ia:memoirsofhoratio00coxe	no hits	downloaded djvu text; 	https://archive.org/details/memoirsofhoratio00coxe
mandez moi donc quelque ordre pour ma	ia:memoirsofhoratio00coxe	no hits	downloaded djvu text; 	https://archive.org/details/memoirsofhoratio00coxe
sans qu'il m'ait jamais dit ce que je pouvois fournir	ia:memoirsofhoratio00coxe	no hits	downloaded djvu text; 	https://archive.org/details/memoirsofhoratio00coxe
