# Generated by tools/decode_key.py from ciphertext_targets.tsv + key.tsv; do not edit (R17, 24 Sept 2026).
# Huntington mssBLA 184 p1, 186 p1/p3, 191 p5 (Blathwayt addenda, 1727-29). Key from the run's contemporary glosses (C).
# tokens 172: H 0, C 129, S 0, M 22, I 0, U 21
BLA184_p1_L01	vo [1259]
BLA184_p1_L02	s il
BLA184_p1_L03	il s
BLA184_p1_L04	hier
BLA186_p1_L01	l' ambassadeur [73] a ete fort [470] [778] [190] te affaire
BLA186_p3_L01	monsieur de pa ti g no m' en a monsieur ce so ir
BLA191_p5_L01	l' [805] que je vous ai mi co r d est
BLA191_p5_L02	bien grand e pour votre lettre du [6] parle y ai
BLA191_p5_L03	quand ce [1210] de [689] ar s a la premier e
BLA191_p5_L04	ad ri se hier quand vous me [460] ri scavoi
BLA191_p5_L05	comme je [285] is agit apres le de par t du
BLA191_p5_L06	[214] car monsieur ken ne m' ame mais il n a
BLA191_p5_L07	aucun ordre des [1019] [711] s pour moi quoyque dans l'
BLA191_p5_L08	affaire pas se e je lu i ai fait [1118] bon
BLA191_p5_L09	[1052] ce sans quil m' ai t jamais dit ce que
BLA191_p5_L10	je po v vo is fournir pour le mieux a l'
BLA191_p5_L11	accommodeme [836] et parle [585] no re [1152] intention s et
BLA191_p5_L12	je sec ai in utile dans l' [585] no ra n ce
BLA191_p5_L13	man des moi donc quelque ordre pour ma [222]
