line	pos	group	conf
BLA184_p1_L01	1	1150	H
BLA184_p1_L01	2	1259	H
BLA184_p1_L02	1	1240	H
BLA184_p1_L02	2	1243	H
BLA184_p1_L03	1	1243	H
BLA184_p1_L03	2	1240	H
BLA184_p1_L04	1	1250	H
BLA186_p1_L01	1	659	H
BLA186_p1_L01	2	78	H
BLA186_p1_L01	3	73	H
BLA186_p1_L01	4	18	H
BLA186_p1_L01	5	438	H
BLA186_p1_L01	6	468	H
BLA186_p1_L01	7	470	H
BLA186_p1_L01	8	778	M
BLA186_p1_L01	9	190	H
BLA186_p1_L01	10	1102	H
BLA186_p1_L01	11	53	H
BLA186_p3_L01	1	737	H
BLA186_p3_L01	2	278	H
BLA186_p3_L01	3	822	H
BLA186_p3_L01	4	1109	H
BLA186_p3_L01	5	506	H
BLA186_p3_L01	6	758	H
BLA186_p3_L01	7	690	H
BLA186_p3_L01	8	381	H
BLA186_p3_L01	9	18	H
BLA186_p3_L01	10	849	H
BLA186_p3_L01	11	163	H
BLA186_p3_L01	12	1022	H
BLA186_p3_L01	13	593	H
BLA191_p5_L01	1	659	H
BLA191_p5_L01	2	805	H
BLA191_p5_L01	3	926	H
BLA191_p5_L01	4	580	H
BLA191_p5_L01	5	1154	H
BLA191_p5_L01	6	26	H
BLA191_p5_L01	7	697	H
BLA191_p5_L01	8	665	H
BLA191_p5_L01	9	941	M
BLA191_p5_L01	10	270	H
BLA191_p5_L01	11	386	M
BLA191_p5_L02	1	137	H
BLA191_p5_L02	2	533	H
BLA191_p5_L02	3	369	H
BLA191_p5_L02	4	835	H
BLA191_p5_L02	5	1176	H
BLA191_p5_L02	6	672	H
BLA191_p5_L02	7	289	H
BLA191_p5_L02	8	6	H
BLA191_p5_L02	9	575	H
BLA191_p5_L02	10	1201	H
BLA191_p5_L02	11	26	H
BLA191_p5_L03	1	924	H
BLA191_p5_L03	2	163	H
BLA191_p5_L03	3	1210	H
BLA191_p5_L03	4	278	H
BLA191_p5_L03	5	689	H
BLA191_p5_L03	6	34	H
BLA191_p5_L03	7	1013	H
BLA191_p5_L03	8	18	H
BLA191_p5_L03	9	660	H
BLA191_p5_L03	10	892	H
BLA191_p5_L03	11	369	H
BLA191_p5_L04	1	21	H
BLA191_p5_L04	2	945	H
BLA191_p5_L04	3	1017	H
BLA191_p5_L04	4	1250	H
BLA191_p5_L04	5	924	H
BLA191_p5_L04	6	1154	H
BLA191_p5_L04	7	695	H
BLA191_p5_L04	8	460	H
BLA191_p5_L04	9	945	H
BLA191_p5_L04	10	1038	H
BLA191_p5_L05	1	208	H
BLA191_p5_L05	2	580	H
BLA191_p5_L05	3	285	H
