code	value	grade	source	note
8	vingt	C	gloss	n=1 items=BLA190
12	a	C	gloss	n=1 items=BLA188
16	cent	C	gloss	n=3 items=BLA190,BLA194 other=a:1
17	mille	C	gloss	n=1 items=BLA190
18	a	C	bracket+gloss	n=34 items=BLA179,BLA185,BLA187,BLA188,BLA189,BLA190,BLA194 other=aussitot:1;quoy:1
19	ab	C	gloss	n=1 items=BLA188
21	ad	C	gloss	n=1 items=BLA188
26	ai	C	bracket+gloss	n=8 items=BLA185,BLA188,BLA190 other=avec:1
28	ne|au	C	bracket	n=2 items=BLA189,BLA190 other=au:1
30	au	C	gloss	n=3 items=BLA185,BLA188 other=an:1
32	app	C	gloss	n=1 items=BLA185
34	ar	C	bracket+gloss	n=2 items=BLA188,BLA190
36	at	C	gloss	n=1 items=BLA188
38	au	C	bracket+gloss	n=5 items=BLA187,BLA188,BLA190 other=so:1;av:1
40	abandonne	C	gloss	n=1 items=BLA185
42	accepte	C	gloss	n=1 items=BLA190
43	acces	C	bracket	n=1 items=BLA190
46	accommodeme|acomodement	C	gloss	n=2 items=BLA187,BLA188 other=acomodement:1
53	affaire	C	bracket+gloss	n=4 items=BLA188,BLA190,BLA194
54	affection	C	bracket+gloss	n=7 items=BLA185,BLA188,BLA189,BLA190
58	agit	C	bracket	n=1 items=BLA189
59	agit|action	C	bracket+gloss	n=2 items=BLA188,BLA189 other=action:1
60	agreable	C	gloss	n=1 items=BLA194
65	ame	C	gloss	n=1 items=BLA194
67	avoir	C	bracket+gloss	n=3 items=BLA185,BLA190
68	avoit	C	gloss	n=2 items=BLA179,BLA188
78	ambassadeur	C	bracket	n=1 items=BLA189
84	apres	C	gloss	n=1 items=BLA185
92	assure	C	bracket	n=1 items=BLA189
96	attire	C	gloss	n=1 items=BLA188
97	avance	C	gloss	n=1 items=BLA185
98	avantage	C	gloss	n=1 items=BLA194
100	aucun	C	bracket+gloss	n=4 items=BLA185,BLA188,BLA189,BLA194
101	avec	C	bracket+gloss	n=13 items=BLA179,BLA187,BLA188,BLA189,BLA190,BLA194 other=pa:1;avoit:1
103	aujourd'huy	C	gloss	n=1 items=BLA188
106	auprez	C	bracket+gloss	n=3 items=BLA185,BLA187,BLA190 other=aupres:1
109	aussitot	C	bracket+gloss	n=3 items=BLA189,BLA190,BLA194 other=re:1
111	autre	C	bracket+gloss	n=4 items=BLA185,BLA188,BLA190
113	ayant	C	bracket+gloss	n=4 items=BLA190
119	bi	C	gloss	n=1 items=BLA190
122	bon	C	gloss	n=1 items=BLA187
123	be|br	C	bracket+gloss	n=3 items=BLA188,BLA189,BLA190 other=br:1;ter:1
130	ble	C	bracket	n=1 items=BLA190
132	si	C	gloss	n=1 items=BLA188
133	cas	C	bracket	n=1 items=BLA190
134	ar|esprit	C	gloss	n=2 items=BLA188 other=esprit:1
135	remarque	C	gloss	n=1 items=BLA194
136	besoin	C	bracket+gloss	n=2 items=BLA185,BLA190
137	bien	C	bracket+gloss	n=2 items=BLA187,BLA190
140	bonne	C	bracket+gloss	n=8 items=BLA187,BLA188,BLA189,BLA190 other=de:1
