line	pos	group	conf	gloss
BLA179_p6_L01	1	737	H	monsieur
BLA179_p6_L01	2	278	H	de
BLA179_p6_L01	3	947	M	Ri..
BLA179_p6_L01	4	826	M	per..
BLA179_p6_L01	5	272	H	Da
BLA179_p6_L01	6	68	H	avoit
BLA179_p6_L02	1	210	H	commence
BLA179_p6_L02	2	18	H	à
BLA179_p6_L02	3	766	H	negocie
BLA179_p6_L02	4	101	H	avec
BLA179_p6_L02	5	816	H	ordre
BLA179_p6_L02	6	355	L	et
BLA179_p6_L02	7	888	H	pouvoir
BLA179_p6_L02	8	1042	H	secret
BLA179_p6_L02	9	278	H	de
BLA179_p6_L02	10	660	H	la
BLA179_p6_L02	11	1007	H	Reine
BLA179_p6_L03	1	1016	H	sans
BLA179_p6_L03	2	926	H	que
BLA179_p6_L03	3	661	H	le
BLA179_p6_L03	4	1006	H	Roi
BLA179_p6_L03	5	659	H	R..ai.-h
BLA179_p6_L03	6	26	H	+
BLA179_p6_L03	7	1099	H	sceu
BLA179_p6_L03	8	1039	H	
BLA179_p6_L03	9	926	H	que
BLA179_p6_L03	10	661	H	le
BLA179_p6_L03	11	1213	H	neuf
BLA179_p6_L04	1	278	H	de
BLA179_p6_L04	2	691	H	ma..
BLA179_p6_L04	3	941	H	r..
BLA179_p6_L04	4	1013	H	s
BLA184_p1_L01	1	1150	H	
BLA184_p1_L01	2	1259	H	
BLA184_p1_L02	1	1240	H	
BLA184_p1_L02	2	1243	H	
BLA184_p1_L03	1	1243	H	
BLA184_p1_L03	2	1240	H	
BLA184_p1_L04	1	1250	H	
BLA185_p5_L01	1	580	H	Je
BLA185_p5_L01	2	754	H	ne
BLA185_p5_L01	3	26	H	ai
BLA185_p5_L01	4	841	H	pu
BLA185_p5_L01	5	1137	H	trouve
BLA185_p5_L01	6	941	H	r
BLA185_p5_L01	7	100	H	aucun
BLA185_p5_L01	8	1041	H	secours
BLA185_p5_L01	9	275	H	dans
BLA185_p5_L01	10	737	H	Monsieur
BLA185_p5_L02	1	647	H	Ken-
BLA185_p5_L02	2	756	H	ne
BLA185_p5_L02	3	937	H	quoyque
BLA185_p5_L02	4	661	H	le
BLA185_p5_L02	5	1129	H	temps
BLA185_p5_L02	6	271	H	d'
BLA185_p5_L02	7	67	H	avoir
BLA185_p5_L02	8	136	H	besoin
BLA185_p5_L02	9	282	H	des
BLA185_p5_L02	10	111	H	autre-
BLA185_p5_L03	1	1013	H	-S
BLA185_p5_L03	2	756	H	ne
BLA185_p5_L03	3	1022	H	so-
BLA185_p5_L03	4	595	H	it
BLA185_p5_L03	5	824	H	pas
BLA185_p5_L03	6	857	H	passé
BLA185_p5_L03	7	835	H	pour
BLA185_p5_L03	8	666	H	lu-
BLA185_p5_L03	9	576	H	i
BLA185_p5_L04	1	106	H	aupres
BLA185_p5_L04	2	278	H	de
