ia	bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_2	Coxe, Memoirs of Sir Robert Walpole (1798) vol 2, correspondence
ia	bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_3	Coxe, Walpole (1798) vol 3, correspondence
ia	bim_eighteenth-century_memoirs-of-the-life-and-_coxe-william_1798_1	Coxe, Walpole (1798) vol 1
ia	memoirsofhoratio00coxe	Coxe, Memoirs of Horatio Lord Walpole (1802)
ia	memoirskingsspa00unkngoog	Coxe, Memoirs of the Kings of Spain of the House of Bourbon, vol 3
ia	memoirskingsspa02unkngoog	Coxe, Kings of Spain, vol 2
ia	manuscriptsofmar00grea	HMC, Manuscripts of the Marquess Townshend (1887)
ia	elisabethfarnese00armsuoft	Armstrong, Elisabeth Farnese (1892)
openalex	Blathwayt Huntington Port Sainte Marie 1729 intelligence
crossref	Port Sainte Marie 1729 British intelligence Spain Gibraltar Keene
