line	pos	A	B	gloss_here	gloss_elsewhere	rule	taken
BLA179_p6_L02	6	383	355	et	383:[];355:[]	undecided	383
BLA185_p5_L07	2	1185	1186	utile	1185:[('utile', 2)];1186:[]	key-consistent	1185
BLA186_p1_L01	7	470	470			image	470
BLA186_p1_L01	8	758	738		758:[('no', 14)];738:[]	undecided	758
BLA186_p1_L01	8	758	738			image	778
BLA186_p3_L01	1	733	733			image	737
BLA186_p3_L01	13	593	593			image	593
BLA187_p3_L02	6	238	258	de	238:[('consideration', 2)];258:[('de', 4), ('afait', 2)]	key-consistent	258
BLA187_p3_L02	7	219	213	contest	219:[('conclu', 2)];213:[]	undecided	219
BLA187_p3_L03	2	278	258	de	278:[('de', 51), ('monsieur', 1)];258:[('de', 4), ('afait', 2)]	undecided	278
BLA187_p3_L03	4	909	509	majeste	909:[('public', 2)];509:[]	undecided	909
BLA187_p3_L05	8	1288	1233	bonnefoy	1288:[];1233:[]	undecided	1288
BLA187_p3_L07	2	829	824	pas	"829:[('je', 1), (""qu'"", 1)];824:[('pas', 5), ('ma', 1)]"	key-consistent	824
BLA187_p3_L07	8	385	387	et	385:[('es', 11), ('et', 8)];387:[('et', 16)]	undecided	385
BLA187_p3_L10	3	137	135	bien	137:[('bien', 2)];135:[('remarque', 2)]	key-consistent	137
BLA187_p3_L10	8	951	551	mettre	951:[('rendre', 2)];551:[('mettre', 1)]	key-consistent	551
BLA188_p3_L01	2	298	278	de	298:[];278:[('de', 51), ('monsieur', 1)]	key-consistent	278
BLA188_p3_L01	6	834	831	de	834:[('personne', 2)];831:[('po', 1)]	undecided	834
BLA188_p3_L01	7	298	278	fa	298:[];278:[('de', 51), ('monsieur', 1)]	undecided	298
BLA188_p3_L02	5	369	869	e	369:[('e', 24)];869:[('perdu', 4)]	key-consistent	369
BLA188_p3_L04	9	672	692	lettre	672:[('lettre', 2)];692:[('mais', 11), ('il', 1)]	key-consistent	672
BLA188_p3_L07	2	1025	1029	th	1025:[];1029:[('ste', 2)]	undecided	1025
BLA188_p3_L07	6	1114	1119	tout	1114:[('tout', 8)];1119:[('tout', 4)]	undecided	1114
BLA188_p3_L09	1	252	282	dgo	252:[];282:[('des', 10)]	undecided	252
BLA188_p3_L09	4	389	388		389:[('eu', 2)];388:[('en', 2)]	undecided	389
BLA188_p3_L10	1	?	282		282:[('des', 10)]	undecided	282
BLA188_p3_L10	8	831	837	non	831:[('po', 1)];837:[]	undecided	831
BLA188_p3_L11	2	495	795	it	495:[('favorable', 2), ('it', 1)];795:[('vient', 2)]	key-consistent	495
