line	pos	group	conf	gloss
BLA190_p7_L01	1	575	H	J'
BLA190_p7_L01	2	26	H	ai
BLA190_p7_L01	3	356	H	Donne
BLA190_p7_L01	4	18	H	a
BLA190_p7_L01	5	737	H	Monsieur
BLA190_p7_L01	6	1028	H	Ha-
BLA190_p7_L01	7	756	H	-no-
BLA190_p7_L01	8	828	H	-pe
BLA190_p7_L01	9	1149	H	une
BLA190_p7_L01	10	672	H	lettre
BLA190_p7_L01	11	835	H	pour
BLA190_p7_L02	1	1154	H	vous
BLA190_p7_L02	2	1033	H	sur
BLA190_p7_L02	3	662	H	les
BLA190_p7_L02	4	53	H	affaire
BLA190_p7_L02	5	1013	H	-s
BLA190_p7_L02	6	928	H	qui
BLA190_p7_L02	7	853	H	parti-
BLA190_p7_L02	8	942	H	-ra
BLA190_p7_L02	9	823	H	par
BLA190_p7_L02	10	661	H	le
BLA190_p7_L02	11	892	H	premier
BLA190_p7_L03	1	259	H	Cour-
BLA190_p7_L03	2	561	H	-ie-
BLA190_p7_L03	3	491	H	-r
BLA190_p7_L03	4	101	H	avec
BLA190_p7_L03	5	1149	H	une
BLA190_p7_L03	6	111	H	autre
BLA190_p7_L03	7	1033	H	sur
BLA190_p7_L03	8	704	H	mon
BLA190_p7_L03	9	854	H	particulier
BLA190_p7_L03	10	620	H	Interest
BLA190_p7_L04	1	162	H	Car
BLA190_p7_L04	2	113	H	ayant
BLA190_p7_L04	3	427	H	envoye
BLA190_p7_L04	4	588	M	il
BLA190_p7_L04	5	1201	H	y
BLA190_p7_L04	6	18	H	a
BLA190_p7_L04	7	1207	H	trois
BLA190_p7_L04	8	703	H	mois
BLA190_p7_L04	9	1148	H	un
BLA190_p7_L04	10	119	H	bi
BLA190_p7_L04	11	669	M	-el-
BLA190_p7_L04	12	387	H	et
BLA190_p7_L05	1	258	H	De
BLA190_p7_L05	2	197	H	change
BLA190_p7_L05	3	796	H	on
BLA190_p7_L05	4	695	H	me
BLA190_p7_L05	5	659	H	l'
BLA190_p7_L05	6	18	H	a
BLA190_p7_L05	7	972	H	rendu
BLA190_p7_L05	8	1016	H	sans
BLA190_p7_L05	9	929	H	qu'il
BLA190_p7_L05	10	1201	H	y
BLA190_p7_L05	11	26	H	
BLA190_p7_L05	12	1090	M	ai-t
BLA190_p7_L06	1	388	H	en
BLA190_p7_L06	2	834	H	personne
BLA190_p7_L06	3	835	H	pour
BLA190_p7_L06	4	659	H	l'
BLA190_p7_L06	5	42	H	accepte-
BLA190_p7_L06	6	941	H	-r
BLA190_p7_L06	7	1250	H	
BLA190_p7_L06	8	163	H	ce
BLA190_p7_L06	9	928	H	qui
BLA190_p7_L06	10	690	H	m'
BLA190_p7_L06	11	18	H	a
BLA190_p7_L06	12	468	H	fort
BLA190_p7_L07	1	321	H	depourvu
BLA190_p7_L07	2	278	H	de
BLA190_p7_L07	3	742	H	moyen
BLA190_p7_L07	4	278	H	de
BLA190_p7_L07	5	695	H	me
BLA190_p7_L07	6	1069	H	soutenir
BLA190_p7_L07	7	580	H	Je
BLA190_p7_L07	8	1154	H	vous
BLA190_p7_L07	9	839	H	prie-
BLA190_p7_L07	10	360	H	-e
BLA190_p7_L08	1	357	H	Donc
BLA190_p7_L08	2	607	H	Mi-
BLA190_p7_L08	3	665	H	-lo-
BLA190_p7_L08	4	941	H	-r-
BLA190_p7_L08	5	270	H	-d
BLA190_p7_L08	6	278	H	de
BLA190_p7_L08	7	695	H	me
BLA190_p7_L08	8	473	H	faire
BLA190_p7_L08	9	67	H	avoir
BLA190_p7_L08	10	1206	H	deux
BLA190_p7_L08	11	16	H	cent
BLA190_p7_L09	1	663	H	li-
BLA190_p7_L09	2	1142	H	-u-
BLA190_p7_L09	3	945	M	-res
BLA190_p7_L09	4	1029	H	Ste-
BLA190_p7_L09	5	941	M	-e-
BLA190_p7_L09	6	663	H	-li-
BLA190_p7_L09	7	754	H	-n-
BLA190_p7_L09	8	506	H	-g-
BLA190_p7_L09	9	1013	H	-s
BLA190_p7_L09	10	387	H	et
BLA190_p7_L09	11	605	H	me
BLA190_p7_L10	1	344	H	dire
BLA190_p7_L10	2	1033	H	sur
BLA190_p7_L10	3	027	M	quel
BLA190_p7_L10	4	833	H	point
BLA190_p7_L10	5	580	H	de
BLA190_p7_L10	6	1032	H	su-
BLA190_p7_L10	7	594	M	-is
BLA190_p7_L10	8	835	H	pour
BLA190_p7_L10	9	691	H	ma
BLA190_p7_L10	10	963	H	regle
BLA190_p7_L10	11	661	H	le
BLA190_p7_L11	1	1114	H	tout
BLA190_p7_L11	2	381	H	en
BLA190_p7_L11	3	238	H	consideration
BLA190_p7_L11	4	258	H	de
BLA190_p7_L11	5	659	H	l'
BLA190_p7_L11	6	54	H	affection
BLA190_p7_L11	7	926	H	que
BLA190_p7_L11	8	1154	H	vous
BLA190_p7_L11	9	38	H	av-
