line	pos	group	conf	alt	rule	gloss
BLA179_p6_L01	1	737	H		agree-flagged,key-consistent	monsieur
BLA179_p6_L01	2	278	H		agree	de
BLA179_p6_L01	3	947	H		agree-flagged,key-consistent	ri
BLA179_p6_L01	4	826	M		agree-flagged	par
BLA179_p6_L01	5	272	M		agree-flagged	da
BLA179_p6_L01	6	68	H		agree	avoit
BLA179_p6_L02	1	210	H		agree	commence
BLA179_p6_L02	2	18	H		agree	a
BLA179_p6_L02	3	766	H		agree	negocie
BLA179_p6_L02	4	101	H		agree	avec
BLA179_p6_L02	5	816	H		agree	ordre
BLA179_p6_L02	6	383	M	B:355	undecided	et
BLA179_p6_L02	7	888	H		agree	pouvoir
BLA179_p6_L02	8	1042	H		agree	secret
BLA179_p6_L02	9	278	H		agree	de
BLA179_p6_L02	10	660	H		agree	la
BLA179_p6_L02	11	1007	H		agree-flagged,key-consistent	reine
BLA179_p6_L03	1	1016	H		agree	sans
BLA179_p6_L03	2	926	H		agree	que
BLA179_p6_L03	3	661	H		agree	le
BLA179_p6_L03	4	1006	H		agree	roi
BLA179_p6_L03	5	659	M		agree-flagged	
BLA179_p6_L03	6	26	H		agree	
BLA179_p6_L03	7	1099	H		agree	sceu
BLA179_p6_L03	8	1039	H		agree	sceu
BLA179_p6_L03	9	926	H		agree	que
BLA179_p6_L03	10	661	H		agree	le
BLA179_p6_L03	11	1213	H		agree	neuf
BLA179_p6_L04	1	278	H		agree	de
BLA179_p6_L04	2	691	M		agree-flagged	
BLA179_p6_L04	3	941	M		agree-flagged	
BLA179_p6_L04	4	1013	M		agree-flagged	5
BLA184_p1_L01	1	1150	H		agree	
BLA184_p1_L01	2	1259	H		agree	
BLA184_p1_L02	1	1240	H		agree	
BLA184_p1_L02	2	1243	H		agree	
BLA184_p1_L03	1	1243	H		agree	
BLA184_p1_L03	2	1240	H		agree	
BLA184_p1_L04	1	1250	H		agree	
BLA185_p5_L01	1	580	H		agree	je
BLA185_p5_L01	2	754	H		agree	n'
BLA185_p5_L01	3	26	H		agree	ai
BLA185_p5_L01	4	841	H		agree	pu
BLA185_p5_L01	5	1137	H		agree	trouve
BLA185_p5_L01	6	941	H		agree	r
BLA185_p5_L01	7	100	H		agree	aucun
BLA185_p5_L01	8	1041	H		agree	secours
BLA185_p5_L01	9	275	H		agree	dans
BLA185_p5_L01	10	737	H		agree	monsieur
BLA185_p5_L02	1	647	H		agree	ken
BLA185_p5_L02	2	756	H		agree	ne
BLA185_p5_L02	3	937	H		agree	quoyque
BLA185_p5_L02	4	661	H		agree	le
