line	pos	group	value	grade
BLA184_p1_L01	1	1150	vo	C
BLA184_p1_L01	2	1259	?	U
BLA184_p1_L02	1	1240	s|que	M
BLA184_p1_L02	2	1243	il	C
BLA184_p1_L03	1	1243	il	C
BLA184_p1_L03	2	1240	s|que	M
BLA184_p1_L04	1	1250	hier|c'est	M
BLA186_p1_L01	1	659	l'	C
BLA186_p1_L01	2	78	ambassadeur	C
BLA186_p1_L01	3	73	?	U
BLA186_p1_L01	4	18	a	C
BLA186_p1_L01	5	438	ete	C
BLA186_p1_L01	6	468	fort	C
BLA186_p1_L01	7	470	?	U
BLA186_p1_L01	8	778	?	U
BLA186_p1_L01	9	190	?	U
BLA186_p1_L01	10	1102	te	C
BLA186_p1_L01	11	53	affaire	C
BLA186_p3_L01	1	737	monsieur	C
BLA186_p3_L01	2	278	de	C
BLA186_p3_L01	3	822	pa	C
BLA186_p3_L01	4	1109	ti	C
BLA186_p3_L01	5	506	g	C
BLA186_p3_L01	6	758	no	C
BLA186_p3_L01	7	690	m'	C
BLA186_p3_L01	8	381	en	C
BLA186_p3_L01	9	18	a	C
BLA186_p3_L01	10	849	monsieur	C
BLA186_p3_L01	11	163	ce	C
BLA186_p3_L01	12	1022	so	C
BLA186_p3_L01	13	593	ir	C
BLA191_p5_L01	1	659	l'	C
BLA191_p5_L01	2	805	?	U
BLA191_p5_L01	3	926	que	C
BLA191_p5_L01	4	580	je	C
BLA191_p5_L01	5	1154	vous	C
BLA191_p5_L01	6	26	ai	C
BLA191_p5_L01	7	697	mi	C
BLA191_p5_L01	8	665	co|lo	M
BLA191_p5_L01	9	941	r	M
BLA191_p5_L01	10	270	d	C
BLA191_p5_L01	11	386	est	M
BLA191_p5_L02	1	137	bien	C
BLA191_p5_L02	2	533	grand	C
BLA191_p5_L02	3	369	e	C
BLA191_p5_L02	4	835	pour	C
BLA191_p5_L02	5	1176	votre	C
BLA191_p5_L02	6	672	lettre	C
BLA191_p5_L02	7	289	du	C
BLA191_p5_L02	8	6	?	U
BLA191_p5_L02	9	575	parle|j'	M
BLA191_p5_L02	10	1201	y	C
BLA191_p5_L02	11	26	ai	C
BLA191_p5_L03	1	924	quand	C
BLA191_p5_L03	2	163	ce	C
BLA191_p5_L03	3	1210	?	U
BLA191_p5_L03	4	278	de	C
BLA191_p5_L03	5	689	?	U
BLA191_p5_L03	6	34	ar	C
BLA191_p5_L03	7	1013	s	C
BLA191_p5_L03	8	18	a	C
BLA191_p5_L03	9	660	la	C
BLA191_p5_L03	10	892	premier	C
BLA191_p5_L03	11	369	e	C
BLA191_p5_L04	1	21	ad	C
BLA191_p5_L04	2	945	ri	C
BLA191_p5_L04	3	1017	se	C
BLA191_p5_L04	4	1250	hier|c'est	M
BLA191_p5_L04	5	924	quand	C
BLA191_p5_L04	6	1154	vous	C
BLA191_p5_L04	7	695	me	C
BLA191_p5_L04	8	460	?	U
BLA191_p5_L04	9	945	ri	C
BLA191_p5_L04	10	1038	scavoi	C
BLA191_p5_L05	1	208	comme	C
BLA191_p5_L05	2	580	je	C
BLA191_p5_L05	3	285	?	U
BLA191_p5_L05	4	594	is	C
BLA191_p5_L05	5	58	agit	C
BLA191_p5_L05	6	84	apres	C
BLA191_p5_L05	7	661	le	C
BLA191_p5_L05	8	278	de	C
BLA191_p5_L05	9	823	par	C
BLA191_p5_L05	10	1099	t	M
BLA191_p5_L05	11	289	du	C
BLA191_p5_L06	1	214	?	U
BLA191_p5_L06	2	162	car	C
BLA191_p5_L06	3	737	monsieur	C
BLA191_p5_L06	4	647	ken	C
BLA191_p5_L06	5	756	ne	C
BLA191_p5_L06	6	690	m'	C
BLA191_p5_L06	7	65	ame	C
BLA191_p5_L06	8	692	mais	C
BLA191_p5_L06	9	588	il	C
BLA191_p5_L06	10	754	n	C
BLA191_p5_L06	11	18	a	C
BLA191_p5_L07	1	100	aucun	C
BLA191_p5_L07	2	816	ordre	C
BLA191_p5_L07	3	282	des	C
BLA191_p5_L07	4	1019	?	U
BLA191_p5_L07	5	711	?	U
BLA191_p5_L07	6	1013	s	C
BLA191_p5_L07	7	835	pour	C
BLA191_p5_L07	8	702	moi	C
BLA191_p5_L07	9	937	quoyque	M
BLA191_p5_L07	10	275	dans	C
BLA191_p5_L07	11	659	l'	C
BLA191_p5_L08	1	53	affaire	C
BLA191_p5_L08	2	824	pas	C
BLA191_p5_L08	3	1017	se	C
BLA191_p5_L08	4	369	e	C
BLA191_p5_L08	5	580	je	C
BLA191_p5_L08	6	666	lu	C
BLA191_p5_L08	7	576	i	C
BLA191_p5_L08	8	26	ai	C
BLA191_p5_L08	9	461	fait	C
BLA191_p5_L08	10	1118	?	U
BLA191_p5_L08	11	122	bon	C
BLA191_p5_L09	1	1052	?	U
BLA191_p5_L09	2	163	ce	C
BLA191_p5_L09	3	1016	sans	C
BLA191_p5_L09	4	929	quil	C
BLA191_p5_L09	5	690	m'	C
BLA191_p5_L09	6	26	ai	C
BLA191_p5_L09	7	1099	t	C
BLA191_p5_L09	8	599	jamais	C
BLA191_p5_L09	9	345	dit	C
BLA191_p5_L09	10	163	ce	C
BLA191_p5_L09	11	926	que	C
BLA191_p5_L10	1	580	je	C
BLA191_p5_L10	2	831	po	C
BLA191_p5_L10	3	1143	v	C
BLA191_p5_L10	4	1150	vo	C
BLA191_p5_L10	5	594	is	C
BLA191_p5_L10	6	493	fournir	C
BLA191_p5_L10	7	835	pour	C
BLA191_p5_L10	8	661	le	C
BLA191_p5_L10	9	732	mieux	C
BLA191_p5_L10	10	18	a	C
BLA191_p5_L10	11	659	l'	C
BLA191_p5_L11	1	46	accommodeme|acomodement	M
BLA191_p5_L11	2	836	?	U
BLA191_p5_L11	3	385	et	C
BLA191_p5_L11	4	575	parle|j'	M
BLA191_p5_L11	5	585	?	U
BLA191_p5_L11	6	758	no	C
BLA191_p5_L11	7	943	re	C
BLA191_p5_L11	8	1152	?	U
BLA191_p5_L11	9	623	intention	C
BLA191_p5_L11	10	1013	s	C
BLA191_p5_L11	11	387	et	C
BLA191_p5_L12	1	580	je	C
BLA191_p5_L12	2	1018	sec|ser	M
BLA191_p5_L12	3	26	ai	M
BLA191_p5_L12	4	591	in	M
BLA191_p5_L12	5	1185	utile	M
BLA191_p5_L12	6	275	dans	M
BLA191_p5_L12	7	659	l'	M
BLA191_p5_L12	8	585	?	U
BLA191_p5_L12	9	758	no	M
BLA191_p5_L12	10	942	ra	M
BLA191_p5_L12	11	754	n	M
BLA191_p5_L12	12	163	ce	M
BLA191_p5_L13	1	694	man	C
