pos	sign
0	s24
1	s0
2	s23
3	s16
4	s21
5	s1
6	s5
7	s20
8	s12
9	s2
10	s15
11	s5
12	s15
13	s17
14	s5
15	s19
16	s5
17	s28
18	s8
19	s13
20	s20
21	s29
22	s5
23	s16
24	s9
25	s20
26	s4
27	s14
28	s24
29	s5
30	s20
31	s30
32	s30
33	s7
34	s0
35	s19
36	s3
37	s22
38	s22
39	s5
40	s19
41	s6
42	s21
43	s14
44	s0
45	s25
46	s2
47	s20
48	s3
49	s9
50	s25
51	s7
52	s19
53	s3
54	s15
55	s2
56	s16
57	s15
58	s0
59	s19
60	s3
61	s2
62	s22
63	s16
64	s0
65	s21
66	s13
67	s5
68	s11
69	s27
70	s0
71	s10
72	s18
73	s12
74	s3
75	s6
76	s11
77	s9
78	s18
79	s0
80	s14
81	s3
82	s27
83	s8
84	s21
85	s19
86	s7
87	s21
88	s23
89	s1
90	s25
91	s1
92	s20
93	s4
94	s16
95	s2
96	s21
97	s24
98	s4
99	s11
100	s27
101	s0
102	s9
103	s18
104	s12
105	s3
106	s22
107	s6
108	s21
109	s11
110	s8
111	s13
112	s25
113	s6
114	s19
115	s7
116	s24
117	s10
118	s22
119	s9
120	s1
121	s19
122	s19
123	s3
124	s12
125	s17
126	s6
127	s22
128	s9
129	s11
130	s8
131	s11
132	s10
133	s23
134	s2
135	s12
136	s18
137	s23
138	s16
139	s23
140	s10
141	s19
142	s1
143	s29
144	s6
145	s13
146	s14
147	s3
148	s20
149	s5
150	s14
151	s17
152	s0
153	s14
154	s23
155	s4
156	s0
157	s13
158	s23
159	s2
160	s17
161	s7
162	s17
163	s4
164	s7
165	s20
166	s3
167	s22
168	s22
169	s2
170	s21
171	s7
172	s11
173	s19
174	s1
175	s2
176	s14
177	s22
178	s7
179	s1
180	s13
181	s17
182	s11
183	s2
184	s14
185	s16
186	s10
187	s20
188	s6
189	s9
190	s16
191	s17
192	s12
193	s9
194	s18
195	s18
196	s6
197	s15
198	s23
199	s8
200	s8
201	s19
202	s0
203	s20
204	s1
205	s28
206	s1
207	s6
208	s9
209	s26
210	s9
211	s14
212	s24
213	s9
214	s26
215	s26
216	s5
217	s6
218	s23
219	s9
220	s11
221	s21
222	s11
223	s6
224	s14
225	s24
226	s9
227	s5
228	s26
229	s22
230	s2
231	s21
232	s4
233	s8
234	s19
235	s8
236	s10
237	s16
238	s18
239	s11
240	s5
241	s20
242	s3
243	s14
