line	signs_A	signs_B	agree	columns	share
4613_p1_L01	11	12	6	14	0.429
4613_p1_L02	20	21	20	21	0.952
4613_p1_L03	18	20	16	20	0.800
4613_p1_L04	34	23	21	34	0.618
4613_p1_L05	29	29	17	31	0.548
4613_p1_L06	21	21	21	21	1.000
4613_p1_L07	41	23	21	41	0.512
4613_p1_L08	37	18	4	38	0.105
4613_p1_L09	22	21	1	23	0.043
4613_p1_L10	22	13	0	22	0.000
4613_p1_L11	21	23	4	25	0.160
4613_p1_L12	20	23	1	23	0.043
4613_p1_L13	20	20	0	20	0.000
4613_p1_L14	38	20	4	38	0.105
4613_p1_L15	20	20	1	21	0.048
4613_p1_L16	22	17	2	22	0.091
4613_p1_L17	20	22	4	24	0.167
4613_p1_L18	19	21	0	21	0.000
4613_p1_L19	17	22	0	22	0.000
4613_p1_L20	20	19	3	22	0.136
4613_p1_L21	26	19	2	26	0.077
4613_p1_L22	23	18	2	23	0.087
4613_p1_L23	19	26	16	26	0.615
4613_p1_L24	16	18	14	18	0.778
4613_p1_L25	23	22	17	23	0.739
4613_p1_L26	17	16	10	17	0.588
4615_p1_L04	17	15	12	17	0.706
4615_p1_L05	21	21	18	21	0.857
4615_p1_L06	22	22	20	22	0.909
4615_p1_L07	24	24	22	24	0.917
4615_p1_L08	23	22	22	23	0.957
4615_p1_L09	22	22	21	22	0.955
4615_p1_L10	23	23	21	23	0.913
4615_p1_L11	23	23	23	23	1.000
4615_p1_L12	21	21	18	21	0.857
4615_p1_L13	23	23	23	23	1.000
4615_p1_L14	24	24	24	24	1.000
4615_p1_L15	24	24	24	24	1.000
4615_p1_L16	17	17	12	17	0.706
4615_p1_L17	21	21	21	21	1.000
4615_p1_L18	23	24	20	24	0.833
4615_p1_L19	22	22	22	22	1.000
4615_p1_L20	47	26	25	47	0.532
4615_p1_L21	23	20	3	24	0.125
4615_p1_L22	43	23	5	43	0.116
4615_p1_L23	22	22	3	27	0.111
4615_p1_L24	47	20	5	48	0.104
4615_p1_L25	26	24	0	26	0.000
4615_p1_L26	11	23	0	23	0.000
4615_p1_L27	19	14	1	19	0.053
4615_p1_L28	0	12	0	12	0.000
4615_p1_L29	0	10	0	10	0.000
4615_p1_L31	0	12	0	12	0.000
4615_p1_L32	0	6	0	6	0.000
