value	plaintext	grade	source_line
1	circumstance	H	raw/key972_bourdeau.js:1
4	commerce	H	raw/key972_bourdeau.js:1
5	communica	H	raw/key972_bourdeau.js:1
13	character	H	raw/key972_bourdeau.js:1
14	commit	C	raw/key972_bourdeau.js:1
16	condition	H	raw/key972_bourdeau.js:1
21	could	C	raw/key972_bourdeau.js:1
26	Denmark	I	raw/key972_bourdeau.js:1
27	difficult	H	raw/key972_bourdeau.js:1
32	Emperor	H	raw/key972_bourdeau.js:1
36	Germany	H	raw/key972_bourdeau.js:1
61	Minister	C	raw/key972_bourdeau.js:1
64	Monarch	H	raw/key972_bourdeau.js:1
91	particular	M	raw/key972_bourdeau.js:1
103	these	H	raw/key972_bourdeau.js:1
105	thought	H	raw/key972_bourdeau.js:1
106	thousand	H	raw/key972_bourdeau.js:1
109	toward	C	raw/key972_bourdeau.js:1
112	ver	H	raw/key972_bourdeau.js:1
115	US	H	raw/key972_bourdeau.js:1
116	unless	M	raw/key972_bourdeau.js:1
121	week	H	raw/key972_bourdeau.js:1
127	without	H	raw/key972_bourdeau.js:1
128	yesterday	H	raw/key972_bourdeau.js:1
130	America	M	raw/key972_bourdeau.js:1
137	between	H	raw/key972_bourdeau.js:1
140	business	H	raw/key972_bourdeau.js:1
146	confide	C	raw/key972_bourdeau.js:1
148	consul	M	raw/key972_bourdeau.js:1
151	contrary	H	raw/key972_bourdeau.js:1
153	country	H	raw/key972_bourdeau.js:1
156	demand	H	raw/key972_bourdeau.js:1
157	depend	H	raw/key972_bourdeau.js:1
158	design	H	raw/key972_bourdeau.js:1
166	either	H	raw/key972_bourdeau.js:1
170	England	H	raw/key972_bourdeau.js:1
174	Europe	M	raw/key972_bourdeau.js:1
175	ex*	C	raw/key972_bourdeau.js:1
187	Florida	C	raw/key972_bourdeau.js:1
190	French	H	raw/key972_bourdeau.js:1
191	general	H	raw/key972_bourdeau.js:1
193	govern	I	raw/key972_bourdeau.js:1
199	hither	M	raw/key972_bourdeau.js:1
203	timate	H	raw/key972_bourdeau.js:1
207	Madrid	H	raw/key972_bourdeau.js:1
220	money	H	raw/key972_bourdeau.js:1
225	near	M	raw/key972_bourdeau.js:1
228	never	H	raw/key972_bourdeau.js:1
231	new	H	raw/key972_bourdeau.js:1
236	object	H	raw/key972_bourdeau.js:1
240	roc	H	raw/key972_bourdeau.js:1
244	October	H	raw/key972_bourdeau.js:1
249	other	H	raw/key972_bourdeau.js:1
250	ought	I	raw/key972_bourdeau.js:1
252	own	H	raw/key972_bourdeau.js:1
254	Paris	C	raw/key972_bourdeau.js:1
255	part	H	raw/key972_bourdeau.js:1
256	peace	H	raw/key972_bourdeau.js:1
257	people	H	raw/key972_bourdeau.js:1
264	Portugal	H	raw/key972_bourdeau.js:1
268	power	H	raw/key972_bourdeau.js:1
269	present	H	raw/key972_bourdeau.js:1
272	Prince	H	raw/key972_bourdeau.js:1
273	princi	M	raw/key972_bourdeau.js:1
277	probab	H	raw/key972_bourdeau.js:1
279	tion	M	raw/key972_bourdeau.js:1
282	proper	H	raw/key972_bourdeau.js:1
284	pub	H	raw/key972_bourdeau.js:1
