value	plaintext	grade	source_line
5	communicate	C	raw/code972_partial_tomokiyo.json:1
14	commit	C	raw/code972_partial_tomokiyo.json:1
21	could	C	raw/code972_partial_tomokiyo.json:1
27	difficult	C	raw/code972_partial_tomokiyo.json:1
32	Emperor	C	raw/code972_partial_tomokiyo.json:1
61	Minister	C	raw/code972_partial_tomokiyo.json:1
103	these	C	raw/code972_partial_tomokiyo.json:1
109	toward	C	raw/code972_partial_tomokiyo.json:1
112	ver	C	raw/code972_partial_tomokiyo.json:1
127	without	C	raw/code972_partial_tomokiyo.json:1
137	between	C	raw/code972_partial_tomokiyo.json:1
146	confide	C	raw/code972_partial_tomokiyo.json:1
148	146? confide	M	raw/code972_partial_tomokiyo.json:1
153	country	C	raw/code972_partial_tomokiyo.json:1
166	either	C	raw/code972_partial_tomokiyo.json:1
175	ex*	C	raw/code972_partial_tomokiyo.json:1
187	Florida	C	raw/code972_partial_tomokiyo.json:1
190	French	C	raw/code972_partial_tomokiyo.json:1
207	Madrid	C	raw/code972_partial_tomokiyo.json:1
236	object	C	raw/code972_partial_tomokiyo.json:1
249	other	C	raw/code972_partial_tomokiyo.json:1
250	o...?	M	raw/code972_partial_tomokiyo.json:1
252	own	C	raw/code972_partial_tomokiyo.json:1
254	Paris	C	raw/code972_partial_tomokiyo.json:1
255	part	C	raw/code972_partial_tomokiyo.json:1
256	Peace	C	raw/code972_partial_tomokiyo.json:1
272	Prince	C	raw/code972_partial_tomokiyo.json:1
289	ration	C	raw/code972_partial_tomokiyo.json:1
290	reason	C	raw/code972_partial_tomokiyo.json:1
308	secret	C	raw/code972_partial_tomokiyo.json:1
312	set	C	raw/code972_partial_tomokiyo.json:1
326	Spain	C	raw/code972_partial_tomokiyo.json:1
330	station	C	raw/code972_partial_tomokiyo.json:1
341	temp	C	raw/code972_partial_tomokiyo.json:1
351	tin	C	raw/code972_partial_tomokiyo.json:1
352	tion	C	raw/code972_partial_tomokiyo.json:1
358	trust	C	raw/code972_partial_tomokiyo.json:1
370	vest	C	raw/code972_partial_tomokiyo.json:1
377	under	C	raw/code972_partial_tomokiyo.json:1
380	ur*	C	raw/code972_partial_tomokiyo.json:1
383	w	C	raw/code972_partial_tomokiyo.json:1
384	w...?	M	raw/code972_partial_tomokiyo.json:1
390	were	C	raw/code972_partial_tomokiyo.json:1
395	which	C	raw/code972_partial_tomokiyo.json:1
397	whom	C	raw/code972_partial_tomokiyo.json:1
405	would	C	raw/code972_partial_tomokiyo.json:1
410	your	C	raw/code972_partial_tomokiyo.json:1
415	you	C	raw/code972_partial_tomokiyo.json:1
417	y	C	raw/code972_partial_tomokiyo.json:1
420	al*	C	raw/code972_partial_tomokiyo.json:1
430	appear	C	raw/code972_partial_tomokiyo.json:1
460	cy	C	raw/code972_partial_tomokiyo.json:1
465	count	C	raw/code972_partial_tomokiyo.json:1
470	con	C	raw/code972_partial_tomokiyo.json:1
471	con	C	raw/code972_partial_tomokiyo.json:1
477	change	C	raw/code972_partial_tomokiyo.json:1
501	m	C	raw/code972_partial_tomokiyo.json:1
