design	stat	mean	sd	p05	p50	p95	target	target_percentile
blockwise_WE028	N	369.000	0.000	369	369	369	369	50
blockwise_WE028	D	196.617	12.522	172	197	218	216	95
blockwise_WE028	D/N	0.533	0.034	0.466	0.534	0.591	0.585	95
blockwise_WE028	low_share	0.016	0.008	0.005	0.016	0.033	0.358	100
blockwise_WE028	low_distinct	4.867	2.109	2	5	9	48	100
blockwise_WE028	hi_distinct	191.750	12.520	166	192	214	168	7
blockwise_WE028	units_top1	0.143	0.011	0.125	0.143	0.165	0.388	100
blockwise_WE028	units_top2	0.273	0.018	0.246	0.271	0.299	0.586	100
blockwise_WE028	units_H	3.273	0.019	3.244	3.274	3.305	2.572	0
blockwise_WE028	units_digit0_share	0.116	0.019	0.088	0.113	0.150	0.388	100
blockwise_WE028	decades_occupied	109.617	5.037	99	111	117	99	5
blockwise_WE028	decade_multi_frac	0.499	0.047	0.420	0.505	0.571	0.455	18
blockwise_WE028	variants_per_decade	1.749	0.082	1.619	1.748	1.911	1.697	28
blockwise_WE028	decade_units_modal	0.662	0.036	0.606	0.666	0.724	0.570	0
blockwise_WE028	decade_units_null	0.372	0.007	0.360	0.371	0.384	0.501	100
blockwise_WE028	decade_units_z	15.114	1.856	12.212	15.612	17.978	2.759	0
blockwise_WE028	block_trough	0.001	0.006	0.000	0.000	0.000	0.071	100
blockwise_WE028	block_pair_min	24.667	3.673	18	25	30	4	0
blockwise_WE028	freqpos_jsd	0.021	0.005	0.011	0.021	0.029	0.020	47
blockwise_WE028	onepart_dist	0.378	0.056	0.294	0.380	0.453	0.417	73
blockwise_WE028	digit_order_rho	-0.115	0.239	-0.433	-0.117	0.367	0.400	97
blockwise_WE028	digits23_share	0.174	0.023	0.135	0.173	0.215	0.083	0
blockwise_WE028	top10_share	0.266	0.026	0.228	0.268	0.317	0.203	0
blockwise_WE028	top10_pos_sd	0.242	0.033	0.195	0.240	0.312	0.283	85
blockwise_WE028	gap_median	448.900	35.399	386	451	509	544	100
blockwise_WE028	gap_median_shuffled	438.900	33.883	393	438	506	536	100
blockwise_WE028	gap_small_frac	0.021	0.009	0.008	0.019	0.038	0.024	68
blockwise_WE028	gap_small_frac_shuffled	0.025	0.008	0.011	0.024	0.038	0.038	95
onepart	N	369.000	0.000	369	369	369	369	50
onepart	D	196.617	12.522	172	197	218	216	95
onepart	D/N	0.533	0.034	0.466	0.534	0.591	0.585	95
onepart	low_share	0.081	0.016	0.057	0.081	0.111	0.358	100
onepart	low_distinct	13.983	3.085	10	14	19	48	100
onepart	hi_distinct	182.633	12.352	157	183	201	168	9
onepart	units_top1	0.159	0.017	0.134	0.158	0.195	0.388	100
onepart	units_top2	0.298	0.022	0.262	0.299	0.339	0.586	100
onepart	units_H	3.244	0.026	3.205	3.242	3.291	2.572	0
onepart	units_digit0_share	0.138	0.018	0.108	0.139	0.168	0.388	100
onepart	decades_occupied	106.583	5.133	98	107	115	99	8
onepart	decade_multi_frac	0.482	0.050	0.407	0.477	0.566	0.455	33
onepart	variants_per_decade	1.714	0.089	1.553	1.714	1.869	1.697	44
onepart	decade_units_modal	0.665	0.038	0.603	0.665	0.754	0.570	0
onepart	decade_units_null	0.376	0.007	0.363	0.376	0.387	0.501	100
onepart	decade_units_z	14.263	2.005	10.983	14.308	17.711	2.759	0
onepart	block_trough	0.000	0.000	0.000	0.000	0.000	0.071	100
onepart	block_pair_min	21.350	2.949	16	21	27	4	0
onepart	freqpos_jsd	0.019	0.006	0.010	0.019	0.028	0.020	63
onepart	onepart_dist	0.311	0.066	0.212	0.310	0.418	0.417	93
onepart	digit_order_rho	-0.331	0.222	-0.700	-0.317	0.050	0.400	100
onepart	digits23_share	0.166	0.022	0.137	0.170	0.202	0.083	0
onepart	top10_share	0.266	0.026	0.228	0.268	0.317	0.203	0
onepart	top10_pos_sd	0.290	0.036	0.225	0.295	0.340	0.283	40
onepart	gap_median	497.650	42.114	431	503	566	544	84
onepart	gap_median_shuffled	496.417	35.925	432	494	555	536	86
onepart	gap_small_frac	0.021	0.009	0.008	0.019	0.038	0.024	71
onepart	gap_small_frac_shuffled	0.028	0.009	0.014	0.027	0.046	0.038	89
twopart	N	369.000	0.000	369	369	369	369	50
twopart	D	189.483	14.788	164	193	212	216	98
twopart	D/N	0.514	0.040	0.444	0.523	0.575	0.585	98
twopart	low_share	0.055	0.023	0.027	0.049	0.095	0.358	100
twopart	low_distinct	11.183	3.003	7	11	17	48	100
twopart	hi_distinct	178.300	14.397	153	180	201	168	25
twopart	units_top1	0.165	0.019	0.139	0.160	0.207	0.388	100
twopart	units_top2	0.302	0.027	0.268	0.300	0.356	0.586	100
twopart	units_H	3.238	0.033	3.177	3.239	3.291	2.572	0
twopart	units_digit0_share	0.096	0.027	0.056	0.094	0.142	0.388	100
twopart	decades_occupied	107.383	5.992	96	109	116	99	9
twopart	decade_multi_frac	0.471	0.051	0.379	0.482	0.534	0.455	32
twopart	variants_per_decade	1.660	0.087	1.509	1.667	1.815	1.697	68
twopart	decade_units_modal	0.693	0.038	0.626	0.693	0.768	0.570	0
twopart	decade_units_null	0.377	0.008	0.364	0.377	0.390	0.501	100
twopart	decade_units_z	16.349	2.513	12.236	15.950	21.542	2.759	0
twopart	block_trough	0.008	0.026	0.000	0.000	0.059	0.071	97
twopart	block_pair_min	18.533	6.254	9	18	29	4	1
twopart	freqpos_jsd	0.022	0.008	0.011	0.021	0.039	0.020	45
twopart	onepart_dist	0.368	0.090	0.225	0.379	0.534	0.417	70
twopart	digit_order_rho	0.114	0.390	-0.583	0.100	0.717	0.400	69
twopart	digits23_share	0.236	0.060	0.143	0.228	0.352	0.083	0
twopart	top10_share	0.274	0.035	0.228	0.271	0.328	0.203	0
twopart	top10_pos_sd	0.256	0.051	0.173	0.262	0.333	0.283	70
twopart	gap_median	460.050	43.205	390	462	517	544	97
twopart	gap_median_shuffled	458.767	37.745	402	451	534	536	97
twopart	gap_small_frac	0.014	0.006	0.005	0.014	0.024	0.024	93
twopart	gap_small_frac_shuffled	0.023	0.008	0.011	0.022	0.035	0.038	98
the972_partial	N	369.000	0.000	369	369	369	369	50
the972_partial	D	168.517	8.523	154	169	186	216	100
the972_partial	D/N	0.457	0.023	0.417	0.458	0.504	0.585	100
the972_partial	low_share	0.004	0.003	0.000	0.003	0.011	0.358	100
the972_partial	low_distinct	1.250	0.994	0	1	3	48	100
the972_partial	hi_distinct	167.267	8.559	154	168	185	168	52
the972_partial	units_top1	0.174	0.019	0.148	0.174	0.207	0.388	100
the972_partial	units_top2	0.317	0.025	0.284	0.320	0.369	0.586	100
the972_partial	units_H	3.229	0.028	3.186	3.231	3.273	2.572	0
the972_partial	units_digit0_share	0.103	0.017	0.074	0.104	0.130	0.388	100
the972_partial	decades_occupied	100.683	4.849	92	101	111	99	31
the972_partial	decade_multi_frac	0.456	0.043	0.376	0.460	0.533	0.455	47
the972_partial	variants_per_decade	1.662	0.064	1.555	1.663	1.753	1.697	69
the972_partial	decade_units_modal	0.719	0.027	0.663	0.722	0.765	0.570	0
the972_partial	decade_units_null	0.367	0.008	0.353	0.367	0.381	0.501	100
the972_partial	decade_units_z	19.624	2.220	16.260	19.313	23.596	2.759	0
the972_partial	block_trough	0.052	0.043	0.000	0.045	0.130	0.071	68
the972_partial	block_pair_min	10.767	3.041	6	10	16	4	0
the972_partial	freqpos_jsd	0.023	0.005	0.016	0.022	0.034	0.020	27
the972_partial	onepart_dist	0.358	0.047	0.282	0.358	0.444	0.417	92
the972_partial	digit_order_rho	0.581	0.137	0.333	0.583	0.800	0.400	8
the972_partial	digits23_share	0.233	0.024	0.204	0.233	0.283	0.083	0
the972_partial	top10_share	0.256	0.020	0.228	0.252	0.295	0.203	0
the972_partial	top10_pos_sd	0.145	0.030	0.106	0.145	0.192	0.283	100
the972_partial	gap_median	356.017	24.555	313	359	392	544	100
the972_partial	gap_median_shuffled	353.550	18.950	323	354	382	536	100
the972_partial	gap_small_frac	0.026	0.008	0.016	0.024	0.043	0.024	48
the972_partial	gap_small_frac_shuffled	0.027	0.008	0.014	0.027	0.041	0.038	92
hdec	N	369.000	0.000	369	369	369	369	50
hdec	D	116.733	8.163	103	117	129	216	100
hdec	D/N	0.316	0.022	0.279	0.317	0.350	0.585	100
hdec	low_share	0.809	0.024	0.767	0.813	0.848	0.358	0
hdec	low_distinct	64.433	4.766	56	65	72	48	0
hdec	hi_distinct	52.300	5.713	44	52	64	168	100
hdec	units_top1	0.762	0.049	0.667	0.762	0.838	0.388	0
hdec	units_top2	0.902	0.040	0.839	0.906	0.968	0.586	0
hdec	units_H	1.168	0.199	0.921	1.137	1.565	2.572	100
hdec	units_digit0_share	0.762	0.049	0.667	0.762	0.838	0.388	0
hdec	decades_occupied	49.667	5.579	41	50	60	99	100
hdec	decade_multi_frac	0.053	0.031	0.015	0.055	0.118	0.455	100
hdec	variants_per_decade	1.054	0.031	1.015	1.055	1.118	1.697	100
hdec	decade_units_modal	0.898	0.114	0.667	0.917	1.000	0.570	2
hdec	decade_units_null	0.780	0.043	0.695	0.784	0.844	0.501	0
hdec	decade_units_z	1.280	1.096	-0.858	1.458	3.197	2.759	92
hdec	block_trough	0.000	0.000	0.000	0.000	0.000	0.071	100
hdec	block_pair_min	1.617	0.968	0	2	3	4	99
hdec	freqpos_jsd	0.060	0.010	0.049	0.058	0.080	0.020	0
hdec	onepart_dist	0.425	0.009	0.422	0.427	0.428	0.417	2
hdec	digit_order_rho	0.861	0.161	0.550	0.917	1.000	0.400	5
hdec	digits23_share	0.244	0.135	0.059	0.214	0.556	0.083	7
hdec	top10_share	0.448	0.036	0.388	0.453	0.504	0.203	0
hdec	top10_pos_sd	0.012	0.028	0.002	0.004	0.103	0.283	100
hdec	gap_median	44.283	10.047	30	44	60	544	100
hdec	gap_median_shuffled	40.633	7.971	29	40	57	536	100
