line	pos	sign	value	grade
821.01	1	w:Gustaf	Gustaf	clear
821.01	2	w:Adolph	Adolph	clear
821.01	3	w:etc	etc	clear
821.01	4	w:Vår	Vår	clear
821.01	5	w:synnerlige	synnerlige	clear
821.01	6	w:etc	etc	clear
821.01	7	w:Effter	Effter	clear
821.01	8	w:dett	dett	clear
821.01	9	w:her	her	clear
821.02	10	w:Cantzler	Cantzler	clear
821.02	11	w:oss	oss	clear
821.02	12	w:ligger	ligger	clear
821.02	13	w:macht	macht	clear
821.02	14	w:opå	opå	clear
821.02	15	w:dett	dett	clear
821.02	16	w:vij	vij	clear
821.02	17	w:måge	måge	clear
821.02	18	w:icke	icke	clear
821.02	19	w:mindre	mindre	clear
821.02	20	71	b	S
821.02	21	72	a	S
821.03	22	73	a	S
821.03	23	44	k	S
821.03	24	24	e	S
821.03	25	23	f	S
821.03	26	81	t	S
821.03	27	26	e	S
821.03	28	31	r	S
821.03	29	65	o	S
821.03	30	17	s	S
821.03	31	16	s	S
821.03	32	w:i	i	clear
821.03	33	w:ett	ett	clear
821.03	34	75	g	S
821.03	35	65	o	S
821.03	36	47	d	S
821.03	37	81	t	S
821.03	38	54	p	S
821.03	39	65	o	S
821.03	40	17	s	S
821.03	41	51	i	S
821.04	42	82	t	S
821.04	43	26	e	S
821.04	44	62	u	S
821.04	45	32	r	S
821.04	46	w:än	än	clear
821.04	47	w:här	här	clear
821.04	48	w:oppe	oppe	clear
821.04	49	w:Så	Så	clear
821.04	50	w:är	är	clear
821.04	51	w:fördenskuld	fördenskuld	clear
821.04	52	w:vår	vår	clear
821.04	53	w:nådigeste	nådigeste	clear
821.04	54	w:vilie	vilie	clear
821.05	55	w:dett	dett	clear
821.05	56	w:I	I	clear
821.05	57	w:correspondere	correspondere	clear
821.05	58	w:medh	medh	clear
821.05	59	w:her	her	clear
821.05	60	17	s	S
821.05	61	81	t	S
821.05	62	26	e	S
821.05	63	24	e	S
821.05	64	8	f	M
821.05	65	96	f	M
821.05	66	99	a	M
821.05	67	205	?	U
821.05	68	70	b	M
821.05	69	51	i	S
821.06	70	26	e	S
821.06	71	27	l	S
821.06	72	44	k	S
821.06	73	26	e	S
821.06	74	w:dett	dett	clear
821.06	75	w:han	han	clear
821.06	76	w:medh	medh	clear
821.06	77	w:all	all	clear
821.06	78	w:macht	macht	clear
821.06	79	w:drifver	drifver	clear
821.06	80	w:opå	opå	clear
821.06	81	w:dett	dett	clear
821.06	82	3782	?	U
821.07	83	w:som	som	clear
821.07	84	w:han	han	clear
821.07	85	w:hafver	hafver	clear
821.07	86	w:utdelt	utdelt	clear
821.07	87	w:måge	måge	clear
821.07	88	w:komma	komma	clear
821.07	89	61	o	M
821.07	90	54	p	S
821.07	91	55	a	M
821.07	92	20	m	S
821.07	93	26	e	S
821.07	94	47	d	S
821.07	95	81	t	S
821.07	96	66	h	S
821.08	97	26	e	S
821.08	98	82	t	S
821.08	99	72	a	S
