position	line	class	raw	normalized	doubt
1	39873	CLEAR	Gustaf	Gustaf	
2	39873	CLEAR	Adolph	Adolph	
3	39873	CLEAR	etc.	etc.	
4	39873	CLEAR	Vår	Vår	
5	39873	CLEAR	synnerlige	synnerlige	
6	39873	CLEAR	etc.	etc.	
7	39873	CLEAR	Effter	Effter	
8	39873	CLEAR	dett,	dett,	
9	39873	CLEAR	her	her	
10	39874	CLEAR	Cantzler,	Cantzler,	
11	39874	CLEAR	oss	oss	
12	39874	CLEAR	ligger	ligger	
13	39874	CLEAR	macht	macht	
14	39874	CLEAR	opå,	opå,	
15	39874	CLEAR	dett	dett	
16	39874	CLEAR	vij	vij	
17	39874	CLEAR	mage	mage	
18	39874	CLEAR	icke	icke	
19	39874	CLEAR	mindre	mindre	
20	39874	CIPHER	71	71	
21	39874	CIPHER	72	72	
22	39875	CIPHER	73	73	
23	39875	CIPHER	44	44	
24	39875	CIPHER	24	24	
25	39875	CIPHER	23	23	
26	39875	CIPHER	81	81	
27	39875	CIPHER	26	26	
28	39875	CIPHER	31	31	
29	39875	CIPHER	65	65	
30	39875	CIPHER	17	17	
31	39875	CIPHER	16	16	
32	39875	CLEAR	i	i	
33	39875	CLEAR	ett	ett	
34	39875	CIPHER	75	75	
35	39875	CIPHER	65	65	
36	39875	CIPHER	47	47	
37	39875	CIPHER	81	81	
38	39875	CIPHER	54	54	
39	39875	CIPHER	65	65	
40	39875	CIPHER	17	17	
41	39875	CIPHER	51	51	
42	39876	CIPHER	82	82	
43	39876	CIPHER	26	26	
44	39876	CIPHER	62	62	
45	39876	CIPHER	32	32	
46	39876	CLEAR	än	än	
47	39876	CLEAR	här	här	
48	39876	CLEAR	oppe.	oppe.	
49	39876	CLEAR	Så	Så	
50	39876	CLEAR	är	är	
51	39876	CLEAR	fördenskuld	fördenskuld	
52	39876	CLEAR	vår	vår	
53	39876	CLEAR	nådigeste	nådigeste	
54	39876	CLEAR	vilie,	vilie,	
55	39877	CLEAR	dett	dett	
56	39877	CLEAR	I	I	
57	39877	CLEAR	correspondere	correspondere	
58	39877	CLEAR	medh	medh	
59	39877	CLEAR	her	her	
60	39877	CIPHER	17	17	
61	39877	CIPHER	81	81	
62	39877	CLEAR	26.24	26.24	[?]MERGED
63	39877	CIPHER	8	8	
64	39877	CIPHER	96	96	
65	39877	CIPHER	99	99	
66	39877	CIPHER	205	205	
67	39877	CIPHER	70	70	
68	39877	CIPHER	51	51	
69	39878	CIPHER	26	26	
70	39878	CIPHER	27	27	
71	39878	CIPHER	44	44	
72	39878	CIPHER	26	26	
73	39878	CLEAR	dett	dett	
74	39878	CLEAR	han	han	
75	39878	CLEAR	medh	medh	
76	39878	CLEAR	all	all	
77	39878	CLEAR	macht	macht	
78	39878	CLEAR	drifver	drifver	
79	39878	CLEAR	opå,	opå,	
80	39878	CLEAR	dett	dett	
81	39878	CIPHER	3782	3782	
82	39879	CLEAR	Bom	Bom	
83	39879	CLEAR	han	han	
84	39879	CLEAR	hafver	hafver	
85	39879	CLEAR	utdelt,	utdelt,	
86	39879	CLEAR	mage	mage	
87	39879	CLEAR	komma	komma	
88	39879	CIPHER	61	61	
89	39879	CIPHER	54	54	
90	39879	CIPHER	55	55	
91	39879	CIPHER	20	20	
92	39879	CIPHER	26	26	
93	39879	CIPHER	47	47	
94	39879	CIPHER	81	81	
95	39879	CIPHER	66	66	
96	39880	CIPHER	26	26	
97	39880	CIPHER	82	82	
98	39880	CIPHER	72	72	
99	39880	CIPHER	27	27	
100	39880	CIPHER	47	47	
101	39880	CIPHER	31	31	
102	39880	CIPHER	26	26	
103	39880	CIPHER	23	23	
104	39880	CIPHER	65"	65	[?]
105	39880	CIPHER	32	32	
106	39880	CIPHER	17	17	
107	39880	CIPHER	82	82	
108	39880	CIPHER	25.	25	
109	39880	CLEAR	Såsom	Såsom	
110	39880	CLEAR	ock,	ock,	
111	39880	CLEAR	att	att	
112	39881	CIPHER	1838	1838	
113	39881	CLEAR	hafve	hafve	
114	39881	CIPHER	68	68	
115	39881	CIPHER	57	57	
116	39881	CIPHER	72	72	
117	39881	CIPHER	32	32	
118	39881	CIPHER	47	47	
119	39881	CIPHER	26	26	
120	39881	CIPHER	32	32	
121	39881	CIPHER	72	72	
122	39881	CIPHER	26	26	
123	39881	CIPHER	81	81	
124	39881	CIPHER	2923	2923	
125	39881	CLEAR	complett.	complett.	
126	39881	CLEAR	I	I	
127	39882	CLEAR	vele	vele	
128	39882	CLEAR	och	och	
129	39882	CLEAR	desslikest	desslikest	
130	39882	CIPHER	72	72	
131	39882	CIPHER	80	80	
132	39882	CIPHER	66	66	
133	39882	CIPHER	65	65	
134	39882	CIPHER	27	27	
135	39882	CIPHER	29	29	
136	39882	CIPHER	72	72	
137	39882	CIPHER	68	68	
138	39882	CIPHER	63	63	
139	39882	CIPHER	64	64	
140	39882	CIPHER	17	17	
141	39882	CIPHER	753	753	
142	39883	CIPHER	65	65	
143	39883	CIPHER	20	20	
144	39883	CIPHER	27	27	
145	39883	CIPHER	65"	65	[?]
146	39883	CIPHER	54	54	
147	39883	CIPHER	55	55	
148	39883	CIPHER	28	28	
149	39883	CIPHER	72	72	
150	39883	CIPHER	81	81	
151	39883	CIPHER	13	13	
152	39883	CLEAR	W	W	[?]SYM
