line	pos	token	conf
821.01	1	w:Gustaf	
821.01	2	w:Adolph	
821.01	3	w:etc	
821.01	4	w:Vår	
821.01	5	w:synnerlige	
821.01	6	w:etc	
821.01	7	w:Effter	
821.01	8	w:dett	
821.01	9	w:her	
821.02	10	w:Cantzler	
821.02	11	w:oss	
821.02	12	w:ligger	
821.02	13	w:macht	
821.02	14	w:opå	
821.02	15	w:dett	
821.02	16	w:vij	
821.02	17	w:måge	
821.02	18	w:icke	
821.02	19	w:mindre	
821.02	20	71	
821.02	21	72	
821.03	22	73	
821.03	23	44	
821.03	24	24	
821.03	25	23	
821.03	26	81	
821.03	27	26	
821.03	28	31	
821.03	29	65	
821.03	30	17	
821.03	31	16	
821.03	32	w:i	
821.03	33	w:ett	
821.03	34	75	
821.03	35	65	
821.03	36	47	
821.03	37	81	
821.03	38	54	
821.03	39	65	
821.03	40	17	
821.03	41	51	
821.04	42	82	
821.04	43	26	
821.04	44	62	
821.04	45	32	
821.04	46	w:än	
821.04	47	w:här	
821.04	48	w:oppe	
821.04	49	w:Så	
821.04	50	w:är	
821.04	51	w:fördenskuld	
821.04	52	w:vår	
821.04	53	w:nådigeste	
821.04	54	w:vilie	
821.05	55	w:dett	
821.05	56	w:I	
821.05	57	w:correspondere	
821.05	58	w:medh	
821.05	59	w:her	
821.05	60	17	
821.05	61	81	
821.05	62	26	
821.05	63	24	
821.05	64	8	
821.05	65	96	
821.05	66	99	
821.05	67	205	
821.05	68	70	
821.05	69	51	
821.06	70	26	
821.06	71	27	
821.06	72	44	
821.06	73	26	
821.06	74	w:dett	
821.06	75	w:han	
821.06	76	w:medh	
821.06	77	w:all	
821.06	78	w:macht	
821.06	79	w:drifver	
821.06	80	w:opå	
821.06	81	w:dett	
821.06	82	3782	
821.07	83	w:som	
821.07	84	w:han	
821.07	85	w:hafver	
821.07	86	w:utdelt	
821.07	87	w:måge	
821.07	88	w:komma	
821.07	89	61	
821.07	90	54	
821.07	91	55	
821.07	92	20	
821.07	93	26	
821.07	94	47	
821.07	95	81	
821.07	96	66	
821.08	97	26	
821.08	98	82	
821.08	99	72	
821.08	100	27	
821.08	101	47	
821.08	102	31	
821.08	103	26	
821.08	104	23	
821.08	105	65''	
821.08	106	32	
821.08	107	17	
821.08	108	82	
821.08	109	25	
821.08	110	w:Såsom	
821.08	111	w:ock	
821.08	112	w:att	
821.09	113	1838	
821.09	114	w:hafve	
821.09	115	68	
821.09	116	57	
821.09	117	72	
821.09	118	32	
821.09	119	47	
821.09	120	26	
821.09	121	32	
821.09	122	72	
821.09	123	26	
821.09	124	81	
821.09	125	2923	
821.09	126	w:complett	
821.09	127	w:I	
821.10	128	w:vele	
821.10	129	w:och	
821.10	130	w:desslikest	
821.10	131	72	
821.10	132	80	
821.10	133	66	
821.10	134	65	
821.10	135	27	
821.10	136	29	
821.10	137	72	
821.10	138	68	
821.10	139	63	
821.10	140	64	
821.10	141	17	
821.10	142	753	
821.11	143	65	
821.11	144	20	
821.11	145	27	
821.11	146	65''	
821.11	147	54	
821.11	148	55	
821.11	149	28	
821.11	150	72	
821.11	151	81	
821.11	152	13	
821.11	153	W	
821.11	154	W	
821.11	155	3594	
821.11	156	2929	
821.11	157	w:Och	
821.12	158	w:der	
821.12	159	w:I	
821.12	160	w:kunde	
821.12	161	20	
821.12	162	51	
821.12	163	17	
821.12	164	82	
821.12	165	73	
821.12	166	71	
821.12	167	65	
821.12	168	26	
821.12	169	81	
821.12	170	51	
821.12	171	62	
821.12	172	20	
821.12	173	w:eller	
821.13	174	w:någen	
821.13	175	72	
821.13	176	80	
821.13	177	80	
821.13	178	26	
821.13	179	78	
821.13	180	75	
821.13	181	65	
821.13	182	47	
821.13	183	65	
821.13	184	22	
821.13	185	23	
821.13	186	51	
821.13	187	48	
821.13	188	26	
821.13	189	32	
821.13	190	25	
821.13	191	31	
821.13	192	24	
821.14	193	17	
821.14	194	65	
821.14	195	20	
821.14	196	47	
821.14	197	31	
821.14	198	65	
821.14	199	75	
821.14	200	26	
821.14	201	47	
821.14	202	5152	
821.14	203	81	
821.14	204	78	
821.14	205	24	
821.14	206	47	
821.14	207	26	
821.14	208	31	
821.14	209	w:såge	
821.14	210	w:vij	
821.15	211	w:dett	
821.15	212	w:ganska	
821.15	213	w:gerna	
821.15	214	w:hvilken	
821.15	215	w:kunde	
821.15	216	w:der	
821.15	217	w:sammestädes	
821.15	218	w:drifva	
821.15	219	w:opå	
821.16	220	3782	
821.16	221	w:och	
821.16	222	w:sambla	
821.16	223	78	
821.16	224	64	
821.16	225	75	
821.16	226	32	
821.16	227	24	
821.16	228	3412	
821.16	229	w:både	
821.16	230	w:till	
821.16	231	w:att	
821.16	232	23	
821.16	233	65''	
821.16	234	27	
822.01	235	51	
822.01	236	73	
822.01	237	1814	
822.01	238	54	
822.01	239	72°	
822.01	240	23	
822.01	241	65	
822.01	242	81	
822.01	243	26	
822.01	244	80	
822.01	245	w:så	
822.01	246	w:vel	
822.01	247	w:som	
822.01	248	w:till	
822.01	249	w:att	
822.01	250	32	
822.01	251	26	
822.01	252	17	
822.02	253	51	
822.02	254	16	
822.02	255	82	
822.02	256	24	
822.02	257	31	
822.02	258	73	
822.02	259	w:hvadh	
822.02	260	w:som	
822.02	261	w:uhr	
822.02	262	3105	
822.02	263	54	
822.02	264	72°	
822.02	265	44	
822.02	266	65	
822.02	267	20	
822.02	268	19	
822.03	269	73	
822.03	270	44	
822.03	271	72	
822.03	272	80	
822.03	273	w:der	
822.03	274	w:om	
822.03	275	w:I	
822.03	276	w:flijt	
822.03	277	w:göra	
822.03	278	w:vele	
822.03	279	w:Elliest	
822.03	280	w:begäre	
822.03	281	w:vij	
822.03	282	w:ock	
822.04	283	w:nådigest	
822.04	284	w:att	
822.04	285	w:emedan	
822.04	286	w:vij	
822.04	287	w:förmode	
822.04	288	26	
822.04	289	47	
822.04	290	24	
822.04	291	31	
822.04	292	80	
822.04	293	62	
822.04	294	20	
822.04	295	26	
822.05	296	32	
822.05	297	73	
822.05	298	1753	
822.05	299	198	
822.05	300	3412	
822.05	301	81	
822.05	302	51	
822.05	303	27	
822.05	304	17	
822.05	305	72	
822.05	306	20	
822.05	307	73	
822.05	308	78	
822.05	309	w:och	
822.05	310	w:att	
822.05	311	mm	
822.06	312	26	
822.06	313	80	
822.06	314	307	
822.06	315	w:göra	
822.06	316	w:skole	
822.06	317	w:som	
822.06	318	w:medh	
822.06	319	w:Gudz	
822.06	320	w:hielp	
822.06	321	w:skall	
822.06	322	w:kunna	
822.06	323	w:pas-	
822.07	324	w:sera	
822.07	325	w:dett	
822.07	326	w:I	
822.07	327	57	
822.07	328	26	
822.07	329	27	
822.07	330	24	
822.07	331	72	
822.07	332	58	
822.07	333	73	
822.07	334	80	
822.07	335	48	
822.07	336	26	
822.07	337	32	
822.07	338	73	
822.07	339	99	
822.07	340	100	
822.07	341	47	
822.08	342	26	
822.08	343	81	
822.08	344	80	
822.08	345	26	
822.08	346	32	
822.08	347	20	
822.08	348	24	
822.08	349	17	
822.08	350	81	
822.08	351	24	
822.08	352	r	
822.08	353	44	
822.08	354	62	
822.08	355	80	
822.08	356	78	
822.08	357	24	
822.08	358	rr	
822.08	359	1538	
822.08	360	1328	
822.09	361	nn	
822.09	362	w:när	
822.09	363	0	
822.09	364	57	
822.09	365	51	
822.09	366	52	
822.09	367	44	
822.09	368	62	
822.09	369	80	
822.09	370	78	
822.09	371	26	
822.09	372	H	
822.09	373	1103	
822.09	374	47	
822.09	375	72	
822.09	376	75	
822.09	377	66	
822.09	378	3942	
822.10	379	w:Doch	
822.10	380	w:begäre	
822.10	381	w:vij	
822.10	382	w:nådigest	
822.10	383	w:att	
822.10	384	r	
822.10	385	W	
822.10	386	W	
822.10	387	72	
822.10	388	28	
822.10	389	27	
822.10	390	81	
822.10	391	51	
822.10	392	80	
822.10	393	75	
822.11	394	1538	
822.11	395	27	
822.11	396	65	
822.11	397	80	
822.11	398	75	
822.11	399	17	
822.11	400	72	
822.11	401	20	
822.11	402	54	
822.11	403	81	
822.11	404	rr	
822.11	405	3186	
822.11	406	w:och	
822.11	407	w:bruka	
822.11	408	w:dett	
822.11	409	20	
822.12	410	26	
822.12	411	47	
822.12	412	26	
822.12	413	28	
822.12	414	17	
822.12	415	65	
822.12	416	20	
822.12	417	57	
822.12	418	51	
822.12	419	52	
822.12	420	w:giorde	
822.12	421	57	
822.12	422	51	
822.12	423	47	
822.12	424	20	
822.12	425	51	
822.12	426	81	
822.12	427	65	
822.13	428	57	
822.13	429	w:Nembligen	
822.13	430	w:att	
822.13	431	r	
822.13	432	ee	
822.13	433	1538	
822.13	434	62	
822.13	435	66	
822.13	436	32	
822.13	437	47	
822.13	438	26	
822.13	439	81	
822.13	440	26	
822.13	441	80	
822.13	442	72	
822.13	443	32	
822.14	444	26	
822.14	445	81	
822.14	446	31	
822.14	447	73	
822.14	448	80	
822.14	449	48	
822.14	450	66	
822.14	451	26	
822.14	452	32	
822.14	453	24	
822.14	454	47	
822.14	455	25	
822.14	456	2162	
822.14	457	w:för	
822.14	458	w:än	
822.14	459	r	
822.14	460	57	
822.14	461	26	
822.14	462	82	
822.15	463	72	
822.15	464	66	
822.15	465	57	
822.15	466	73	
822.15	467	32	
822.15	468	r	
822.15	469	44	
822.15	470	62	
822.15	471	80	
822.15	472	80	
822.15	473	26	
822.15	474	72	
822.15	475	80	
822.15	476	81	
822.15	477	32	
822.15	478	26	
822.15	479	23	
822.15	480	22	
822.15	481	73	
822.15	482	26	
822.16	483	78	
822.16	484	65	
822.16	485	32	
822.16	486	83	
822.16	487	w:der	
822.16	488	r	
822.16	489	72°	
822.16	490	81	
822.16	491	26	
822.16	492	32	
822.16	493	t	
822.16	494	26	
822.16	495	80	
822.16	496	66	
822.16	497	72	
822.16	498	17	
822.16	499	82	
822.16	500	w:när	
822.16	501	r	
822.16	502	47	
822.17	503	26	
822.17	504	32	
822.17	505	72	
822.17	506	80	
822.17	507	27	
822.17	508	26	
822.17	509	80	
822.17	510	47	
822.17	511	26	
822.17	512	26	
822.17	513	47	
822.17	514	26	
822.17	515	32	
822.17	516	31	
822.17	517	24	
822.17	518	81	
822.17	519	32	
822.17	520	73	
822.17	521	80	
822.18	522	50	
822.18	523	66	
822.18	524	26	
822.18	525	31	
822.18	526	73	
822.18	527	44	
822.18	528	62	
822.18	529	80	
822.18	530	78	
822.18	531	25	
822.18	532	w:helst	
822.18	533	w:medan	
822.18	534	w:den	
822.18	535	w:landzorten	
822.18	536	n	
822.19	537	r	
822.19	538	gg	
822.19	539	ll	
822.19	540	72	
822.19	541	28	
822.19	542	27	
822.19	543	26	
822.19	544	17	
822.19	545	18	
822.19	546	26	
822.19	547	47	
822.19	548	26	
822.19	549	17	
822.19	550	w:är	
822.19	551	w:medh	
822.19	552	66	
822.19	553	33	
822.19	554	75	
822.19	555	28	
822.20	556	72	
822.20	557	31	
822.20	558	71	
822.20	559	26	
822.20	560	57	
822.20	561	62	
822.20	562	38	
822.20	563	26	
822.20	564	80	
822.20	565	w:så	
822.20	566	w:att	
822.20	567	r	
822.20	568	ee	
822.20	569	w:behöfve	
822.20	570	w:till	
822.20	571	w:att	
822.20	572	32	
822.20	573	26	
822.21	574	18	
822.21	575	31	
822.21	576	72	
822.21	577	80	
822.21	578	49	
822.21	579	66	
822.21	580	26	
822.21	581	32	
822.21	582	72	
822.21	583	26	
822.21	584	4	
822.21	585	25	
822.21	586	32	
822.21	587	w:allestädes	
822.21	588	32	
822.21	589	62	
822.21	590	80	
822.21	591	47	
822.22	592	18	
822.22	593	65	
822.22	594	20	
822.22	595	44	
822.22	596	32	
822.22	597	51	
822.22	598	80	
822.22	599	75	
822.22	600	w:uthan	
822.22	601	w:bruka	
822.22	602	17	
822.22	603	72	
822.22	604	20	
822.22	605	19	
822.22	606	73	
822.22	607	66	
822.22	608	35	
822.23	609	75	
822.23	610	28	
822.23	611	73	
822.23	612	31	
822.23	613	26	
822.23	614	47	
822.23	615	26	
822.23	616	31	
822.23	617	81	
822.23	618	51	
822.23	619	28	
822.23	620	27	
822.23	621	22	
822.23	622	65	
822.23	623	32	
822.23	624	47	
822.23	625	26	
822.23	626	24	
822.23	627	28	
822.23	628	rr	
822.24	629	32	
822.24	630	81	
822.24	631	32	
822.24	632	72	
822.24	633	80	
822.24	634	50	
822.24	635	66	
822.24	636	24	
822.24	637	19	
822.24	638	25	
822.24	639	78	
822.24	640	83	
822.24	641	w:Corresponderer	
822.24	642	65	
822.24	643	50	
822.25	644	66	
822.25	645	23	
822.25	646	28	
822.25	647	51	
822.25	648	81	
822.25	649	52	
822.25	650	75	
822.25	651	83	
822.25	652	20	
822.25	653	26	
822.25	654	47	
822.25	655	66	
822.25	656	26	
822.25	657	32	
822.25	658	53	
822.25	659	72	
822.25	660	68	
822.25	661	73	
822.25	662	78	
822.26	663	70	
822.26	664	72	
822.26	665	78	
822.26	666	26	
822.26	667	32	
822.26	668	w:och	
822.26	669	w:befliter	
822.26	670	w:eder	
822.26	671	w:till	
822.26	672	w:att	
822.26	673	44	
822.26	674	62	
822.26	675	80	
822.26	676	47	
822.26	677	75	
822.26	678	65	
822.26	679	32	
822.27	680	72	
822.27	681	65	
822.27	682	17	
822.27	683	16	
822.27	684	w:hvadh	
822.27	685	26	
822.27	686	47	
822.27	687	26	
822.27	688	32	
822.27	689	28	
822.27	690	51	
822.27	691	47	
822.27	692	25	
822.27	693	32	
822.27	694	72	
822.27	695	82	
822.27	696	81	
822.27	697	57	
822.28	698	51	
822.28	699	57	
822.28	700	w:kunne	
822.28	701	995	
822.28	702	17	
822.28	703	72	
822.28	704	44	
822.28	705	26	
822.28	706	31	
822.28	707	80	
822.28	708	78	
822.28	709	24	
822.28	710	47	
822.28	711	26	
822.28	712	32	
822.28	713	26	
822.28	714	22	
822.28	715	81	
822.29	716	24	
822.29	717	31	
822.29	718	w:Vij	
822.29	719	w:låte	
822.29	720	w:eder	
822.29	721	w:ock	
822.29	722	w:nådigest	
822.29	723	w:förnimma	
822.29	724	w:dett	
822.29	725	17	
822.29	726	54	
822.29	727	72	
822.29	728	32	
822.30	729	30	
822.30	730	u	
822.30	731	gg	
822.30	732	17	
822.30	733	81	
822.30	734	65''	
822.30	735	81	
822.30	736	82	
822.30	737	d	
822.30	738	9	
822.30	739	1328	
822.30	740	aa	
822.30	741	3965	
822.30	742	3328	
822.30	743	3927	
