pos	page_line	class	raw	value	mark	grade	change_from_ocr
1	821.01	CLEAR	Gustaf	Gustaf		H	
2	821.01	CLEAR	Adolph	Adolph		H	
3	821.01	CLEAR	etc.	etc		H	
4	821.01	CLEAR	Vår	Vår		H	
5	821.01	CLEAR	synnerlige	synnerlige		H	
6	821.01	CLEAR	etc.	etc		H	
7	821.01	CLEAR	Effter	Effter		H	
8	821.01	CLEAR	dett,	dett		H	
9	821.01	CLEAR	her	her		H	
10	821.02	CLEAR	Cantzler,	Cantzler		H	
11	821.02	CLEAR	oss	oss		H	
12	821.02	CLEAR	ligger	ligger		H	
13	821.02	CLEAR	macht	macht		H	
14	821.02	CLEAR	opå,	opå		H	
15	821.02	CLEAR	dett	dett		H	
16	821.02	CLEAR	vij	vij		H	
17	821.02	CLEAR	måge	måge		H	replace: OCR 'mage'
18	821.02	CLEAR	icke	icke		H	
19	821.02	CLEAR	mindre	mindre		H	
20	821.02	NUM	71	71		H	
21	821.02	NUM	72	72		H	
22	821.03	NUM	73	73		H	
23	821.03	NUM	44	44		H	
24	821.03	NUM	24	24		H	
25	821.03	NUM	23	23		H	
26	821.03	NUM	81	81		H	
27	821.03	NUM	26	26		H	
28	821.03	NUM	31	31		H	
29	821.03	NUM	65	65		H	
30	821.03	NUM	17	17		H	
31	821.03	NUM	16	16		H	
32	821.03	CLEAR	i	i		H	
33	821.03	CLEAR	ett	ett		H	
34	821.03	NUM	75	75		H	
35	821.03	NUM	65	65		H	
36	821.03	NUM	47	47		H	
37	821.03	NUM	81	81		H	
38	821.03	NUM	54	54		H	
39	821.03	NUM	65	65		H	
40	821.03	NUM	17	17		H	
41	821.03	NUM	51	51		H	
42	821.04	NUM	82	82		H	
43	821.04	NUM	26	26		H	
44	821.04	NUM	62	62		H	
45	821.04	NUM	32	32		H	
46	821.04	CLEAR	än	än		H	
47	821.04	CLEAR	här	här		H	
48	821.04	CLEAR	oppe.	oppe		H	
49	821.04	CLEAR	Så	Så		H	
50	821.04	CLEAR	är	är		H	
51	821.04	CLEAR	fördenskuld	fördenskuld		H	
52	821.04	CLEAR	vår	vår		H	
53	821.04	CLEAR	nådigeste	nådigeste		H	
54	821.04	CLEAR	vilie,	vilie		H	
55	821.05	CLEAR	dett	dett		H	
56	821.05	CLEAR	I	I		H	
57	821.05	CLEAR	correspondere	correspondere		H	
58	821.05	CLEAR	medh	medh		H	
59	821.05	CLEAR	her	her		H	
60	821.05	NUM	17	17		H	
61	821.05	NUM	81	81		H	
62	821.05	NUM	26	26		H	replace: OCR '26.24'
63	821.05	NUM	24	24		H	replace: OCR '26.24'
64	821.05	NUM	8	8		H	
65	821.05	NUM	96	96		H	
66	821.05	NUM	99	99		H	
67	821.05	NUM	205	205		H	
68	821.05	NUM	70	70		H	
69	821.05	NUM	51	51		H	
70	821.06	NUM	26	26		H	
71	821.06	NUM	27	27		H	
72	821.06	NUM	44	44		H	
73	821.06	NUM	26	26		H	
74	821.06	CLEAR	dett	dett		H	
75	821.06	CLEAR	han	han		H	
76	821.06	CLEAR	medh	medh		H	
77	821.06	CLEAR	all	all		H	
78	821.06	CLEAR	macht	macht		H	
79	821.06	CLEAR	drifver	drifver		H	
80	821.06	CLEAR	opå,	opå		H	
81	821.06	CLEAR	dett	dett		H	
82	821.06	NUM	3782	3782		H	
83	821.07	CLEAR	som	som		H	replace: OCR 'Bom'
84	821.07	CLEAR	han	han		H	
85	821.07	CLEAR	hafver	hafver		H	
