line	idx	sign	value	grade
p1_L01	2	140	?	U
p1_L01	3	116	m	C
p1_L01	4	62	a	M
p1_L01	5	122	NULL	C
p1_L01	6	117	m	C
p1_L01	7	62	a	C
p1_L01	8	111	l	C
p1_L01	9	63	a	C
p1_L01	10	76	d	C
p1_L01	11	101	i	C
p1_L01	12	81	e	C
p1_L01	13	130	?	U
p1_L01	14	127	?	U
p1_L01	17	66	b	M
p1_L01	18	26	s	C
p1_L01	19	72	c	C
p1_L01	20	2	n	M
p1_L01	21	78	d	M
p1_L01	22	83	e	C
p1_L01	23	145	?	U
p1_L01	24	126	?	U
p1_L02	1	56	z	M
p1_L02	2	21	r	C
p1_L02	3	84	e	C
p1_L02	4	22	r	C
p1_L02	5	81	e	C
p1_L02	6	27	s	C
p1_L02	7	123	l	M
p1_L02	8	142	?	U
p1_L02	9	134	?	U
p1_L02	10		?	U
p1_L02	11	112	l	C
p1_L02	12	36	u	C
p1_L02	13	2	n	C
p1_L02	14	122	NULL	C
p1_L02	15	28	s	C
p1_L02	16	72	c	C
p1_L02	17	63	a	C
p1_L02	18	37	u	C
p1_L02	19	6	o	C
p1_L02	20	105	i	C
p1_L02	21	23	r	C
p1_L02	22	125	?	U
p1_L02	23	132	NULL	C
p1_L03	1	172	?	U
p1_L03	3	64	a	C
p1_L03	4	114	l	C
p1_L03	5	111	l	C
p1_L03	6	81	e	C
p1_L03	7	125	?	U
p1_L03	8	129	?	U
p1_L03	9	39	u	C
p1_L03	10	82	e	C
p1_L03	11	24	r	C
p1_L03	12	29	s	C
p1_L03	13	139	?	U
p1_L03	14	30	s	C
p1_L03	15	31	t	M
p1_L03	16	25	r	C
p1_L03	17	65	a	C
p1_L03	18	26	s	C
p1_L03	19	67	b	I
p1_L03	20	7	o	C
p1_L03	21	39	u	C
p1_L03	22	21	r	M
p1_L03	23	91	g	C
p1_L03	24	141	NULL	C
p1_L03	25	127	?	U
p1_L04	2	174	?	U
p1_L04	4	199	?	U
p1_L04	16	60	z	I
p1_L04	20	63	a	C
p1_L04	21	130	?	U
p1_L05	1	7	o	M
p1_L05	2	111	l	C
p1_L05	3	82	e	C
p1_L05	4	40	u	C
p1_L05	5	21	r	C
p1_L05	6	131	?	U
p1_L05	7	23	r	C
p1_L05	8	83	e	C
p1_L05	9	34	t	C
p1_L05	10	10	o	C
p1_L05	11	36	u	C
p1_L05	12	24	r	C
p1_L05	13	124	?	U
p1_L05	14	135	?	U
p1_L05	16	16	q	C
p1_L05	17	37	u	C
p1_L05	18	104	i	C
p1_L05	19	112	l	C
p1_L05	20	36	u	C
p1_L05	21	64	a	C
p1_L05	22	38	u	C
p1_L05	23	23	r	C
p1_L05	24	7	o	C
p1_L05	25	4	n	C
p1_L05	26	85	e	C
p1_L05	27	145	?	U
p1_L06	1	87	f	C
p1_L06	2	64	a	C
p1_L06	3	105	i	C
p1_L06	4	75	c	C
p1_L06	5	34	t	C
p1_L06	6	145	?	U
p1_L06	7	127	?	U
p1_L06	12	80	d	C
p1_L06	13	85	e	C
p1_L06	14	118	m	C
p1_L06	15	84	e	C
p1_L06	16	39	u	C
p1_L06	17	25	r	C
p1_L06	18	85	e	C
p1_L06	19	5	n	C
p1_L06	20	34	t	C
p1_L06	21	72	c	M
p1_L06	22	81	e	C
p1_L06	23	1	n	M
p1_L06	24	32	t	C
p1_L07	1	133	?	U
p1_L07	2	124	?	U
p1_L07	8	25	r	C
p1_L07	9	101	i	C
p1_L07	10	81	e	C
p1_L07	11	8	o	C
p1_L07	12	121	NULL	C
p1_L07	13	62	a	C
p1_L07	14	37	u	C
p1_L07	15	150	?	U
p1_L07	16	97	h	I
p1_L07	17	63	a	C
p1_L07	18	57	z	C
p1_L07	19	64	a	C
p1_L07	20	23	r	C
p1_L07	21	79	d	C
p1_L07	22	148	?	U
p1_L08	2	114	l	C
