line	idx	sign	value	grade
p1_L03	12	180	?	U
p1_L03	13	141	NULL	C
p1_L03	14	54	y	I
p1_L03	15	98	h	I
p1_L03	16	26	s	C
p1_L03	17	68	b	I
p1_L03	18	22	r	C
p1_L03	19	68	b	I
p1_L03	20	81	e	C
p1_L03	21	27	s	C
p1_L03	22	48	x	I
p1_L03	23	29	s	C
p1_L03	24	149	?	U
p1_L03	25	65	a	C
p1_L03	26	6	o	C
p1_L03	27	25	r	C
p1_L03	28	9	o	C
p1_L04	1	88	f	C
p1_L04	2	111	l	C
p1_L04	3	42	v	I
p1_L04	4	30	s	C
p1_L04	5	12	p	C
p1_L04	6	61	a	C
p1_L04	7	26	s	C
p1_L04	8	12	p	C
p1_L04	9	88	f	C
p1_L04	10	77	d	C
p1_L04	11	116	m	C
p1_L04	12	81	e	C
p1_L04	13	31	t	C
p1_L04	14	33	t	C
p1_L04	15	69	b	I
p1_L04	16	26	s	C
p1_L04	17	81	e	C
p1_L04	18	27	s	C
p1_L04	19	41	v	I
p1_L04	20	28	s	C
p1_L04	21	42	v	I
p1_L04	22	2	n	C
p1_L04	23	31	t	C
p1_L04	24	61	a	C
p1_L04	25	14	p	C
p1_L04	26	68	b	I
p1_L04	27	4	n	C
p1_L05	1	72	c	C
p1_L05	2	12	p	C
p1_L05	3	276	?	U
p1_L05	8	81	e	C
p1_L05	9	32	t	C
p1_L05	10	48	x	I
p1_L05	11	71	c	C
p1_L05	12	2	n	C
p1_L05	13	26	s	C
p1_L05	14	14	p	C
p1_L05	15	38	u	C
p1_L05	16	66	b	C
p1_L05	17	71	c	C
p1_L05	18	42	v	I
p1_L05	19	10	o	C
p1_L05	20	27	s	C
p1_L05	21	23	r	C
p1_L05	22	9	o	C
p1_L05	23	4	n	C
p1_L05	24	21	r	M
p1_L06	1	83	e	M
p1_L06	2	117	m	C
p1_L06	3	59	z	I
p1_L06	4	25	r	C
p1_L06	5	77	d	C
p1_L06	6	81	e	M
p1_L06	7	127	?	U
p1_L06	8	128	?	U
p1_L06	9	73	c	C
p1_L06	10	42	v	I
p1_L06	11	77	d	C
p1_L06	12	118	m	M
p1_L06	13	12	p	C
p1_L06	14	28	s	C
p1_L06	15	63	a	C
p1_L06	16	79	d	C
p1_L06	17	39	u	C
p1_L06	18	34	t	C
p1_L06	19	61	a	C
p1_L06	20	9	o	C
p1_L06	21	40	u	C
p1_L06	22	4	n	C
p1_L06	23	12	p	C
p1_L06	24	83	e	C
p1_L06	25	3	n	C
p1_L06	26	83	e	C
p1_L07	1	26	s	M
p1_L07	2	71	c	C
p1_L07	3	27	s	C
p1_L07	4	30	s	C
p1_L07	5	45	v	I
p1_L07	6	53	y	I
p1_L07	7	47	x	I
p1_L07	8	46	x	I
p1_L07	9	37	u	C
p1_L07	10	81	e	C
p1_L07	11	101	i	C
p1_L07	12	29	s	C
p1_L07	13	64	a	C
p1_L07	14	6	o	C
p1_L07	15	38	u	M
p1_L07	16	72	c	C
p1_L07	17	12	p	C
p1_L07	18	26	s	C
p1_L07	19	82	e	C
p1_L07	20	102	i	M
p1_L07	21	22	r	M
p1_L07	22	28	s	M
p1_L07	23	140	?	U
p1_L08	1	33	t	M
p1_L08	2	75	c	M
p1_L08	3	51	y	I
p1_L08	4	12	p	M
p1_L08	5	48	x	I
p1_L08	6	29	s	M
p1_L08	7	62	a	M
p1_L08	8	42	v	I
p1_L08	9	27	s	M
p1_L08	10	19	q	M
p1_L08	11	25	r	M
p1_L08	12	7	o	M
p1_L08	13	28	s	M
p1_L08	14	62	a	M
p1_L08	15	54	y	I
p1_L08	16	10	o	M
p1_L08	17	29	s	M
p1_L08	18	62	a	M
p1_L08	19	83	e	M
p1_L08	20	9	o	M
p1_L08	21	2	n	M
p1_L08	22	28	s	M
p1_L08	23	16	q	M
p1_L09	1	33	t	M
p1_L09	2	46	x	I
p1_L09	3	28	s	C
p1_L09	4	73	c	M
p1_L09	5	27	s	M
p1_L09	6	25	r	M
p1_L09	7	56	z	M
