line	position	sign	confidence
04614_p1_L01_a	1	=Monsieur	L
04614_p1_L01_a	2	=Vous	H
04614_p1_L01_a	3	=ne	H
04614_p1_L01_a	4	=pourriez	H
04614_p1_L01_a	5	=croire	H
04614_p1_L01_a	6	=le	H
04614_p1_L01_a	7	=grand	H
04614_p1_L01_a	8	=contentement	H
04614_p1_L01_a	9	=que	H
04614_p1_L01_a	10	=toute	H
04614_p1_L01_a	11	=la	H
04614_p1_L01_a	12	=compagnie	L
04614_p1_L01_b	1	=a	H
04614_p1_L01_b	2	=eu	H
04614_p1_L01_b	3	=d'entendre	L
04614_p1_L01_b	4	=toutes	H
04614_p1_L01_b	5	=les	H
04614_p1_L01_b	6	=particularites	L
04614_p1_L01_b	7	=de	H
04614_p1_L01_b	8	=l'estat	L
04614_p1_L01_b	9	=de	H
04614_p1_L01_b	10	=vos	H
04614_p1_L01_b	11	=affaires	H
04614_p1_L01_b	12	=par	L
04614_p1_L01_b	13	76	H
04614_p1_L01_b	14	61	H
04614_p1_L01_b	15	31	H
04614_p1_L01_c	1	32	H
04614_p1_L01_c	2	98	H
04614_p1_L01_c	3	81	H
04614_p1_L01_c	4	1	L
04614_p1_L01_c	5	36	H
04614_p1_L01_c	6	26	H
04614_p1_L01_c	7	=et	L
04614_p1_L01_c	8	=et	L
04614_p1_L01_c	9	=d'autant	H
04614_p1_L01_c	10	=plus	H
04614_p1_L01_c	11	=qui	H
04614_p1_L01_c	12	=nous	H
04614_p1_L01_c	13	=a	H
04614_p1_L01_c	14	=rendu	H
04614_p1_L01_c	15	=certaines	H
04614_p1_L01_c	16	=du	H
04614_p1_L01_c	17	=prouffit	L
04614_p1_L01_d	1	=que	H
04614_p1_L01_d	2	=nous	H
04614_p1_L01_d	3	=faisoit	L
04614_p1_L01_d	4	=courir	L
04614_p1_L01_d	5	=que	H
04614_p1_L01_d	6	8	H
04614_p1_L01_d	7	2	H
04614_p1_L01_d	8	83	H
04614_p1_L01_d	9	118	L
04614_p1_L01_d	10	101	H
04614_p1_L01_d	11	71	H
04614_p1_L01_d	12	94	H
04614_p1_L01_d	13	27	H
04614_p1_L01_d	14	32	H
04614_p1_L01_d	15	6	H
04614_p1_L01_d	16	192	L
04614_p1_L01_d	17	27	H
04614_p1_L01_d	18	91	H
04614_p1_L02_a	1	85	H
04614_p1_L02_a	2	34	H
04614_p1_L02_a	3	103	H
04614_p1_L02_a	4	22	H
04614_p1_L02_a	5	81	H
04614_p1_L02_a	6	77	H
04614_p1_L02_a	7	82	H
04614_p1_L02_a	8	112	H
04614_p1_L02_a	9	62	H
04614_p1_L02_a	10	97	H
04614_p1_L02_a	11	63	H
04614_p1_L02_a	12	51	H
04614_p1_L02_a	13	82	H
04614_p1_L02_a	14	83	H
04614_p1_L02_a	15	3	H
04614_p1_L02_a	16	221	L
04614_p1_L02_a	17	77	H
04614_p1_L02_a	18	64	H
04614_p1_L02_a	19	34	H
04614_p1_L02_a	20	32	H
04614_p1_L02_a	21	98	H
04614_p1_L02_b	1	81	H
04614_p1_L02_b	2	5	H
04614_p1_L02_b	3	37	H
04614_p1_L02_b	4	28	H
04614_p1_L02_b	5	84	H
04614_p1_L02_b	6	29	H
04614_p1_L02_b	7	35	H
04614_p1_L02_b	8	11	H
04614_p1_L02_b	9	65	H
04614_p1_L02_b	10	24	H
04614_p1_L02_b	11	31	H
04614_p1_L02_b	12	104	H
04614_p1_L02_b	13	12	H
