code	value	grade	occurrences	agree	empty	others
1	r	M	5	2	0	l:1,t:1,u:1
2	a	M	56	10	1	e:6,s:6,t:6,r:5,n:4,i:3,j:3,o:3,c:2,d:1,g:1,l:1,m:1,q:1,u:1,z:1
3	e	M	64	12	1	a:6,n:6,t:6,u:6,d:5,r:4,s:4,l:2,m:2,o:2,p:2,b:1,g:1,h:1,i:1,x:1,y:1
4	d	M	19	3	0	n:3,t:3,a:2,c:2,r:2,e:1,m:1,p:1,s:1
5	e	M	22	4	0	a:3,l:2,r:2,s:2,t:2,u:2,d:1,i:1,n:1,q:1,y:1
6	e	M	9	3	0	q:2,m:1,o:1,r:1,t:1
7	u	M	61	10	1	e:9,o:8,t:7,a:5,i:4,n:4,r:4,l:3,y:2,c:1,j:1,p:1,s:1
8	s	M	18	6	0	e:4,r:3,c:1,i:1,l:1,o:1,u:1
9	e	M	45	7	1	i:5,n:5,o:4,r:4,s:4,u:4,l:3,t:3,b:1,c:1,g:1,m:1,y:1
10	r	H	3	2	0	c:1
11	c	M	7	1	1	d:1,e:1,n:1,p:1,r:1
12	e	M	34	6	3	l:4,i:3,m:3,s:3,t:3,r:2,u:2,a:1,h:1,n:1,o:1,p:1
13	a	M	10	2	1	n:2,e:1,o:1,p:1,r:1,s:1
14	a	M	9	2	0	e:2,n:2,i:1,m:1,p:1
15	e	M	10	5	0	a:1,c:1,d:1,n:1,u:1
16	n	M	8	2	0	a:1,c:1,e:1,i:1,r:1,s:1
17	r	M	4	2	0	l:1,o:1
18	e	M	2	1	0	o:1
19	e	M	6	2	0	a:1,i:1,o:1,t:1
20	c	M	6	1	0	e:1,i:1,s:1,t:1,u:1
21	s	M	15	6	0	c:2,a:1,e:1,g:1,n:1,p:1,q:1,t:1
22	r	M	55	11	1	s:11,e:8,l:4,n:3,u:3,b:2,d:2,p:2,q:2,a:1,c:1,h:1,i:1,o:1,t:1
23	d	M	24	3	0	s:3,c:2,e:2,i:2,o:2,r:2,u:2,g:1,l:1,m:1,n:1,t:1,y:1
24	t	M	22	5	0	e:4,r:4,f:2,a:1,d:1,g:1,l:1,n:1,o:1,u:1
25	e	M	25	8	0	i:4,r:2,t:2,u:2,d:1,j:1,n:1,o:1,p:1,q:1,f:1
26	t	M	31	8	0	e:3,i:3,r:3,s:3,u:3,a:2,d:2,g:1,n:1,o:1,z:1
27	e	M	63	14	5	u:7,s:6,a:5,r:5,o:4,t:4,i:3,q:3,n:2,c:1,l:1,m:1,p:1,y:1
28	e	M	51	13	2	s:8,r:5,a:4,u:4,l:3,n:3,o:2,z:2,d:1,g:1,i:1,t:1,y:1
29	r	M	44	6	0	f:6,n:5,t:5,e:4,i:3,p:3,u:3,a:2,b:2,c:2,g:2,d:1
30	e	M	51	11	0	n:6,u:6,o:5,s:5,r:3,t:3,a:2,i:2,b:1,c:1,d:1,g:1,l:1,p:1,q:1,x:1
31	i	M	22	4	0	l:4,a:3,s:3,b:1,d:1,e:1,m:1,n:1,p:1,r:1,t:1
32	e	M	59	11	3	t:7,u:6,n:5,r:5,s:5,i:4,d:3,c:2,p:2,a:1,g:1,l:1,o:1,q:1,y:1
33	e	M	16	4	0	i:3,t:2,u:2,c:1,h:1,n:1,p:1,s:1
34	i	M	35	6	3	e:5,o:4,a:3,n:2,r:2,s:2,u:2,d:1,j:1,l:1,m:1,t:1,y:1
35	s	M	20	4	0	o:3,u:3,n:2,r:2,a:1,c:1,e:1,g:1,i:1,l:1
36	e	M	15	2	1	o:2,r:2,a:1,c:1,m:1,n:1,q:1,s:1,u:1,y:1
37	s	M	45	12	1	r:7,u:6,e:5,o:3,t:3,a:2,c:2,n:2,d:1,l:1
38	u	M	23	4	1	e:3,r:3,i:2,m:2,o:2,a:1,c:1,d:1,h:1,n:1,s:1
39	u	M	32	9	0	r:6,e:4,a:2,m:2,s:2,t:2,d:1,i:1,l:1,n:1,o:1
40	s	M	15	3	0	u:3,e:2,r:2,a:1,c:1,i:1,l:1,t:1
41	a	M	5	1	0	e:1,l:1,n:1,u:1
42	e	M	11	4	2	d:1,g:1,n:1,o:1,p:1
43	e	M	2	1	0	l:1
44	t	M	1	1	0	
45	i	M	1	1	0	
46	n	M	1	1	0	
47	e	M	11	5	0	p:2,c:1,d:1,l:1,y:1
48	m	M	1	1	0	
49	e	M	5	2	0	a:1,o:1,s:1
50	s	M	14	5	0	e:3,n:3,l:1,r:1,u:1
51	t	M	6	3	0	a:1,r:1,z:1
52	d	M	18	3	0	e:3,m:3,t:2,a:1,g:1,l:1,q:1,r:1,s:1,v:1
53	e	M	13	5	0	c:2,r:2,s:2,g:1,u:1
