# tools/print_check.py, 26 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
Pfalzgraue helt sich wol	ia:archivesoucorre03housgoog	no hits	cached sources/ia-fulltext/print-check/archivesoucorre03housgoog_djvu.txt.gz; 	https://archive.org/details/archivesoucorre03housgoog
Pfaltzgrave helt sich wol	ia:archivesoucorre03housgoog	no hits	cached sources/ia-fulltext/print-check/archivesoucorre03housgoog_djvu.txt.gz; 	https://archive.org/details/archivesoucorre03housgoog
Churpfaltz helt sich wol	ia:archivesoucorre03housgoog	no hits	cached sources/ia-fulltext/print-check/archivesoucorre03housgoog_djvu.txt.gz; 	https://archive.org/details/archivesoucorre03housgoog
Pfaltzgraff helt sich wol	ia:archivesoucorre03housgoog	no hits	cached sources/ia-fulltext/print-check/archivesoucorre03housgoog_djvu.txt.gz; 	https://archive.org/details/archivesoucorre03housgoog
Pfalzgraf thut in warheit viel	ia:archivesoucorre03housgoog	no hits	cached sources/ia-fulltext/print-check/archivesoucorre03housgoog_djvu.txt.gz; 	https://archive.org/details/archivesoucorre03housgoog
Sachsen und Landtgraue ist willens	ia:archivesoucorre03housgoog	no hits	cached sources/ia-fulltext/print-check/archivesoucorre03housgoog_djvu.txt.gz; 	https://archive.org/details/archivesoucorre03housgoog
Sachsen und Landgraue ist willens	ia:archivesoucorre03housgoog	no hits	cached sources/ia-fulltext/print-check/archivesoucorre03housgoog_djvu.txt.gz; 	https://archive.org/details/archivesoucorre03housgoog
Sachsen und Landgrave ist willens	ia:archivesoucorre03housgoog	no hits	cached sources/ia-fulltext/print-check/archivesoucorre03housgoog_djvu.txt.gz; 	https://archive.org/details/archivesoucorre03housgoog
Herzog von Sachsen und Landgraf	ia:archivesoucorre03housgoog	no hits	cached sources/ia-fulltext/print-check/archivesoucorre03housgoog_djvu.txt.gz; 	https://archive.org/details/archivesoucorre03housgoog
helt sich wol und thut in warheit viel	ia:archivesoucorre03housgoog	no hits	cached sources/ia-fulltext/print-check/archivesoucorre03housgoog_djvu.txt.gz; 	https://archive.org/details/archivesoucorre03housgoog
Pfalzgraue helt sich wol	ia:bub_gb_3N1SAAAAcAAJ	no hits	cached ../../../tmp/claude-0/-home-user-cipher-lab/dd976e70-56f3-572b-a6f0-5709d944fb92/scratchpad/cache/bub_gb_3N1SAAAAcAAJ_djvu.txt.gz; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
Pfaltzgrave helt sich wol	ia:bub_gb_3N1SAAAAcAAJ	no hits	cached ../../../tmp/claude-0/-home-user-cipher-lab/dd976e70-56f3-572b-a6f0-5709d944fb92/scratchpad/cache/bub_gb_3N1SAAAAcAAJ_djvu.txt.gz; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
Churpfaltz helt sich wol	ia:bub_gb_3N1SAAAAcAAJ	no hits	cached ../../../tmp/claude-0/-home-user-cipher-lab/dd976e70-56f3-572b-a6f0-5709d944fb92/scratchpad/cache/bub_gb_3N1SAAAAcAAJ_djvu.txt.gz; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
Pfaltzgraff helt sich wol	ia:bub_gb_3N1SAAAAcAAJ	no hits	cached ../../../tmp/claude-0/-home-user-cipher-lab/dd976e70-56f3-572b-a6f0-5709d944fb92/scratchpad/cache/bub_gb_3N1SAAAAcAAJ_djvu.txt.gz; 	https://archive.org/details/bub_gb_3N1SAAAAcAAJ
