line	idx	token	conf	briefnr
4613_L01	1	w:Monsieur		4613
4613_L01	2	w:depuis		4613
4613_L01	3	w:nostre		4613
4613_L01	4	w:derniere		4613
4613_L01	5	w:lettre		4613
4613_L01	6	w:par		4613
4613_L01	7	w:la		4613
4613_L01	8	w:quel		4613
4613_L01	9	w:nous		4613
4613_L01	10	w:vous		4613
4613_L01	11	w:avons		4613
4613_L01	12	w:mande?	M	4613
4613_L02	1	81		4613
4613_L02	2	1		4613
4613_L02	3	19		4613
4613_L02	4	36		4613
4613_L02	5	82		4613
4613_L02	6	iii		4613
4613_L02	7	112		4613
4613_L02	8	88		4613
4613_L02	9	31		4613
4613_L02	10	21		4613
4613_L02	11	61		4613
4613_L02	12	71		4613
4613_L02	13	72		4613
4613_L02	14	84		4613
4613_L02	15	2		4613
4613_L02	16	61		4613
4613_L02	17	37		4613
4613_L02	18	26		4613
4613_L02	19	85		4613
4613_L02	20	27		4613
4613_L02	21	33		4613
4613_L02	22	101		4613
4613_L02	23	7		4613
4613_L02	24	3		4613
4613_L02	25	28		4613
4613_L03	1	62		4613
4613_L03	2	38		4613
4613_L03	3	62		4613
4613_L03	4	72		4613
4613_L03	5	4		4613
4613_L03	6	8		4613
4613_L03	7	39		4613
4613_L03	8	29		4613
4613_L03	9	22		4613
4613_L03	10	83		4613
4613_L03	11	36		4613
4613_L03	12	27		4613
4613_L03	13	32		4613
4613_L03	14	23		4613
4613_L03	15	84		4613
4613_L03	16	28		4613
4613_L03	17	113		4613
4613_L03	18	85		4613
4613_L03	19	17		4613
4613_L03	20	40		4613
4613_L03	21	84		4613
4613_L03	22	115		4613
4613_L03	23	56	M	4613
4613_L04	1	4		4613
4613_L04	2	7		4613
4613_L04	3	38		4613
4613_L04	4	29		4613
4613_L04	5	10		4613
4613_L04	6	5		4613
4613_L04	7	31		4613
4613_L04	8	62		4613
4613_L04	9	113		4613
4613_L04	10	63		4613
4613_L04	11	85		4613
4613_L04	12	102		4613
4613_L04	13	7		4613
4613_L04	14	63		4613
4613_L04	15	72		4613
4613_L04	16	74		4613
4613_L04	17	10		4613
4613_L04	18	24		4613
4613_L04	19	77		4613
4613_L04	20	81		4613
4613_L04	21	136	M	4613
4613_L04	22	1		4613
4613_L04	23	76		4613
4613_L04	24	82		4613
4613_L05	1	116	M	4613
4613_L05	2	107		4613
4613_L05	3	116		4613
4613_L05	4	7		4613
4613_L05	5	104		4613
4613_L05	6	29		4613
4613_L05	7	63		4613
4613_L05	8	37		4613
4613_L05	9	84		4613
4613_L05	10	72		4613
4613_L05	11	91		4613
4613_L05	12	21		4613
4613_L05	13	64		4613
4613_L05	14	7		4613
4613_L05	15	76		4613
4613_L05	16	82		4613
4613_L05	17	12		4613
4613_L05	18	83		4613
4613_L05	19	101		4613
4613_L05	20	9		4613
4613_L05	21	81		4613
4613_L05	22	112		4613
4613_L05	23	85		4613
4613_L06	1	18		4613
4613_L06	2	37		4613
4613_L06	3	81		4613
4613_L06	4	115		4613
4613_L06	5	77		4613
4613_L06	6	84		4613
4613_L06	7	73		4613
4613_L06	8	6		4613
4613_L06	9	117		4613
4613_L06	10	118		4613
4613_L06	11	82		4613
4613_L06	12	2		4613
4613_L06	13	75		4613
4613_L06	14	84		4613
4613_L06	15	114		4613
4613_L06	16	81		4613
4613_L06	17	[blot]		4613
4613_L06	18	77		4613
4613_L06	19	37		4613
4613_L06	20	11		4613
4613_L06	21	22		4613
4613_L06	22	83		4613
4613_L06	23	26	M	4613
4613_L07	1	82		4613
4613_L07	2	3		4613
4613_L07	3	33		4613
4613_L07	4	76		4613
4613_L07	5	82		4613
4613_L07	6	12		4613
4613_L07	7	36		4613
4613_L07	8	103		4613
4613_L07	9	27		4613
4613_L07	10	2		4613
4613_L07	11	7		4613
4613_L07	12	40		4613
4613_L07	13	30		4613
4613_L07	14	65		4613
4613_L07	15	37		4613
4613_L07	16	10		4613
4613_L07	17	5		4613
4613_L07	18	29		4613
4613_L07	19	13		4613
4613_L07	20	61		4613
4613_L07	21	26		4613
4613_L07	22	82		4613
4613_L07	23	40		4613
4613_L08	1	79		4613
4613_L08	2	82		4613
4613_L08	3	30		4613
4613_L08	4	6		4613
4613_L08	5	40		4613
4613_L08	6	26		4613
4613_L08	7	2		4613
4613_L08	8	7		4613
4613_L08	9	38		4613
4613_L08	10	83		4613
4613_L08	11	112		4613
4613_L08	12	81		4613
4613_L08	13	28		4613
4613_L08	14	16		4613
4613_L08	15	37		4613
4613_L08	16	81		4613
4613_L08	17	115		4613
4613_L08	18	82		4613
4613_L08	19	76		4613
4613_L08	20	83		4613
