code	block_value	observed	count	where	note
1	n	NULL	1	4613_L04.22	
1	n	o	1	4615_L08.20	
2	n	NULL	2	4613_L20.10 4615_L21.11	
2	n	r	1	4615_L07.24	
3	n	u	1	4615_L23.5	
5	n	NULL	2	4613_L20.15 4613_L21.5	
6	o	NULL	1	4613_L20.22	
7	o	NULL	1	4615_L23.13	
7	o	n	2	4613_L04.13 4613_L05.14	
8	o	e	2	4613_L08.24 4613_L10.22	
9	o	n	2	4613_L05.20 4615_L16.22	
10	o	t	1	4613_L09.24	
11	p	c	1	4615_L07.22	
12	p	NULL	1	4615_L05.23	
16	q	NULL	1	4613_L20.7	
17	q	NULL	1	4613_L09.4	
19	q	p	1	4615_L06.12	
21	r	NULL	2	4613_L18.18 4613_L23.13	
21	r	s	1	4615_L08.8	
22	r	d	1	4613_L24.15	
23	r	NULL	1	4613_L12.15	
23	r	s	1	4615_L03.9	
26	s	NULL	1	4615_L11.17	
26	s	x	1	4615_L18.21	
26	s	z	3	4613_L08.6 4615_L02.8 4615_L24.16	
27	s	NULL	1	4613_L12.13	
27	s	x	1	4615_L08.18	
27	s	z	3	4615_L09.9 4615_L22.4 4615_L23.18	
28	s	NULL	2	4613_L10.16 4615_L22.7	
28	s	r	1	4613_L14.11	
29	s	NULL	1	4615_L16.11	
29	s	r	1	4613_L09.18	
29	s	z	1	4613_L03.8	
30	s	u	2	4613_L08.3 4613_L19.16	
30	s	z	2	4613_L24.4 4613_L27.15	
31	t	NULL	1	4613_L12.14	
31	t	e	1	4615_L17.12	
32	t	NULL	2	4613_L20.16 4613_L20.19	
33	t	NULL	2	4613_L20.20 4615_L21.9	
34	t	q	1	4615_L06.19	
35	t	u	1	4615_L21.5	
36	u	NULL	1	4613_L20.8	
36	u	p	1	4613_L09.5	
36	u	y	1	4613_L03.11	
37	u	NULL	2	4615_L02.7 4615_L24.15	
38	u	t	1	4615_L12.12	
39	u	NULL	1	4613_L03.7	
39	u	s	1	4613_L12.21	
40	u	NULL	4	4613_L08.5 4613_L24.3 4613_L27.14 4615_L09.8	
41	v	NULL	1	4613_L28.10	
51	y	NULL	1	4613_L27.22	
51	y	i	1	4615_L02.20	
53	y	z	1	4615_L02.21	
55	y	a	1	4613_L12.17	
56	z	NULL	2	4613_L20.11 4613_L29.3	
61	a	NULL	1	4613_L02.11	
61	a	b	2	4613_L22.7 4615_L21.7	
61	a	e	1	4615_L14.10	
61	a	o	1	4613_L02.16	
62	a	NULL	1	4615_L21.10	
62	a	e	2	4613_L03.3 4615_L07.12	
63	a	e	1	4615_L11.3	
65	a	e	1	4613_L15.5	
71	c	NULL	2	4613_L02.12 4613_L27.21	
71	c	i	2	4613_L09.23 4615_L03.22	
71	c	s	1	4613_L14.13	
71	c	u	1	4615_L06.20	
72	c	NULL	1	4613_L21.3	
72	c	m	1	4613_L02.13	
73	c	NULL	1	4613_L20.13	
76	d	NULL	1	4613_L18.1	
77	d	NULL	1	4613_L06.5	
81	e	NULL	6	4613_L18.2 4613_L26.22 4613_L28.9 4615_L11.6 4615_L17.10 4615_L18.20	
81	e	y	1	4613_L20.5	
82	e	NULL	4	4613_L19.18 4613_L20.12 4613_L23.14 4615_L21.15	
82	e	z	1	4613_L12.16	
83	e	NULL	4	4613_L20.14 4613_L28.14 4615_L07.15 4615_L19.13	
84	e	NULL	1	4613_L06.6	
85	e	NULL	1	4615_L08.17	
85	e	f	1	4613_L04.11	
88	f	NULL	1	4615_L03.21	
88	f	e	1	4613_L02.8	
91	g	u	1	4615_L24.13	
92	g	NULL	1	4613_L23.11	
92	g	e	1	4615_L02.3	
93	g	e	1	4615_L02.17	
94	g	e	2	4615_L10.14 4615_L19.10	
96	h	NULL	1	4613_L28.13	
96	h	f	1	4613_L25.12	
101	i	NULL	3	4613_L20.9 4613_L23.8 4613_L27.20	
101	i	y	1	4615_L11.22	
102	i	NULL	1	4615_L18.14	
102	i	e	1	4613_L14.7	
103	i	NULL	1	4613_L23.10	
105	i	NULL	1	4613_L21.1	
107	k	NULL	1	4615_L03.20	
107	k	y	1	4613_L05.2	
111	l	NULL	1	4613_L19.19	
111	l	r	1	4615_L20.11	
112	l	NULL	1	4613_L19.20	
112	l	r	1	4613_L14.18	
113	l	NULL	1	4615_L23.12	
113	l	r	1	4615_L23.14	
123		llaafrancquemont	1	4613_L29.2	word/null sign, key value l
123		NULL	1	4615_L13.16	word/null sign, key value l
128		rittheim	1	4613_L28.15	word/null sign, key value ?
218		iddelbuerchpourenscauoir	1	4613_L11.6	word/null sign, key value tillemont
312		lledetillemontlaultredem	1	4613_L11.5	word/null sign, key value uillede
338		300cheuaulxlegiers	1	4613_L21.7	word/null sign, key value cheuaulxlegiers
339		1500harquebouzi	1	4613_L20.17	word/null sign, key value harquebouziers
