line	idx	sign	value	grade
05799_p1_L04	4	41	q	M
05799_p1_L04	5	22	u	M
05799_p1_L04	6	98	m	M
05799_p1_L04	7	125	a	M
05799_p1_L04	8	116	u	M
05799_p1_L04	9	21	l	M
05799_p1_L04	10	107	d	M
05799_p1_L04	11	25	c	M
05799_p1_L04	12	60	NULL	M
05799_p1_L04	13	130	u	M
05799_p1_L04	14	140	NULL	M
05799_p1_L04	15	137	n	M
05799_p1_L04	16	117	l	M
05799_p1_L04	17	98	m	M
05799_p1_L04	18	49	NULL	M
05799_p1_L04	19	52	i	M
05799_p1_L04	20	77	o	M
05799_p1_L04	21	69	p	M
05799_p1_L04	22	28	NULL	M
05799_p1_L04	23	99	o	M
05799_p1_L04	24	69	p	M
05799_p1_L04	25	99	o	M
05799_p1_L04	26	59	NULL	M
05799_p1_L05	1	127	n	M
05799_p1_L05	2	35	t	M
05799_p1_L05	3	100	e	M
05799_p1_L05	4	132	m	M
05799_p1_L05	5	48	e	M
05799_p1_L05	6	54	n	M
05799_p1_L05	7	67	t	M
05799_p1_L05	8	37	s	M
05799_p1_L05	9	119	e	M
05799_p1_L05	10	129	p	M
05799_p1_L05	11	95	o	M
05799_p1_L05	12	117	l	M
05799_p1_L05	13	78	r	M
05799_p1_L05	14	39	a	M
05799_p1_L05	15	99	o	M
05799_p1_L05	16	135	a	M
05799_p1_L05	17	52	i	M
05799_p1_L05	18	22	u	M
05799_p1_L05	19	125	a	M
05799_p1_L05	20	56	o	M
05799_p1_L05	21	52	i	M
05799_p1_L05	22	58	n	M
05799_p1_L05	23	132	m	M
05799_p1_L05	24	126	e	M
05799_p1_L06	3	139	NULL	M
05799_p1_L06	4	66	l	M
05799_p1_L06	5	96	l	M
05799_p1_L06	6	61	e	M
05799_p1_L06	7	97	a	M
05799_p1_L06	8	98	m	M
05799_p1_L06	9	39	a	M
05799_p1_L06	10	100	e	M
05799_p1_L06	11	23	NULL	M
05799_p1_L06	12	38	e	M
05799_p1_L06	13	123	NULL	M
05799_p1_L06	14	128	r	M
05799_p1_L06	15	117	l	M
05799_p1_L06	16	22	u	M
05799_p1_L06	17	37	s	M
05799_p1_L06	18	52	i	M
05799_p1_L06	19	77	o	M
05799_p1_L06	20	27	r	M
05799_p1_L06	21	135	a	M
