line	idx	sign	value	grade
4613_L02	1	81	e	C
4613_L02	2	1	n	C
4613_L02	3	19	q	C
4613_L02	4	36	u	C
4613_L02	5	82	e	C
4613_L02	6	iii	l	C
4613_L02	7	112	l	C
4613_L02	8	88	f	C
4613_L02	9	31	t	C
4613_L02	10	21	r	C
4613_L02	11	61	a	C
4613_L02	12	71	c	C
4613_L02	13	72	c	C
4613_L02	14	84	e	C
4613_L02	15	2	n	C
4613_L02	16	61	a	C
4613_L02	17	37	u	C
4613_L02	18	26	s	C
4613_L02	19	85	e	C
4613_L02	20	27	s	C
4613_L02	21	33	t	C
4613_L02	22	101	i	C
4613_L02	23	7	o	C
4613_L02	24	3	n	C
4613_L02	25	28	s	C
4613_L03	1	62	a	C
4613_L03	2	38	u	C
4613_L03	3	62	a	C
4613_L03	4	72	c	C
4613_L03	5	4	n	C
4613_L03	6	8	o	C
4613_L03	7	39	u	C
4613_L03	8	29	s	C
4613_L03	9	22	r	C
4613_L03	10	83	e	C
4613_L03	11	36	u	C
4613_L03	12	27	s	C
4613_L03	13	32	t	C
4613_L03	14	23	r	C
4613_L03	15	84	e	C
4613_L03	16	28	s	C
4613_L03	17	113	l	C
4613_L03	18	85	e	C
4613_L03	19	17	q	C
4613_L03	20	40	u	C
4613_L03	21	84	e	C
4613_L03	22	115	l	C
4613_L03	23	56	z	M
4613_L04	1	4	n	C
4613_L04	2	7	o	C
4613_L04	3	38	u	C
4613_L04	4	29	s	C
4613_L04	5	10	o	C
4613_L04	6	5	n	C
4613_L04	7	31	t	C
4613_L04	8	62	a	C
4613_L04	9	113	l	C
4613_L04	10	63	a	C
4613_L04	11	85	e	C
4613_L04	12	102	i	C
4613_L04	13	7	o	C
4613_L04	14	63	a	C
4613_L04	15	72	c	C
4613_L04	16	74	c	C
4613_L04	17	10	o	C
4613_L04	18	24	r	C
4613_L04	19	77	d	C
4613_L04	20	81	e	C
4613_L04	21	136	uingt	M
4613_L04	22	1	n	C
4613_L04	23	76	d	C
4613_L04	24	82	e	C
4613_L05	1	116	m	M
4613_L05	2	107	k	I
4613_L05	3	116	m	C
4613_L05	4	7	o	C
4613_L05	5	104	i	C
4613_L05	6	29	s	C
4613_L05	7	63	a	C
4613_L05	8	37	u	C
4613_L05	9	84	e	C
4613_L05	10	72	c	C
4613_L05	11	91	g	C
4613_L05	12	21	r	C
4613_L05	13	64	a	C
4613_L05	14	7	o	C
4613_L05	15	76	d	C
4613_L05	16	82	e	C
4613_L05	17	12	p	C
4613_L05	18	83	e	C
4613_L05	19	101	i	C
4613_L05	20	9	o	C
4613_L05	21	81	e	C
4613_L05	22	112	l	C
4613_L05	23	85	e	C
4613_L06	1	18	q	C
4613_L06	2	37	u	C
4613_L06	3	81	e	C
4613_L06	4	115	l	C
4613_L06	5	77	d	C
4613_L06	6	84	e	C
4613_L06	7	73	c	C
4613_L06	8	6	o	C
4613_L06	9	117	m	C
4613_L06	10	118	m	C
4613_L06	11	82	e	C
4613_L06	12	2	n	C
4613_L06	13	75	c	C
4613_L06	14	84	e	C
4613_L06	15	114	l	C
4613_L06	16	81	e	C
4613_L06	18	77	d	C
4613_L06	19	37	u	C
4613_L06	20	11	p	C
4613_L06	21	22	r	C
4613_L06	22	83	e	C
4613_L06	23	26	s	M
4613_L07	1	82	e	C
4613_L07	2	3	n	C
4613_L07	3	33	t	C
4613_L07	4	76	d	C
4613_L07	5	82	e	C
4613_L07	6	12	p	C
4613_L07	7	36	u	C
4613_L07	8	103	i	C
4613_L07	9	27	s	C
4613_L07	10	2	n	C
4613_L07	11	7	o	C
4613_L07	12	40	u	C
4613_L07	13	30	s	C
4613_L07	14	65	a	C
4613_L07	15	37	u	C
4613_L07	16	10	o	C
4613_L07	17	5	n	C
4613_L07	18	29	s	C
4613_L07	19	13	p	C
4613_L07	20	61	a	C
4613_L07	21	26	s	C
4613_L07	22	82	e	C
4613_L07	23	40	u	C
4613_L08	1	79	d	C
4613_L08	2	82	e	C
4613_L08	3	30	s	C
