code	value	grade	source	note
1	n	C	aligned 4613/4615	matches plaintext 10x of 12
2	n	C	aligned 4613/4615	matches plaintext 33x of 36
3	n	C	aligned 4613/4615	matches plaintext 16x of 17
4	n	C	aligned 4613/4615	matches plaintext 15x of 15
5	n	C	aligned 4613/4615	matches plaintext 10x of 12
6	o	C	aligned 4613/4615	matches plaintext 32x of 33
7	o	C	aligned 4613/4615	matches plaintext 22x of 25
8	o	C	aligned 4613/4615	matches plaintext 14x of 16
9	o	C	aligned 4613/4615	matches plaintext 9x of 11
10	o	C	aligned 4613/4615	matches plaintext 8x of 9
11	p	C	aligned 4613/4615	matches plaintext 1x of 2
12	p	C	aligned 4613/4615	matches plaintext 17x of 18
13	p	C	aligned 4613/4615	matches plaintext 9x of 9
14	p	C	aligned 4613/4615	matches plaintext 4x of 4
15	p	C	aligned 4613/4615	matches plaintext 3x of 3
16	q	C	aligned 4613/4615	matches plaintext 8x of 9
17	q	C	aligned 4613/4615	matches plaintext 2x of 3
18	q	C	aligned 4613/4615	matches plaintext 3x of 3
19	q	C	aligned 4613/4615	matches plaintext 1x of 2
20	q	C	aligned 4613/4615	matches plaintext 1x of 1
21	r	C	aligned 4613/4615	matches plaintext 33x of 36
22	r	C	aligned 4613/4615	matches plaintext 16x of 17
23	r	C	aligned 4613/4615	matches plaintext 4x of 6
24	r	C	aligned 4613/4615	matches plaintext 7x of 7
25	r	C	aligned 4613/4615	matches plaintext 4x of 4
26	s	C	aligned 4613/4615	matches plaintext 36x of 41
27	s	C	aligned 4613/4615	matches plaintext 23x of 28
28	s	C	aligned 4613/4615	matches plaintext 15x of 18
29	s	C	aligned 4613/4615	matches plaintext 13x of 16
30	s	C	aligned 4613/4615	matches plaintext 10x of 14
31	t	C	aligned 4613/4615	matches plaintext 24x of 26
32	t	C	aligned 4613/4615	matches plaintext 8x of 10
33	t	C	aligned 4613/4615	matches plaintext 14x of 16
34	t	C	aligned 4613/4615	matches plaintext 4x of 5
35	t	C	aligned 4613/4615	matches plaintext 4x of 5
36	u	C	aligned 4613/4615	matches plaintext 18x of 21
37	u	C	aligned 4613/4615	matches plaintext 19x of 21
38	u	C	aligned 4613/4615	matches plaintext 10x of 11
39	u	C	aligned 4613/4615	matches plaintext 17x of 19
40	u	C	aligned 4613/4615	matches plaintext 25x of 29
41	v	I	table rule	observed only off-block: {'NULL': 1}
42	v	I	table rule	not observed in 4613/4615
43	v	I	table rule	not observed in 4613/4615
44	v	I	table rule	not observed in 4613/4615
45	v	I	table rule	not observed in 4613/4615
46	x	I	table rule	not observed in 4613/4615
47	x	I	table rule	not observed in 4613/4615
48	x	I	table rule	not observed in 4613/4615
49	x	I	table rule	not observed in 4613/4615
50	x	I	table rule	not observed in 4613/4615
51	y	I	table rule	observed only off-block: {'NULL': 1, 'i': 1}
52	y	I	table rule	not observed in 4613/4615
53	y	I	table rule	observed only off-block: {'z': 1}
54	y	I	table rule	not observed in 4613/4615
55	y	I	table rule	observed only off-block: {'a': 1}
56	z	C	aligned 4613/4615	matches plaintext 1x of 3
57	z	C	aligned 4613/4615	matches plaintext 1x of 1
58	z	I	table rule	not observed in 4613/4615
59	z	I	table rule	not observed in 4613/4615
60	z	I	table rule	not observed in 4613/4615
61	a	C	aligned 4613/4615	matches plaintext 27x of 32
62	a	C	aligned 4613/4615	matches plaintext 23x of 26
63	a	C	aligned 4613/4615	matches plaintext 6x of 7
64	a	C	aligned 4613/4615	matches plaintext 4x of 4
65	a	C	aligned 4613/4615	matches plaintext 6x of 7
66	b	C	aligned 4613/4615	matches plaintext 4x of 4
67	b	I	table rule	not observed in 4613/4615
68	b	I	table rule	not observed in 4613/4615
69	b	I	table rule	not observed in 4613/4615
70	b	I	table rule	not observed in 4613/4615
71	c	C	aligned 4613/4615	matches plaintext 9x of 15
72	c	C	aligned 4613/4615	matches plaintext 11x of 13
73	c	C	aligned 4613/4615	matches plaintext 4x of 5
74	c	C	aligned 4613/4615	matches plaintext 2x of 2
75	c	C	aligned 4613/4615	matches plaintext 1x of 1
76	d	C	aligned 4613/4615	matches plaintext 20x of 21
77	d	C	aligned 4613/4615	matches plaintext 7x of 8
78	d	C	aligned 4613/4615	matches plaintext 3x of 3
79	d	C	aligned 4613/4615	matches plaintext 3x of 3
80	d	C	aligned 4613/4615	matches plaintext 1x of 1
81	e	C	aligned 4613/4615	matches plaintext 40x of 47
82	e	C	aligned 4613/4615	matches plaintext 50x of 55
