line	position	sign	confidence	alt	why
p1_r01	1	=Monsieur	H		agree
p1_r01	2	=Je	H		agree
p1_r01	3	?	M	A:=receu|B:=resceu	unsettled-diff
p1_r01	4	=vre.	H	A:=vre.|B:=vre	settled-case-only
p1_r01	5	=lre.	H	A:=lre.|B:=lre	settled-case-only
p1_r01	6	=du	H		agree
p1_r01	7	?	M	A:=xxj.me|B:=xxj	unsettled-diff
p1_r01	8	=de	H		agree
p1_r01	9	=febvrier	H		agree
p1_r01	10	=et	H		agree
p1_r01	11	=bien	H		agree
p1_r01	12	?	M	A:=ce|B:=entendu	unsettled-diff
p1_r01	13	?	M	A:=que|B:(none)	unsettled-diff
p1_r01	14	?	M	A:=vous|B:(none)	unsettled-diff
p1_r01	15	=mandez	H		agree
p1_r01	16	=de	H		agree
p1_r01	17	=la	H		agree
p1_r01	18	=responce	H		agree
p1_r01	19	=de	H		agree
p1_r01	20	?	M	A:=voz|B:=leg	unsettled-diff
p1_r01	21	?	M	A:=affres.|B:=affre	unsettled-diff
p1_r01	22	=Roy	H		agree
p1_r01	1001	?	M	A:(none)|B:=a	unsettled-diff-insert-only-in-B
p1_r02	1	=Pour	H		agree
p1_r02	2	=ce	H		agree
p1_r02	3	=que	H		agree
p1_r02	4	?	M	A:=voy|B:=doy	unsettled-diff
p1_r02	5	?	M	A:=dois|B:=se	unsettled-diff
p1_r02	6	?	M	A:=ce|B:(none)	unsettled-diff
p1_r02	7	=suppliant	H		agree
p1_r02	8	?	M	A:=treshumblement|B:=tres	unsettled-diff
p1_r03	8	?	M	A:(none)|B:=humblement	unsettled-diff
p1_r02	9	=de	H		agree
p1_r02	10	=vous	H		agree
p1_r02	11	=vouloir	H		agree
p1_r02	12	=continuer	H		agree
p1_r02	13	=voz	H		agree
p1_r02	14	?	M	A:=benedictions.|B:=sainctes	unsettled-diff
p1_r03	15	?	M	A:(none)|B:=benedictions	unsettled-diff
p1_r02	15	=Et	H		agree
p1_r02	16	=quant	H		agree
p1_r02	17	=a	H		agree
p1_r02	18	=nous	H		agree
p1_r03	1	=Je	H		agree
p1_r03	2	=vous	H		agree
p1_r03	3	=diray	H		agree
p1_r03	4	?	M	A:=sy|B:=en	unsettled-diff
p1_r03	5	=bref	H		agree
p1_r03	6	=que	H		agree
p1_r03	7	?	M	A:=scay|B:(none)	unsettled-diff
p1_r03	8	?	M	A:=depuis|B:(none)	unsettled-diff
p1_r03	9	=le	H		agree
p1_r03	10	?	M	A:=xxij.me|B:=xxvij	unsettled-diff
p1_r03	11	=de	H		agree
p1_r03	12	=febvrier	H		agree
p1_r03	13	150	H		agree
p1_r03	14	141	H		agree
p1_r03	15	54	H		agree
p1_r03	16	38	H		agree
p1_r03	17	26	H		agree
p1_r03	18	62	H		agree
p1_r03	19	22	H		agree
p1_r03	20	68	H		agree
p1_r03	21	81	H		agree
p1_r03	22	27	H		agree
p1_r03	23	47	H		agree
p1_r03	24	29	H		agree
p1_r03	25	149	H		agree
p1_r03	26	65	H		agree
p1_r03	27	6	H		agree
p1_r03	28	25	H		agree
p1_r03	1001	9	S	A:(none)|B:9	"settled-image(AX2-4612): own zoom confirms a small ""9"" at the right margin after ""25,"", present in the manuscript but missed by passA (not on a page-edge fold visible in the image; passA's own read simply stops one token short)"
p1_r04	1	78	H		agree
p1_r04	2	111	H		agree
p1_r04	3	42	H		agree
p1_r04	4	30	H		agree
p1_r04	5	12	H		agree
p1_r04	6	67	H		agree
p1_r04	7	26	H		agree
p1_r04	8	12	H		agree
p1_r04	9	88	H		agree
p1_r04	10	77	H		agree
p1_r04	11	116	H		agree
p1_r04	12	81	S	A:51|B:81	"settled-image(AX2-4612): own zoom confirms passB 81 (loop-8 shape matches the ""81"" at r04 pos17, distinct from the ""31"" shapes beside it); passA misread the digit-shape (8/5-like confusion)"
p1_r04	13	31	H		agree
p1_r04	14	33	H		agree
p1_r04	15	69	H		agree
p1_r04	16	36	H		agree
p1_r04	17	81	H		agree
p1_r04	18	27	H		agree
p1_r04	19	47	H		agree
p1_r04	20	28	H		agree
p1_r04	21	42	H		agree
p1_r04	22	2	H		agree
p1_r04	23	31	H		agree
p1_r04	24	62	H		agree
p1_r04	25	14	H		agree
p1_r04	26	68	S	A:67|B:68	settled-image(AX-4612TR2): passB 68 confirmed, passA misread 67
p1_r04	27	4	H		agree
p1_r05	1	72	H		agree
p1_r05	2	12	H		agree
p1_r05	3	276	H		agree
p1_r05	4	?	M	A:=y|B:=ilz	unsettled-diff
p1_r05	5	=sont	H		agree
p1_r05	6	?	M	A:=bonne|B:=bonnes	unsettled-diff
p1_r05	7	?	M	A:=disposition,|B:=dispositios	unsettled-diff
p1_r05	8	81	H		agree
p1_r05	9	32	H		agree
p1_r05	10	150	H		agree
p1_r05	11	71	H		agree
p1_r05	12	2	H		agree
p1_r05	13	26	H		agree
p1_r05	14	14	H		agree
p1_r05	15	38	H		agree
p1_r05	16	66	H		agree
p1_r05	17	77	H		agree
p1_r05	18	42	H		agree
p1_r05	19	40	H		agree
p1_r05	20	27	H		agree
p1_r05	21	13	S	A:73|B:13	settled-image(AX2-4612): own zoom confirms passB 13; passA misread
p1_r05	22	9	H		agree
p1_r05	23	4	H		agree
p1_r05	24	27	H		agree
p1_r06	1	85	H		agree
p1_r06	2	117	H		agree
p1_r06	3	59	H		agree
p1_r06	4	25	H		agree
p1_r06	5	77	H		agree
p1_r06	6	84	S	A:8A|B:84	"settled-image(AX-4612TR2): passB 84 confirmed, passA garbled ""8A"""
p1_r06	7	127	H		agree
p1_r06	8	138	M		agree-flagged
p1_r06	9	73	H		agree
p1_r06	10	42	H		agree
p1_r06	11	77	H		agree
p1_r06	12	118	S	A:113|B:118	settled-image(AX-4612TR2): passB 118 confirmed, passA misread 113
p1_r06	13	12	H		agree
p1_r06	14	28	H		agree
p1_r06	15	63	H		agree
p1_r06	16	79	H		agree
p1_r06	17	39	H		agree
p1_r06	18	34	S	A:74|B:34	settled-image(AX2-4612): own zoom confirms passB 34; passA misread 74
p1_r06	19	61	H		agree
p1_r06	20	9	H		agree
p1_r06	21	40	H		agree
p1_r06	22	4	H		agree
p1_r06	23	12	H		agree
p1_r06	24	83	H		agree
p1_r06	25	3	H		agree
p1_r06	26	83	H		agree
p1_r07	1	16	H		agree
p1_r07	2	26	H		agree
p1_r07	3	71	H		agree
p1_r07	4	27	H		agree
p1_r07	5	36	H		agree
p1_r07	6	46	H		agree
p1_r07	7	83	S	A:53|B:83	settled-image(AX-4612TR2): passB 83 confirmed, passA misread 53
p1_r07	8	97	S	A:74|B:97	settled-image(AX-4612TR2): passB 97 confirmed, passA misread 74
p1_r07	9	46	H		agree
p1_r07	10	37	H		agree
p1_r07	11	81	H		agree
p1_r07	12	101	H		agree
p1_r07	13	29	H		agree
p1_r07	14	64	H		agree
p1_r07	15	6	H		agree
p1_r07	16	38	H		agree
p1_r07	17	72	H		agree
p1_r07	18	12	H		agree
p1_r07	19	26	H		agree
p1_r07	20	82	H		agree
p1_r07	21	102	H		agree
p1_r07	22	22	H		agree
p1_r07	23	28	H		agree
p1_r07	24	150	H		agree
p1_r08	1	82	H		agree
p1_r08	2	37	H		agree
p1_r08	3	26	H		agree
p1_r08	4	33	H		agree
p1_r08	5	57	H		agree
p1_r08	6	22	H		agree
p1_r08	7	48	H		agree
p1_r08	8	29	H		agree
p1_r08	9	62	H		agree
p1_r08	10	42	H		agree
p1_r08	11	27	H		agree
p1_r08	12	19	H		agree
p1_r08	13	25	H		agree
p1_r08	14	7	H		agree
p1_r08	15	28	H		agree
p1_r08	16	62	H		agree
p1_r08	17	54	H		agree
p1_r08	18	40	H		agree
p1_r08	19	29	H		agree
p1_r08	20	62	H		agree
p1_r08	21	83	H		agree
p1_r08	22	9	H		agree
p1_r08	23	2	H		agree
p1_r08	24	28	H		agree
p1_r08	25	16	H		agree
p1_r09	1	103	H		agree
p1_r09	2	72	H		agree
p1_r09	3	33	H		agree
p1_r09	4	46	H		agree
p1_r09	5	22	S	A:28|B:22	settled-image(AX2-4612): own zoom confirms passB 22; passA misread 28
p1_r09	6	73	H		agree
p1_r09	7	27	H		agree
p1_r09	8	25	H		agree
p1_r09	9	56	H		agree
p1_r09	10	24	H		agree
p1_r09	11	13	S	A:113|B:13	settled-image(AX-4612TR2): passB 13 confirmed (compact glyph), passA misread 113
p1_r09	12	82	H		agree
p1_r09	13	23	H		agree
p1_r09	14	27	H		agree
p1_r09	15	81	H		agree
p1_r09	16	2	H		agree
p1_r09	17	77	H		agree
p1_r09	18	69	H		agree
p1_r09	19	104	H		agree
p1_r09	20	74	H		agree
p1_r09	21	31	H		agree
p1_r09	22	60	H		agree
p1_r09	23	59	H		agree
p1_r09	24	40	H		agree
p1_r09	25	25	H		agree
p1_r10	1	42	H		agree
p1_r10	2	92	H		agree
p1_r10	3	10	S	A:10|B:20	"settled-image(AX2-4612): own zoom confirms passA 10 (straight ""1"" stroke, not the curved ""2""); passB misread 20"
p1_r10	4	38	S	A:38|B:78	"settled-image(AX2-4612): own zoom confirms passA 38 (looped ""3"", not the straight-diagonal ""7""); passB misread 78"
p1_r10	5	9	H		agree
p1_r10	6	4	H		agree
p1_r10	7	12	H		agree
p1_r10	8	41	H		agree
p1_r10	9	13	H		agree
p1_r10	10	77	H		agree
p1_r10	11	84	H		agree
p1_r10	12	4	H		agree
p1_r10	13	34	H		agree
p1_r10	14	67	H		agree
p1_r10	15	13	H		agree
p1_r10	16	68	H		agree
p1_r10	17	72	H		agree
p1_r10	18	83	H		agree
p1_r10	19	37	H		agree
p1_r10	20	26	H		agree
p1_r10	21	72	H		agree
p1_r10	22	4	H		agree
p1_r10	23	34	H		agree
p1_r10	24	87	H		agree
