line	idx	sign	value	grade
p1_L03	12	180	?	U
p1_L03	13	141	?	U
p1_L03	14	54	n	M
p1_L03	15	98	m	M
p1_L03	16	26	i	M
p1_L03	17	68	?	U
p1_L03	18	22	u	M
p1_L03	19	68	?	U
p1_L03	20	81	?	U
p1_L03	21	27	r	M
p1_L03	22	48	e	M
p1_L03	23	29	t	M
p1_L03	24	149	?	U
p1_L03	25	65	m	M
p1_L03	26	6	?	U
p1_L03	27	25	c	M
p1_L03	28	9	?	U
p1_L04	1	88	?	U
p1_L04	2	111	?	U
p1_L04	3	42	t	M
p1_L04	4	30	i	M
p1_L04	5	12	?	U
p1_L04	6	61	e	M
p1_L04	7	26	i	M
p1_L04	8	12	?	U
p1_L04	9	88	?	U
p1_L04	10	77	o	M
p1_L04	11	116	u	M
p1_L04	12	81	?	U
p1_L04	13	31	?	U
p1_L04	14	33	?	U
p1_L04	15	69	p	M
p1_L04	16	26	i	M
p1_L04	17	81	?	U
p1_L04	18	27	r	M
p1_L04	19	41	q	M
p1_L04	20	28	NULL	M
p1_L04	21	42	t	M
p1_L04	22	2	?	U
p1_L04	23	31	?	U
p1_L04	24	61	e	M
p1_L04	25	14	?	U
p1_L04	26	68	?	U
p1_L04	27	4	?	U
p1_L05	1	72	?	U
p1_L05	2	12	?	U
p1_L05	3	276	?	U
p1_L05	8	81	?	U
p1_L05	9	32	u	M
p1_L05	10	48	e	M
p1_L05	11	71	?	U
p1_L05	12	2	?	U
p1_L05	13	26	i	M
p1_L05	14	14	?	U
p1_L05	15	38	e	M
p1_L05	16	66	l	M
p1_L05	17	71	?	U
p1_L05	18	42	t	M
p1_L05	19	10	a	M
p1_L05	20	27	r	M
p1_L05	21	23	NULL	M
p1_L05	22	9	?	U
p1_L05	23	4	?	U
p1_L05	24	21	l	M
p1_L06	1	83	?	U
p1_L06	2	117	l	M
p1_L06	3	59	NULL	C
p1_L06	4	25	c	M
p1_L06	5	77	o	M
p1_L06	6	81	?	U
p1_L06	7	127	n	M
p1_L06	8	128	r	M
p1_L06	9	73	?	U
p1_L06	10	42	t	M
p1_L06	11	77	o	M
p1_L06	12	118	t	M
p1_L06	13	12	?	U
p1_L06	14	28	NULL	M
p1_L06	15	63	?	U
p1_L06	16	79	n	M
p1_L06	17	39	a	M
p1_L06	18	34	s	M
p1_L06	19	61	e	M
p1_L06	20	9	?	U
p1_L06	21	40	?	U
p1_L06	22	4	?	U
p1_L06	23	12	?	U
p1_L06	24	83	?	U
p1_L06	25	3	?	U
p1_L06	26	83	?	U
p1_L07	1	26	i	M
p1_L07	2	71	?	U
p1_L07	3	27	r	M
p1_L07	4	30	i	M
p1_L07	5	45	?	U
p1_L07	6	53	r	M
p1_L07	7	47	p	M
p1_L07	8	46	o	M
p1_L07	9	37	s	M
p1_L07	10	81	?	U
p1_L07	11	101	n	M
p1_L07	12	29	t	M
p1_L07	13	64	s	M
p1_L07	14	6	?	U
p1_L07	15	38	e	M
p1_L07	16	72	?	U
p1_L07	17	12	?	U
p1_L07	18	26	i	M
p1_L07	19	82	?	U
p1_L07	20	102	NULL	M
p1_L07	21	22	u	M
p1_L07	22	28	NULL	M
p1_L07	23	140	NULL	M
p1_L08	1	33	?	U
p1_L08	2	75	?	U
p1_L08	3	51	?	U
p1_L08	4	12	?	U
p1_L08	5	48	e	M
p1_L08	6	29	t	M
p1_L08	7	62	m	M
p1_L08	8	42	t	M
p1_L08	9	27	r	M
p1_L08	10	19	?	U
p1_L08	11	25	c	M
p1_L08	12	7	?	U
p1_L08	13	28	NULL	M
p1_L08	14	62	m	M
p1_L08	15	54	n	M
p1_L08	16	10	a	M
p1_L08	17	29	t	M
p1_L08	18	62	m	M
p1_L08	19	83	?	U
p1_L08	20	9	?	U
p1_L08	21	2	?	U
p1_L08	22	28	NULL	M
p1_L08	23	16	?	U
p1_L09	1	33	?	U
p1_L09	2	46	o	M
p1_L09	3	28	NULL	M
p1_L09	4	73	?	U
p1_L09	5	27	r	M
p1_L09	6	25	c	M
p1_L09	7	56	o	M
p1_L09	8	24	e	M
p1_L09	9	43	?	U
p1_L09	10	82	?	U
p1_L09	11	23	NULL	M
p1_L09	12	27	r	M
p1_L09	13	81	?	U
p1_L09	14	2	?	U
p1_L09	15	77	o	M
p1_L09	16	69	p	M
p1_L09	17	104	?	U
p1_L09	18	74	?	U
p1_L09	19	31	?	U
p1_L09	20	26	i	M
p1_L09	21	72	?	U
p1_L09	22	60	NULL	M
p1_L09	23	59	NULL	M
p1_L09	24	87	?	U
p1_L09	25	25	c	M
p1_L10	1	13	?	U
p1_L10	2	2	?	U
p1_L10	3	84	?	U
p1_L10	4	82	?	U
p1_L10	5	22	u	M
p1_L10	6	192	?	U
p1_L10	7	28	NULL	M
p1_L10	8	9	?	U
p1_L10	9	4	?	U
p1_L10	10	12	?	U
p1_L10	11	41	q	M
p1_L10	12	13	?	U
p1_L10	13	77	o	M
p1_L10	14	84	?	U
p1_L10	15	4	?	U
p1_L10	16	34	s	M
p1_L10	17	67	t	M
p1_L10	18	13	?	U
p1_L10	19	68	?	U
p1_L10	20	72	?	U
p1_L10	21	83	?	U
p1_L10	22	31	?	U
p1_L10	23	26	i	M
p1_L10	24	72	?	U
p1_L10	25	4	?	U
p1_L10	26	34	s	M
p1_L10	27	81	?	U
p1_L10	28	88	?	U
p1_L11	1	4	?	U
p1_L11	2	13	?	U
p1_L11	3	2	?	U
p1_L11	4	68	?	U
p1_L11	5	82	?	U
p1_L11	6	85	?	U
p1_L11	7	61	e	M
p1_L11	8	39	a	M
p1_L11	9	67	t	M
p1_L11	10	4	?	U
p1_L11	11	12	?	U
p1_L11	12	60	NULL	M
p1_L11	13	84	?	U
p1_L11	14	39	a	M
p1_L11	15	26	i	M
p1_L11	16	150	?	U
p1_L11	17	128	r	M
p1_L11	18	136	?	U
p1_L11	19	46	o	M
p1_L11	20	52	i	M
p1_L11	21	28	NULL	M
p1_L11	22	84	?	U
p1_L11	23	112	?	U
p1_L11	24	42	t	M
p1_L11	25	27	r	M
p1_L12	1	54	n	M
p1_L12	2	46	o	M
p1_L12	3	27	r	M
p1_L12	4	9	?	U
p1_L12	6	83	?	U
p1_L12	7	16	?	U
p1_L12	8	101	n	M
p1_L12	9	114	?	U
p1_L12	10	43	?	U
p1_L12	11	12	?	U
p1_L12	12	79	n	M
p1_L12	13	40	?	U
p1_L12	14	29	t	M
p1_L12	15	9	?	U
p1_L12	16	28	NULL	M
p1_L12	17	77	o	M
p1_L12	18	59	NULL	M
p1_L12	19	11	?	U
p1_L12	20	202	?	U
p1_L12	21	12	?	U
p1_L12	22	201	?	U
p1_L12	23	12	?	U
p1_L13	1	33	?	U
p1_L13	2	62	m	M
p1_L13	3	42	t	M
p1_L13	4	88	?	U
p1_L13	5	279	?	U
p1_L13	13	59	NULL	M
p1_L13	14	37	s	M
p1_L13	15	25	c	M
p1_L13	16	76	?	U
p1_L13	17	2	?	U
p1_L13	18	31	?	U
p1_L13	19	142	?	U
p1_L13	20	51	?	U
p1_L13	21	52	i	M
p1_L13	22	61	e	M
p1_L13	23	2	?	U
p1_L14	1	33	?	U
p1_L14	2	42	t	M
p1_L14	3	88	?	U
p1_L14	4	62	m	M
p1_L14	5	13	?	U
p1_L14	6	82	?	U
p1_L14	7	40	?	U
p1_L14	8	62	m	M
p1_L14	9	7	?	U
p1_L14	10	41	q	M
p1_L14	11	54	n	M
p1_L14	12	40	?	U
p1_L14	13	27	r	M
p1_L14	14	67	t	M
p1_L14	15	39	a	M
p1_L14	16	29	t	M
p1_L14	17	62	m	M
p1_L14	18	38	e	M
p1_L14	19	26	i	M
p1_L14	20	73	?	U
p1_L14	21	27	r	M
p1_L14	22	31	?	U
p1_L14	23	33	?	U
p1_L14	24	142	?	U
p1_L14	25	121	?	U
p1_L14	26	7	?	U
p1_L15	1	62	m	M
p1_L15	2	54	n	M
p1_L15	3	4	?	U
p1_L15	4	27	r	M
p1_L15	5	48	e	M
p1_L15	6	26	i	M
p1_L15	7	57	i	M
p1_L15	8	101	n	M
p1_L15	9	81	?	U
p1_L15	10	12	?	U
p1_L15	11	54	n	M
p1_L15	12	40	?	U
p1_L15	13	27	r	M
p1_L15	14	67	t	M
p1_L15	15	2	?	U
p1_L15	16	78	r	M
p1_L15	17	61	e	M
p1_L15	18	4	?	U
p1_L15	19	6	?	U
p1_L15	20	105	c	M
p1_L15	21	27	r	M
p1_L15	22	31	?	U
p1_L15	23	67	t	M
p1_L15	24	29	t	M
p1_L15	25	12	?	U
p1_L15	26	7	?	U
p1_L16	1	30	i	M
p1_L16	2	102	NULL	M
p1_L16	3	29	t	M
p1_L16	4	12	?	U
p1_L16	5	12	?	U
p1_L16	6	6	?	U
p1_L16	7	41	q	M
p1_L16	8	47	p	M
p1_L16	9	39	a	M
p1_L16	10	72	?	U
p1_L16	11	81	?	U
p1_L16	12	31	?	U
p1_L16	13	54	n	M
p1_L16	14	39	a	M
p1_L16	15	29	t	M
p1_L16	16	74	?	U
p1_L16	17	116	u	M
p1_L16	18	47	p	M
p1_L16	19	26	i	M
p1_L16	20	148	?	U
p1_L16	21	81	?	U
p1_L16	22	120	n	M
p1_L16	23	56	o	M
p1_L16	24	61	e	M
