line	idx	sign	value	grade
p1_r01	3	?	?	U
p1_r01	7	?	?	U
p1_r01	12	?	?	U
p1_r01	13	?	?	U
p1_r01	14	?	?	U
p1_r01	20	?	?	U
p1_r01	21	?	?	U
p1_r01	1001	?	?	U
p1_r02	4	?	?	U
p1_r02	5	?	?	U
p1_r02	6	?	?	U
p1_r02	8	?	?	U
p1_r03	8	?	?	U
p1_r02	14	?	?	U
p1_r03	15	?	?	U
p1_r03	4	?	?	U
p1_r03	7	?	?	U
p1_r03	8	?	?	U
p1_r03	10	?	?	U
p1_r03	13	150	?	U
p1_r03	14	141	NULL	C
p1_r03	15	54	y	I
p1_r03	16	38	u	C
p1_r03	17	26	s	C
p1_r03	18	62	a	C
p1_r03	19	22	r	C
p1_r03	20	68	b	I
p1_r03	21	81	e	C
p1_r03	22	27	s	C
p1_r03	23	47	x	I
p1_r03	24	29	s	C
p1_r03	25	149	?	U
p1_r03	26	65	a	C
p1_r03	27	6	o	C
p1_r03	28	25	r	C
p1_r03	1001	?	?	U
p1_r04	1	78	d	C
p1_r04	2	111	l	C
p1_r04	3	42	v	I
p1_r04	4	30	s	C
p1_r04	5	12	p	C
p1_r04	6	67	b	I
p1_r04	7	26	s	C
p1_r04	8	12	p	C
p1_r04	9	88	f	C
p1_r04	10	77	d	C
p1_r04	11	116	m	C
p1_r04	12	?	?	U
p1_r04	13	31	t	C
p1_r04	14	33	t	C
p1_r04	15	69	b	I
p1_r04	16	36	u	C
p1_r04	17	81	e	C
p1_r04	18	27	s	C
p1_r04	19	47	x	I
p1_r04	20	28	s	C
p1_r04	21	42	v	I
p1_r04	22	2	n	C
p1_r04	23	31	t	C
p1_r04	24	62	a	C
p1_r04	25	14	p	C
p1_r04	26	68	b	I
p1_r04	27	4	n	C
p1_r05	1	72	c	C
p1_r05	2	12	p	C
p1_r05	3	276	?	U
p1_r05	4	?	?	U
p1_r05	6	?	?	U
p1_r05	7	?	?	U
p1_r05	8	81	e	C
p1_r05	9	32	t	C
p1_r05	10	150	?	U
p1_r05	11	71	c	C
p1_r05	12	2	n	C
p1_r05	13	26	s	C
p1_r05	14	14	p	C
p1_r05	15	38	u	C
p1_r05	16	66	b	C
p1_r05	17	77	d	C
p1_r05	18	42	v	I
p1_r05	19	40	u	C
p1_r05	20	27	s	C
p1_r05	21	?	?	U
p1_r05	22	9	o	C
p1_r05	23	4	n	C
p1_r05	24	27	s	C
p1_r06	1	85	e	C
p1_r06	2	117	m	C
p1_r06	3	59	z	I
p1_r06	4	25	r	C
p1_r06	5	77	d	C
p1_r06	6	84	e	C
p1_r06	7	127	?	U
p1_r06	8	138	?	U
p1_r06	9	73	c	C
p1_r06	10	42	v	I
p1_r06	11	77	d	C
p1_r06	12	118	m	C
p1_r06	13	12	p	C
p1_r06	14	28	s	C
p1_r06	15	63	a	C
p1_r06	16	79	d	C
p1_r06	17	39	u	C
p1_r06	18	?	?	U
p1_r06	19	61	a	C
p1_r06	20	9	o	C
p1_r06	21	40	u	C
p1_r06	22	4	n	C
p1_r06	23	12	p	C
p1_r06	24	83	e	C
p1_r06	25	3	n	C
p1_r06	26	83	e	C
p1_r07	1	16	q	C
