# Generated by tools/decode_key.py --config decode_wv2.json from ciphertext_5810.tsv + key.tsv (W1, 24 Sept 2026); do not edit.
# WV2 letter 5810 (6 Jan 1574), two blind Sonnet passes reconciled by wv2/build.py; key R18's (4613/4615). tokens 3096: H 0, C 0, S 0, M 2771, I 103, U 222
05810_p1_L09 | {autre}{part}{comme}··letemps
05810_p1_L10 | etlasyisondelheuersaduf
05810_p1_L11 | ncfbienfortet··{petit}{a}{petit}{s'approchera}·
05810_p1_L12 | ·meprkmeuere··etquedes
05810_p1_L13 | ·predtedques·etsedreuesm
05810_p1_L14 | fneesdemennemk·{nos}{devons}{aulcunement}
05810_p1_L15 | {doubter}·einsnousesseurerqui
05810_p1_L16 | l{promectra}{bruq}{pour}·aeentleloisir
05810_p1_L17 | semectse·ennouuelfqui
05810_p1_L18 | ppeige·{pour}{mud}{donner}·qlusdeffe
05810_p1_L19 | iresqufpereuent[uingt]mesmess
05810_p1_L20 | ilnous{sortes}{croix}{ou}···dfsuitefde
05810_p1_L21 | foutsec·urs·etnofuilles{par}
05810_p1_L22 | {tant}{de}{frais}{et}{despences}siforucherfees·
05810_p1_L23 | quesemonepperencfhumeinf
05810_p1_L24 | fllfsneqourroeeotloogu
05810_p1_L25 | ementsuosistes··sens·
05810_p1_L26 | {quelquun}{bon}{secours}{et}{soulaigement}{vous}{prie}{le}{plus}{affectueusement}
05810_p1_L27 | {quil}{mest}{possible}{que}{en}{toute}{diligence}{me}{veuillez}·fuure
05810_p1_L28 | eettouuouuertementmendere
05810_p1_L29 | nquelesuetsontuofeffeire
05810_p1_L30 | sqerdel·{et}{sur}{ce}{brief}·uousferefq
05810_p1_L31 | uelqueesremflee{tantoctement}·que
05810_p1_L32 | ·secoursnouseuoosseurfme
05810_p1_L33 | nt·eettenfdredeuoss{et}{larrest}
05810_p1_L34 | {qui}{en}{est}{promis}sensmedissimule
05810_p1_L35 | reudunedhosem·efinque··
05810_p1_L36 | uouspuissionsice·{signer}{et}{faire}{grant}
05810_p1_L37 | {solon}{cela}{pour}{apres}unelongueet··uei
05810_p1_L38 | eefttentedesecours·netomd
05810_p1_L39 | erfu·{mesme}{inconvenient}{quon}{nous}{advient}·ell
05810_p1_L40 | endrhktmffonne[uillede]de···aq
05810_p1_L41 | uflleepres·sestre··si
05810_p1_L42 | {vaillamment}{maintenue}{et}{avoir}{tant}{souffert}·surles
05810_p2_L01 | poirquedeioureniourieluf
05810_p2_L02 | bonn·ksdusec·ursqufnoussece
05810_p2_L03 | purions·{fust}{a}{la}{fin}{sonstramere}·rerendr
05810_p2_L04 | e·ale·mercedesennemis·
05810_p2_L05 | ·qukmonttreicteesiinhum
05810_p2_L06 | einement·{que}{la}{souvenance}{des}{cruaultez}{y}{expressees}
05810_p2_L07 | {ne}{se}{poura}{tamais}{oster}{que}{quand}{ce}{regard}{debuons}{bien}{penser}
05810_p2_L08 | ··queltreictemfnt[uingt]··
05810_p2_L09 | mennemeferoiteuxenltresq
05810_p2_L10 | ukperfeulsedfsecourspour
05810_p2_L11 | soient··{tomber}{entre}{bos}{mains}{puis}{que}{lui}·be
05810_p2_L12 | puislerendktioo·dudicu·
05810_p2_L13 | ·eseceutenten·veterlendt
05810_p2_L14 | queicfenr{si}{grand}{secours}{certes}{honte}{et}
05810_p2_L15 | {vergongne}{vous}{cognaissez}··sonneturemno
05810_p2_L16 | nseulmementemfktieuxetu
05810_p2_L17 | kndicetefmeisquesk·
05810_p2_L18 | {despouiller}{de}{toute}{humanite}{je}{ne}{vous}{diz}{promect}{tout}{cecy}{pour}
05810_p2_L19 | {aultrement}·medeffiordeuoh·nne
05810_p2_L20 | sdiligences··{apantoy}{debuant}{par}{plusieurs}
05810_p2_L21 | ·lettresuostresessefuful
05810_p2_L22 | esbonsdefuokrq{que}{vous}{faictes}{sans}{cesse}
05810_p2_L23 | {mais}{pourtant}{que}{plusieurs}·mofesdesque
05810_p2_L24 | lfmeuef·feicuouufstur
05810_p2_L25 | e·{et}{lesquelz}{par}{trouver}{bien}{bons}{sont}{toutesfois}·tiref
05810_p2_L26 | enfrende[uingt]longueuretquel
05810_p2_L27 | eterdiuitedelexecution·
05810_p2_L28 | oousepporte·{des}{dommaiges}{et}{inconvenients}
05810_p2_L29 | {irreparables}{dont}{pourrez}{facillement}{considerer}{combien}·med
05810_p2_L30 | ilkgenceennofecuionsestr
05810_p2_L31 | equise·etqufungeofsedour
05810_p2_L32 | snous··tireroiu{maintenant}{auecq}{peu}{de}
05810_p2_L33 | {raison}·horsdetouskeulx{estans}
05810_p2_L34 | k·forces·fnnemiestentde
05810_p2_L35 | scoureheesdesuniesetesp
05810_p2_L36 | ersesde··uousdoste·{sur}{ces}
05810_p2_L37 | {faict}{aultresfois}{vous}{prier}{que}··incontinentce
05810_p2_L38 | steueue{te}{puisse}{avoir}··efsolute·
05810_p2_L39 | responseffuousetplustos
05810_p2_L40 | tpesdeux·utrois·diuesss
05810_p2_L41 | esuoies··
05810_p2_L42 | {pour}{ce}{que}{dessus}{est}{bien}{arrivé}{le}{tout}{porteur}{avecq}{pnő}{les}{des}{mon}{frere}
05810_p3_L06 | ···puismufieneeetrouu
05810_p3_L07 | f·eucuneesoluukedeunf
05810_p3_L08 | ·fffeires·bienxuesuks
05810_p3_L09 | esuffksedeueoksquele
05810_p3_L10 | ·confederetkonperdele·
05810_p3_L11 | quesceuefl{affin}{bon}{termes}{et}{que}··
05810_p3_L12 | ·{semble}{proceder}{auecque}{toute}{sinceritez}{et}{toutesfois}{se}{fera}{bon}
05810_p3_L13 | {de}{prendre}{toujours}{esgard}{a}{ses}{actions}·etquefie
05810_p3_L14 | ntostimfeceepperolstre·
05810_p3_L15 | quelquefonefffdtpct·{sur}
05810_p3_L16 | {quil}{nous}{seruoit}{dassurance}{jan}{aussi}{si}{bon}{desir}{de}{entrer}{au}{bran}
05810_p3_L17 | leqesseigeduroeoofqol
05810_p3_L18 | oingne·{et}{tu}{sceus}{a}{ru}{mon}{frere}{le}{conte}{louis}·
05810_p3_L19 | leureconduicr{dont}{il}{y}{a}{grand}{bruit}
05810_p5_L08 | ···le
05810_p5_L09 | tempsetlasaksondelheuer
05810_p5_L10 | sbdfancebienfortet··{petit}{a}{petit}
05810_p5_L11 | {sapprochera}[uingt]·laprkmeuere··etque
05810_p5_L12 | des·pradcycques·etsecretes
05810_p5_L13 | meneesdelennemk·{ne}{debuons}{aulcunement}{doubter}
05810_p5_L14 | ·ainsnousasseurerquil{promettra}
05810_p5_L15 | {pour}·aeantlemoisirsemecupe
05810_p5_L16 | ·ennouuelequippaige·{pour}{vous}
05810_p5_L17 | {donner}·plusdaffaisesquaparaua
05810_p5_L18 | nu[uingt]mesmessilnous{sortes}{encoires}···
05810_p5_L19 | descitezdetoutsecours·et
05810_p5_L20 | nozuilles{par}{tant}{de}{frais}{et}{despences}sifort
05810_p5_L21 | chargees·queselonapparoce
05810_p5_L22 | humaineellesnepourroeent
05810_p5_L23 | longuementsubsister··
05810_p5_L24 | bans·{quelque}{bon}{secours}{et}{soulaigement}{vous}{prie}{de}{plus}{affectueusement}
05810_p5_L25 | {que}{mest}{possible}{quen}{toute}{diligence}{me}{deuentez}·auuray
05810_p5_L26 | ettoutouuertementmanderen
05810_p5_L27 | quelestausontuofaffaires
05810_p5_L28 | pardel·{et}{sur}{ce}{brief}·uousferez
05810_p5_L29 | quelqueassamaler{promptement}·quel
05810_p5_L30 | secoursnousadonsseurement
05810_p5_L31 | ·aatnendredeuoss{et}
05810_p5_L32 | {larrest}{que}{en}{est}{promis}sansmedissimuler
05810_p5_L33 | aucuneczuse··afinque··
05810_p5_L34 | nouspuissionsice·{signer}{et}{faire}
05810_p5_L35 | {estat}{selon}{cela}{pour}{apres}unelongueet[uingt]·
05810_p5_L36 | uaineattentedesecours·
05810_p5_L37 | netomberau·{mesme}{inconvenient}{qui}{nous}{advint}
05810_p5_L38 | ·allendroitlabonne[uillede]de·
05810_p5_L39 | ·laquelleapres·sestre
05810_p6_L01 | ··si{vaillamment}{maintenue}{et}{avoir}{tant}{souffert}·
05810_p6_L02 | surlespoirquedeiouren
05810_p6_L03 | iourielufdonnoksdusecour
05810_p6_L04 | qufnousrecepurions·{fust}{a}{la}
05810_p6_L05 | {fin}{constramere}·serendre·ala·
05810_p6_L06 | mfrcydesennemis··quk
05810_p6_L07 | lonttraicteesiinhumaine
05810_p6_L08 | ment·{que}{la}{souvenance}{des}{cruaultez}{y}{expressees}{que}{se}
05810_p6_L09 | {pourra}{jamais}{oblandre}{quand}{ce}{regard}{debuons}{bien}{penser}[uingt]·
05810_p6_L10 | queltraictemfnt[uingt]··
05810_p6_L11 | lennemefroitauxaultnes
05810_p6_L12 | qukparfauluedfsecours
05810_p6_L13 | pourroient··{tomber}{entre}{bos}{mains}{puis}{que}
05810_p6_L14 | {lui}·depuislarendktion
05810_p6_L15 | ·dudict··areceutant
05810_p6_L16 | en·vaterlandtqueicyen
05810_p6_L17 | ·{si}{grand}{secours}{porte}{honte}{et}{desergongne}{vous}{cognoistrez}
05810_p6_L18 | ··sonnaturelnonseullement
05810_p6_L19 | ambktieuxetukndicatyf
05810_p6_L20 | maisquask·{despouiller}{de}{toute}{humanite}{je}
05810_p6_L21 | {ne}{vous}{diz}{point}{tout}{cecy}{pour}{aucunement}·medeffier
05810_p6_L22 | deuobbonnesdiligences··
05810_p6_L23 | {apant}{enduant}{par}{plusieurs}·lettresuostres
05810_p6_L24 | assezueulesbonsdebuokrs
