line	briefnr	page	index	token
4613_p1_L01	4613	p1	1	=Monsigneur?
4613_p1_L01	4613	p1	2	=depuis?
4613_p1_L01	4613	p1	3	=nostre
4613_p1_L01	4613	p1	4	=dernier?
4613_p1_L01	4613	p1	5	=lettre?
4613_p1_L01	4613	p1	6	=par
4613_p1_L01	4613	p1	7	=du
4613_p1_L01	4613	p1	8	=quel
4613_p1_L01	4613	p1	9	=nous
4613_p1_L01	4613	p1	10	=vous
4613_p1_L01	4613	p1	11	=auons?
4613_p1_L01	4613	p1	12	§?
4613_p1_L02	4613	p1	1	81
4613_p1_L02	4613	p1	2	1
4613_p1_L02	4613	p1	3	19
4613_p1_L02	4613	p1	4	36
4613_p1_L02	4613	p1	5	82
4613_p1_L02	4613	p1	6	iii
4613_p1_L02	4613	p1	7	112
4613_p1_L02	4613	p1	8	88
4613_p1_L02	4613	p1	9	31
4613_p1_L02	4613	p1	10	21
4613_p1_L02	4613	p1	11	61
4613_p1_L02	4613	p1	12	71
4613_p1_L02	4613	p1	13	72
4613_p1_L02	4613	p1	14	84
4613_p1_L02	4613	p1	15	2
4613_p1_L02	4613	p1	16	61
4613_p1_L02	4613	p1	17	37
4613_p1_L02	4613	p1	18	26
4613_p1_L02	4613	p1	19	88?
4613_p1_L02	4613	p1	20	27?
4613_p1_L02	4613	p1	21	92?
4613_p1_L03	4613	p1	1	64?
4613_p1_L03	4613	p1	2	30?
4613_p1_L03	4613	p1	3	62?
4613_p1_L03	4613	p1	4	72
4613_p1_L03	4613	p1	5	4
4613_p1_L03	4613	p1	6	8
4613_p1_L03	4613	p1	7	39
4613_p1_L03	4613	p1	8	29
4613_p1_L03	4613	p1	9	22
4613_p1_L03	4613	p1	10	83
4613_p1_L03	4613	p1	11	36
4613_p1_L03	4613	p1	12	27
4613_p1_L03	4613	p1	13	32
4613_p1_L03	4613	p1	14	23
4613_p1_L03	4613	p1	15	84
4613_p1_L03	4613	p1	16	28
4613_p1_L03	4613	p1	17	113
4613_p1_L03	4613	p1	18	85
4613_p1_L03	4613	p1	19	17?
4613_p1_L03	4613	p1	20	90?
4613_p1_L04	4613	p1	1	7
4613_p1_L04	4613	p1	2	7
4613_p1_L04	4613	p1	3	38
4613_p1_L04	4613	p1	4	29
4613_p1_L04	4613	p1	5	10
4613_p1_L04	4613	p1	6	5
4613_p1_L04	4613	p1	7	31
4613_p1_L04	4613	p1	8	62
4613_p1_L04	4613	p1	9	113
4613_p1_L04	4613	p1	10	63
4613_p1_L04	4613	p1	11	85
4613_p1_L04	4613	p1	12	102
4613_p1_L04	4613	p1	13	7
4613_p1_L04	4613	p1	14	63
4613_p1_L04	4613	p1	15	72
4613_p1_L04	4613	p1	16	74
4613_p1_L04	4613	p1	17	10
4613_p1_L04	4613	p1	18	24
4613_p1_L04	4613	p1	19	77
4613_p1_L04	4613	p1	20	81
4613_p1_L04	4613	p1	21	136?
4613_p1_L04	4613	p1	22	135?
4613_p1_L04	4613	p1	23	92?
4613_p1_L05	4613	p1	1	108
4613_p1_L05	4613	p1	2	107
4613_p1_L05	4613	p1	3	116
4613_p1_L05	4613	p1	4	7
4613_p1_L05	4613	p1	5	104
4613_p1_L05	4613	p1	6	20
4613_p1_L05	4613	p1	7	67
4613_p1_L05	4613	p1	8	77
4613_p1_L05	4613	p1	9	88
4613_p1_L05	4613	p1	10	72
4613_p1_L05	4613	p1	11	18
4613_p1_L05	4613	p1	12	37
4613_p1_L05	4613	p1	13	81
4613_p1_L05	4613	p1	14	115
4613_p1_L05	4613	p1	15	73
4613_p1_L05	4613	p1	16	84
4613_p1_L05	4613	p1	17	73
4613_p1_L05	4613	p1	18	6
4613_p1_L05	4613	p1	19	117
4613_p1_L05	4613	p1	20	118
4613_p1_L05	4613	p1	21	92
4613_p1_L05	4613	p1	22	2
4613_p1_L05	4613	p1	23	75
4613_p1_L05	4613	p1	24	84
4613_p1_L05	4613	p1	25	114
4613_p1_L05	4613	p1	26	81
4613_p1_L05	4613	p1	27	§?
4613_p1_L05	4613	p1	28	77
4613_p1_L05	4613	p1	29	77?
4613_p1_L06	4613	p1	1	82
4613_p1_L06	4613	p1	2	3
4613_p1_L06	4613	p1	3	33
4613_p1_L06	4613	p1	4	76
4613_p1_L06	4613	p1	5	92
4613_p1_L06	4613	p1	6	12
4613_p1_L06	4613	p1	7	36
4613_p1_L06	4613	p1	8	113
4613_p1_L06	4613	p1	9	27
4613_p1_L06	4613	p1	10	2
4613_p1_L06	4613	p1	11	7
4613_p1_L06	4613	p1	12	40
4613_p1_L06	4613	p1	13	30
4613_p1_L06	4613	p1	14	65
4613_p1_L06	4613	p1	15	37
4613_p1_L06	4613	p1	16	10
4613_p1_L06	4613	p1	17	5
4613_p1_L06	4613	p1	18	20
4613_p1_L06	4613	p1	19	17
4613_p1_L06	4613	p1	20	61
4613_p1_L06	4613	p1	21	26
4613_p1_L07	4613	p1	1	79
4613_p1_L07	4613	p1	2	82
4613_p1_L07	4613	p1	3	70?
4613_p1_L07	4613	p1	4	6
4613_p1_L07	4613	p1	5	40
4613_p1_L07	4613	p1	6	26
4613_p1_L07	4613	p1	7	2
4613_p1_L07	4613	p1	8	7
4613_p1_L07	4613	p1	9	38
4613_p1_L07	4613	p1	10	83
4613_p1_L07	4613	p1	11	112
4613_p1_L07	4613	p1	12	84
4613_p1_L07	4613	p1	13	28
4613_p1_L07	4613	p1	14	15
4613_p1_L07	4613	p1	15	37
4613_p1_L07	4613	p1	16	81
4613_p1_L07	4613	p1	17	115
4613_p1_L07	4613	p1	18	92
4613_p1_L07	4613	p1	19	76
4613_p1_L07	4613	p1	20	83
4613_p1_L07	4613	p1	21	22
4613_p1_L07	4613	p1	22	1
4613_p1_L07	4613	p1	23	102
4613_p1_L08	4613	p1	1	21
4613_p1_L08	4613	p1	2	85
4613_p1_L08	4613	p1	3	30
4613_p1_L08	4613	p1	4	17
4613_p1_L08	4613	p1	5	36
4613_p1_L08	4613	p1	6	61
4613_p1_L08	4613	p1	7	37
4613_p1_L08	4613	p1	8	8
4613_p1_L08	4613	p1	9	2
4613_p1_L08	4613	p1	10	29
4613_p1_L08	4613	p1	11	21
4613_p1_L08	4613	p1	12	82
4613_p1_L08	4613	p1	13	71
4613_p1_L08	4613	p1	14	83
4613_p1_L08	4613	p1	15	79
4613_p1_L08	4613	p1	16	ii
4613_p1_L08	4613	p1	17	63
4613_p1_L08	4613	p1	18	26
4613_p1_L09	4613	p1	1	96
4613_p1_L09	4613	p1	2	9
4613_p1_L09	4613	p1	3	118
4613_p1_L09	4613	p1	4	85
4613_p1_L09	4613	p1	5	113
4613_p1_L09	4613	p1	6	84
4613_p1_L09	4613	p1	7	18
4613_p1_L09	4613	p1	8	37
4613_p1_L09	4613	p1	9	82
4613_p1_L09	4613	p1	10	112
4613_p1_L09	4613	p1	11	62
4613_p1_L09	4613	p1	12	85
4613_p1_L09	4613	p1	13	40
4613_p1_L09	4613	p1	14	iii
4613_p1_L09	4613	p1	15	64
4613_p1_L09	4613	p1	16	28
4613_p1_L09	4613	p1	17	72
4613_p1_L09	4613	p1	18	96
4613_p1_L09	4613	p1	19	65
4613_p1_L09	4613	p1	20	21
4613_p1_L09	4613	p1	21	9?
4613_p1_L10	4613	p1	1	76
4613_p1_L10	4613	p1	2	82
4613_p1_L10	4613	p1	3	112
4613_p1_L10	4613	p1	4	65
4613_p1_L10	4613	p1	5	312?
4613_p1_L10	4613	p1	6	218?
4613_p1_L10	4613	p1	7	=pour?
4613_p1_L10	4613	p1	8	=auoir?
4613_p1_L10	4613	p1	9	=nous?
4613_p1_L10	4613	p1	10	=vous?
4613_p1_L10	4613	p1	11	=puissiez?
4613_p1_L10	4613	p1	12	=escripre?
4613_p1_L10	4613	p1	13	=ben?
4613_p1_L11	4613	p1	1	2
4613_p1_L11	4613	p1	2	6
4613_p1_L11	4613	p1	3	37
4613_p1_L11	4613	p1	4	26
4613_p1_L11	4613	p1	5	118
4613_p1_L11	4613	p1	6	62
4613_p1_L11	4613	p1	7	2
4613_p1_L11	4613	p1	8	76
4613_p1_L11	4613	p1	9	81
4613_p1_L11	4613	p1	10	22
4613_p1_L11	4613	p1	11	79
4613_p1_L11	4613	p1	12	8
4613_p1_L11	4613	p1	13	27
4613_p1_L11	4613	p1	14	31
4613_p1_L11	4613	p1	15	23
4613_p1_L11	4613	p1	16	82
4613_p1_L11	4613	p1	17	55
4613_p1_L11	4613	p1	18	80
4613_p1_L11	4613	p1	19	36
4613_p1_L11	4613	p1	20	107
4613_p1_L11	4613	p1	21	20
4613_p1_L11	4613	p1	22	82
4613_p1_L11	4613	p1	23	22?
4613_p1_L12	4613	p1	1	21
4613_p1_L12	4613	p1	2	81
4613_p1_L12	4613	p1	3	30
4613_p1_L12	4613	p1	4	19
4613_p1_L12	4613	p1	5	111
4613_p1_L12	4613	p1	6	36
4613_p1_L12	4613	p1	7	32
4613_p1_L12	4613	p1	8	105
4613_p1_L12	4613	p1	9	9
4613_p1_L12	4613	p1	10	5
4613_p1_L12	4613	p1	11	29
4613_p1_L12	4613	p1	12	38
4613_p1_L12	4613	p1	13	24
4613_p1_L12	4613	p1	14	34
4613_p1_L12	4613	p1	15	10
4613_p1_L12	4613	p1	16	40
4613_p1_L12	4613	p1	17	35
4613_p1_L12	4613	p1	18	61
4613_p1_L12	4613	p1	19	79
4613_p1_L12	4613	p1	20	12
4613_p1_L12	4613	p1	21	112
4613_p1_L12	4613	p1	22	36
4613_p1_L12	4613	p1	23	26?
4613_p1_L13	4613	p1	1	31
4613_p1_L13	4613	p1	2	6
4613_p1_L13	4613	p1	3	26
4613_p1_L13	4613	p1	4	32
4613_p1_L13	4613	p1	5	16
4613_p1_L13	4613	p1	6	40
4613_p1_L13	4613	p1	7	102
4613_p1_L13	4613	p1	8	86
4613_p1_L13	4613	p1	9	62
4613_p1_L13	4613	p1	10	103
4613_p1_L13	4613	p1	11	28
4613_p1_L13	4613	p1	12	82
4613_p1_L13	4613	p1	13	71
4613_p1_L13	4613	p1	14	83
4613_p1_L13	4613	p1	15	15
4613_p1_L13	4613	p1	16	9
4613_p1_L13	4613	p1	17	38
4613_p1_L13	4613	p1	18	112
4613_p1_L13	4613	p1	19	22
4613_p1_L13	4613	p1	20	62?
4613_p1_L14	4613	p1	1	=nous
4613_p1_L14	4613	p1	2	2
4613_p1_L14	4613	p1	3	83
4613_p1_L14	4613	p1	4	14
4613_p1_L14	4613	p1	5	65
4613_p1_L14	4613	p1	6	24
4613_p1_L14	4613	p1	7	76
4613_p1_L14	4613	p1	8	8
4613_p1_L14	4613	p1	9	4
4613_p1_L14	4613	p1	10	27
4613_p1_L14	4613	p1	11	13
4613_p1_L14	4613	p1	12	62
4613_p1_L14	4613	p1	13	28
4613_p1_L14	4613	p1	14	113
4613_p1_L14	4613	p1	15	85
4613_p1_L14	4613	p1	16	31
4613_p1_L14	4613	p1	17	84
4613_p1_L14	4613	p1	18	119
4613_p1_L14	4613	p1	19	12
4613_p1_L14	4613	p1	20	28?
4613_p1_L15	4613	p1	1	iii
4613_p1_L15	4613	p1	2	83
4613_p1_L15	4613	p1	3	20
4613_p1_L15	4613	p1	4	40
4613_p1_L15	4613	p1	5	82
4613_p1_L15	4613	p1	6	112
4613_p1_L15	4613	p1	7	8
4613_p1_L15	4613	p1	8	26
4613_p1_L15	4613	p1	9	31
4613_p1_L15	4613	p1	10	66
4613_p1_L15	4613	p1	11	101
4613_p1_L15	4613	p1	12	85
4613_p1_L15	4613	p1	13	5
4613_p1_L15	4613	p1	14	72
4613_p1_L15	4613	p1	15	6
4613_p1_L15	4613	p1	16	40
4613_p1_L15	4613	p1	17	25
4613_p1_L15	4613	p1	18	=quant?
4613_p1_L15	4613	p1	19	=a
4613_p1_L15	4613	p1	20	=nous
4613_p1_L16	4613	p1	1	90
4613_p1_L16	4613	p1	2	21
4613_p1_L16	4613	p1	3	61
4613_p1_L16	4613	p1	4	1
4613_p1_L16	4613	p1	5	71
4613_p1_L16	4613	p1	6	6
4613_p1_L16	4613	p1	7	101
4613_p1_L16	4613	p1	8	36
4613_p1_L16	4613	p1	9	2
4613_p1_L16	4613	p1	10	7
4613_p1_L16	4613	p1	11	37
4613_p1_L16	4613	p1	12	26
4613_p1_L16	4613	p1	13	62
4613_p1_L16	4613	p1	14	39
4613_p1_L16	4613	p1	15	8
4613_p1_L16	4613	p1	16	7
4613_p1_L16	4613	p1	17	30?
4613_p1_L17	4613	p1	1	76
4613_p1_L17	4613	p1	2	81
4613_p1_L17	4613	p1	3	4
4613_p1_L17	4613	p1	4	9
4613_p1_L17	4613	p1	5	39
4613_p1_L17	4613	p1	6	83
4613_p1_L17	4613	p1	7	111
4613_p1_L17	4613	p1	8	114
4613_p1_L17	4613	p1	9	34
4613_p1_L17	4613	p1	10	27
4613_p1_L17	4613	p1	11	16
4613_p1_L17	4613	p1	12	35
4613_p1_L17	4613	p1	13	102
4613_p1_L17	4613	p1	14	123
4613_p1_L17	4613	p1	15	57
4613_p1_L17	4613	p1	16	28
4613_p1_L17	4613	p1	17	82
4613_p1_L17	4613	p1	18	21
4613_p1_L17	4613	p1	19	22
4613_p1_L17	4613	p1	20	6
4613_p1_L17	4613	p1	21	1
4613_p1_L17	4613	p1	22	31?
4613_p1_L18	4613	p1	1	60
4613_p1_L18	4613	p1	2	102
4613_p1_L18	4613	p1	3	81
4613_p1_L18	4613	p1	4	2
4613_p1_L18	4613	p1	5	21
4613_p1_L18	4613	p1	6	7
4613_p1_L18	4613	p1	7	26
4613_p1_L18	4613	p1	8	32
4613_p1_L18	4613	p1	9	30
4613_p1_L18	4613	p1	10	40
4613_p1_L18	4613	p1	11	25
4613_p1_L18	4613	p1	12	111
4613_p1_L18	4613	p1	13	61
4613_p1_L18	4613	p1	14	120
4613_p1_L18	4613	p1	15	85
4613_p1_L18	4613	p1	16	30
4613_p1_L18	4613	p1	17	27
4613_p1_L18	4613	p1	18	82
4613_p1_L18	4613	p1	19	111
4613_p1_L18	4613	p1	20	112
4613_p1_L18	4613	p1	21	84?
4613_p1_L19	4613	p1	1	81
4613_p1_L19	4613	p1	2	73
4613_p1_L19	4613	p1	3	104
4613_p1_L19	4613	p1	4	112
4613_p1_L19	4613	p1	5	81
4613_p1_L19	4613	p1	6	62
4613_p1_L19	4613	p1	7	16
4613_p1_L19	4613	p1	8	36
4613_p1_L19	4613	p1	9	101
4613_p1_L19	4613	p1	10	2
4613_p1_L19	4613	p1	11	56
4613_p1_L19	4613	p1	12	82
4613_p1_L19	4613	p1	13	73
4613_p1_L19	4613	p1	14	83
4613_p1_L19	4613	p1	15	5
4613_p1_L19	4613	p1	16	32
4613_p1_L19	4613	p1	17	339?
4613_p1_L19	4613	p1	18	81
4613_p1_L19	4613	p1	19	32
4613_p1_L19	4613	p1	20	33
4613_p1_L19	4613	p1	21	21
4613_p1_L19	4613	p1	22	6?
4613_p1_L20	4613	p1	1	105
4613_p1_L20	4613	p1	2	26
4613_p1_L20	4613	p1	3	72
4613_p1_L20	4613	p1	4	82
4613_p1_L20	4613	p1	5	5
4613_p1_L20	4613	p1	6	34
4613_p1_L20	4613	p1	7	338
4613_p1_L20	4613	p1	8	2
4613_p1_L20	4613	p1	9	6
4613_p1_L20	4613	p1	10	30
4613_p1_L20	4613	p1	11	20
4613_p1_L20	4613	p1	12	81
4613_p1_L20	4613	p1	13	27
4613_p1_L20	4613	p1	14	12
4613_p1_L20	4613	p1	15	83
4613_p1_L20	4613	p1	16	21
4613_p1_L20	4613	p1	17	6
4613_p1_L20	4613	p1	18	1
4613_p1_L20	4613	p1	19	28
4613_p1_L21	4613	p1	1	26
4613_p1_L21	4613	p1	2	82
4613_p1_L21	4613	p1	3	22
4613_p1_L21	4613	p1	4	10
4613_p1_L21	4613	p1	5	5
4613_p1_L21	4613	p1	6	61?
4613_p1_L21	4613	p1	7	86
4613_p1_L21	4613	p1	8	62
4613_p1_L21	4613	p1	9	101
4613_p1_L21	4613	p1	10	112
4613_p1_L21	4613	p1	11	103
4613_p1_L21	4613	p1	12	92
4613_p1_L21	4613	p1	13	21
4613_p1_L21	4613	p1	14	92
4613_p1_L21	4613	p1	15	31
4613_p1_L21	4613	p1	16	102
4613_p1_L21	4613	p1	17	23
4613_p1_L21	4613	p1	18	83
4613_p1_L21	4613	p1	19	23
4613_p1_L22	4613	p1	1	=autrement?
4613_p1_L22	4613	p1	2	92
4613_p1_L22	4613	p1	3	82
4613_p1_L22	4613	p1	4	3
4613_p1_L22	4613	p1	5	26
4613_p1_L22	4613	p1	6	76
4613_p1_L22	4613	p1	7	63
4613_p1_L22	4613	p1	8	33
4613_p1_L22	4613	p1	9	15
4613_p1_L22	4613	p1	10	21
4613_p1_L22	4613	p1	11	31
4613_p1_L22	4613	p1	12	77
4613_p1_L22	4613	p1	13	85
4613_p1_L22	4613	p1	14	112
4613_p1_L22	4613	p1	15	61
4613_p1_L22	4613	p1	16	312
4613_p1_L22	4613	p1	17	275
4613_p1_L22	4613	p1	18	62?
4613_p1_L23	4613	p1	1	71
4613_p1_L23	4613	p1	2	62
4613_p1_L23	4613	p1	3	39
4613_p1_L23	4613	p1	4	26
4613_p1_L23	4613	p1	5	90
4613_p1_L23	4613	p1	6	108
4613_p1_L23	4613	p1	7	83
4613_p1_L23	4613	p1	8	4
4613_p1_L23	4613	p1	9	32
4613_p1_L23	4613	p1	10	8
4613_p1_L23	4613	p1	11	39
4613_p1_L23	4613	p1	12	24
4613_p1_L23	4613	p1	13	76
4613_p1_L23	4613	p1	14	81
4613_p1_L23	4613	p1	15	41
4613_p1_L23	4613	p1	16	82
4613_p1_L23	4613	p1	17	31
4613_p1_L23	4613	p1	18	96
4613_p1_L23	4613	p1	19	83
4613_p1_L23	4613	p1	20	128
4613_p1_L23	4613	p1	21	82
4613_p1_L23	4613	p1	22	33
4613_p1_L23	4613	p1	23	73
4613_p1_L23	4613	p1	24	61
4613_p1_L23	4613	p1	25	21
4613_p1_L23	4613	p1	26	31?
4613_p1_L24	4613	p1	1	ii?
4613_p1_L24	4613	p1	2	113
4613_p1_L24	4613	p1	3	50
4613_p1_L24	4613	p1	4	=tt?
4613_p1_L24	4613	p1	5	84
4613_p1_L24	4613	p1	6	33
4613_p1_L24	4613	p1	7	115
4613_p1_L24	4613	p1	8	61
4613_p1_L24	4613	p1	9	65
4613_p1_L24	4613	p1	10	36
4613_p1_L24	4613	p1	11	12
4613_p1_L24	4613	p1	12	21
4613_p1_L24	4613	p1	13	81
4613_p1_L24	4613	p1	14	27
4613_p1_L24	4613	p1	15	=Nous?
4613_p1_L24	4613	p1	16	=Nous?
4613_p1_L24	4613	p1	17	=poincherons?
4613_p1_L24	4613	p1	18	=afin?
4613_p1_L25	4613	p1	1	=que
4613_p1_L25	4613	p1	2	=nous
4613_p1_L25	4613	p1	3	=puissions
4613_p1_L25	4613	p1	4	=auoir
4613_p1_L25	4613	p1	5	=de
4613_p1_L25	4613	p1	6	=vous
4613_p1_L25	4613	p1	7	=nouuelles
4613_p1_L25	4613	p1	8	=ou
4613_p1_L25	4613	p1	9	=si
4613_p1_L25	4613	p1	10	=tost
4613_p1_L25	4613	p1	11	=que
4613_p1_L25	4613	p1	12	=faire
4613_p1_L25	4613	p1	13	=se
4613_p1_L25	4613	p1	14	=pourra
4613_p1_L25	4613	p1	15	=feront?
4613_p1_L25	4613	p1	16	=la
4613_p1_L25	4613	p1	17	=fin
4613_p1_L25	4613	p1	18	=priant
4613_p1_L25	4613	p1	19	=le
4613_p1_L25	4613	p1	20	=Createur
4613_p1_L25	4613	p1	21	=nous?
4613_p1_L25	4613	p1	22	=donner
4613_p1_L26	4613	p1	1	=Monsigneur?
4613_p1_L26	4613	p1	2	=sa
4613_p1_L26	4613	p1	3	=saincte
4613_p1_L26	4613	p1	4	=grace
4613_p1_L26	4613	p1	5	=se
4613_p1_L26	4613	p1	6	=faict
4613_p1_L26	4613	p1	7	=au
4613_p1_L26	4613	p1	8	=Camp
4613_p1_L26	4613	p1	9	=de
4613_p1_L26	4613	p1	10	=Carleh?
4613_p1_L26	4613	p1	11	=ce
4613_p1_L26	4613	p1	12	=25
4613_p1_L26	4613	p1	13	=de
4613_p1_L26	4613	p1	14	=Mars
4613_p1_L26	4613	p1	15	=l'an
4613_p1_L26	4613	p1	16	=1574
4615_p1_L04	4615	p1	1	=Monsieur?
4615_p1_L04	4615	p1	2	=depuis
4615_p1_L04	4615	p1	3	=nostre
4615_p1_L04	4615	p1	4	=dernier?
4615_p1_L04	4615	p1	5	=nous
4615_p1_L04	4615	p1	6	=auons?
4615_p1_L04	4615	p1	7	121
4615_p1_L04	4615	p1	8	132
4615_p1_L04	4615	p1	9	31
4615_p1_L04	4615	p1	10	22
4615_p1_L04	4615	p1	11	61
4615_p1_L04	4615	p1	12	71
4615_p1_L04	4615	p1	13	32
4615_p1_L04	4615	p1	14	81
4615_p1_L04	4615	p1	15	121?
4615_p1_L05	4615	p1	1	62
4615_p1_L05	4615	p1	2	36
4615_p1_L05	4615	p1	3	92
4615_p1_L05	4615	p1	4	72
4615_p1_L05	4615	p1	5	1
4615_p1_L05	4615	p1	6	6
4615_p1_L05	4615	p1	7	37
4615_p1_L05	4615	p1	8	26
4615_p1_L05	4615	p1	9	337
4615_p1_L05	4615	p1	10	121
4615_p1_L05	4615	p1	11	141
4615_p1_L05	4615	p1	12	116
4615_p1_L05	4615	p1	13	62
4615_p1_L05	4615	p1	14	101
4615_p1_L05	4615	p1	15	27?
4615_p1_L05	4615	p1	16	107
4615_p1_L05	4615	p1	17	93
4615_p1_L05	4615	p1	18	78
4615_p1_L05	4615	p1	19	7
4615_p1_L05	4615	p1	20	51
4615_p1_L05	4615	p1	21	90?
4615_p1_L06	4615	p1	1	16
4615_p1_L06	4615	p1	2	40
4615_p1_L06	4615	p1	3	85
4615_p1_L06	4615	p1	4	111
4615_p1_L06	4615	p1	5	63
4615_p1_L06	4615	p1	6	12
4615_p1_L06	4615	p1	7	112
4615_p1_L06	4615	p1	8	39
4615_p1_L06	4615	p1	9	23
4615_p1_L06	4615	p1	10	91
4615_p1_L06	4615	p1	11	21
4615_p1_L06	4615	p1	12	64
4615_p1_L06	4615	p1	13	3
4615_p1_L06	4615	p1	14	76
4615_p1_L06	4615	p1	15	81
4615_p1_L06	4615	p1	16	13
4615_p1_L06	4615	p1	17	64
4615_p1_L06	4615	p1	18	22
4615_p1_L06	4615	p1	19	73
4615_p1_L06	4615	p1	20	107
4615_p1_L06	4615	p1	21	99?
4615_p1_L06	4615	p1	22	91?
4615_p1_L07	4615	p1	1	82
