line	idx	sign	value	grade
04503_p1_L05	4	127	?	U
04503_p1_L05	5	30	s	M
04503_p1_L05	6	12	p	M
04503_p1_L05	7	6	o	M
04503_p1_L05	8	37	u	M
04503_p1_L05	9	21	r	M
04503_p1_L05	10	81	e	M
04503_p1_L05	11	27	s	M
04503_p1_L05	12	33	t	M
04503_p1_L05	13	22	r	M
04503_p1_L05	14	81	e	M
04503_p1_L05	15	66	b	M
04503_p1_L05	16	101	i	M
04503_p1_L05	17	81	e	M
04503_p1_L05	18	2	n	M
04503_p1_L06	1	117	m	M
04503_p1_L06	2	61	a	M
04503_p1_L06	3	113	l	M
04503_p1_L06	4	14	p	M
04503_p1_L06	5	8	o	M
04503_p1_L06	6	26	s	M
04503_p1_L06	7	28	s	M
04503_p1_L06	8	102	i	M
04503_p1_L06	9	68	b	I
04503_p1_L06	10	112	l	M
04503_p1_L06	11	84	e	M
04503_p1_L06	12	76	d	M
04503_p1_L06	13	61	a	M
04503_p1_L06	14	29	s	M
04503_p1_L06	15	27	s	M
04503_p1_L06	16	63	a	M
04503_p1_L07	1	118	m	M
04503_p1_L07	2	69	b	I
04503_p1_L07	3	21	r	M
04503_p1_L07	4	81	e	M
04503_p1_L07	5	1	n	M
04503_p1_L07	6	34	t	M
04503_p1_L07	7	83	e	M
04503_p1_L07	8	111	l	M
04503_p1_L07	9	112	l	M
04503_p1_L07	10	85	e	M
04503_p1_L07	11	97	h	I
04503_p1_L07	12	62	a	M
04503_p1_L07	13	27	s	M
04503_p1_L07	14	33	t	M
04503_p1_L07	15	81	e	M
04503_p1_L07	16	124	?	U
04503_p1_L08	1	114	l	M
04503_p1_L08	2	85	e	M
04503_p1_L08	3	27	s	M
04503_p1_L08	4	92	g	M
04503_p1_L08	5	82	e	M
04503_p1_L08	6	2	n	M
04503_p1_L08	7	28	s	M
04503_p1_L08	11	128	?	U
04503_p1_L08	12	78	d	M
04503_p1_L08	13	81	e	M
04503_p1_L09	1	84	e	M
04503_p1_L09	2	1	n	M
04503_p1_L09	3	38	u	M
04503_p1_L09	4	7	o	M
04503_p1_L09	5	102	i	M
04503_p1_L09	6	81	e	M
04503_p1_L09	7	22	r	M
04503_p1_L09	8	13	p	M
04503_p1_L09	9	37	u	M
04503_p1_L09	10	22	r	M
04503_p1_L09	11	39	u	M
04503_p1_L09	12	8	o	M
04503_p1_L09	13	27	s	M
04503_p1_L09	14	31	t	M
04503_p1_L09	15	21	r	M
04503_p1_L09	16	83	e	M
04503_p1_L10	1	83	e	M
04503_p1_L10	2	27	s	M
04503_p1_L10	3	74	c	M
04503_p1_L10	4	9	o	M
04503_p1_L10	5	23	r	M
04503_p1_L10	6	35	t	M
04503_p1_L10	7	83	e	M
04503_p1_L10	8	143	?	U
04503_p1_L11	1	128	?	U
04503_p1_L11	2	14	p	M
04503_p1_L11	3	6	o	M
04503_p1_L11	4	38	u	M
04503_p1_L11	5	21	r	M
04503_p1_L11	6	78	d	M
04503_p1_L11	7	81	e	M
04503_p1_L11	8	117	m	M
04503_p1_L11	9	65	a	M
04503_p1_L11	10	101	i	M
04503_p1_L11	11	2	n	M
04503_p1_L11	12	61	a	M
04503_p1_L11	13	37	u	M
04503_p1_L11	14	22	r	M
04503_p1_L11	15	6	o	M
04503_p1_L11	16	2	n	M
04503_p1_L11	17	27	s	M
04503_p1_L12	1	17	q	M
04503_p1_L12	2	38	u	M
04503_p1_L12	3	81	e	M
04503_p1_L12	4	113	l	M
04503_p1_L12	5	18	q	M
04503_p1_L12	6	37	u	M
04503_p1_L12	7	81	e	M
04503_p1_L12	8	26	s	M
04503_p1_L12	9	31	t	M
04503_p1_L12	10	21	r	M
04503_p1_L12	11	81	e	M
04503_p1_L12	12	2	n	M
04503_p1_L12	13	35	t	M
04503_p1_L12	14	83	e	M
04503_p1_L12	15	72	c	M
04503_p1_L12	16	101	i	M
04503_p1_L12	17	2	n	M
04503_p1_L12	18	73	c	M
04503_p1_L13	1	9	o	M
04503_p1_L13	2	38	u	M
04503_p1_L13	3	35	t	M
04503_p1_L13	4	23	r	M
04503_p1_L13	5	85	e	M
04503_p1_L13	6	1	n	M
04503_p1_L13	7	34	t	M
04503_p1_L13	8	85	e	M
04503_p1_L13	9	27	s	M
04503_p1_L13	10	104	i	M
04503_p1_L13	11	47	x	I
04503_p1_L13	12	75	c	M
04503_p1_L13	13	7	o	M
04503_p1_L13	14	120	m	M
04503_p1_L13	15	120	m	M
04503_p1_L13	16	61	a	M
04503_p1_L13	17	102	i	M
04503_p1_L14	1	91	g	M
04503_p1_L14	2	2	n	M
04503_p1_L14	3	101	i	M
04503_p1_L14	4	81	e	M
04503_p1_L14	5	27	s	M
04503_p1_L14	6	84	e	M
04503_p1_L14	7	2	n	M
04503_p1_L14	8	28	s	M
04503_p1_L14	9	61	a	M
04503_p1_L14	10	117	m	M
04503_p1_L14	11	66	b	M
04503_p1_L14	12	113	l	M
04503_p1_L14	13	81	e	M
04503_p1_L14	14	83	e	M
04503_p1_L14	15	35	t	M
04503_p1_L14	16	129	?	U
04503_p1_L15	1	61	a	M
04503_p1_L15	2	38	u	M
04503_p1_L15	3	29	s	M
04503_p1_L15	4	28	s	M
04503_p1_L15	5	52	y	I
04503_p1_L15	6	17	q	M
04503_p1_L15	7	38	u	M
04503_p1_L15	8	81	e	M
04503_p1_L15	9	114	l	M
04503_p1_L15	10	16	q	M
04503_p1_L15	11	37	u	M
04503_p1_L15	12	85	e	M
04503_p1_L15	13	67	b	I
04503_p1_L15	14	7	o	M
04503_p1_L15	15	2	n	M
04503_p1_L15	16	127	?	U
04503_p1_L16	1	2	n	M
04503_p1_L16	2	9	o	M
04503_p1_L16	3	117	m	M
04503_p1_L16	4	67	b	I
04503_p1_L16	5	21	r	M
04503_p1_L16	6	83	e	M
04503_p1_L16	7	80	d	M
04503_p1_L16	8	85	e	M
04503_p1_L16	9	351	?	U
04503_p1_L16	10	82	e	M
04503_p1_L16	11	31	t	M
04503_p1_L16	12	359	?	U
04503_p1_L19	2	127	?	U
04503_p1_L19	3	9	o	M
04503_p1_L19	4	37	u	M
04503_p1_L19	5	38	u	M
04503_p1_L19	6	8	o	M
04503_p1_L19	7	37	u	M
04503_p1_L19	8	27	s	M
04503_p1_L19	9	61	a	M
04503_p1_L19	10	39	u	M
04503_p1_L19	11	81	e	M
04503_p1_L19	12	29	s	M
04503_p1_L19	13	77	d	M
04503_p1_L19	14	81	e	M
04503_p1_L20	1	114	l	M
04503_p1_L20	2	101	i	M
04503_p1_L20	3	66	b	M
04503_p1_L20	4	81	e	M
04503_p1_L20	5	22	r	M
04503_p1_L20	6	81	e	M
04503_p1_L20	7	76	d	M
04503_p1_L20	8	81	e	M
04503_p1_L20	9	12	p	M
04503_p1_L20	10	65	a	M
04503_p1_L20	11	27	s	M
04503_p1_L20	12	26	s	M
04503_p1_L20	13	82	e	M
04503_p1_L20	14	21	r	M
04503_p1_L20	15	113	l	M
04503_p1_L20	16	64	a	M
04503_p1_L21	1	21	r	M
04503_p1_L21	2	104	i	M
04503_p1_L21	3	38	u	M
04503_p1_L21	4	105	i	M
04503_p1_L21	5	81	e	M
04503_p1_L21	6	21	r	M
04503_p1_L21	7	64	a	M
04503_p1_L21	8	131	?	U
04503_p1_L21	9	14	p	M
04503_p1_L21	10	9	o	M
04503_p1_L21	11	37	u	M
04503_p1_L21	12	22	r	M
04503_p1_L21	13	38	u	M
04503_p1_L21	14	9	o	M
04503_p1_L21	15	37	u	M
04503_p1_L21	16	27	s	M
04503_p1_L22	1	82	e	M
04503_p1_L22	2	62	a	M
04503_p1_L22	3	113	l	M
04503_p1_L22	4	112	l	M
04503_p1_L22	5	81	e	M
04503_p1_L22	6	21	r	M
04503_p1_L22	7	22	r	M
04503_p1_L22	8	81	e	M
04503_p1_L22	9	72	c	M
04503_p1_L22	10	82	e	M
04503_p1_L22	11	12	p	M
04503_p1_L22	12	37	u	M
04503_p1_L22	13	6	o	M
04503_p1_L22	14	104	i	M
04503_p1_L22	15	22	r	M
