line	col	A	B	score_A	score_B	decision	note
p1_L01	2	=Je	=je			B	case-only, no content difference
p1_L01	3	=seray	=croy	-2.629	-2.677	M	margin 0.35
p1_L01	6	-	=escript			M	gap: passes disagree on segmentation, needs image
p1_L01	8	=xxij	22	-3.123	-3.093	M	margin 0.35
p1_L01	13	=a	=ce	-2.834	-2.578	M	margin 0.35
p1_L01	15	=mandez	=mande	-2.863	-2.554	M	margin 0.35
p1_L01	20	-	=Bruxelles			M	gap: passes disagree on segmentation, needs image
p1_L01	21	=Angleterre	=Suy	-3.209	-3.102	M	margin 0.35
p1_L02	1	=avec	-			M	gap: passes disagree on segmentation, needs image
p1_L02	2	=ce	=Puis	-2.779	-2.664	M	margin 0.35
p1_L02	3	=que	=a	-2.885	-3.070	M	margin 0.35
p1_L02	4	=soy	=foy	-2.931	-2.821	M	margin 0.35
p1_L02	5	=dictes	=Dieu	-2.892	-2.903	M	margin 0.35
p1_L02	6	=le	=se	-2.852	-2.945	M	margin 0.35
p1_L02	8	-	=tant			M	gap: passes disagree on segmentation, needs image
p1_L02	9	-	=que			M	gap: passes disagree on segmentation, needs image
p1_L02	10	-	=Dieu			M	gap: passes disagree on segmentation, needs image
p1_L02	11	=tres	=vous	-2.668	-2.625	M	margin 0.35
p1_L02	12	=humblement	=face	-2.626	-2.692	M	margin 0.35
p1_L02	13	=de	=bonne	-2.764	-2.890	M	margin 0.35
p1_L02	14	=Coua	=poursuite	-2.762	-2.734	M	margin 0.35
p1_L02	15	=boursois	=continuee	-3.028	-3.090	M	margin 0.35
p1_L02	16	=autrement	=fistes	-3.011	-3.144	M	margin 0.35
p1_L02	17	=filz	=de	-2.905	-2.824	M	margin 0.35
p1_L02	18	=sieur	=S	-2.780	-2.775	M	margin 0.35
p1_L02	19	=Bourdictions	=benedictions	-2.727	-2.688	M	margin 0.35
p1_L02	21	=Quant	=quant			B	case-only, no content difference
p1_L03	5	-	=qui			M	gap: passes disagree on segmentation, needs image
p1_L03	6	=que	=c'est	-3.054	-3.218	M	margin 0.35
p1_L03	7	=scay	=passé	-3.095	-3.007	M	margin 0.35
p1_L03	9	=xxij	27	-3.168	-3.080	M	margin 0.35
p1_L03	17	68	62	-3.519	-3.477	M	margin 0.35
p1_L04	19	41	47	-3.458	-3.380	M	margin 0.35
p1_L05	4	=si	=Ce	-3.134	-2.972	M	margin 0.35
p1_L05	5	=fort	=sort	-3.184	-3.157	M	margin 0.35
p1_L05	7	=disposicion	=disposition	-3.112	-3.034	M	margin 0.35
p1_L05	24	21	27	-3.152	-3.372	M	margin 0.35
p1_L06	1	83	85	-3.405	-3.405	M	margin 0.35
p1_L06	6	81	84	-3.380	-3.380	M	margin 0.35
p1_L06	8	128	138	-3.385	-3.385	M	margin 0.35
p1_L06	12	118	113	-3.359	-3.276	M	margin 0.35
p1_L07	1	-	26			M	gap: passes disagree on segmentation, needs image
p1_L07	5	45	48	-3.523	-3.383	M	margin 0.35
p1_L07	6	53	33	-3.484	-3.480	M	margin 0.35
p1_L07	7	47	77	-3.344	-3.351	M	margin 0.35
p1_L07	15	38	78	-3.348	-3.352	M	margin 0.35
p1_L07	20	102	-			M	gap: passes disagree on segmentation, needs image
p1_L07	21	22	37	-3.374	-3.267	M	margin 0.35
p1_L07	22	28	26	-3.488	-3.488	M	margin 0.35
p1_L07	23	140	12	-3.344	-3.260	M	margin 0.35
p1_L08	1	-	33			M	gap: passes disagree on segmentation, needs image
p1_L08	2	75	40	-3.371	-3.347	M	margin 0.35
p1_L08	3	51	28	-3.370	-3.336	M	margin 0.35
p1_L08	4	12	73	-3.351	-3.348	M	margin 0.35
p1_L08	5	48	27	-3.355	-3.398	M	margin 0.35
p1_L08	6	29	25	-3.321	-3.468	M	margin 0.35
p1_L08	7	62	56	-3.432	-3.451	M	margin 0.35
p1_L08	8	42	24	-3.369	-3.421	M	margin 0.35
p1_L08	9	27	43	-3.372	-3.576	M	margin 0.35
p1_L08	10	19	82	-3.417	-3.554	M	margin 0.35
p1_L08	11	25	23	-3.475	-3.475	M	margin 0.35
p1_L08	12	7	27	-3.522	-3.487	M	margin 0.35
p1_L08	13	28	81	-3.340	-3.221	M	margin 0.35
p1_L08	14	62	2	-3.340	-3.281	M	margin 0.35
p1_L08	15	54	77	-3.317	-3.126	M	margin 0.35
p1_L08	16	10	69	-3.366	-3.355	M	margin 0.35
p1_L08	17	29	104	-3.178	-3.265	M	margin 0.35
p1_L08	18	62	74	-3.044	-3.352	M	margin 0.35
p1_L08	19	83	31	-3.037	-3.313	M	margin 0.35
p1_L08	20	9	60	-3.236	-3.309	M	margin 0.35
p1_L08	21	2	59	-3.392	-3.370	M	margin 0.35
p1_L08	22	28	40	-3.390	-3.361	M	margin 0.35
p1_L08	23	16	25	-3.380	-3.241	M	margin 0.35
p1_L09	1	33	-			M	gap: passes disagree on segmentation, needs image
p1_L09	2	46	192	-3.352	-3.380	M	margin 0.35
p1_L09	4	73	-			M	gap: passes disagree on segmentation, needs image
p1_L09	5	27	9	-3.456	-3.508	M	margin 0.35
p1_L09	6	25	4	-3.445	-3.262	M	margin 0.35
p1_L09	7	56	12	-3.674	-3.609	M	margin 0.35
p1_L09	8	24	41	-3.551	-3.547	M	margin 0.35
p1_L09	9	43	13	-3.614	-3.570	M	margin 0.35
p1_L09	10	82	77	-3.537	-3.408	M	margin 0.35
p1_L09	11	23	84	-3.518	-3.370	M	margin 0.35
p1_L09	12	27	4	-3.561	-3.456	M	margin 0.35
p1_L09	13	81	34	-3.466	-3.263	M	margin 0.35
p1_L09	14	2	67	-3.448	-3.387	M	margin 0.35
p1_L09	15	77	13	-3.343	-3.350	M	margin 0.35
p1_L09	16	69	68	-3.363	-3.363	M	margin 0.35
p1_L09	17	104	72	-3.359	-3.348	M	margin 0.35
p1_L09	18	74	83	-3.363	-3.158	M	margin 0.35
p1_L09	20	-	26			M	gap: passes disagree on segmentation, needs image
p1_L09	21	-	72			M	gap: passes disagree on segmentation, needs image
p1_L09	22	60	4	-3.348	-3.370	M	margin 0.35
p1_L09	23	59	34	-3.336	-3.340	M	margin 0.35
p1_L09	24	40	87	-3.337	-2.954	B	settled
p1_L09	25	25	88	-2.803	-3.691	A	settled
