line	position	sign	confidence	alt	why
07205_p1_L01	1	=Duplicata	M	B:-	gap
07205_p1_L01	2	16	M	B:-	gap
07205_p1_L01	3	=janvier	M	B:-	gap
07205_p1_L01	4	1574	M	B:-	gap
07205_p1_L01	5	=affaires	M	B:-	gap
07205_p1_L01	6	=de	M	B:-	gap
07205_p1_L01	7	=mes	M	B:-	gap
07205_p1_L01	8	=freres	M	B:-	gap
07205_p1_L01	9	=dernieres	M	B:-	gap
07205_p1_L01	10	=sont	M	B:-	gap
07205_p1_L01	11	=expedie	M	B:-	gap
07205_p1_L01	12	=du	M	B:-	gap
07205_p1_L01	13	=Roy	M	B:-	gap
07205_p1_L01	14	=pour	M	B:-	gap
07205_p1_L01	15	=du	M	B:-	gap
07205_p1_L01	16	=mois	M	B:-	gap
07205_p1_L02	1	=quelques	M	B:-	gap
07205_p1_L02	2	=jours	M	B:-	gap
07205_p1_L02	3	=ou	M	B:-	gap
07205_p1_L02	4	=quatre	M	B:-	gap
07205_p1_L02	5	=jours	M	B:-	gap
07205_p1_L02	6	=apres	M	B:-	gap
07205_p1_L02	7	=ma	M	B:-	gap
07205_p1_L02	8	=lettre	M	B:-	gap
07205_p1_L02	9	=sont	M	B:-	gap
07205_p1_L02	10	=parvenues	M	B:-	gap
07205_p1_L02	11	=les	M	B:-	gap
07205_p1_L02	12	=trois	M	B:-	gap
07205_p1_L02	13	=escript	M	B:-	gap
07205_p1_L02	14	=a	M	B:-	gap
07205_p1_L02	15	=Harlem	M	B:-	gap
07205_p1_L02	16	=le	M	B:-	gap
07205_p1_L02	17	=du	M	B:-	gap
07205_p1_L02	18	=passe	M	B:-	gap
07205_p1_L02	19	=lesquelles	M	B:-	gap
07205_p1_L02	20	=m'ont	M	B:-	gap
07205_p1_L02	21	=merveilleusement	M	B:-	gap
07205_p1_L02	22	=contente	M	B:-	gap
07205_p1_L02	23	=par	M	B:-	gap
07205_p1_L02	24	=le	M	B:-	gap
07205_p1_L02	25	=discours	M	B:-	gap
07205_p1_L02	26	=de	M	B:-	gap
07205_p1_L02	27	=faict	M	B:-	gap
07205_p1_L02	28	=peu	M	B:-	gap
07205_p1_L02	29	=partir	M	B:-	gap
07205_p1_L02	30	=lieu	M	B:-	gap
07205_p1_L02	31	=par	M	B:-	gap
07205_p1_L02	32	=mes	M	B:-	gap
07205_p1_L02	33	=affaires	M	B:-	gap
07205_p1_L02	34	=de	M	B:-	gap
