code	value	letters	where (first 8 agreeing)	observations	agreeing	grade	note
121	NULL	5810,5811	5810 05810_p1_L25:6; 5810 05810_p1_L37:5; 5810 05810_p1_L39:12; 5810 05810_p1_L42:1; 5810 05810_p2_L07:13; 5810 05810_p2_L14:1; 5810 05810_p2_L19:3; 5810 05810_p2_L22:15 ...	24	24	C	
122	NULL	5810,5811	5810 05810_p1_L09:7; 5810 05810_p1_L33:5; 5810 05810_p2_L08:3; 5810 05810_p2_L11:17; 5810 05810_p5_L31:3; 5810 05810_p6_L10:1; 5810 05810_p6_L14:3; 5811 05811_p2_L01:16 ...	10	10	C	
123	NULL	5810,5811	5810 05810_p7_L18:10; 5811 05811_p1_L05:21; 5811 05811_p1_L12:16; 5811 05811_p1_L26:14; 5811 05811_p2_L04:1; 5811 05811_p2_L10:18; 5811 05811_p2_L14:6; 5811 05811_p5_L05:11 ...	13	13	C	
124	NULL	4503,5810,5811	4503 04503_p1_L07:16; 5810 05810_p1_L11:14; 5810 05810_p1_L13:1; 5810 05810_p2_L03:8; 5810 05810_p2_L08:2; 5810 05810_p2_L12:16; 5810 05810_p2_L34:9; 5810 05810_p3_L12:1 ...	18	18	C	
125	l	5810	5810 05810_p7_L03:19	1	1	M	
126	NULL	5810	5810 05810_p1_L09:6; 5810 05810_p1_L25:17; 5810 05810_p3_L14:23; 5810 05810_p5_L23:22; 5810 05810_p6_L18:1; 5810 05810_p6_L26:15; 5810 05810_p6_L31:21; 5810 05810_p7_L21:16	8	8	C	
127	NULL	4503,5810,5811	4503 04503_p1_L15:16; 4503 04503_p1_L19:2; 5810 05810_p1_L12:1; 5810 05810_p1_L16:6; 5810 05810_p1_L22:20; 5810 05810_p1_L37:18; 5810 05810_p1_L41:11; 5810 05810_p1_L41:18 ...	31	31	C	
128	NULL	4503,5810	4503 04503_p1_L08:11; 4503 04503_p1_L11:1; 5810 05810_p1_L31:17; 5810 05810_p2_L15:4; 5810 05810_p2_L17:19; 5810 05810_p2_L25:2; 5810 05810_p2_L32:6; 5810 05810_p2_L36:8 ...	15	15	C	
129	NULL	4503,5810	4503 04503_p1_L14:16; 5810 05810_p1_L12:13; 5810 05810_p1_L15:2; 5810 05810_p1_L35:22; 5810 05810_p2_L04:6; 5810 05810_p2_L05:1; 5810 05810_p2_L08:20; 5810 05810_p2_L23:5 ...	21	21	C	
130	NULL	5810,5811	5810 05810_p1_L11:15; 5810 05810_p1_L11:20; 5810 05810_p1_L13:13; 5810 05810_p2_L08:1; 5810 05810_p5_L10:20; 5810 05810_p5_L12:16; 5811 05811_p2_L14:7; 5811 05811_p5_L36:16	8	8	C	
131	NULL	4503,5810,5811	4503 04503_p1_L21:8; 5810 05810_p1_L18:7; 5810 05810_p1_L27:10; 5810 05810_p1_L35:23; 5810 05810_p2_L11:8; 5810 05810_p2_L21:1; 5810 05810_p2_L25:11; 5810 05810_p2_L27:23 ...	22	22	C	
132	NULL	5810,5811	5810 05810_p1_L10:19; 5810 05810_p1_L16:2; 5810 05810_p1_L17:1; 5810 05810_p1_L34:5; 5810 05810_p2_L06:9; 5810 05810_p2_L22:16; 5810 05810_p2_L39:15; 5810 05810_p5_L09:24 ...	14	14	C	
133	NULL	5810	5810 05810_p1_L25:16; 5810 05810_p1_L33:3; 5810 05810_p1_L35:14; 5810 05810_p1_L39:11; 5810 05810_p3_L18:7; 5810 05810_p5_L18:21; 5810 05810_p5_L23:21; 5810 05810_p5_L33:13 ...	9	9	C	
134	NULL	5810	5810 05810_p1_L14:15; 5810 05810_p1_L18:11; 5810 05810_p2_L03:14; 5810 05810_p2_L08:21; 5810 05810_p2_L24:9; 5810 05810_p2_L32:7; 5810 05810_p2_L38:12; 5810 05810_p5_L13:16 ...	12	12	C	
135	NULL	5810,5811	5810 05810_p5_L36:22; 5810 05810_p7_L25:5; 5811 05811_p1_L23:17; 5811 05811_p5_L19:17	4	4	C	
136	NULL	5810	5810 05810_p1_L19:16; 5810 05810_p2_L08:19; 5810 05810_p2_L26:9; 5810 05810_p5_L11:2; 5810 05810_p5_L18:3; 5810 05810_p5_L35:18; 5810 05810_p6_L09:11; 5810 05810_p6_L10:17	8	8	C	
137	NULL	5810	5810 05810_p1_L21:12; 5810 05810_p1_L36:17; 5810 05810_p2_L11:16; 5810 05810_p5_L19:22; 5810 05810_p5_L31:1; 5810 05810_p5_L34:17; 5810 05810_p5_L38:1; 5810 05810_p6_L14:2	8	8	C	
138	NULL	5810	5810 05810_p1_L37:17; 5810 05810_p1_L38:19; 5810 05810_p2_L29:7; 5810 05810_p2_L37:6; 5810 05810_p3_L18:18	5	5	C	
139	NULL	5810	5810 05810_p1_L39:5; 5810 05810_p5_L37:11	2	2	C	
140	NULL	5810	5810 05810_p1_L09:4; 5810 05810_p2_L04:23	2	2	C	
141	NULL	5810	5810 05810_p1_L09:5; 5810 05810_p1_L24:1; 5810 05810_p1_L33:21; 5810 05810_p2_L04:7; 5810 05810_p2_L17:20; 5810 05810_p2_L29:8; 5810 05810_p2_L38:21; 5810 05810_p3_L17:1 ...	15	15	C	
142	NULL	5810	5810 05810_p1_L17:10; 5810 05810_p5_L16:1	2	2	C	
143	NULL	4503,5810	4503 04503_p1_L10:8; 5810 05810_p1_L42:8; 5810 05810_p2_L15:5; 5810 05810_p2_L40:16; 5810 05810_p6_L01:12; 5810 05810_p6_L06:16; 5810 05810_p6_L18:2	7	7	C	
144	NULL	5810	5810 05810_p1_L25:22; 5810 05810_p2_L20:13; 5810 05810_p5_L24:5; 5810 05810_p6_L22:23	4	4	C	
147	u (2) | NULL (1)	5810	5810 05810_p2_L13:14; 5810 05810_p6_L16:3	3	2	M	other observations: NULL x1
149	NULL	5810	5810 05810_p1_L12:14; 5810 05810_p2_L37:7; 5810 05810_p5_L11:16	3	3	C	
153	pfaltzgraf	5549,5550	5550 p2 run p2-5 (153.130.90.1.79.173); 5550 p2 run p2-11 (bey 153.161. und); 5549 PS24 (bey 142 153 143 | zuleger)	3	3	C	
154	herzog von sachsen	5797	5797 p5 (Bey 154.124.144.134 und)	1	1	C	
155	kolln (koln)	5797	5797 p6 (morgen 100.155 der hofnung)	1	1	M	
157	? (Groen prints no word here)	5549,5810	5810 05810_p7_L18:18; 5549 PS16 (fussvolck 136 des 128 157 | 137 gedanckt)	0	0	U	unread name code: Groen's print leaves the subject out
161	landgraf	5550	5550 p2 run p2-11 (bey 153.161. und)	1	1	C	
171	prinz zu oranien	5550	5550 p2 run p2-19 (dass man 171.141.99.81.114.90.82)	1	1	C	
173	graf (gloss prefix illegible)	5550	5550 p2 run p2-5 (153.130.90.1.79.173)	1	1	M	
180	de	5810	5810 05810_p2_L41:8	1	1	M	
187	? (Groen prints no word here)	5810	5810 05810_p3_L11:17	0	0	U	unread name code: Groen's print leaves the subject out
192	? (Groen prints no word here)	5549	5549 PS1 (J5I pass: 127 133)	0	0	U	unread name code: Groen's print leaves the subject out
200	herzog von alba	5797	5797 p6 (nicht allein von 200.122.132.142 abso...)	1	1	C	
202	franckreich	5550	5550 run p1-1; 5550 run p2-3; 5550 run p2-9; 5550 run p2-15	4	4	C	
223	harlem	5810	5810 05810_p2_L12:23; 5810 05810_p5_L39:1; 5810 05810_p6_L15:8	3	3	C	
241	zeelande	5810	5810 05810_p6_L17:1	1	1	C	
242	NULL	5810	5810 05810_p1_L41:19	1	1	M	
310	t	5811	5811 05811_p1_L21:17	1	1	M	
311	pays	5811	5811 05811_p5_L17:18 (que le 311 131 | y est assez)	1	1	M	
312	uille	5810	5810 05810_p5_L38:20	1	1	M	
336	fussvolck	5549,5557	"5557 p1 line 21 (... ahn 336 als 346 und 339 ...); 5549 PS15 (336, line alone after PS14 ""... grentzen 197 uoo 134 271"")"	2	2	C	
338	cauallerie	5811	5811 05811_p1_L23:1	1	1	C	
339	schutzen	5557	5557 p1 line 21 (336 als 346 und 339)	1	1	C	
346	dubbel (doppelsoldner?)	5557	5557 p1 line 21 (336 als 346 und 339)	1	1	M	
350	gelt	5550	5550 run p2-2 (144.132.350); 5550 run p2-4 (... des 129 350)	2	2	C	
351	bateaux (2) | bat (1)	5811	5811 05811_p1_L25:13; 5811 05811_p5_L21:1	3	2	M	other observations: bat x1
359	ulx	4503	4503 04503_p1_L16:12	1	1	M	
