line	idx	sign	value	grade
p1_L04	14	121	NULL	C
p1_L04	15	132	NULL	C
p1_L05	1	86	f	C
p1_L05	2	7	o	C
p1_L05	3	21	r	C
p1_L05	4	71	c	C
p1_L05	5	81	e	C
p1_L05	6	1	n	C
p1_L05	7	12	p	C
p1_L05	8	82	e	C
p1_L05	9	101	i	M
p1_L05	10	2	n	C
p1_L05	11	93	g	C
p1_L05	12	11	p	C
p1_L05	13	6	o	C
p1_L05	14	76	d	C
p1_L05	15	22/112	?	U
p1_L05	16	84	e	C
p1_L05	17	1	n	M
p1_L05	18	111	l	C
p1_L05	19	8	o	C
p1_L05	20	91	g	C
p1_L05	21	102	i	C
p1_L05	22	81	e	M
p1_L05	23	23	r	M
p1_L06	1	15	p	C
p1_L06	2	9	o	C
p1_L06	3	37	u	C
p1_L06	4	23	r	C
p1_L06	5	76	d	C
p1_L06	6	85	e	C
p1_L06	7	116	m	C
p1_L06	8	61	a	C
p1_L06	9	103	i	C
p1_L06	10	3	n	C
p1_L06	11	71	c	C
p1_L06	12	62	a	C
p1_L06	13	24/10	?	U
p1_L06	14	5	n	C
p1_L06	15	122	NULL	C
p1_L06	16	9	o	M
p1_L06	17	9	o	C
p1_L06	18	40	u	M
p1_L06	19	39	u	C
p1_L06	20	131	NULL	C
p1_L06	21	142	?	U
p1_L07	1	77	d	C
p1_L07	2	104	i	C
p1_L07	3	72	c	C
p1_L07	4	72/16	?	U
p1_L07	5	37	u	C
p1_L07	6	83	e	C
p1_L07	7	17	q	C
p1_L07	8	63	a	C
p1_L07	9	25	r	C
p1_L07	10	79	d	C
p1_L07	11	84	e	C
p1_L07	12	113	l	C
p1_L07	13	64/112	?	U
p1_L07	14	82	e	M
p1_L07	15	27	s	C
p1_L07	16	313	?	U
p1_L07	17	26	s	C
p1_L07	18	7	o	C
p1_L07	19	2	n	C
p1_L07	20	3	n	M
p1_L08	1	120	m	C
p1_L08	2	64	a	C
p1_L08	3	113/115	?	U
p1_L08	4	8	o	C
p1_L08	5	92	g	C
p1_L08	6	65	a	C
p1_L08	7	66	b	C
p1_L08	8	111	l	C
p1_L08	9	82	e	C
p1_L08	10	2	n	C
p1_L08	11	6	o	C
p1_L08	12	118	m	C
p1_L08	13	81	e	C
p1_L08	14	120	m	C
p1_L08	15	82	e	C
p1_L08	16	3	n	C
p1_L08	17	32/12	?	U
p1_L08	18	7	o	C
p1_L08	19	36	u	C
p1_L08	20	22	r	C
p1_L09	1	111	l	C
p1_L09	2	62	a	C
p1_L09	3	735/71	?	U
p1_L09	4	81	e	C
p1_L09	5	13	p	C
p1_L09	6	82	e	C
p1_L09	7	3	n	C
p1_L09	8	77	d	C
p1_L09	9	62	a	C
p1_L09	10	4	n	C
p1_L09	11	33/5	?	U
p1_L09	12	6	o	C
p1_L09	13	36	u	C
p1_L09	14	25/81	?	U
p1_L09	15	61	a	C
p1_L09	16	40	u	C
p1_L09	17	101	i	C
p1_L09	18	27	s	C
p1_L09	19	82	e	C
p1_L10	1	21	r	C
p1_L10	2	7	o	C
p1_L10	3	4	n	C
p1_L10	4	27/14	?	U
p1_L10	5	112	l	C
p1_L10	6	38	u	C
p1_L10	7	27	s	C
p1_L10	8	32	t	C
p1_L10	9	7	o	C
p1_L10	10	28	s	C
p1_L10	11	33/77	?	U
p1_L10	12	81	e	C
p1_L10	14	6	o	C
p1_L10	15	92	g	C
p1_L10	16	82	e	C
p1_L10	17	21	r	C
p1_L10	18	11	p	C
p1_L10	19	61	a	C
p1_L10	20	22	r	C
p1_L11	1	79	d	C
p1_L11	2	84	e	C
p1_L11	3	72	c	C
p1_L11	4	62/28	?	U
p1_L11	5	36	u	C
p1_L11	6	22	r	C
p1_L11	7	112	l	C
p1_L11	8	81	e	C
p1_L11	9	313	?	U
p1_L11	10	76	d	C
p1_L11	11	84	e	C
p1_L11	12	77	d	C
p1_L11	13	36	u	C
p1_L11	14	72	c	C
p1_L11	15	78	d	C
p1_L11	16	81	e	C
p1_L11	17	73	c	C
p1_L11	18	112	l	C
p1_L11	19	82	e	C
p1_L11	20	1	n	M
p1_L12	1	90	f	C
p1_L12	2	81/28/2	?	U
p1_L12	3	6	o	C
p1_L12	4	117	m	C
p1_L12	5	118	m	M
p1_L12	6	81	e	C
p1_L12	7	123	l	M
p1_L12	8	40	u	C
p1_L12	9	75	c	C
p1_L12	10	61	a	C
p1_L12	11	2	n	C
p1_L12	12	31	t	C
p1_L12	13	62	a	C
p1_L12	14	3	n	C
p1_L12	15	77	d	C
p1_L12	16	63	a	C
p1_L12	17	4	n	C
p1_L12	18	31	t	C
p1_L12	19	121	NULL	C
p1_L12	20	13	p	M
p1_L13	1	79	d	C
p1_L13	2	7	o	C
p1_L13	3	26	s	C
p1_L13	4	31	t	C
p1_L13	5	21	r	C
p1_L13	6	81	e	C
p1_L13	7	61	a	C
p1_L13	8	77	d	C
p1_L13	9	40	u	C
p1_L13	10	102	i	C
p1_L13	11	27/16	?	U
p1_L13	12	2	n	C
p1_L13	13	116	m	C
p1_L13	14	62	a	C
p1_L13	15	65	a	C
p1_L13	16	76	d	C
p1_L13	17	36	u	C
p1_L13	18	81	e	C
p1_L13	19	21	r	C
p1_L13	20	34	t	M
p1_L14	1	75	c	M
p1_L14	2	91	g	C
p1_L14	3	12	p	C
p1_L14	4	40	u	C
p1_L14	5	102	i	C
p1_L14	6	21/16	?	U
p1_L14	7	36	u	C
p1_L14	8	92/2	?	U
p1_L14	9	7	o	C
p1_L14	10	31	t	C
p1_L14	11	28/12	?	U
p1_L14	12	8	o	C
p1_L14	13	39	u	C
p1_L14	14	111	l	C
p1_L14	15	21	r	C
p1_L14	16	102	i	C
p1_L14	17	5	n	M
p1_L14	18	2	n	M
p1_L15	1	114	l	C
p1_L15	2	9	o	C
p1_L15	3	92	g	C
p1_L15	4	81	e	C
