line	col	A	B	score_A	score_B	decision	note
p1_L01	1	=Monsieur	=pourriez	-2.693	-2.743	M	margin 0.35
p1_L01	2	140	110	-2.811	-2.876	M	margin 0.35
p1_L01	4	62	61	-3.289	-3.289	M	margin 0.35
p1_L01	16	-	=la			M	gap: passes disagree on segmentation, needs image
p1_L01	20	2	8	-3.385	-3.363	M	margin 0.35
p1_L01	21	78	71	-3.385	-3.299	M	margin 0.35
p1_L01	25		=demeurant	-inf	-3.233	B	settled
p1_L02	10		=deugues	-3.344	-3.538	M	margin 0.35
p1_L03	2	=at	=et	-3.018	-2.958	M	margin 0.35
p1_L03	15	31	81	-3.572	-3.683	M	margin 0.35
p1_L03	22	21	26	-3.538	-3.352	M	margin 0.35
p1_L04	3	=sceu	=deça	-3.300	-3.210	M	margin 0.35
p1_L04	6	=curgar	=songer	-3.263	-3.320	M	margin 0.35
p1_L04	7	=Jay	=jay			B	case-only, no content difference
p1_L04	10	=Long	=long			B	case-only, no content difference
p1_L04	13	=pourse	=porté	-2.890	-2.976	M	margin 0.35
p1_L04	14	=actendant	=attendant	-3.010	-2.918	M	margin 0.35
p1_L04	19	=seg	80	-2.938	-2.869	M	margin 0.35
p1_L05	1	7	-			M	gap: passes disagree on segmentation, needs image
p1_L05	15	=a	=et	-3.378	-3.443	M	margin 0.35
p1_L06	8	=tout	=soubz	-3.092	-3.231	M	margin 0.35
p1_L06	9	=effroya	=affeya	-3.071	-2.996	M	margin 0.35
p1_L06	11	=quils	=guils	-3.186	-3.217	M	margin 0.35
p1_L06	21	72	71	-3.439	-3.439	M	margin 0.35
p1_L06	23	1	8	-3.245	-3.333	M	margin 0.35
p1_L07	3	=at	=et	-3.351	-3.374	M	margin 0.35
p1_L07	4	=guaury	=guarny	-3.267	-3.271	M	margin 0.35
p1_L07	5	=bidy	=bien	-3.220	-2.996	M	margin 0.35
p1_L07	15	150	130	-3.337	-3.337	M	margin 0.35
