line	idx	sign	value	grade
05811_p1_L01	8	xe	?	U
05811_p1_L04	2	141	NULL	C
05811_p1_L04	3	127	?	U
05811_p1_L04	4	130	?	U
05811_p1_L04	5	12	p	C
05811_p1_L04	6	62	a	C
05811_p1_L04	7	21	r	C
05811_p1_L04	8	112	l	C
05811_p1_L04	9	91	g	M
05811_p1_L04	10	16	q	M
05811_p1_L04	11	36	u	C
05811_p1_L04	12	82	e	C
05811_p1_L04	13	44	v	I
05811_p1_L04	14	114	l	C
05811_p1_L04	15	81	e	C
05811_p1_L04	16	102	i	M
05811_p1_L04	17	63	a	C
05811_p1_L04	18	51	y	I
05811_p1_L04	19	37	u	C
05811_p1_L04	20	85	e	C
05811_p1_L04	21	40	u	C
05811_p1_L05	1	39	u	C
05811_p1_L05	2	6	o	C
05811_p1_L05	3	26	s	C
05811_p1_L05	4	32	t	C
05811_p1_L05	5	22	r	C
05811_p1_L05	6	83	e	C
05811_p1_L05	7	76	d	C
05811_p1_L05	8	84	e	C
05811_p1_L05	9	111	l	C
05811_p1_L05	10	103	i	C
05811_p1_L05	11	66	b	C
05811_p1_L05	12	84	e	C
05811_p1_L05	13	24	r	C
05811_p1_L05	14	64	a	C
05811_p1_L05	15	31	t	C
05811_p1_L05	16	105	i	C
05811_p1_L05	17	7	o	M
05811_p1_L05	18	5	n	M
05811_p1_L05	19	77	d	C
05811_p1_L05	20	85	e	C
05811_p1_L05	21	123	l	M
05811_p1_L06	1	58	z	I
05811_p1_L06	2	84	e	C
05811_p1_L06	3	9	o	M
05811_p1_L06	4	104	i	C
05811_p1_L06	5	23	r	C
05811_p1_L06	6	63	a	C
05811_p1_L06	7	37	u	C
05811_p1_L06	8	81	e	C
05811_p1_L06	9	71	c	C
05811_p1_L06	10	38	u	C
05811_p1_L06	11	9	o	M
05811_p1_L06	12	58	z	I
05811_p1_L06	13	35	t	C
05811_p1_L06	14	23	r	C
05811_p1_L06	15	8	o	C
05811_p1_L06	16	57	z	C
05811_p1_L06	17	11	p	C
05811_p1_L06	18	13	p	C
05811_p1_L06	19	81	e	C
05811_p1_L06	20	27	s	C
05811_p1_L06	21	132	NULL	C
05811_p1_L07	1	13	p	C
05811_p1_L07	2	61	a	C
05811_p1_L07	3	25	r	C
05811_p1_L07	4	78	d	C
05811_p1_L07	5	81	e	C
05811_p1_L07	6	73	c	C
05811_p1_L07	7	64	a	C
05811_p1_L07	8	121	NULL	C
05811_p1_L07	9	81	e	C
05811_p1_L07	10	33	t	C
05811_p1_L07	11	63	a	C
05811_p1_L07	12	75	c	C
05811_p1_L07	13	85	e	C
05811_p1_L07	14	28	s	C
05811_p1_L07	15	31	t	C
05811_p1_L07	16	82	e	C
05811_p1_L07	17	88	f	C
05811_p1_L07	18	87	f	C
05811_p1_L07	19	84	e	C
05811_p1_L07	20	71	c	C
05811_p1_L07	21	32	t	C
05811_p1_L08	1	14	p	C
05811_p1_L08	2	3	n	M
05811_p1_L08	3	83	e	C
05811_p1_L08	4	2	n	C
05811_p1_L08	5	79	d	C
05811_p1_L08	6	24	r	C
05811_p1_L08	7	85	e	C
05811_p1_L08	8	39	u	C
05811_p1_L08	9	9	o	M
05811_p1_L08	10	26	s	M
05811_p1_L08	11	33	t	C
05811_p1_L08	12	21	r	C
05811_p1_L08	13	81	e	C
05811_p1_L08	14	75	c	C
05811_p1_L08	15	100	h	I
05811_p1_L08	16	85	e	C
05811_p1_L08	17	117	m	C
05811_p1_L08	18	53	y	I
05811_p1_L08	19	2	n	C
05811_p1_L08	20	126	?	U
05811_p1_L08	21	139	?	U
05811_p1_L09	1	82	e	C
05811_p1_L09	2	3	n	M
05811_p1_L09	3	37	u	M
05811_p1_L09	4	21	r	C
05811_p1_L09	5	85	e	C
05811_p1_L09	6	129	?	U
05811_p1_L09	7	92	g	C
05811_p1_L09	8	23	r	C
05811_p1_L09	9	61	a	C
05811_p1_L09	10	37	u	C
05811_p1_L09	11	82	e	C
05811_p1_L09	12	130	?	U
05811_p1_L09	13	81	e	M
05811_p1_L09	14	35	t	C
05811_p1_L09	15	27	s	M
05811_p1_L09	16	2	n	M
05811_p1_L09	17	150	?	U
05811_p1_L12	2	135	?	U
05811_p1_L12	3	137	?	U
05811_p1_L12	4	85	e	C
05811_p1_L12	5	35	t	C
05811_p1_L12	6	61	a	C
05811_p1_L12	7	54	y	I
05811_p1_L12	8	63	a	M
05811_p1_L12	9	2	n	C
05811_p1_L12	10	33	t	C
05811_p1_L12	11	22	r	C
05811_p1_L12	12	81	e	C
05811_p1_L12	13	74	c	C
05811_p1_L12	14	83	e	C
05811_p1_L12	15	37	u	C
05811_p1_L12	16	123	l	M
05811_p1_L13	1	38	u	C
05811_p1_L13	2	8	o	C
05811_p1_L13	3	27	s	C
05811_p1_L13	4	32	t	C
05811_p1_L13	5	2	n	C
05811_p1_L13	6	81	e	C
05811_p1_L13	7	114	l	C
05811_p1_L13	8	82	e	C
05811_p1_L13	9	31	t	C
05811_p1_L13	10	33	t	C
05811_p1_L13	11	23	r	C
05811_p1_L13	12	85	e	C
05811_p1_L13	13	104	i	C
05811_p1_L13	14	62	a	C
05811_p1_L13	15	51	y	I
05811_p1_L13	16	102	i	M
05811_p1_L13	17	3	n	M
05811_p1_L13	18	71	c	M
05811_p1_L13	19	6	o	M
05811_p1_L13	20	2	n	M
05811_p1_L13	21	31	t	C
05811_p1_L13	22	104	i	C
05811_p1_L14	1	4	n	M
05811_p1_L14	2	85	e	M
05811_p1_L14	3	9	o	C
05811_p1_L14	4	31	t	C
05811_p1_L14	5	81	e	M
05811_p1_L14	6	27	s	C
05811_p1_L14	7	73	c	C
05811_p1_L14	8	22	r	C
05811_p1_L14	9	101	i	C
05811_p1_L14	10	14	p	C
05811_p1_L14	11	31	t	C
05811_p1_L14	12	84	e	C
05811_p1_L14	13	31	t	C
05811_p1_L14	14	118	m	C
05811_p1_L14	15	63	a	C
05811_p1_L14	16	2	n	C
05811_p1_L14	17	78	d	C
05811_p1_L14	18	81	e	M
05811_p1_L14	19	66	b	M
05811_p1_L14	20	2	n	M
05811_p1_L14	21	38	u	C
05811_p1_L14	22	1	n	M
05811_p1_L14	23	85	e	C
05811_p1_L15	1	70	b	I
05811_p1_L15	2	7	o	C
05811_p1_L15	3	14	p	M
05811_p1_L15	4	82	e	C
05811_p1_L15	5	11	p	C
05811_p1_L15	6	62	a	C
05811_p1_L15	7	23	r	C
05811_p1_L15	8	32	t	C
05811_p1_L15	9	104	i	C
05811_p1_L15	10	83	e	C
05811_p1_L15	11	80	d	C
05811_p1_L15	12	81	e	C
05811_p1_L15	13	119	m	C
05811_p1_L15	14	81	e	C
05811_p1_L15	15	26	s	C
05811_p1_L15	16	72	c	C
05811_p1_L15	17	62	a	M
05811_p1_L15	18	12	p	C
05811_p1_L15	19	102	i	C
05811_p1_L16	1	35	t	C
05811_p1_L16	2	62	a	C
05811_p1_L16	3	101	i	C
05811_p1_L16	4	2	n	C
05811_p1_L16	5	85	e	C
05811_p1_L16	6	27	s	C
05811_p1_L16	7	18	q	C
05811_p1_L16	8	38	u	C
05811_p1_L16	9	105	i	C
05811_p1_L16	10	114	l	C
05811_p1_L16	11	28	s	C
05811_p1_L16	12	64	a	C
05811_p1_L16	13	51	y	I
05811_p1_L16	14	82	e	C
05811_p1_L16	15	2	n	C
05811_p1_L16	16	31	t	C
05811_p1_L16	17	64	a	C
05811_p1_L16	18	37	u	C
05811_p1_L16	19	127	?	U
05811_p1_L17	1	11	p	C
05811_p1_L17	2	113	l	C
05811_p1_L17	3	37	u	C
05811_p1_L17	4	28	s	C
05811_p1_L17	5	35	t	C
05811_p1_L17	6	6	o	C
05811_p1_L17	7	28	s	C
05811_p1_L17	8	34	t	M
05811_p1_L17	9	64	a	C
05811_p1_L17	10	28	s	C
05811_p1_L17	11	81	e	C
05811_p1_L17	12	31	t	M
05811_p1_L17	13	26	s	C
05811_p1_L17	14	9	o	C
05811_p1_L17	15	38	u	C
05811_p1_L17	16	37	u	C
05811_p1_L17	17	81	e	C
05811_p1_L17	18	22	r	C
05811_p1_L17	19	82	e	C
05811_p1_L17	20	27	s	C
05811_p1_L18	1	82	e	C
05811_p1_L18	2	2	n	C
05811_p1_L18	3	37	u	C
05811_p1_L18	4	104	i	C
05811_p1_L18	5	21	r	C
05811_p1_L18	6	8	o	C
05811_p1_L18	7	2	n	C
05811_p1_L18	8	29	s	C
05811_p1_L18	9	78	d	C
05811_p1_L18	10	84	e	C
05811_p1_L18	11	113	l	M
05811_p1_L18	12	32	t	C
05811_p1_L18	13	104	i	M
05811_p1_L18	14	82	e	C
05811_p1_L18	15	114	l	C
05811_p1_L18	16	127	?	U
05811_p1_L18	17	116	m	M
05811_p1_L18	18	37	u	M
05811_p1_L18	19	23	r	M
05811_p1_L19	1	83	e	C
05811_p1_L19	2	30	s	C
05811_p1_L19	3	72	c	C
05811_p1_L19	4	81	e	C
05811_p1_L19	5	27	s	C
05811_p1_L19	6	16	q	C
05811_p1_L19	7	37	u	C
05811_p1_L19	8	62	a	C
05811_p1_L19	9	11	p	C
05811_p1_L19	10	31	t	C
05811_p1_L19	11	103	i	C
05811_p1_L19	12	84	e	C
05811_p1_L19	13	23	r	C
05811_p1_L19	14	28	s	C
05811_p1_L19	15	104	i	M
05811_p1_L19	16	61	a	C
05811_p1_L19	17	38	u	C
05811_p1_L19	18	8	o	C
05811_p1_L19	19	34	t	C
05811_p1_L19	20	27	s	C
05811_p1_L20	1	24	r	C
05811_p1_L20	2	84	e	C
05811_p1_L20	3	79	d	M
05811_p1_L20	4	82	e	C
05811_p1_L20	5	11	p	C
05811_p1_L20	6	37	u	C
05811_p1_L20	7	6	o	C
05811_p1_L20	8	105	i	C
05811_p1_L20	9	24	r	C
05811_p1_L20	10	7	o	C
05811_p1_L20	11	104	i	C
05811_p1_L20	12	13	p	C
05811_p1_L20	13	81	e	C
05811_p1_L20	14	28	s	C
05811_p1_L20	15	18	q	C
05811_p1_L20	16	37	u	C
05811_p1_L20	17	85	e	C
05811_p1_L20	18	105	i	C
05811_p1_L20	19	82	e	C
05811_p1_L20	20	132	NULL	C
05811_p1_L21	1	71	c	C
05811_p1_L21	2	23	r	C
05811_p1_L21	3	61	a	C
05811_p1_L21	4	4	n	M
05811_p1_L21	5	2	n	C
05811_p1_L21	6	27	s	C
05811_p1_L21	7	16	q	C
05811_p1_L21	8	38	u	C
05811_p1_L21	9	81	e	C
05811_p1_L21	10	113	l	C
05811_p1_L21	11	84	e	C
05811_p1_L21	12	31	t	C
05811_p1_L21	13	131	?	U
05811_p1_L21	14	52	y	I
05811_p1_L21	15	83	e	C
05811_p1_L21	16	27	s	C
05811_p1_L21	17	310	?	U
05811_p1_L21	18	140	?	U
05811_p1_L22	1	64	a	C
05811_p1_L22	2	29	s	C
05811_p1_L22	3	26	s	C
05811_p1_L22	4	85	e	C
05811_p1_L22	5	59	z	I
05811_p1_L22	6	81	e	C
05811_p1_L22	7	27	s	C
05811_p1_L22	8	31	t	C
05811_p1_L22	9	23	r	C
05811_p1_L22	10	8	o	C
05811_p1_L22	11	104	i	C
05811_p1_L22	12	72	c	C
05811_p1_L22	13	32	t	C
