line	briefnr	page	index	token
4613_p1_L01	4613	p1	1	=Mon
4613_p1_L01	4613	p1	2	=signieur
4613_p1_L01	4613	p1	3	=de?
4613_p1_L01	4613	p1	4	=puis
4613_p1_L01	4613	p1	5	=nostre
4613_p1_L01	4613	p1	6	=dernier?
4613_p1_L01	4613	p1	7	=lettre?
4613_p1_L01	4613	p1	8	=par
4613_p1_L01	4613	p1	9	=ce
4613_p1_L01	4613	p1	10	=quel?
4613_p1_L01	4613	p1	11	=nous
4613_p1_L02	4613	p1	1	81
4613_p1_L02	4613	p1	2	1
4613_p1_L02	4613	p1	3	19
4613_p1_L02	4613	p1	4	36
4613_p1_L02	4613	p1	5	82
4613_p1_L02	4613	p1	6	iii
4613_p1_L02	4613	p1	7	112
4613_p1_L02	4613	p1	8	88
4613_p1_L02	4613	p1	9	31
4613_p1_L02	4613	p1	10	21
4613_p1_L02	4613	p1	11	61
4613_p1_L02	4613	p1	12	71
4613_p1_L02	4613	p1	13	72
4613_p1_L02	4613	p1	14	84
4613_p1_L02	4613	p1	15	2
4613_p1_L02	4613	p1	16	61
4613_p1_L02	4613	p1	17	37
4613_p1_L02	4613	p1	18	26
4613_p1_L02	4613	p1	19	88
4613_p1_L02	4613	p1	20	27?
4613_p1_L03	4613	p1	1	62?
4613_p1_L03	4613	p1	2	30?
4613_p1_L03	4613	p1	3	72
4613_p1_L03	4613	p1	4	9
4613_p1_L03	4613	p1	5	8
4613_p1_L03	4613	p1	6	39
4613_p1_L03	4613	p1	7	29
4613_p1_L03	4613	p1	8	22
4613_p1_L03	4613	p1	9	83
4613_p1_L03	4613	p1	10	36
4613_p1_L03	4613	p1	11	27
4613_p1_L03	4613	p1	12	32
4613_p1_L03	4613	p1	13	23
4613_p1_L03	4613	p1	14	84
4613_p1_L03	4613	p1	15	28
4613_p1_L03	4613	p1	16	113
4613_p1_L03	4613	p1	17	85
4613_p1_L03	4613	p1	18	17?
4613_p1_L04	4613	p1	1	7
4613_p1_L04	4613	p1	2	6
4613_p1_L04	4613	p1	3	38
4613_p1_L04	4613	p1	4	29
4613_p1_L04	4613	p1	5	10
4613_p1_L04	4613	p1	6	5
4613_p1_L04	4613	p1	7	31
4613_p1_L04	4613	p1	8	62
4613_p1_L04	4613	p1	9	113
4613_p1_L04	4613	p1	10	63
4613_p1_L04	4613	p1	11	85
4613_p1_L04	4613	p1	12	102
4613_p1_L04	4613	p1	13	7
4613_p1_L04	4613	p1	14	63
4613_p1_L04	4613	p1	15	72
4613_p1_L04	4613	p1	16	74
4613_p1_L04	4613	p1	17	10
4613_p1_L04	4613	p1	18	24
4613_p1_L04	4613	p1	19	77
4613_p1_L04	4613	p1	20	81
4613_p1_L04	4613	p1	21	136
4613_p1_L04	4613	p1	22	1
4613_p1_L04	4613	p1	23	35
4613_p1_L04	4613	p1	24	92
4613_p1_L04	4613	p1	25	108
4613_p1_L04	4613	p1	26	107
4613_p1_L04	4613	p1	27	116
4613_p1_L04	4613	p1	28	7
4613_p1_L04	4613	p1	29	104
4613_p1_L04	4613	p1	30	20
4613_p1_L04	4613	p1	31	67
4613_p1_L04	4613	p1	32	77
4613_p1_L04	4613	p1	33	88
4613_p1_L04	4613	p1	34	72?
4613_p1_L05	4613	p1	1	92?
4613_p1_L05	4613	p1	2	2
4613_p1_L05	4613	p1	3	84
4613_p1_L05	4613	p1	4	3
4613_p1_L05	4613	p1	5	76
4613_p1_L05	4613	p1	6	82
4613_p1_L05	4613	p1	7	12
4613_p1_L05	4613	p1	8	83
4613_p1_L05	4613	p1	9	101
4613_p1_L05	4613	p1	10	9
4613_p1_L05	4613	p1	11	81/112
4613_p1_L05	4613	p1	12	81
4613_p1_L05	4613	p1	13	18
4613_p1_L05	4613	p1	14	37
4613_p1_L05	4613	p1	15	81
4613_p1_L05	4613	p1	16	115
4613_p1_L05	4613	p1	17	73
4613_p1_L05	4613	p1	18	84
4613_p1_L05	4613	p1	19	73
4613_p1_L05	4613	p1	20	6
4613_p1_L05	4613	p1	21	117
4613_p1_L05	4613	p1	22	118
4613_p1_L05	4613	p1	23	92
4613_p1_L05	4613	p1	24	2
4613_p1_L05	4613	p1	25	75
4613_p1_L05	4613	p1	26	84
4613_p1_L05	4613	p1	27	114
4613_p1_L05	4613	p1	28	81
4613_p1_L05	4613	p1	29	77?
4613_p1_L06	4613	p1	1	82
4613_p1_L06	4613	p1	2	3
4613_p1_L06	4613	p1	3	33
4613_p1_L06	4613	p1	4	76
4613_p1_L06	4613	p1	5	92
4613_p1_L06	4613	p1	6	12
4613_p1_L06	4613	p1	7	36
4613_p1_L06	4613	p1	8	113
4613_p1_L06	4613	p1	9	27
4613_p1_L06	4613	p1	10	2
4613_p1_L06	4613	p1	11	7
4613_p1_L06	4613	p1	12	40
4613_p1_L06	4613	p1	13	30
4613_p1_L06	4613	p1	14	65
4613_p1_L06	4613	p1	15	37
4613_p1_L06	4613	p1	16	10
4613_p1_L06	4613	p1	17	5
4613_p1_L06	4613	p1	18	20
4613_p1_L06	4613	p1	19	17
4613_p1_L06	4613	p1	20	61
4613_p1_L06	4613	p1	21	26?
4613_p1_L07	4613	p1	1	79
4613_p1_L07	4613	p1	2	82
4613_p1_L07	4613	p1	3	30
4613_p1_L07	4613	p1	4	6
4613_p1_L07	4613	p1	5	40
4613_p1_L07	4613	p1	6	26
4613_p1_L07	4613	p1	7	2
4613_p1_L07	4613	p1	8	7
4613_p1_L07	4613	p1	9	38
4613_p1_L07	4613	p1	10	83
4613_p1_L07	4613	p1	11	112
4613_p1_L07	4613	p1	12	84
4613_p1_L07	4613	p1	13	28
4613_p1_L07	4613	p1	14	15
4613_p1_L07	4613	p1	15	37
4613_p1_L07	4613	p1	16	81
4613_p1_L07	4613	p1	17	115
4613_p1_L07	4613	p1	18	82
4613_p1_L07	4613	p1	19	76
4613_p1_L07	4613	p1	20	83
4613_p1_L07	4613	p1	21	22
4613_p1_L07	4613	p1	22	1
