sid	page	line	pos	x	y	w	h	rh	rw	dy	marks
c1_01_001	c1	1	1	0	58	27	26	1.268	1.317	-0.146	
c1_01_002	c1	1	2	32	60	17	25	1.220	0.829	-0.073	
c1_01_003	c1	1	3	54	62	27	19	0.927	1.317	-0.122	c1_01_m0004
c1_01_004	c1	1	4	91	58	17	22	1.073	0.829	-0.244	c1_01_m0002
c1_01_005	c1	1	5	117	59	15	20	0.976	0.732	-0.244	c1_01_m0001
c1_01_006	c1	1	6	141	68	26	9	0.439	1.268	-0.073	c1_01_m0008
c1_01_007	c1	1	7	177	57	15	25	1.220	0.732	-0.220	c1_01_m0006
c1_01_008	c1	1	8	201	59	16	21	1.024	0.780	-0.220	
c1_01_009	c1	1	9	218	55	20	23	1.122	0.976	-0.366	c1_01_m0005
c1_01_010	c1	1	10	247	55	26	25	1.220	1.268	-0.317	
c1_01_011	c1	1	11	282	57	21	23	1.122	1.024	-0.268	c1_01_m0009
c1_01_012	c1	1	12	308	62	22	20	0.976	1.073	-0.098	
c1_01_013	c1	1	13	334	54	20	30	1.463	0.976	-0.244	
c1_01_014	c1	1	14	362	67	14	15	0.732	0.683	0.024	c1_01_m0007|c1_01_m0010
c1_01_015	c1	1	15	391	54	29	26	1.268	1.415	-0.341	
c1_01_016	c1	1	16	431	56	22	23	1.122	1.073	-0.317	
c1_01_017	c1	1	17	457	37	98	52	2.537	4.780	-0.537	
c1_01_018	c1	1	18	561	58	19	22	1.073	0.927	-0.244	c1_01_m0003
c1_01_019	c1	1	19	581	59	16	22	1.073	0.780	-0.195	
c1_01_020	c1	1	20	608	72	6	8	0.390	0.293	0.098	
c1_01_021	c1	1	21	616	72	5	7	0.341	0.244	0.073	
c1_01_022	c1	1	22	623	69	12	12	0.585	0.585	0.049	c1_01_m0011
c1_02_001	c1	2	1	0	107	46	49	2.390	2.244	-0.317	
c1_02_002	c1	2	2	64	132	12	23	1.122	0.585	0.268	
c1_02_003	c1	2	3	83	122	23	22	1.073	1.122	-0.244	
c1_02_004	c1	2	4	114	122	13	20	0.976	0.634	-0.293	
c1_02_005	c1	2	5	144	120	16	23	1.122	0.780	-0.317	
c1_02_006	c1	2	6	165	119	11	21	1.024	0.537	-0.415	
c1_02_007	c1	2	7	183	121	16	29	1.415	0.780	-0.122	c1_02_m0012
c1_02_008	c1	2	8	204	125	21	20	0.976	1.024	-0.146	
c1_02_009	c1	2	9	220	119	10	13	0.634	0.488	-0.610	
c1_02_010	c1	2	10	238	117	30	26	1.268	1.463	-0.390	
c1_02_011	c1	2	11	274	125	26	18	0.878	1.268	-0.195	
c1_02_012	c1	2	12	317	132	16	14	0.683	0.780	0.049	c1_02_m0013
c1_02_013	c1	2	13	340	123	22	24	1.171	1.073	-0.146	
c1_02_014	c1	2	14	368	123	25	24	1.171	1.220	-0.146	
c1_02_015	c1	2	15	396	122	22	23	1.122	1.073	-0.220	
c1_02_016	c1	2	16	429	118	70	26	1.268	3.415	-0.341	
c1_02_017	c1	2	17	510	123	16	21	1.024	0.780	-0.220	
c1_02_018	c1	2	18	531	125	22	19	0.927	1.073	-0.171	
c1_02_019	c1	2	19	562	127	18	24	1.171	0.878	0.049	
c1_02_020	c1	2	20	590	122	20	25	1.220	0.976	-0.171	
c1_02_021	c1	2	21	619	132	16	14	0.683	0.780	0.049	c1_02_m0014
c1_03_001	c1	3	1	0	187	2	16	0.780	0.098	-0.195	
c1_03_002	c1	3	2	5	187	14	18	0.878	0.683	-0.146	
c1_03_003	c1	3	3	22	197	6	7	0.341	0.293	0.073	
c1_03_004	c1	3	4	29	178	17	26	1.268	0.829	-0.390	
c1_03_005	c1	3	5	51	180	23	22	1.073	1.122	-0.390	
c1_03_006	c1	3	6	68	187	30	21	1.024	1.463	-0.073	
c1_03_007	c1	3	7	103	183	13	24	1.171	0.634	-0.195	
c1_03_008	c1	3	8	113	194	10	11	0.537	0.488	0.024	c1_03_m0017
c1_03_009	c1	3	9	125	187	14	13	0.634	0.683	-0.268	
c1_03_010	c1	3	10	145	186	14	28	1.366	0.683	0.049	
c1_03_011	c1	3	11	164	187	13	19	0.927	0.634	-0.122	
c1_03_012	c1	3	12	183	185	15	23	1.122	0.732	-0.122	
c1_03_013	c1	3	13	196	197	6	7	0.341	0.293	0.073	
c1_03_014	c1	3	14	206	185	26	19	0.927	1.268	-0.220	c1_03_m0015
c1_03_015	c1	3	15	240	183	21	22	1.073	1.024	-0.244	
c1_03_016	c1	3	16	268	179	18	27	1.317	0.878	-0.317	
c1_03_017	c1	3	17	295	167	22	43	2.098	1.073	-0.512	
c1_03_018	c1	3	18	317	192	11	12	0.585	0.537	-0.049	c1_03_m0019
c1_03_019	c1	3	19	334	180	25	26	1.268	1.220	-0.293	
c1_03_020	c1	3	20	368	181	17	23	1.122	0.829	-0.317	c1_03_m0018
c1_03_021	c1	3	21	395	191	23	9	0.439	1.122	-0.171	c1_03_m0016
c1_03_022	c1	3	22	425	179	21	27	1.317	1.024	-0.317	
c1_03_023	c1	3	23	439	181	42	53	2.585	2.049	0.415	
c1_03_024	c1	3	24	483	186	19	18	0.878	0.927	-0.195	
c1_03_025	c1	3	25	505	179	13	25	1.220	0.634	-0.366	
c1_03_026	c1	3	26	524	168	20	38	1.854	0.976	-0.585	
c1_03_027	c1	3	27	541	197	6	8	0.390	0.293	0.098	
c1_03_028	c1	3	28	558	183	21	23	1.122	1.024	-0.220	
c1_03_029	c1	3	29	588	184	27	22	1.073	1.317	-0.195	
c1_04_001	c1	4	1	0	239	19	26	1.268	0.927	0.098	
c1_04_002	c1	4	2	24	234	24	35	1.707	1.171	0.073	
c1_04_003	c1	4	3	51	238	14	27	1.317	0.683	0.073	
c1_04_004	c1	4	4	68	261	10	14	0.683	0.488	0.878	
c1_04_005	c1	4	5	79	244	12	22	1.073	0.585	0.244	
c1_04_006	c1	4	6	99	242	7	23	1.122	0.341	0.171	
c1_04_007	c1	4	7	115	246	21	30	1.463	1.024	0.537	
c1_04_008	c1	4	8	141	240	20	27	1.317	0.976	0.171	
c1_04_009	c1	4	9	168	222	28	46	2.244	1.366	-0.244	
c1_04_010	c1	4	10	202	241	19	27	1.317	0.927	0.220	
c1_04_011	c1	4	11	220	252	18	4	0.195	0.878	0.195	
c1_04_012	c1	4	12	242	243	14	28	1.366	0.683	0.341	
c1_04_013	c1	4	13	263	242	26	27	1.317	1.268	0.268	
c1_04_014	c1	4	14	300	241	31	26	1.268	1.512	0.195	
c1_04_015	c1	4	15	335	242	30	28	1.366	1.463	0.293	
c1_04_016	c1	4	16	370	236	17	32	1.561	0.829	0.098	
c1_04_017	c1	4	17	391	242	23	27	1.317	1.122	0.268	
c1_04_018	c1	4	18	417	245	21	25	1.220	1.024	0.366	
c1_04_019	c1	4	19	445	240	32	27	1.317	1.561	0.171	
c1_04_020	c1	4	20	484	236	23	34	1.659	1.122	0.146	
c1_04_021	c1	4	21	515	239	29	33	1.610	1.415	0.268	
c1_04_022	c1	4	22	550	241	20	29	1.415	0.976	0.268	c1_04_m0020
c1_04_023	c1	4	23	584	249	30	21	1.024	1.463	0.463	
c1_05_001	c1	5	1	0	304	26	28	1.366	1.268	-0.390	
c1_05_002	c1	5	2	35	322	5	10	0.488	0.244	0.049	c1_05_m0026
c1_05_003	c1	5	3	44	321	4	10	0.488	0.195	0.000	
c1_05_004	c1	5	4	62	305	15	29	1.415	0.732	-0.317	
c1_05_005	c1	5	5	80	306	17	28	1.366	0.829	-0.293	c1_05_m0021
c1_05_006	c1	5	6	106	302	23	31	1.512	1.122	-0.415	
c1_05_007	c1	5	7	142	306	17	27	1.317	0.829	-0.317	c1_05_m0022
c1_05_008	c1	5	8	160	311	18	25	1.220	0.878	-0.122	
c1_05_009	c1	5	9	188	307	24	26	1.268	1.171	-0.293	
c1_05_010	c1	5	10	222	313	27	20	0.976	1.317	-0.146	
c1_05_011	c1	5	11	259	310	15	26	1.268	0.732	-0.146	
c1_05_012	c1	5	12	275	297	34	57	2.780	1.659	-0.024	
c1_05_013	c1	5	13	307	321	12	16	0.780	0.585	0.146	
c1_05_014	c1	5	14	320	306	22	28	1.366	1.073	-0.293	
c1_05_015	c1	5	15	337	320	13	13	0.634	0.634	0.024	
c1_05_016	c1	5	16	359	309	25	23	1.122	1.220	-0.268	
c1_05_017	c1	5	17	401	299	23	39	1.902	1.122	-0.366	
c1_05_018	c1	5	18	463	322	6	9	0.439	0.293	0.024	c1_05_m0023|c1_05_m0027
c1_05_019	c1	5	19	472	321	5	9	0.439	0.244	-0.024	
c1_05_020	c1	5	20	490	305	30	27	1.317	1.463	-0.366	c1_05_m0024
c1_05_021	c1	5	21	534	309	25	26	1.268	1.220	-0.195	
c1_05_022	c1	5	22	574	312	18	22	1.073	0.878	-0.146	c1_05_m0025
c1_05_023	c1	5	23	600	302	18	30	1.463	0.878	-0.439	
c1_06_001	c1	6	1	0	366	24	30	1.463	1.171	-0.390	c1_06_m0029
c1_06_002	c1	6	2	35	372	17	29	1.415	0.829	-0.122	
c1_06_003	c1	6	3	63	379	14	18	0.878	0.683	-0.049	c1_06_m0030
c1_06_004	c1	6	4	96	370	32	28	1.366	1.561	-0.244	
c1_06_005	c1	6	5	135	371	18	36	1.756	0.878	0.000	
c1_06_006	c1	6	6	164	374	17	24	1.171	0.829	-0.146	c1_06_m0028
c1_06_007	c1	6	7	195	381	14	18	0.878	0.683	0.049	c1_06_m0031|c1_06_m0032
c1_06_008	c1	6	8	217	369	16	26	1.268	0.780	-0.341	c1_06_m0033
c1_06_009	c1	6	9	227	382	13	16	0.780	0.634	0.049	
c1_06_010	c1	6	10	244	366	27	32	1.561	1.317	-0.341	
c1_06_011	c1	6	11	275	371	27	34	1.659	1.317	-0.049	
c1_06_012	c1	6	12	315	384	12	12	0.585	0.585	0.049	c1_06_m0034|c1_06_m0037
c1_06_013	c1	6	13	342	370	20	31	1.512	0.976	-0.171	
c1_06_014	c1	6	14	358	387	8	11	0.537	0.390	0.171	
c1_06_015	c1	6	15	372	369	17	27	1.317	0.829	-0.317	
c1_06_016	c1	6	16	400	382	13	16	0.780	0.634	0.049	c1_06_m0036
c1_06_017	c1	6	17	424	360	15	46	2.244	0.732	-0.293	
c1_06_018	c1	6	18	450	382	16	16	0.780	0.780	0.049	c1_06_m0035
c2a_01_001	c2a	1	1	43	72	3	11	0.478	0.130	1.500	
c2a_01_002	c2a	1	2	209	17	24	34	1.478	1.043	-0.391	c2a_01_m0001|c2a_01_m0002|c2a_01_m0003
c2a_01_003	c2a	1	3	233	35	15	17	0.739	0.652	0.022	
c2a_01_004	c2a	1	4	249	21	19	28	1.217	0.826	-0.348	c2a_01_m0015
c2a_01_005	c2a	1	5	285	17	30	35	1.522	1.304	-0.370	
c2a_01_006	c2a	1	6	323	23	18	29	1.261	0.783	-0.239	c2a_01_m0009
c2a_01_007	c2a	1	7	345	24	20	28	1.217	0.870	-0.217	
c2a_01_008	c2a	1	8	376	23	26	29	1.261	1.130	-0.239	
c2a_01_009	c2a	1	9	415	38	11	13	0.565	0.478	0.065	c2a_01_m0016
c2a_01_010	c2a	1	10	429	35	12	16	0.696	0.522	0.000	c2a_01_m0024
