mid	page	line	x	y	w	h	rh	rw	sid
c1_01_m0001	c1	1	121	46	5	7	0.341	0.244	c1_01_005
c1_01_m0002	c1	1	95	48	4	6	0.293	0.195	c1_01_004
c1_01_m0003	c1	1	567	49	5	4	0.195	0.244	c1_01_018
c1_01_m0004	c1	1	64	50	12	11	0.537	0.585	c1_01_003
c1_01_m0005	c1	1	230	55	5	10	0.488	0.244	c1_01_009
c1_01_m0006	c1	1	185	57	9	10	0.488	0.439	c1_01_007
c1_01_m0007	c1	1	360	56	17	4	0.195	0.829	c1_01_014
c1_01_m0008	c1	1	139	59	27	8	0.390	1.317	c1_01_006
c1_01_m0009	c1	1	282	58	4	7	0.341	0.195	c1_01_011
c1_01_m0010	c1	1	361	61	15	4	0.195	0.732	c1_01_014
c1_01_m0011	c1	1	604	60	26	6	0.293	1.268	c1_01_022
c1_02_m0012	c1	2	189	109	11	7	0.341	0.537	c1_02_007
c1_02_m0013	c1	2	312	119	28	11	0.537	1.366	c1_02_012
c1_02_m0014	c1	2	621	123	10	8	0.390	0.488	c1_02_021
c1_03_m0015	c1	3	217	174	9	8	0.390	0.439	c1_03_014
c1_03_m0016	c1	3	393	181	23	10	0.488	1.122	c1_03_021
c1_03_m0017	c1	3	114	182	9	10	0.488	0.439	c1_03_008
c1_03_m0018	c1	3	365	183	9	9	0.439	0.439	c1_03_020
c1_03_m0019	c1	3	316	186	11	5	0.244	0.537	c1_03_018
c1_04_m0020	c1	4	562	228	7	7	0.341	0.341	c1_04_022
c1_05_m0021	c1	5	87	293	9	9	0.439	0.439	c1_05_005
c1_05_m0022	c1	5	149	296	4	9	0.439	0.195	c1_05_007
c1_05_m0023	c1	5	460	302	20	11	0.537	0.976	c1_05_018
c1_05_m0024	c1	5	505	304	8	10	0.488	0.390	c1_05_020
c1_05_m0025	c1	5	580	304	7	6	0.293	0.341	c1_05_022
c1_05_m0026	c1	5	31	310	20	5	0.244	0.976	c1_05_002
c1_05_m0027	c1	5	460	315	19	4	0.195	0.927	c1_05_018
c1_06_m0028	c1	6	170	357	11	11	0.537	0.537	c1_06_006
c1_06_m0029	c1	6	4	367	5	10	0.488	0.244	c1_06_001
c1_06_m0030	c1	6	59	366	28	8	0.390	1.366	c1_06_003
c1_06_m0031	c1	6	201	369	6	11	0.537	0.293	c1_06_007
c1_06_m0032	c1	6	195	370	4	9	0.439	0.195	c1_06_007
c1_06_m0033	c1	6	216	370	9	11	0.537	0.439	c1_06_008
c1_06_m0034	c1	6	313	372	17	4	0.195	0.829	c1_06_012
c1_06_m0035	c1	6	450	374	14	4	0.195	0.683	c1_06_018
c1_06_m0036	c1	6	400	376	15	3	0.146	0.732	c1_06_016
c1_06_m0037	c1	6	312	378	16	4	0.195	0.780	c1_06_012
c2a_01_m0001	c2a	1	135	0	10	3	0.130	0.435	c2a_01_002
c2a_01_m0002	c2a	1	140	0	23	8	0.348	1.000	c2a_01_002
c2a_01_m0003	c2a	1	168	0	3	9	0.391	0.130	c2a_01_002
c2a_01_m0004	c2a	1	769	0	26	8	0.348	1.130	c2a_01_023
c2a_01_m0005	c2a	1	812	0	32	4	0.174	1.391	c2a_01_024
c2a_01_m0006	c2a	1	957	0	24	11	0.478	1.043	c2a_01_031
c2a_01_m0007	c2a	1	1040	0	9	5	0.217	0.391	c2a_01_034
c2a_01_m0008	c2a	1	1029	5	11	6	0.261	0.478	c2a_01_034
c2a_01_m0009	c2a	1	333	6	5	8	0.348	0.217	c2a_01_006
c2a_01_m0010	c2a	1	665	8	5	9	0.391	0.217	c2a_01_018
c2a_01_m0011	c2a	1	1047	13	5	3	0.130	0.217	c2a_01_034
c2a_01_m0012	c2a	1	573	16	5	5	0.217	0.217	c2a_01_015
c2a_01_m0013	c2a	1	578	16	4	7	0.304	0.174	c2a_01_015
c2a_01_m0014	c2a	1	926	17	5	6	0.261	0.217	c2a_01_029
c2a_01_m0015	c2a	1	262	20	9	12	0.522	0.391	c2a_01_004
c2a_01_m0016	c2a	1	418	20	17	5	0.217	0.739	c2a_01_009
c2a_01_m0017	c2a	1	521	21	16	4	0.174	0.696	c2a_01_013
c2a_01_m0018	c2a	1	549	20	8	9	0.391	0.348	c2a_01_014
c2a_01_m0019	c2a	1	558	20	11	6	0.261	0.478	c2a_01_014
c2a_01_m0020	c2a	1	731	22	15	10	0.435	0.652	c2a_01_020
c2a_01_m0021	c2a	1	759	22	15	4	0.174	0.652	c2a_01_022
c2a_01_m0022	c2a	1	522	27	18	4	0.174	0.783	c2a_01_013
c2a_01_m0023	c2a	1	896	27	9	5	0.217	0.391	c2a_01_027
c2a_01_m0024	c2a	1	420	28	18	4	0.174	0.783	c2a_01_010
c2a_01_m0025	c2a	1	863	28	16	6	0.261	0.696	c2a_01_026
c2a_01_m0026	c2a	1	887	29	4	4	0.174	0.174	c2a_01_027
c2a_02_m0027	c2a	2	1047	84	5	7	0.304	0.217	c2a_02_028
c2a_02_m0028	c2a	2	1048	95	4	4	0.174	0.174	c2a_02_028
c2a_02_m0029	c2a	2	466	96	6	8	0.348	0.261	c2a_02_008
c2a_02_m0030	c2a	2	848	100	5	7	0.304	0.217	c2a_02_021
c2a_02_m0031	c2a	2	121	102	2	8	0.348	0.087	c2a_02_001
c2a_02_m0032	c2a	2	359	104	21	6	0.261	0.913	c2a_02_005
c2a_02_m0033	c2a	2	1048	106	4	4	0.174	0.174	c2a_02_028
c2a_02_m0034	c2a	2	592	108	6	7	0.304	0.261	c2a_02_011
c2a_02_m0035	c2a	2	357	111	4	2	0.087	0.174	c2a_02_005
c2a_02_m0036	c2a	2	1049	111	3	3	0.130	0.130	c2a_02_028
c2a_03_m0037	c2a	3	1005	155	14	7	0.304	0.609	c2a_03_026
c2a_03_m0038	c2a	3	69	157	6	9	0.391	0.261	c2a_03_001
c2a_03_m0039	c2a	3	657	163	9	10	0.435	0.391	c2a_03_014
c2a_03_m0040	c2a	3	814	162	8	7	0.304	0.348	c2a_03_020
c2a_03_m0041	c2a	3	984	163	5	6	0.261	0.217	c2a_03_025
c2a_03_m0042	c2a	3	950	167	6	10	0.435	0.261	c2a_03_025
c2a_03_m0043	c2a	3	968	166	5	9	0.391	0.217	c2a_03_025
c2a_03_m0044	c2a	3	63	168	4	6	0.261	0.174	c2a_03_001
c2a_03_m0045	c2a	3	128	169	8	5	0.217	0.348	c2a_03_001
c2a_03_m0046	c2a	3	1049	169	3	5	0.217	0.130	c2a_03_026
c2a_03_m0047	c2a	3	425	173	5	8	0.348	0.217	c2a_03_006
c2a_03_m0048	c2a	3	1049	177	3	4	0.174	0.130	c2a_03_026
c2a_04_m0049	c2a	4	476	224	5	6	0.261	0.217	c2a_04_009
c2a_04_m0050	c2a	4	101	226	3	6	0.261	0.130	c2a_04_001
c2a_04_m0051	c2a	4	140	235	2	4	0.174	0.087	c2a_04_001
c2a_04_m0052	c2a	4	143	236	3	3	0.130	0.130	c2a_04_001
c2a_05_m0053	c2a	5	1049	310	3	5	0.217	0.130	c2a_05_034
c2a_05_m0054	c2a	5	982	312	5	4	0.174	0.217	c2a_05_032
c2a_05_m0055	c2a	5	1002	312	7	8	0.348	0.304	c2a_05_033
c2a_05_m0056	c2a	5	816	315	6	8	0.348	0.261	c2a_05_026
c2a_05_m0057	c2a	5	485	321	5	5	0.217	0.217	c2a_05_014
c2a_05_m0058	c2a	5	602	321	5	8	0.348	0.217	c2a_05_019
c2a_05_m0059	c2a	5	772	327	29	11	0.478	1.261	c2a_05_025
c2a_05_m0060	c2a	5	1048	327	4	6	0.261	0.174	c2a_05_034
c2a_05_m0061	c2a	5	501	329	29	9	0.391	1.261	c2a_05_015
c2a_05_m0062	c2a	5	938	334	24	4	0.174	1.043	c2a_05_031
c2a_06_m0063	c2a	6	184	382	2	8	0.348	0.087	c2a_06_003
c2a_06_m0064	c2a	6	774	385	5	5	0.217	0.217	c2a_06_024
c2a_06_m0065	c2a	6	298	391	6	5	0.217	0.261	c2a_06_006
c2a_06_m0066	c2a	6	856	393	5	11	0.478	0.217	c2a_06_026
c2a_06_m0067	c2a	6	352	395	23	5	0.217	1.000	c2a_06_009
c2a_06_m0068	c2a	6	80	399	3	6	0.261	0.130	c2a_06_001
c2a_06_m0069	c2a	6	142	398	3	4	0.174	0.130	c2a_06_002
c2a_06_m0070	c2a	6	740	401	6	12	0.522	0.261	c2a_06_023
c2a_06_m0071	c2a	6	748	400	6	10	0.435	0.261	c2a_06_023
c2a_06_m0072	c2a	6	353	402	22	4	0.174	0.957	c2a_06_009
c2a_06_m0073	c2a	6	142	405	3	7	0.304	0.130	c2a_06_002
c2a_06_m0074	c2a	6	175	405	3	6	0.261	0.130	c2a_06_003
c2a_06_m0075	c2a	6	935	405	7	8	0.348	0.304	c2a_06_029
c2a_07_m0076	c2a	7	669	472	5	6	0.261	0.217	c2a_07_021
c2a_07_m0077	c2a	7	1035	473	4	4	0.174	0.174	c2a_07_032
c2a_08_m0078	c2a	8	930	540	6	4	0.174	0.261	c2a_08_024
c2a_08_m0079	c2a	8	384	542	6	4	0.174	0.261	c2a_08_014
c2a_08_m0080	c2a	8	987	551	15	3	0.130	0.652	c2a_08_025
c2a_08_m0081	c2a	8	1004	551	31	6	0.261	1.348	c2a_08_025
c2a_08_m0082	c2a	8	1048	551	4	8	0.348	0.174	c2a_08_026
c2a_08_m0083	c2a	8	348	552	20	11	0.478	0.870	c2a_08_013
c2a_08_m0084	c2a	8	405	557	20	8	0.348	0.870	c2a_08_015
c2a_08_m0085	c2a	8	514	556	33	12	0.522	1.435	c2a_08_017
c2a_08_m0086	c2a	8	902	556	12	2	0.087	0.522	c2a_08_024
c2a_08_m0087	c2a	8	221	559	17	3	0.130	0.739	c2a_08_010
c2a_08_m0088	c2a	8	311	563	20	5	0.217	0.870	c2a_08_012
c2a_08_m0089	c2a	8	1049	562	3	3	0.130	0.130	c2a_08_026
c2a_08_m0090	c2a	8	57	565	6	2	0.087	0.261	c2a_08_002
c2a_09_m0091	c2a	9	189	624	9	8	0.348	0.391	c2a_09_004
c2a_09_m0092	c2a	9	1006	625	34	9	0.391	1.478	c2a_09_040
c2a_09_m0093	c2a	9	144	629	15	12	0.522	0.652	c2a_09_003
c2a_09_m0094	c2a	9	805	631	19	5	0.217	0.826	c2a_09_030
c2a_09_m0095	c2a	9	836	630	5	6	0.261	0.217	c2a_09_031
c2a_09_m0096	c2a	9	945	630	4	3	0.130	0.174	c2a_09_038
c2a_09_m0097	c2a	9	58	632	26	12	0.522	1.130	c2a_09_001
c2a_09_m0098	c2a	9	800	633	6	6	0.261	0.261	c2a_09_030
c2a_09_m0099	c2a	9	239	636	24	5	0.217	1.043	c2a_09_006
c2a_09_m0100	c2a	9	955	636	21	8	0.348	0.913	c2a_09_039
c2a_10_m0101	c2a	10	76	689	5	10	0.435	0.217	c2a_10_002
c2a_10_m0102	c2a	10	877	694	10	9	0.391	0.435	c2a_10_027
c2a_10_m0103	c2a	10	1002	697	5	9	0.391	0.217	c2a_10_031
c2a_10_m0104	c2a	10	286	698	7	8	0.348	0.304	c2a_10_008
c2a_10_m0105	c2a	10	985	698	5	7	0.304	0.217	c2a_10_030
c2a_10_m0106	c2a	10	72	701	11	7	0.304	0.478	c2a_10_002
c2a_10_m0107	c2a	10	121	700	6	11	0.478	0.261	c2a_10_004
c2a_10_m0108	c2a	10	781	701	11	10	0.435	0.478	c2a_10_024
c2a_10_m0109	c2a	10	93	703	15	9	0.391	0.652	c2a_10_003
c2a_10_m0110	c2a	10	520	704	6	7	0.304	0.261	c2a_10_015
c2a_10_m0111	c2a	10	902	704	25	9	0.391	1.087	c2a_10_028
c2a_10_m0112	c2a	10	756	706	28	10	0.435	1.217	c2a_10_024
c2a_11_m0113	c2a	11	575	770	7	6	0.261	0.304	c2a_11_018
c2a_11_m0114	c2a	11	432	772	4	7	0.304	0.174	c2a_11_013
c2a_12_m0115	c2a	12	147	841	5	8	0.348	0.217	c2a_12_005
c2a_12_m0116	c2a	12	60	844	9	8	0.348	0.391	c2a_12_001
c2a_12_m0117	c2a	12	316	844	5	8	0.348	0.217	c2a_12_012
c2a_12_m0118	c2a	12	228	855	5	6	0.261	0.217	c2a_12_010
c2a_12_m0119	c2a	12	767	857	34	7	0.304	1.478	c2a_12_026
c2a_12_m0120	c2a	12	892	862	28	5	0.217	1.217	c2a_12_032
c2a_13_m0121	c2a	13	66	915	6	9	0.391	0.261	c2a_13_002
c2a_13_m0122	c2a	13	73	916	8	9	0.391	0.348	c2a_13_002
c2a_13_m0123	c2a	13	932	917	6	10	0.435	0.261	c2a_13_035
c2a_13_m0124	c2a	13	310	920	5	8	0.348	0.217	c2a_13_012
c2a_13_m0125	c2a	13	102	929	5	4	0.174	0.217	c2a_13_003
c2a_14_m0126	c2a	14	1026	983	7	5	0.217	0.304	c2a_14_031
c2a_14_m0127	c2a	14	860	984	7	11	0.478	0.304	c2a_14_026
c2a_14_m0128	c2a	14	399	990	6	7	0.304	0.261	c2a_14_009
c2a_14_m0129	c2a	14	420	991	12	11	0.478	0.522	c2a_14_010
c2a_14_m0130	c2a	14	455	990	11	11	0.478	0.478	c2a_14_011
c2a_14_m0131	c2a	14	323	992	6	7	0.304	0.261	c2a_14_007
c2a_14_m0132	c2a	14	575	998	6	8	0.348	0.261	c2a_14_015
c2a_14_m0133	c2a	14	736	998	3	3	0.130	0.130	c2a_14_022
c2a_14_m0134	c2a	14	622	1002	15	11	0.478	0.652	c2a_14_017
c2a_14_m0135	c2a	14	716	1004	24	9	0.391	1.043	c2a_14_021
c2a_14_m0136	c2a	14	882	1004	28	8	0.348	1.217	c2a_14_027
c2a_14_m0137	c2a	14	981	1004	18	6	0.261	0.783	c2a_14_030
c2a_15_m0138	c2a	15	172	1068	6	11	0.478	0.261	c2a_15_005
c2a_15_m0139	c2a	15	860	1070	5	7	0.304	0.217	c2a_15_031
c2a_15_m0140	c2a	15	1049	1071	3	3	0.130	0.130	c2a_15_036
c2a_15_m0141	c2a	15	649	1072	11	12	0.522	0.478	c2a_15_025
c2a_15_m0142	c2a	15	584	1074	11	9	0.391	0.478	c2a_15_023
c2a_15_m0143	c2a	15	497	1084	25	5	0.217	1.087	c2a_15_019
c2a_16_m0144	c2a	16	920	1144	6	9	0.391	0.261	c2a_16_029
c2a_16_m0145	c2a	16	524	1147	5	6	0.261	0.217	c2a_16_014
c2a_16_m0146	c2a	16	617	1147	5	9	0.391	0.217	c2a_16_017
c2a_16_m0147	c2a	16	942	1147	7	10	0.435	0.304	c2a_16_030
c2a_16_m0148	c2a	16	93	1149	6	7	0.304	0.261	c2a_16_002
c2a_16_m0149	c2a	16	487	1148	10	10	0.435	0.435	c2a_16_013
c2a_17_m0150	c2a	17	239	1214	10	4	0.174	0.435	c2a_17_006
c2a_17_m0151	c2a	17	727	1221	15	11	0.478	0.652	c2a_17_021
c2a_17_m0152	c2a	17	683	1229	27	11	0.478	1.174	c2a_17_020
c2a_17_m0153	c2a	17	883	1228	9	10	0.435	0.391	c2a_17_027
c2a_17_m0154	c2a	17	48	1231	27	4	0.174	1.174	c2a_17_002
c2a_17_m0155	c2a	17	291	1232	24	8	0.348	1.043	c2a_17_009
c2a_17_m0156	c2a	17	724	1234	21	3	0.130	0.913	c2a_17_021
c2b_01_m0001	c2b	1	426	0	13	5	0.200	0.520	c2b_01_014
c2b_01_m0002	c2b	1	672	0	7	3	0.120	0.280	c2b_01_024
c2b_01_m0003	c2b	1	712	0	26	9	0.360	1.040	c2b_01_026
c2b_01_m0004	c2b	1	129	32	11	10	0.400	0.440	c2b_01_001
c2b_01_m0005	c2b	1	396	37	5	8	0.320	0.200	c2b_01_013
c2b_01_m0006	c2b	1	424	36	9	8	0.320	0.360	c2b_01_014
c2b_01_m0007	c2b	1	815	38	29	13	0.520	1.160	c2b_01_029
c2b_01_m0008	c2b	1	619	40	12	12	0.480	0.480	c2b_01_022
c2b_01_m0009	c2b	1	992	40	23	11	0.440	0.920	c2b_01_035
c2b_01_m0010	c2b	1	1043	40	5	8	0.320	0.200	c2b_01_036
c2b_01_m0011	c2b	1	1054	40	6	5	0.200	0.240	c2b_01_036
c2b_01_m0012	c2b	1	1034	42	6	7	0.280	0.240	c2b_01_036
c2b_01_m0013	c2b	1	319	45	24	5	0.200	0.960	c2b_01_009
c2b_01_m0014	c2b	1	856	45	7	11	0.440	0.280	c2b_01_030
c2b_01_m0015	c2b	1	964	45	7	8	0.320	0.280	c2b_01_034
c2b_01_m0016	c2b	1	971	45	6	8	0.320	0.240	c2b_01_034
c2b_01_m0017	c2b	1	356	48	11	5	0.200	0.440	c2b_01_010
c2b_02_m0018	c2b	2	136	98	11	13	0.520	0.440	c2b_02_001
c2b_02_m0019	c2b	2	790	101	7	12	0.480	0.280	c2b_02_016
c2b_02_m0020	c2b	2	832	100	12	9	0.360	0.480	c2b_02_018
c2b_02_m0021	c2b	2	892	101	13	7	0.280	0.520	c2b_02_019
c2b_02_m0022	c2b	2	906	100	30	12	0.480	1.200	c2b_02_020
c2b_02_m0023	c2b	2	961	100	6	3	0.120	0.240	c2b_02_023
c2b_02_m0024	c2b	2	872	103	6	3	0.120	0.240	c2b_02_019
c2b_02_m0025	c2b	2	388	106	16	3	0.120	0.640	c2b_02_005
