id	kind	cluster	dist
c1_01_001	sign	33	5.416
c1_01_002	sign	13	4.847
c1_01_003	sign	39	4.298
c1_01_004	sign	4	4.204
c1_01_005	sign	71	5.300
c1_01_006	sign	61	5.093
c1_01_007	sign	3	4.839
c1_01_008	sign	19	5.554
c1_01_009	sign	82	5.318
c1_01_010	sign	31	5.208
c1_01_011	sign	46	6.000
c1_01_012	sign	78	5.159
c1_01_013	sign	36	5.898
c1_01_014	sign	26	5.257
c1_01_015	sign	31	4.820
c1_01_016	sign	33	5.723
c1_01_017	sign	60	5.089
c1_01_018	sign	47	4.064
c1_01_019	sign	26	5.951
c1_01_020	sign	10	3.674
c1_01_021	sign	55	3.177
c1_01_022	sign	28	4.279
c1_02_001	sign	16	3.900
c1_02_002	sign	87	6.326
c1_02_003	sign	66	4.479
c1_02_004	sign	57	5.753
c1_02_005	sign	33	6.626
c1_02_006	sign	87	5.479
c1_02_007	sign	65	4.158
c1_02_008	sign	62	7.038
c1_02_009	sign	38	6.915
c1_02_010	sign	31	4.946
c1_02_011	sign	20	6.475
c1_02_012	sign	28	3.282
c1_02_013	sign	5	2.749
c1_02_014	sign	13	5.279
c1_02_015	sign	19	4.880
c1_02_016	sign	29	4.480
c1_02_017	sign	47	5.046
c1_02_018	sign	9	3.911
c1_02_019	sign	5	3.255
c1_02_020	sign	44	6.146
c1_02_021	sign	17	4.497
c1_03_001	sign	51	2.588
c1_03_002	sign	26	3.601
c1_03_003	sign	55	3.194
c1_03_004	sign	77	3.686
c1_03_005	sign	70	5.782
c1_03_006	sign	0	4.972
c1_03_007	sign	28	4.589
c1_03_008	sign	80	5.382
c1_03_009	sign	18	4.136
c1_03_010	sign	52	4.868
c1_03_011	sign	89	3.815
c1_03_012	sign	57	4.101
c1_03_013	sign	10	3.018
c1_03_014	sign	39	5.210
c1_03_015	sign	66	6.102
c1_03_016	sign	71	4.526
c1_03_017	sign	35	4.357
c1_03_018	sign	73	3.642
c1_03_019	sign	31	5.017
c1_03_020	sign	65	4.985
c1_03_021	sign	61	5.876
c1_03_022	sign	21	4.766
c1_03_023	sign	79	4.750
c1_03_024	sign	46	5.842
c1_03_025	sign	63	4.030
c1_03_026	sign	34	4.030
c1_03_027	sign	10	3.736
c1_03_028	sign	9	5.998
c1_03_029	sign	31	6.151
c1_04_001	sign	67	7.276
c1_04_002	sign	6	6.148
c1_04_003	sign	77	5.451
c1_04_004	sign	38	6.660
c1_04_005	sign	89	3.691
c1_04_006	sign	12	2.744
c1_04_007	sign	72	4.989
c1_04_008	sign	59	5.568
c1_04_009	sign	83	3.826
c1_04_010	sign	2	3.763
c1_04_011	sign	61	5.855
c1_04_012	sign	3	5.330
c1_04_013	sign	66	4.251
c1_04_014	sign	27	4.410
c1_04_015	sign	67	6.205
c1_04_016	sign	87	5.967
c1_04_017	sign	36	5.977
c1_04_018	sign	53	6.428
c1_04_019	sign	30	4.564
c1_04_020	sign	49	6.285
c1_04_021	sign	43	5.966
c1_04_022	sign	65	4.269
c1_04_023	sign	31	5.327
c1_05_001	sign	66	5.661
c1_05_002	sign	1	4.413
c1_05_003	sign	1	4.350
c1_05_004	sign	88	5.637
c1_05_005	sign	65	2.694
c1_05_006	sign	30	3.916
c1_05_007	sign	25	3.423
c1_05_008	sign	48	4.675
c1_05_009	sign	19	6.186
c1_05_010	sign	67	5.876
c1_05_011	sign	77	5.927
c1_05_012	sign	79	5.095
c1_05_013	sign	28	4.000
c1_05_014	sign	19	6.447
c1_05_015	sign	56	3.851
c1_05_016	sign	57	5.321
c1_05_017	sign	6	4.089
c1_05_018	sign	1	4.615
c1_05_019	sign	45	3.013
c1_05_020	sign	7	4.962
c1_05_021	sign	19	6.745
c1_05_022	sign	22	3.900
c1_05_023	sign	13	5.005
c1_06_001	sign	66	6.160
c1_06_002	sign	23	5.144
c1_06_003	sign	84	4.616
c1_06_004	sign	67	5.301
c1_06_005	sign	52	4.789
c1_06_006	sign	5	3.225
c1_06_007	sign	44	4.908
c1_06_008	sign	57	4.890
c1_06_009	sign	28	2.566
c1_06_010	sign	43	4.398
c1_06_011	sign	76	3.897
c1_06_012	sign	38	4.090
c1_06_013	sign	88	5.183
c1_06_014	sign	38	6.132
c1_06_015	sign	13	4.701
c1_06_016	sign	17	3.212
c1_06_017	sign	86	5.898
c1_06_018	sign	17	4.132
c2a_01_001	sign	51	4.503
c2a_01_002	sign	21	5.355
c2a_01_003	sign	56	3.906
c2a_01_004	sign	82	5.783
c2a_01_005	sign	76	6.216
c2a_01_006	sign	88	3.501
c2a_01_007	sign	21	5.359
c2a_01_008	sign	67	5.323
c2a_01_009	sign	38	6.104
c2a_01_010	sign	28	4.465
c2a_01_011	sign	13	5.077
c2a_01_012	sign	69	5.309
c2a_01_013	sign	75	5.829
c2a_01_014	sign	42	6.564
c2a_01_015	sign	56	4.514
c2a_01_016	sign	54	6.289
c2a_01_017	sign	33	5.068
c2a_01_018	sign	5	3.091
c2a_01_019	sign	85	3.620
c2a_01_020	sign	17	6.111
c2a_01_021	sign	12	4.922
c2a_01_022	sign	42	5.510
c2a_01_023	sign	61	6.591
c2a_01_024	sign	31	5.734
c2a_01_025	sign	66	5.668
c2a_01_026	sign	73	4.549
c2a_01_027	sign	61	5.941
c2a_01_028	sign	26	4.838
c2a_01_029	sign	75	5.354
c2a_01_030	sign	72	4.467
c2a_01_031	sign	3	5.893
c2a_01_032	sign	28	4.336
c2a_01_033	sign	55	3.390
c2a_01_034	sign	15	3.281
c2a_02_001	sign	16	6.915
c2a_02_002	sign	87	5.688
c2a_02_003	sign	33	6.836
c2a_02_004	sign	20	5.232
c2a_02_005	sign	39	6.364
c2a_02_006	sign	5	2.694
c2a_02_007	sign	33	4.689
c2a_02_008	sign	39	4.824
c2a_02_009	sign	76	4.911
c2a_02_010	sign	83	4.849
c2a_02_011	sign	16	5.262
c2a_02_012	sign	26	6.126
c2a_02_013	sign	77	5.828
c2a_02_014	sign	77	5.795
c2a_02_015	sign	12	2.968
c2a_02_016	sign	39	6.517
c2a_02_017	sign	1	5.779
c2a_02_018	sign	11	6.194
c2a_02_019	sign	9	3.923
c2a_02_020	sign	77	5.033
c2a_02_021	sign	26	5.640
c2a_02_022	sign	62	5.579
c2a_02_023	sign	46	5.849
c2a_02_024	sign	55	3.085
c2a_02_025	sign	34	3.782
c2a_02_026	sign	36	4.857
c2a_02_027	sign	64	3.588
c2a_02_028	sign	15	3.582
c2a_03_001	sign	60	5.892
c2a_03_002	sign	43	4.345
c2a_03_003	sign	49	4.158
c2a_03_004	sign	0	5.860
c2a_03_005	sign	14	5.661
c2a_03_006	sign	28	3.033
c2a_03_007	sign	86	3.721
c2a_03_008	sign	37	5.620
c2a_03_009	sign	49	4.229
c2a_03_010	sign	30	4.398
c2a_03_011	sign	4	5.257
c2a_03_012	sign	33	4.782
c2a_03_013	sign	82	5.145
c2a_03_014	sign	30	5.477
c2a_03_015	sign	57	4.715
c2a_03_016	sign	25	5.344
c2a_03_017	sign	70	5.004
c2a_03_018	sign	5	2.884
c2a_03_019	sign	10	5.371
c2a_03_020	sign	26	6.107
c2a_03_021	sign	39	6.375
c2a_03_022	sign	8	4.502
c2a_03_023	sign	19	5.253
c2a_03_024	sign	33	5.993
c2a_03_025	sign	53	7.263
c2a_03_026	sign	35	5.437
c2a_04_001	sign	12	4.554
c2a_04_002	sign	12	5.278
c2a_04_003	sign	51	5.260
c2a_04_004	sign	10	2.542
c2a_04_005	sign	75	5.916
c2a_04_006	sign	14	4.680
c2a_04_007	sign	26	7.191
c2a_04_008	sign	24	4.721
c2a_04_009	sign	30	6.259
c2a_04_010	sign	69	3.905
c2a_04_011	sign	21	5.468
c2a_04_012	sign	30	5.913
c2a_04_013	sign	41	6.976
c2a_04_014	sign	85	2.882
c2a_04_015	sign	2	4.879
c2a_04_016	sign	32	6.326
c2a_04_017	sign	20	5.149
c2a_04_018	sign	77	3.155
c2a_04_019	sign	52	5.586
c2a_04_020	sign	25	3.591
c2a_04_021	sign	55	2.162
c2a_04_022	sign	37	6.977
c2a_04_023	sign	66	5.051
c2a_04_024	sign	27	4.782
c2a_04_025	sign	12	3.067
c2a_04_026	sign	12	5.597
c2a_04_027	sign	15	4.910
c2a_05_001	sign	38	5.747
c2a_05_002	sign	76	6.114
c2a_05_003	sign	15	6.022
c2a_05_004	sign	10	4.589
c2a_05_005	sign	16	5.644
c2a_05_006	sign	5	3.771
c2a_05_007	sign	28	4.445
c2a_05_008	sign	31	4.052
c2a_05_009	sign	72	5.277
c2a_05_010	sign	44	4.153
c2a_05_011	sign	44	3.857
c2a_05_012	sign	10	3.043
c2a_05_013	sign	1	4.350
c2a_05_014	sign	14	3.514
c2a_05_015	sign	42	5.242
c2a_05_016	sign	55	3.376
c2a_05_017	sign	62	5.787
c2a_05_018	sign	53	5.459
c2a_05_019	sign	87	6.087
c2a_05_020	sign	28	3.794
c2a_05_021	sign	27	5.199
c2a_05_022	sign	46	6.790
c2a_05_023	sign	67	6.305
c2a_05_024	sign	5	3.407
c2a_05_025	sign	74	6.331
c2a_05_026	sign	28	3.019
c2a_05_027	sign	86	3.674
c2a_05_028	sign	74	3.628
c2a_05_029	sign	2	5.182
c2a_05_030	sign	2	4.545
c2a_05_031	sign	1	6.041
c2a_05_032	sign	77	5.760
c2a_05_033	sign	28	2.999
c2a_05_034	sign	51	4.547
c2a_06_001	sign	12	5.162
c2a_06_002	sign	26	6.809
c2a_06_003	sign	6	5.230
c2a_06_004	sign	51	2.802
c2a_06_005	sign	6	4.870
c2a_06_006	sign	47	3.596
c2a_06_007	sign	13	6.616
c2a_06_008	sign	26	5.080
c2a_06_009	sign	75	3.800
c2a_06_010	sign	6	6.161
c2a_06_011	sign	67	6.370
c2a_06_012	sign	13	4.564
c2a_06_013	sign	67	6.089
c2a_06_014	sign	48	4.653
c2a_06_015	sign	5	3.152
c2a_06_016	sign	75	4.671
c2a_06_017	sign	86	4.239
c2a_06_018	sign	9	5.034
c2a_06_019	sign	53	5.701
c2a_06_020	sign	2	4.528
c2a_06_021	sign	2	4.027
c2a_06_022	sign	42	5.011
c2a_06_023	sign	17	6.650
c2a_06_024	sign	87	5.819
c2a_06_025	sign	42	5.586
c2a_06_026	sign	59	3.731
c2a_06_027	sign	79	3.693
c2a_06_028	sign	66	4.044
c2a_06_029	sign	26	5.833
c2a_06_030	sign	49	5.280
c2a_06_031	sign	9	6.603
c2a_07_001	sign	81	4.119
c2a_07_002	sign	67	4.690
c2a_07_003	sign	82	4.502
c2a_07_004	sign	37	6.370
c2a_07_005	sign	8	2.993
c2a_07_006	sign	77	4.814
c2a_07_007	sign	17	5.464
c2a_07_008	sign	36	5.768
c2a_07_009	sign	28	3.333
c2a_07_010	sign	31	4.515
c2a_07_011	sign	24	4.686
c2a_07_012	sign	49	5.304
c2a_07_013	sign	31	4.841
c2a_07_014	sign	28	3.625
c2a_07_015	sign	24	5.936
c2a_07_016	sign	74	6.303
c2a_07_017	sign	35	5.402
c2a_07_018	sign	53	3.774
c2a_07_019	sign	33	6.339
c2a_07_020	sign	82	4.509
c2a_07_021	sign	47	5.759
c2a_07_022	sign	62	6.114
c2a_07_023	sign	5	4.238
c2a_07_024	sign	13	5.875
c2a_07_025	sign	5	3.956
c2a_07_026	sign	69	5.257
c2a_07_027	sign	86	3.634
c2a_07_028	sign	41	4.098
c2a_07_029	sign	17	3.871
c2a_07_030	sign	53	6.400
c2a_07_031	sign	31	4.519
c2a_07_032	sign	1	4.088
c2a_08_001	sign	61	5.878
c2a_08_002	sign	12	4.503
c2a_08_003	sign	4	7.682
c2a_08_004	sign	25	6.387
c2a_08_005	sign	50	3.210
c2a_08_006	sign	57	6.005
c2a_08_007	sign	56	5.025
c2a_08_008	sign	19	4.828
c2a_08_009	sign	80	6.020
c2a_08_010	sign	42	3.931
c2a_08_011	sign	29	6.147
c2a_08_012	sign	76	5.492
c2a_08_013	sign	41	7.015
c2a_08_014	sign	65	4.942
c2a_08_015	sign	18	4.004
c2a_08_016	sign	29	5.527
c2a_08_017	sign	58	5.391
c2a_08_018	sign	43	5.466
c2a_08_019	sign	29	4.606
c2a_08_020	sign	71	3.614
c2a_08_021	sign	29	5.972
c2a_08_022	sign	67	4.933
c2a_08_023	sign	29	4.982
c2a_08_024	sign	29	4.303
c2a_08_025	sign	31	4.217
c2a_08_026	sign	1	3.315
c2a_09_001	sign	18	4.546
c2a_09_002	sign	69	4.223
c2a_09_003	sign	64	5.596
c2a_09_004	sign	5	2.901
c2a_09_005	sign	52	6.101
c2a_09_006	sign	5	4.529
c2a_09_007	sign	76	4.651
c2a_09_008	sign	10	3.926
c2a_09_009	sign	43	5.280
c2a_09_010	sign	67	5.579
c2a_09_011	sign	7	4.447
c2a_09_012	sign	67	5.903
c2a_09_013	sign	10	4.042
c2a_09_014	sign	21	4.035
c2a_09_015	sign	55	2.571
c2a_09_016	sign	10	2.931
c2a_09_017	sign	45	4.603
c2a_09_018	sign	29	5.548
c2a_09_019	sign	77	5.391
c2a_09_020	sign	68	3.772
c2a_09_021	sign	34	3.475
c2a_09_022	sign	46	6.743
c2a_09_023	sign	40	7.218
c2a_09_024	sign	40	5.869
c2a_09_025	sign	38	7.063
c2a_09_026	sign	32	3.971
c2a_09_027	sign	37	6.586
c2a_09_028	sign	44	5.247
c2a_09_029	sign	10	2.648
c2a_09_030	sign	74	5.332
c2a_09_031	sign	75	4.933
c2a_09_032	sign	54	5.810
c2a_09_033	sign	54	6.071
c2a_09_034	sign	19	5.176
c2a_09_035	sign	32	4.800
c2a_09_036	sign	73	4.100
c2a_09_037	sign	17	4.861
c2a_09_038	sign	38	5.383
c2a_09_039	sign	20	6.090
c2a_09_040	sign	66	3.819
c2a_09_041	sign	15	4.397
c2a_10_001	sign	65	5.535
c2a_10_002	sign	49	4.668
c2a_10_003	sign	38	3.443
c2a_10_004	sign	13	5.969
c2a_10_005	sign	17	4.046
c2a_10_006	sign	11	6.289
c2a_10_007	sign	7	6.326
c2a_10_008	sign	5	3.108
c2a_10_009	sign	16	3.705
c2a_10_010	sign	20	6.741
c2a_10_011	sign	5	4.078
c2a_10_012	sign	63	3.272
c2a_10_013	sign	5	3.465
c2a_10_014	sign	16	6.805
c2a_10_015	sign	77	6.615
c2a_10_016	sign	64	6.165
c2a_10_017	sign	87	6.564
c2a_10_018	sign	23	5.050
c2a_10_019	sign	31	4.518
c2a_10_020	sign	41	6.734
c2a_10_021	sign	24	7.727
c2a_10_022	sign	44	5.894
c2a_10_023	sign	28	3.178
c2a_10_024	sign	62	5.511
c2a_10_025	sign	19	6.651
c2a_10_026	sign	41	6.182
c2a_10_027	sign	88	4.566
c2a_10_028	sign	58	5.196
c2a_10_029	sign	66	5.467
c2a_10_030	sign	47	3.804
c2a_10_031	sign	84	4.263
c2a_10_032	sign	33	4.400
c2a_10_033	sign	51	6.458
c2a_11_001	sign	76	5.966
c2a_11_002	sign	49	5.361
c2a_11_003	sign	73	4.378
c2a_11_004	sign	62	4.226
c2a_11_005	sign	5	4.352
c2a_11_006	sign	41	4.944
c2a_11_007	sign	68	4.032
c2a_11_008	sign	5	3.257
c2a_11_009	sign	31	5.117
c2a_11_010	sign	24	5.451
c2a_11_011	sign	6	6.180
c2a_11_012	sign	3	4.569
c2a_11_013	sign	47	3.967
c2a_11_014	sign	27	6.094
c2a_11_015	sign	57	6.498
c2a_11_016	sign	57	5.419
c2a_11_017	sign	69	5.423
c2a_11_018	sign	88	4.997
c2a_11_019	sign	31	4.820
c2a_11_020	sign	11	3.813
c2a_11_021	sign	72	7.030
c2a_11_022	sign	12	3.667
c2a_11_023	sign	70	6.205
c2a_11_024	sign	14	4.455
c2a_11_025	sign	24	6.076
c2a_11_026	sign	54	5.387
c2a_11_027	sign	88	5.498
c2a_11_028	sign	53	5.926
c2a_11_029	sign	37	6.122
c2a_11_030	sign	25	6.176
c2a_11_031	sign	36	5.580
c2a_11_032	sign	15	5.141
c2a_12_001	sign	52	5.479
c2a_12_002	sign	49	4.322
c2a_12_003	sign	57	4.965
c2a_12_004	sign	1	2.486
c2a_12_005	sign	22	5.331
c2a_12_006	sign	41	5.787
c2a_12_007	sign	10	5.912
c2a_12_008	sign	17	3.856
c2a_12_009	sign	45	5.247
c2a_12_010	sign	52	4.794
c2a_12_011	sign	29	5.971
c2a_12_012	sign	14	4.606
c2a_12_013	sign	5	3.442
c2a_12_014	sign	69	3.740
c2a_12_015	sign	69	4.209
c2a_12_016	sign	36	4.620
c2a_12_017	sign	72	5.204
c2a_12_018	sign	60	5.817
c2a_12_019	sign	13	3.414
c2a_12_020	sign	21	5.673
c2a_12_021	sign	67	5.661
c2a_12_022	sign	77	5.592
c2a_12_023	sign	63	4.682
c2a_12_024	sign	50	4.260
c2a_12_025	sign	50	3.770
c2a_12_026	sign	73	4.968
c2a_12_027	sign	28	4.141
c2a_12_028	sign	14	4.730
c2a_12_029	sign	82	5.059
c2a_12_030	sign	57	4.831
c2a_12_031	sign	45	4.971
c2a_12_032	sign	68	6.204
c2a_12_033	sign	86	5.640
c2a_12_034	sign	46	5.059
c2a_12_035	sign	64	5.329
c2a_12_036	sign	15	2.274
c2a_13_001	sign	55	4.590
c2a_13_002	sign	5	3.134
c2a_13_003	sign	49	4.447
c2a_13_004	sign	10	2.809
c2a_13_005	sign	12	5.274
c2a_13_006	sign	55	2.963
c2a_13_007	sign	71	6.425
c2a_13_008	sign	70	5.141
c2a_13_009	sign	66	5.026
c2a_13_010	sign	2	4.690
c2a_13_011	sign	73	4.540
c2a_13_012	sign	47	4.364
c2a_13_013	sign	85	3.317
c2a_13_014	sign	37	5.526
c2a_13_015	sign	67	5.835
c2a_13_016	sign	66	4.659
c2a_13_017	sign	83	5.211
c2a_13_018	sign	19	5.278
c2a_13_019	sign	34	4.942
c2a_13_020	sign	72	4.374
c2a_13_021	sign	73	4.743
c2a_13_022	sign	16	5.336
c2a_13_023	sign	31	4.466
c2a_13_024	sign	8	5.438
c2a_13_025	sign	8	5.643
c2a_13_026	sign	84	6.134
c2a_13_027	sign	82	5.406
c2a_13_028	sign	1	6.155
c2a_13_029	sign	1	3.301
c2a_13_030	sign	56	6.033
c2a_13_031	sign	10	2.614
c2a_13_032	sign	62	4.199
c2a_13_033	sign	21	5.132
c2a_13_034	sign	36	3.860
c2a_13_035	sign	84	4.788
c2a_13_036	sign	68	5.526
c2a_13_037	sign	13	4.554
c2a_13_038	sign	43	5.148
c2a_13_039	sign	35	5.110
c2a_14_001	sign	66	3.680
c2a_14_002	sign	23	3.558
c2a_14_003	sign	72	6.295
c2a_14_004	sign	67	5.389
c2a_14_005	sign	11	5.277
c2a_14_006	sign	49	4.809
c2a_14_007	sign	25	4.377
c2a_14_008	sign	36	5.751
c2a_14_009	sign	25	3.998
c2a_14_010	sign	30	6.386
c2a_14_011	sign	65	6.059
c2a_14_012	sign	76	5.650
c2a_14_013	sign	34	4.692
c2a_14_014	sign	70	4.451
c2a_14_015	sign	14	3.091
c2a_14_016	sign	52	4.066
c2a_14_017	sign	87	6.002
c2a_14_018	sign	73	5.426
c2a_14_019	sign	6	5.688
c2a_14_020	sign	66	4.032
c2a_14_021	sign	80	6.328
c2a_14_022	sign	62	5.027
c2a_14_023	sign	67	6.136
c2a_14_024	sign	88	3.937
c2a_14_025	sign	53	6.284
c2a_14_026	sign	4	4.071
c2a_14_027	sign	73	5.229
c2a_14_028	sign	13	5.518
c2a_14_029	sign	34	3.747
c2a_14_030	sign	43	6.475
c2a_14_031	sign	1	5.101
c2a_15_001	sign	16	5.734
c2a_15_002	sign	43	5.031
c2a_15_003	sign	63	4.033
c2a_15_004	sign	55	4.266
c2a_15_005	sign	10	3.789
c2a_15_006	sign	10	3.495
c2a_15_007	sign	10	5.407
c2a_15_008	sign	1	4.578
c2a_15_009	sign	45	3.316
c2a_15_010	sign	45	4.210
c2a_15_011	sign	43	6.758
c2a_15_012	sign	30	5.548
c2a_15_013	sign	54	4.302
c2a_15_014	sign	84	5.318
c2a_15_015	sign	33	5.727
c2a_15_016	sign	5	2.379
c2a_15_017	sign	64	7.659
c2a_15_018	sign	66	5.953
c2a_15_019	sign	17	6.092
c2a_15_020	sign	73	5.214
c2a_15_021	sign	53	7.284
c2a_15_022	sign	55	3.402
c2a_15_023	sign	84	3.733
c2a_15_024	sign	41	6.333
c2a_15_025	sign	19	6.855
c2a_15_026	sign	53	3.846
c2a_15_027	sign	70	5.922
c2a_15_028	sign	63	4.911
c2a_15_029	sign	11	5.954
c2a_15_030	sign	41	6.737
c2a_15_031	sign	84	3.899
c2a_15_032	sign	82	6.109
c2a_15_033	sign	9	4.403
c2a_15_034	sign	77	6.477
c2a_15_035	sign	46	5.673
c2a_15_036	sign	1	4.319
c2a_16_001	sign	33	3.761
c2a_16_002	sign	25	4.174
c2a_16_003	sign	8	4.559
c2a_16_004	sign	16	7.054
c2a_16_005	sign	29	5.505
c2a_16_006	sign	24	5.713
c2a_16_007	sign	26	6.321
c2a_16_008	sign	31	5.403
c2a_16_009	sign	9	3.779
c2a_16_010	sign	27	5.235
c2a_16_011	sign	5	3.692
c2a_16_012	sign	38	7.122
c2a_16_013	sign	20	4.961
c2a_16_014	sign	54	5.192
c2a_16_015	sign	82	6.510
c2a_16_016	sign	7	4.839
c2a_16_017	sign	84	5.266
c2a_16_018	sign	84	6.114
c2a_16_019	sign	55	2.262
c2a_16_020	sign	9	4.248
c2a_16_021	sign	37	3.473
c2a_16_022	sign	24	5.194
c2a_16_023	sign	53	4.333
c2a_16_024	sign	19	5.107
c2a_16_025	sign	8	5.332
c2a_16_026	sign	22	3.075
c2a_16_027	sign	8	4.626
c2a_16_028	sign	55	2.671
c2a_16_029	sign	88	4.237
c2a_16_030	sign	84	4.129
c2a_16_031	sign	27	4.418
c2a_16_032	sign	5	3.234
c2a_17_001	sign	12	4.135
c2a_17_002	sign	88	6.734
c2a_17_003	sign	48	3.691
c2a_17_004	sign	63	4.237
c2a_17_005	sign	66	6.527
c2a_17_006	sign	29	5.210
c2a_17_007	sign	59	6.208
c2a_17_008	sign	80	5.344
c2a_17_009	sign	33	5.912
c2a_17_010	sign	23	5.704
c2a_17_011	sign	36	5.425
c2a_17_012	sign	43	5.365
