line	signs_A	signs_B	agree	columns	share
p1_L01	7	7	3	7	0.429
p1_L02	22	25	11	25	0.440
p1_L03	19	19	18	19	0.947
p1_L04	19	20	15	20	0.750
p1_L05	18	19	17	19	0.895
p1_L06	20	18	10	20	0.500
p1_L07	20	17	17	20	0.850
p1_L08	19	19	16	19	0.842
p1_L09	21	21	20	21	0.952
p1_L10	21	21	18	21	0.857
p1_L11	21	21	17	21	0.810
p1_L12	18	18	14	18	0.778
p1_L13	23	23	20	23	0.870
p1_L14	18	18	15	18	0.833
p1_L15	19	20	16	20	0.800
p1_L16	20	20	17	20	0.850
p1_L17	16	16	13	16	0.812
p1_L18	20	20	14	20	0.700
p1_L19	19	20	15	20	0.750
p1_L20	20	20	19	20	0.950
p1_L21	21	21	20	21	0.952
p1_L22	18	18	17	18	0.944
p1_L23	16	17	11	17	0.647
p1_L24	18	18	18	18	1.000
p1_L25	16	16	11	16	0.688
p1_L26	19	19	18	19	0.947
p1_L27	18	18	16	18	0.889
p1_L28	19	19	19	19	1.000
p1_L29	18	18	12	18	0.667
p1_L30	18	18	17	18	0.944
p1_L31	19	19	17	19	0.895
p1_L32	16	16	12	16	0.750
p1_L33	18	18	17	18	0.944
p1_L34	19	18	16	19	0.842
p1_L35	20	19	17	20	0.850
p1_L36	20	19	17	20	0.850
p1_L37	1	1	1	1	1.000
p1_L38	1	1	1	1	1.000
p2_L01	20	21	17	21	0.810
p2_L02	16	20	14	20	0.700
p2_L03	19	21	16	21	0.762
p2_L04	21	21	20	21	0.952
p2_L05	22	23	20	23	0.870
p2_L06	21	22	19	22	0.864
p2_L07	20	20	17	20	0.850
p2_L08	21	21	20	21	0.952
p2_L09	21	21	20	21	0.952
p2_L10	20	20	19	20	0.950
p2_L11	19	19	16	19	0.842
p2_L12	20	20	16	20	0.800
p2_L13	17	17	13	17	0.765
p2_L14	18	18	16	18	0.889
p2_L15	22	23	19	23	0.826
p2_L16	19	22	18	22	0.818
p2_L17	20	20	18	20	0.900
p2_L18	19	18	16	19	0.842
p2_L19	16	17	12	17	0.706
p2_L20	22	22	17	22	0.773
p2_L21	22	22	22	22	1.000
p2_L22	22	22	21	22	0.955
p2_L23	20	19	17	20	0.850
p2_L24	18	17	12	18	0.667
p2_L25	19	22	13	22	0.591
p2_L26	20	16	11	25	0.440
p2_L27	11	11	11	11	1.000
p2_L28	16	15	14	16	0.875
p2_L29	21	21	16	21	0.762
p2_L30	19	17	15	19	0.789
p2_L31	21	20	17	21	0.810
p2_L32	22	19	13	22	0.591
p2_L33	21	20	19	21	0.905
p2_L34	5	5	5	5	1.000
p2_L35	1	1	1	1	1.000
p2_L36	1	1	1	1	1.000
p2_L37	1	1	1	1	1.000
p3_L01	22	22	17	22	0.773
p3_L02	22	23	14	23	0.609
p3_L03	22	22	17	22	0.773
p3_L04	21	21	19	21	0.905
p3_L05	23	22	20	23	0.870
p3_L06	19	17	14	19	0.737
p3_L07	19	19	18	19	0.947
p3_L08	19	18	16	19	0.842
p3_L09	20	19	17	20	0.850
p3_L10	17	17	16	17	0.941
p3_L11	15	18	13	18	0.722
p3_L12	19	19	14	19	0.737
p3_L13	19	19	19	19	1.000
p3_L14	21	20	14	21	0.667
p3_L15	19	18	13	19	0.684
p3_L16	19	17	10	19	0.526
p3_L17	21	21	18	21	0.857
p3_L18	21	20	17	21	0.810
p3_L19	18	21	10	21	0.476
p3_L20	20	16	8	21	0.381
p3_L21	18	19	14	19	0.737
p3_L22	27	22	20	27	0.741
p3_L23	24	18	14	24	0.583
p3_L24	13	20	12	20	0.600
p3_L25	20	15	10	20	0.500
p3_L26	11	12	9	12	0.750
p3_L27	16	15	13	16	0.812
p3_L28	14	8	5	14	0.357
p3_L29	18	11	7	18	0.389
p3_L30	21	18	15	21	0.714
p3_L31	25	19	18	25	0.720
p3_L32	1	1	1	1	1.000
p3_L33	1	1	1	1	1.000
p3_L34	1	1	1	1	1.000
