line	col	A	B	flagged	crop
p1_L01	1	=du	=Du	A	
p1_L01	3	=jour	=Jour		
p1_L01	5	=iung	=Juing	AB	
p1_L01	7	=duplicata	=Duplicata	A	
p1_L02	1	=il	=Il		
p1_L02	4	=on	=me		
p1_L02	5	=pardonne	=pardonnez		
p1_L02	10	=col	60	AB	
p1_L02	11	=qui	=ay		
p1_L02	12	=depesche	=depesché		
p1_L02	15	-	=ce		
p1_L02	16	-	=lundy		
p1_L02	17	-	=mais		
p1_L02	18	=scelon	=selon	A	
p1_L02	19	=lespoulx	=l'esperance	A	
p1_L02	21	=col	=vous	A	
p1_L02	22	=auoit	=m'auiez		
p1_L02	24	=parme	=pense	A	
p1_L03	14	123	133		
p1_L04	1	-	145		
p1_L04	2	=auoit	=auoué	AB	
p1_L04	3	=fut	=este	AB	
p1_L04	11	75	55		
p1_L04	18	101	108		
p1_L05	5	-	=a		
p1_L05	6	=apparoistre	=paravec	AB	
p1_L06	1	=leu	-	A	
p1_L06	2	=la	=le	AB	
p1_L06	3	=main	=mal	B	
p1_L06	10	=descripre	=escripre	A	
p1_L06	12	=fauet	=fault	A	
p1_L06	13	=auroit	=aucun	A	
p1_L06	15	=paine	=peine		
p1_L06	17	=n'a	-	A	
p1_L06	18	=re	=apres	A	
p1_L06	20	=lettre	=fortune	A	
p1_L07	1	=de	-		
p1_L07	2	=la	-		
p1_L07	3	=rechute	-	A	
p1_L08	8	=lisguisez	=lesquelz	A	
p1_L08	9	=lauoient	=l'auoient	A	
p1_L08	18	82	32		
p1_L09	15	65	68		
p1_L10	2	=la	=lu	B	
p1_L10	3	=forgue	=foge	AB	
p1_L10	15	=guet	=quil	A	
p1_L11	6	=a	=le		
p1_L11	7	=moytie	=moyen		
p1_L11	9	=a	=affaire	AB	
p1_L11	10	=nuy	=ny	AB	
p1_L12	1	29	19		
p1_L12	5	=de	=du		
p1_L12	17	=guanimschez	=souuiendra	AB	
p1_L12	18	=de	=aluy	AB	
p1_L13	1	=g	=a	A	
p1_L13	16	=r	=a	A	
p1_L13	17	3	=la		
p1_L14	5	=paroingy	=pareansy	AB	
p1_L14	6	=siua	=sura	AB	
p1_L14	9	=quaduisez	=qu'advise		
p1_L15	6	=souuent	=sous	B	
p1_L15	8	15	25		
p1_L15	19	-	=affing	B	
p1_L15	20	=affin	=d	A	
p1_L16	1	=pouuoir	=pourvoir		
p1_L16	2	=ouurir	=ouvrir		
p1_L16	4	=csoiny	=esting	AB	
p1_L17	2	120	128		
p1_L17	7	64	84		
p1_L17	16	=merveilleusement	=mesuscauoit	AB	
p1_L18	1	=ay	=ny		
p1_L18	3	=fait	=fault		
p1_L18	4	=je	=Je	A	
p1_L18	5	=sol	=vol	A	
p1_L18	6	=dig	=dis	A	
p1_L18	7	=aut	=aussi	A	
p1_L19	4	64	84		
p1_L19	7	-	=sry	B	
p1_L19	8	=exp	=m	A	
p1_L19	11	=et	=ou	AB	
p1_L19	19	31	81		
p1_L20	6	=je	=Je		
p1_L21	15	=deu	=du	A	
p1_L22	7	=deu	=du	A	
p1_L23	1	=stauccuna	=Stancourt	AB	
p1_L23	8	25	26		
p1_L23	11	-	=affingé	B	
p1_L23	12	=affayd	=pourvoir	A	
p1_L23	13	=pouuoir	=aduis		
p1_L23	14	=aduisera	=a		
p1_L25	1	=col	=vol	A	
p1_L25	4	=no	=vol	A	
p1_L25	5	=lenuoyer	=renvoye		
p1_L25	7	=geif	=C	A	
p1_L25	8	=admis	=fadura	B	
p1_L26	6	80	86		
p1_L27	3	=la	=ea	B	
p1_L27	15	=alea	=Slea	AB	
p1_L29	7	=dy	=D'y	A	
p1_L29	8	=entendu	=entendre	B	
p1_L29	9	=quesgune	=geusgue	AB	
p1_L29	10	=fuger	=Guge	AB	
p1_L29	12	=au	=aux		
p1_L29	13	=ffy	=psy	AB	
p1_L30	15	=a	=A		
p1_L31	1	=gmg	=guy	A	
p1_L31	2	=go	60	A	
p1_L32	3	=autre	=austri	B	
