code	key_full_grade	empty	absorbed_1to5	absorbed_6plus	short_cases
121	C	40	2	2	5810 05810_p6_L32:15 'es'; 5811 05811_p5_L06:16 'c'
122	C	13	0	0	
123	M	15	1	1	sib 4613_L18:14 'l'
124	C	20	4	0	5810 05810_p1_L30:8 'a'; 5810 05810_p2_L36:19 'z'; 5810 05810_p5_L28:7 'a'; 5810 05810_p6_L33:1 'es'
126	C	12	1	1	5810 05810_p7_L12:2 'tre'
127	C	39	1	2	5811 05811_p1_L18:16 'poure'
128	M	16	2	0	5810 05810_p1_L32:1 'l'; sib 4613_L28:15 'im'
129	C	24	2	4	5811 05811_p5_L08:8 'smeso'; 5811 05811_p5_L15:8 'pour'
130	C	10	0	4	
131	C	23	1	0	5811 05811_p1_L21:13 'ays'
132	C	23	1	0	5811 05811_p5_L06:8 'par'
133	C	10	2	0	5810 05810_p1_L30:13 'f'; 5810 05810_p5_L28:12 'f'
134	C	15	0	0	
135	C	4	1	1	5811 05811_p5_L09:12 'et'
136	M	9	1	1	sib 4613_L04:21 'uing'
137	C	10	0	0	
138	C	6	0	1	
141	C	19	2	2	5810 05810_p6_L30:4 'ses'; 5810 05810_p7_L03:18 'l'
143	C	7	0	1	
144	C	4	0	0	
