code	count	letters	contexts (first 4; NULLs dropped, <code> = this sign)
150	75	4610,4611,5811	4610 p1_L03: f r e r e s <150> e t m o e | 4610 p1_L08: c e s ? <150> s o l l i c | 4610 p1_L15: p o s e e s <150> ? | 4610 p1_L17: u a i l m e <150> ?
125	34	4610,4611,5810	4610 p1_L03: ? <125> l e q f r e | 4610 p1_L07: c r i p t <125> q r i | 4610 p1_L11: ? <125> p a s y s t | 4610 p1_L13: u c u n e <125> s c d i r i
140	26	4610,4611,5810,5811	4610 p1_L03: <140> ? l e q f r | 4610 p1_L21: t i o n ? <140> c o n s e i | 4610 p1_L27: <140> n e c e s | 4610 p1_L30: e z <140> d a e f
142	25	4610,4611,4616,5797,5810	4610 p1_L15: n s <142> p r o p o s | 4610 p2_L09: ? c e n s <142> c h e u | 4610 p2_L23: l l i e u <142> n e s u i | 4610 p2_L30: b o u r g <142>
149	25	4610,4611,4616,5810	4610 p1_L04: c u p p c z <149> q u i l | 4610 p1_L11: <149> ? p a s y s | 4610 p1_L29: n c e s u <149> p o u s s | 4610 p2_L05: n t <149> ? e n c o r
145	24	4610,4611,5797	4610 p1_L04: <145> o c c u p p | 4610 p1_L08: n c e s <145> ? s o l l i | 4610 p1_L10: i s b y s ? <145> n a u o i t | 4610 p1_L31: o s t e n t <145> f r e g o
148	24	4610,4611	4610 p1_L20: u r s ? <148> p r o p o s | 4610 p1_L22: c t e u r s <148> | 4610 p2_L02: ? l ? e n s <148> e t e s p | 4610 p2_L07: r e s <148> e n ? a p r
139	19	4610,4611,5810,5811	4610 p1_L10: e i s b y s <139> ? n a u o i | 4610 p1_L17: <139> m ? u r a u | 4610 p1_L20: u r s <139> ? p r o p o | 4610 p2_L03: <139> u e n i r ?
147	16	4610,4611,5810	4610 p1_L12: t e u r s <147> | 4610 p1_L22: l l e r r <147> e l e c t e | 4610 p1_L24: i c i o n s <147> | 4610 p3_L07: r u i c e <147>
146	11	4610,4611,5797	4610 p1_L14: s <146> c o n d | 4610 p1_L19: <146> s a n s ? ? | 4610 p1_L23: r i n c e r <146> q u e | 4610 p1_L27: e s s i t e <146> p e u
	10	4611,5811	4611 p1_L02: r e s ? <> l u n s c | 4611 p3_L12: <> ? | 5811 05811_p2_L27: <> n e n e f a | 5811 05811_p2_L28: <> a l l e f a
192	6	4610	4610 p1_L33: <192> ? z p o r t | 4610 p1_L34: e c t i o n <192> n a m o i | 4610 p2_L02: <192> l ? e n s ? | 4610 p3_L08: <192> s o b l
0	5	5810	5810 05810_p1_L21: o u t s e c <0> u r s e t | 5810 05810_p2_L02: b o n n <0> k s d u s e | 5810 05810_p2_L02: s d u s e c <0> u r s q u f | 5810 05810_p2_L40: e s d e u x <0> u t r o i s
151	5	4610	4610 p1_L07: <151> c s c r i p | 4610 p1_L17: ? m <151> u r a u a i | 4610 p1_L19: ? s a n s <151> ? l e s e l | 4610 p3_L21: r e d e <151> ? m
221	3	4610,4611	4610 p2_L11: u e r s <221> ? | 4611 p2_L01: r o i t ? <221> b e a b c o | 4611 p2_L10: y <221> u e r s ? c
225	3	4610,4611	4610 p2_L05: n t ? <225> e n c o r e | 4610 p2_L11: e r s ? <225> | 4611 p3_L04: r h e l i n <225> ?
311	3	4611,5811	4611 p2_L15: <311> s e l q u e | 4611 p2_L19: r o u e a u <311> e t ? | 5811 05811_p5_L17: s q u e l e <311> g e n
351	3	4503,5811	4503 04503_p1_L16: m b r e d e <351> e t ? | 5811 05811_p1_L25: o d e r d e <351> e t a o t | 5811 05811_p5_L21: <351> e t g u t r
1573	2	4610,4611	4610 p1_L01: <1573> | 4611 p3_L12: ? <1573>
1574	2	4616,5811	4616 p1_L21: p <1574> | 5811 05811_p2_L24: ? <1574>
172	2	4611,5797	4611 p1_L03: <172> a l l e ? | 5797 p6_spot4: <172> z e u g e t
173	2	5797,5810	5810 05810_p1_L40: uillede d e harlem <173> a q | 5797 p5_spot5: <173>
180	2	4610,5810	4610 p3_L20: i e z ? ? <180> i | 5810 05810_p2_L41: s u o i e s <180>
182	2	4610,5797	4610 p2_L02: ? l <182> e n s ? e | 5797 p7_spot6: <182> ? m i t
187	2	4611,5810	4611 p2_L33: f c r s ? <187> | 5810 05810_p3_L11: e u e f <187>
191	2	4610	4610 p1_L36: e ? a u <191> ? c o n t e | 4610 p3_L14: u <191> ? l e t r e
242	2	5810	5810 05810_p1_L41: e s t r e <242> s i | 5810 05810_p6_L01: <242> s i
313	2	4616	4616 p1_L07: d e l ? e s <313> s o n n | 4616 p1_L11: c ? u r l e <313> d e d u c d
01	1	5811	5811 05811_p2_L10: o i t m a p <01>
113/115	1	4616	4616 p1_L08: m a <113/115> o g a b l e
155	1	5797	5797 p6_spot4: e u g e t h <155>
156	1	5797	5797 p8_spot7: <156>
157	1	5810	5810 05810_p7_L18: a u e z <157>
170	1	5797	5797 p7_spot6: ? m i t <170>
174	1	4611	4611 p1_L04: <174> ? z a
175	1	4611	4611 p2_L11: c e u e n t <175> l e
184	1	4610	4610 p3_L23: g y s p a r <184> s e s e e a
186	1	4610	4610 p3_L02: g a t i o n <186>
194	1	4610	4610 p3_L04: <194> s o l l i
199	1	4611	4611 p1_L04: ? <199> z a
203	1	4610	4610 p2_L07: e s ? e n <203> a p r o c h
204	1	4611	4611 p1_L17: n u e s ? <204> ? c r e i
205	1	4610	4610 p2_L03: i r ? a u <205> c o n t r e
21/16	1	4616	4616 p1_L14: c g p u i <21/16> u ? o t ? o
21/76	1	4616	4616 p1_L15: l o g e <21/76> e m a i n o
211	1	4611	4611 p2_L08: u f z e e <211> t e f e r o
214	1	4611	4611 p1_L24: ? t s t harlem i <214> ? c o u r t
22/112	1	4616	4616 p1_L05: i n g p o d <22/112> e n l o g i
228	1	4611	4611 p1_L20: r r o n s ? <228> r e s t e ?
232	1	4611	4611 p2_L09: i a f l e ? <232> l e n n e m
24/10	1	4616	4616 p1_L06: m a i n c a <24/10> n o o u u
241	1	5810	5810 05810_p6_L17: <241>
245	1	4611	4611 p2_L20: i n <245> herzogvonalba a ? ? z
248	1	4611	4611 p1_L17: u e n u e s <248> ? ? c r e
25/81	1	4616	4616 p1_L09: d a n ? o u <25/81> a u i s e
254	1	4611	4611 p1_L39: i n s e ? <254>
27/14	1	4616	4616 p1_L10: r o n <27/14> l u s t o s
27/16	1	4616	4616 p1_L13: r e a d u i <27/16> n m a a d u
28/12	1	4616	4616 p1_L14: i ? u ? o t <28/12> o u l r i n
