letter	page	unit	line	pos	code	absorbed	left_anchor	right_anchor	ctx_left	ctx_right
4503	p1	11	04503_p1_L05	4	127		1	5	sduuiiesitar	dpourestrebi
4503	p1	57	04503_p1_L07	16	124		6	6	entellehaste	lesgensqueie
4503	p1	76	04503_p1_L08	11	128		6	6	squeiedesire	deenuoyerpou
4503	p1	102	04503_p1_L10	8	143		6	6	ostreescorte	ettoutesfois
4503	p1	125	04503_p1_L11	1	128		3	6	isiespereque	pourdemainau
4503	p1	192	04503_p1_L14	16	129		6	6	esensembleet	aussyquelque
4503	p1	208	04503_p1_L15	16	127		6	6	syquelquebon	nombredebate
4503	p1	217	04503_p1_L16	9	351	bat	6	4	ebonnombrede	eaulxetpourt
4503	p1	220	04503_p1_L16	12	359	ulx	4	6	ombredebatea	etpourtantmi
4503	p1	326	04503_p1_L19	2	127		6	6	erauplustost	ouuousauezde
4503	p1	362	04503_p1_L21	8	131		5	6	serlariuiere	pouruousyall
