pos	sign
0	u042
1	u000
2	u085
3	u009
4	u009
5	u051
6	u013
7	u118
8	u035
9	u002
10	u005
11	u099
12	u000
13	u118
14	u005
15	u104
16	u070
17	u002
18	u013
19	u021
20	u006
21	u003
22	u008
23	u000
24	u014
25	u009
26	u002
27	u014
28	u000
29	u008
30	u018
31	u002
32	u003
33	u034
34	u052
35	u015
36	u000
37	u006
38	u027
39	u005
40	u124
41	u026
42	u006
43	u026
44	u041
45	u123
46	u026
47	u008
48	u034
49	u035
50	u108
51	u003
52	u005
53	u013
54	u008
55	u035
56	u021
57	u009
58	u038
59	u007
60	u035
61	u001
62	u021
63	u006
64	u029
65	u052
66	u001
67	u011
68	u011
69	u002
70	u078
71	u005
72	u058
73	u120
74	u045
75	u000
76	u012
77	u028
78	u003
79	u008
80	u012
81	u003
82	u004
83	u121
84	u106
85	u054
86	u006
87	u013
88	u013
89	u061
90	u002
91	u032
92	u021
93	u058
94	u012
95	u047
96	u039
97	u001
98	u004
99	u031
100	u012
101	u000
102	u006
103	u028
104	u048
105	u029
106	u000
107	u028
108	u006
109	u012
110	u077
111	u047
112	u010
113	u015
114	u031
115	u002
116	u000
117	u004
118	u003
119	u008
120	u030
121	u009
122	u062
123	u098
124	u000
125	u045
126	u007
127	u029
128	u031
129	u123
130	u040
131	u037
132	u013
133	u041
134	u012
135	u057
136	u000
137	u087
138	u015
139	u027
140	u011
141	u003
142	u071
143	u008
144	u021
145	u025
146	u042
147	u021
148	u006
149	u003
150	u013
151	u041
152	u057
153	u125
154	u003
155	u044
156	u001
157	u001
158	u004
159	u003
160	u009
161	u002
162	u096
163	u017
164	u005
165	u044
166	u037
167	u022
168	u024
169	u100
170	u052
171	u008
172	u005
173	u121
174	u011
175	u013
176	u006
177	u111
178	u014
179	u003
180	u125
181	u007
182	u105
183	u025
184	u010
185	u001
186	u005
187	u082
188	u013
189	u059
190	u028
191	u004
192	u006
193	u007
194	u034
195	u009
196	u026
197	u006
198	u011
199	u002
200	u009
201	u011
202	u000
203	u008
204	u035
205	u003
206	u111
207	u087
208	u001
209	u011
210	u041
211	u008
212	u122
213	u001
214	u029
215	u006
216	u030
217	u004
218	u003
219	u005
220	u002
221	u016
222	u056
223	u001
224	u032
225	u002
226	u025
227	u013
228	u004
229	u109
230	u014
231	u010
232	u023
233	u008
234	u044
235	u006
236	u007
237	u067
238	u108
239	u002
240	u009
241	u004
242	u001
243	u010
244	u015
245	u021
246	u005
247	u028
248	u122
249	u000
250	u014
251	u036
252	u001
253	u077
254	u042
255	u000
256	u004
257	u011
258	u002
259	u002
260	u036
261	u017
262	u043
263	u055
264	u003
265	u090
266	u027
267	u010
268	u000
269	u005
270	u005
271	u002
272	u067
273	u003
274	u013
275	u017
276	u006
277	u022
278	u005
279	u101
280	u001
281	u019
282	u022
283	u016
284	u028
285	u018
286	u002
287	u001
288	u012
289	u001
290	u103
291	u001
292	u008
293	u001
294	u004
295	u002
296	u013
297	u046
298	u009
299	u003
300	u098
301	u040
302	u015
303	u062
304	u088
305	u021
306	u035
307	u039
308	u016
309	u055
310	u015
311	u036
312	u005
313	u039
314	u062
315	u007
316	u001
317	u004
318	u006
319	u023
320	u006
321	u000
322	u011
323	u019
324	u032
325	u021
326	u063
327	u012
328	u020
329	u009
330	u058
331	u012
332	u034
333	u006
334	u078
335	u053
336	u011
337	u002
338	u088
339	u000
340	u005
341	u000
342	u004
343	u006
344	u108
345	u049
346	u023
347	u074
348	u023
349	u019
350	u001
351	u004
352	u004
353	u001
354	u020
355	u059
356	u005
357	u107
358	u014
359	u069
360	u011
361	u005
362	u030
363	u024
364	u045
365	u026
366	u013
367	u003
368	u008
369	u028
370	u005
371	u002
372	u014
373	u036
374	u001
375	u069
376	u074
377	u034
378	u001
379	u045
380	u037
381	u068
382	u027
383	u110
384	u029
385	u053
386	u024
387	u014
388	u050
389	u071
390	u029
391	u066
392	u120
393	u010
394	u015
395	u000
396	u011
397	u047
398	u105
399	u002
400	u035
401	u118
402	u011
403	u007
404	u000
405	u025
406	u012
407	u026
408	u008
409	u030
410	u068
411	u005
412	u001
413	u010
414	u015
415	u000
416	u012
417	u040
418	u034
419	u011
420	u011
421	u059
422	u004
423	u050
424	u021
425	u052
426	u015
427	u058
428	u005
429	u075
430	u023
431	u048
432	u014
433	u021
434	u058
435	u045
436	u006
437	u006
438	u002
439	u043
440	u101
441	u041
442	u076
443	u003
444	u044
445	u007
446	u000
447	u004
448	u009
449	u003
450	u010
451	u059
452	u093
453	u007
454	u000
455	u005
456	u040
457	u033
458	u006
459	u030
460	u005
461	u035
462	u057
463	u003
464	u007
465	u003
466	u002
467	u003
468	u006
469	u000
470	u002
471	u032
472	u007
473	u006
474	u026
475	u005
476	u028
477	u005
478	u064
479	u042
480	u023
481	u005
482	u035
483	u105
484	u026
485	u011
486	u000
487	u005
488	u005
489	u021
490	u004
491	u087
492	u003
493	u039
494	u022
495	u002
496	u045
497	u069
498	u062
499	u010
500	u087
501	u120
502	u011
503	u003
504	u008
505	u012
506	u003
507	u018
508	u028
509	u001
510	u009
511	u004
512	u021
513	u069
514	u000
515	u010
516	u001
517	u114
518	u017
519	u006
520	u031
521	u009
522	u009
523	u003
524	u012
525	u074
526	u002
527	u001
528	u013
529	u121
530	u015
531	u000
532	u061
533	u001
534	u033
535	u077
536	u038
537	u004
538	u000
539	u002
540	u001
541	u075
542	u037
543	u036
544	u026
545	u005
546	u065
547	u113
548	u037
549	u010
550	u002
551	u112
552	u016
553	u025
554	u032
555	u043
556	u000
557	u010
558	u001
559	u008
560	u012
561	u030
562	u014
563	u009
564	u028
565	u016
566	u033
567	u006
568	u030
569	u004
570	u000
571	u022
572	u004
573	u003
574	u013
575	u000
576	u004
577	u022
578	u092
579	u005
580	u021
581	u008
582	u113
583	u001
584	u008
585	u047
586	u009
587	u012
588	u073
589	u012
590	u000
591	u093
592	u002
593	u120
594	u012
595	u028
596	u005
597	u000
598	u057
599	u006
600	u028
601	u004
602	u027
603	u014
604	u009
605	u024
606	u005
607	u011
608	u002
609	u004
610	u024
611	u044
612	u002
613	u010
614	u015
615	u054
616	u000
617	u118
618	u036
619	u096
620	u006
621	u013
622	u031
623	u004
624	u012
625	u001
626	u008
627	u003
628	u004
629	u022
630	u062
631	u016
632	u051
633	u007
634	u002
635	u064
636	u000
637	u010
638	u015
639	u021
640	u042
641	u001
642	u013
643	u000
644	u039
645	u025
646	u110
647	u028
648	u051
649	u008
650	u001
651	u003
652	u000
653	u014
654	u025
655	u007
656	u001
657	u032
658	u003
659	u008
660	u003
661	u061
662	u026
663	u007
664	u027
665	u064
666	u037
667	u033
668	u101
669	u044
670	u002
671	u026
672	u008
673	u013
674	u033
675	u004
676	u059
677	u009
678	u000
679	u002
680	u036
681	u007
682	u006
683	u007
684	u007
685	u027
686	u017
687	u115
688	u000
689	u088
690	u050
691	u021
692	u024
693	u004
694	u000
695	u005
696	u000
697	u012
698	u023
699	u006
700	u031
701	u002
702	u037
703	u066
704	u033
705	u013
706	u025
707	u000
