code	printed	line	letter	context
3	3	4	?	UC-NRLF B 3 Mia ifl7 THE PUBLICATIONS OF THE SURTEES SOCIETY ESTABLISHED IN THE Y
1842	1842	58	?	 the Council of the Surtees Society was held at Mr. Ward's Office on the 26th Dec. 1842, by ad- journment. Resolved, That the publications of the Society for 1842 be the H
1842	1842	61	?	26th Dec. 1842, by ad- journment. Resolved, That the publications of the Society for 1842 be the Hutton Papers and the Bowes Papers, and that Mr. Raine be requested to edit 
7	7	70	?	neration ; the usual number of copies of each to be printed. J. Ward, Chairman. Qf>7 PREFACE. Shortly after the battle of Flodden, King Henry the Eighth, taking adva
28	28	148	?	13th Eli/., a- member for Carlisle, and was returned for PREFACE. IX Cumberland in 28 and 31 Eliz. He died at Berwick, ind was buried there 16 Dec. 159/- He was twice 
31	31	148	?	/., a- member for Carlisle, and was returned for PREFACE. IX Cumberland in 28 and 31 Eliz. He died at Berwick, ind was buried there 16 Dec. 159/- He was twice married ;
16	16	149	?	PREFACE. IX Cumberland in 28 and 31 Eliz. He died at Berwick, ind was buried there 16 Dec. 159/- He was twice married ; having taken for his first wife Anne, the youngest
25	25	154	?	nor, the the daughter of Sir Richard Musgrave of Eden Hall, co. Cumberland, who died 25 July, 1623, aged 77, and was buried at Easby, near Richmond.2 The sources from whic
77	77	154	?	 of Sir Richard Musgrave of Eden Hall, co. Cumberland, who died 25 July, 1623, aged 77, and was buried at Easby, near Richmond.2 The sources from which the contents of th
2	2	155	?	 Cumberland, who died 25 July, 1623, aged 77, and was buried at Easby, near Richmond.2 The sources from which the contents of the present volume have been derived are alw
1736	1736	173	?	 the notice of the well known Durham collector, Christopher Hunter, Esq. M.D. who in 1736 issued a circular, of which the following is a copy. 3 Durham, August 12, 1736. Pro
3	3	174	?	 Hunter, Esq. M.D. who in 1736 issued a circular, of which the following is a copy. 3 Durham, August 12, 1736. Proposals for printing by subscription — The Letters of Sir 
12	12	176	?	 who in 1736 issued a circular, of which the following is a copy. 3 Durham, August 12, 1736. Proposals for printing by subscription — The Letters of Sir Robert Bowes of Str
1736	1736	176	?	 in 1736 issued a circular, of which the following is a copy. 3 Durham, August 12, 1736. Proposals for printing by subscription — The Letters of Sir Robert Bowes of Streatlam 
1	1	180	?	 of Sir Robert Bowes of Streatlam Castle, in the County Palatine of Durham, an 1 Surtees' Durham, I. ii. 236 ; IV. i. 112. \ PREFA< honourable ancestor of Geor
236	236	180	?	treatlam Castle, in the County Palatine of Durham, an 1 Surtees' Durham, I. ii. 236 ; IV. i. 112. \ PREFA< honourable ancestor of George Bowes, Esq. representative 
112	112	180	?	 in the County Palatine of Durham, an 1 Surtees' Durham, I. ii. 236 ; IV. i. 112. \ PREFA< honourable ancestor of George Bowes, Esq. representative in the pre- Be
8	8	233	VI	 scription of the materials, bul Dr. Hunter's copies can- nol now be traced. Durham, 8 September, 1843*. CONTENTS. 1. Letter from Robert Bowes to Lord Treasurer Burgh- 
1843	1843	233	VI	 the materials, bul Dr. Hunter's copies can- nol now be traced. Durham, 8 September, 1843*. CONTENTS. 1. Letter from Robert Bowes to Lord Treasurer Burgh- ley ; intellig
1	1	239	VI	Dr. Hunter's copies can- nol now be traced. Durham, 8 September, 1843*. CONTENTS. 1. Letter from Robert Bowes to Lord Treasurer Burgh- ley ; intelligence concerning se
19	19	242	VI	h- ley ; intelligence concerning several of the nobility in Scot- land. Dat. Berwick, 19 July, 1577. From the Cott. MS. Calig. C. in. fol. 486. (Orig.) ..... 1 2. 
486	486	243	VI	y in Scot- land. Dat. Berwick, 19 July, 1577. From the Cott. MS. Calig. C. in. fol. 486. (Orig.) ..... 1 2. From the same to the same ; about hawks sent ; the 
1	1	243	VI	ck, 19 July, 1577. From the Cott. MS. Calig. C. in. fol. 486. (Orig.) ..... 1 2. From the same to the same ; about hawks sent ; the Scottish bands in Hollan
2	2	245	VI	 19 July, 1577. From the Cott. MS. Calig. C. in. fol. 486. (Orig.) ..... 1 2. From the same to the same ; about hawks sent ; the Scottish bands in Holland ; 
