# HTRC Extracted Features (data.htrc.illinois.edu/ef-api/volumes/nnc2.ark+=13960=t1gh9nc18/pages?pos=false), fetched 24 Sept 2026
# CSP Scotland vol. 6 (Boyd 1910), HathiTrust htid nnc2.ark:/13960/t1gh9nc18 (Columbia copy). Bag of words per scan page, header+body+footer merged;
# printed page = header number. Running text NOT read (babel.hathitrust.org blocked). Used by AUDIT.md section 4.
seq	printed_page	token	count
413	369	'	1
413	369	''	5
413	369	's	9
413	369	,	30
413	369	-	1
413	369	--	4
413	369	-LSB-	2
413	369	-RCB-	1
413	369	-RSB-	2
413	369	.	17
413	369	1583	1
413	369	3	1
413	369	369	1
413	369	387	1
413	369	:	1
413	369	;	2
413	369	Addressed	1
413	369	Albeit	1
413	369	Alexander	1
413	369	All	1
413	369	And	2
413	369	Angus	5
413	369	April	1
413	369	Armorer	1
413	369	Arran	1
413	369	At	1
413	369	Bowes	4
413	369	CALENDAR	1
413	369	Carmichael	4
413	369	Carny	1
413	369	Chancellor	1
413	369	Colonel	1
413	369	Colvile	1
413	369	Council	1
413	369	Cuthbert	1
413	369	Davison	1
413	369	Deputy	1
413	369	Douglas	1
413	369	Earl	3
413	369	Edinburgh	1
413	369	Elizabeth	1
413	369	English	1
413	369	Englishmen	1
413	369	French	1
413	369	G.	1
413	369	George	1
413	369	Hallidaie	1
413	369	I	2
413	369	Indorsed	1
413	369	Ireland	1
413	369	John	1
413	369	Johnstone	1
413	369	King	5
413	369	Maineville	1
413	369	Mr.	5
413	369	Norton	1
413	369	OF	1
413	369	PAPERS	1
413	369	Robert	3
413	369	SCOTTISH	1
413	369	Scotland	2
413	369	Scottish	1
413	369	Signed	1
413	369	St.	1
413	369	State	1
413	369	Stewart	1
413	369	The	1
413	369	Upon	1
413	369	VI	1
413	369	VOL	1
413	369	Walsingham	2
413	369	Wherein	1
413	369	^	1
413	369	``	1
413	369	a	1
413	369	accomplishment	1
413	369	accord	1
413	369	according	1
413	369	act	1
413	369	acts	1
413	369	addressed	2
413	369	advanced	1
413	369	affairs	2
413	369	after	1
413	369	against	1
413	369	agreed	1
413	369	aiuitv	1
413	369	albeit	1
413	369	all	4
413	369	alleged	1
413	369	also	1
413	369	ambassador	1
413	369	and	36
413	369	answered	1
413	369	any	1
413	369	appear	1
413	369	approach	1
413	369	approved	1
413	369	apt	1
413	369	are	1
413	369	as	3
413	369	at	3
413	369	authority	1
413	369	bar	1
413	369	be	10
413	369	because	1
413	369	beginning	1
413	369	beseeches	1
413	369	better	1
413	369	betwixt	2
413	369	but	1
413	369	by	13
413	369	ci-edit	1
413	369	comforted	1
413	369	commend	1
413	369	commendations	1
413	369	commission	1
413	369	committed	2
413	369	consent	1
413	369	convention	3
413	369	convey	1
413	369	dangers	1
413	369	delaj	1
413	369	departure	1
413	369	despatched	1
413	369	did	1
413	369	diligence	1
413	369	divers	1
413	369	done	1
413	369	ed	1
413	369	eftsoones	1
413	369	either	1
413	369	employed	1
413	369	encouraged	1
413	369	especial	1
413	369	excuses	1
413	369	execution	1
413	369	exhibited	1
413	369	expedition	1
413	369	favour	2
413	369	favourably	1
413	369	for	10
413	369	former	1
413	369	found	1
413	369	frankness	1
413	369	gave	1
413	369	general	1
413	369	gift	1
413	369	give	1
413	369	go	1
413	369	good	5
413	369	goodwill	1
413	369	grant	1
413	369	granted	1
413	369	greater	1
413	369	grow	1
413	369	hands	2
413	369	has	1
413	369	hasten	1
413	369	have	3
413	369	he	7
413	369	help	1
413	369	helped	1
413	369	her	11
413	369	hereafter	1
413	369	highly	1
413	369	him	4
413	369	his	10
413	369	hunting	1
413	369	hy	1
413	369	in	12
413	369	inclosed	1
413	369	insolencies	1
413	369	instrument	1
413	369	intelligence	1
413	369	intellisrence	1
413	369	intends	1
413	369	is	1
413	369	j'	2
413	369	jijj	1
413	369	late	2
413	369	leaves	1
413	369	letter	2
413	369	letters	2
413	369	liking	1
413	369	longer	1
413	369	made	3
413	369	majesty	11
413	369	matters	1
413	369	may	2
413	369	me	1
413	369	mean	1
413	369	mediation	1
413	369	men	2
413	369	minister	1
413	369	most	1
413	369	much	1
413	369	my	2
413	369	name	1
413	369	near	1
413	369	noblemen	1
413	369	not	2
413	369	now	2
413	369	obtained	2
413	369	of	17
413	369	often	1
413	369	opinion	1
413	369	or	3
413	369	order	1
413	369	other	4
413	369	others	1
413	369	ou	2
413	369	own	3
413	369	pardons	1
413	369	particular	1
413	369	particularly	1
413	369	pirates	1
413	369	please	1
413	369	pleased	1
413	369	preferment	1
413	369	prescribed	1
413	369	presently	1
413	369	prevent	1
413	369	profited	1
413	369	protections	1
413	369	readiness	1
413	369	realms	1
413	369	redress	1
413	369	relief	2
413	369	remaine	1
413	369	removed	1
413	369	report	1
413	369	request	2
413	369	requests	1
413	369	required	2
413	369	sake	1
413	369	same	2
413	369	see	1
413	369	seeing	1
413	369	selfe	1
413	369	sent	1
413	369	servant	1
413	369	serve	1
413	369	service	3
413	369	several	1
413	369	shall	1
413	369	short	1
413	369	should	1
413	369	showed	1
413	369	singular	1
