source	entry_no	date	citation_as_printed	flagged_text	verdict
CSP Scotland vol.6 (Boyd, 1910)	n/a	1581-1583	not located	n/a	NOT ON ARCHIVE.ORG. advancedsearch.php (title:calendar+state+papers+scotland, and separately creator:Boyd+scotland) returns only vols cataloged as calendarstatepa00boydgoog (vol.IV, 1905, 1580-82? -- title generic, not opened this pass) and calendarstatepa01boydgoog (confirmed by djvu text as 1574-1581, i.e. vol.V, Boyd 1907). No identifier for vol.6 (1581-83) found in 2 targeted searches, 23 Sept 2026. Matches the 20 Sept 2026 sweep's finding (also absent from BHO free tier, 403 on BHO site search).
Surtees Soc. vol.14, Correspondence of Robert Bowes (Stevenson ed., 1842)	CLXXXVII	7 April 1583	"To Sir Francis Walsingham, vijth April, 1583." From the Letter-Book, p.172 (printed pp.404-406)	"the doings and progress of Sir Henry Cobham with 870 and Smallet" ... "he is described as subtle..." ... "Besides, he hath had chief countenance and credit by and with Glencarne, who commended him to 870" ... "he cannot abandon 149, 19, 29, and 85" ... "By the late occurrants sent me, I found the error in the cypher left me by Sir George Cary, the double whereof I send inclosed"	OPEN, not deciphered. Numeric name-codes (870, 91, 149, 19, 29, 85, 54, 32) left un-glossed by Stevenson; no plaintext substitution given. This is Bowes's own Letter-Book copy, not the Cotton MS original; same date/sender/recipient as BL catalogue's Calig. C VII f.196r-197v ("Original. Partly in cipher.") but not confirmed to be the identical text -- Tomokiyo's page (sources/cryptiana/web/elizabeth.htm) states explicitly this printed volume "does not include these letters" (f.196/f.299) and separately flags these same numeric codes as an "unidentified" lead.
Surtees Soc. vol.14	CCXXXIX	31 July (ultimo Julii) 1583	"To Sir Francis Walsingham, ultimo Julii, 1583." From the Letter-Book, p.253 (printed pp.525-529)	(full narrative letter, no cipher numbers found)	No cipher content. Public/official companion letter of the same date as CCXL below.
Surtees Soc. vol.14	CCXL	31 July (last of July) 1583	"The Private Letter of the same date." From the Letter-Book, p.257 (printed pp.529-534)	"223 have given me understanding..." ... "In this 223 hath sent for mine advice" ... "upon suit made to 189 for the relief of Drumquhassell, 189 said that he must be examined what had passed betwixt 32 and him for the delivery of 0100 to 32" ... "carried away with an especial favour and good liking of 54"	OPEN, not deciphered. Numeric name-codes (223, 189, 32, 0100, 54) left un-glossed. Tomokiyo's page independently notes "223" on Surtees p.530 as an "unidentified code number." Marked (private) in the printed table of contents. Dated identically to BL catalogue's THREE separate 31 Jul 1583 Bowes-to-Walsingham items in Calig. C VII (ff.297r-v copy, ff.299r-v+303r original "Some use of cipher", ff.300r-302r original); which (if any) this Letter-Book entry corresponds to is not established this pass.
Surtees Soc. vol.14 (general sweep)	various	1577-1583	whole-volume keyword sweep	"cipher" x2, "cypher" x12 total occurrences	11 January 1581 letter (Harleian MS 6999, not Letter-Book; p.164) has an actual symbol-cipher passage Stevenson could not typeset ("the original some cyphers are here inserted, which cannot be expressed by types") -- already known to Tomokiyo. No entry in the whole volume is flagged "deciphered" or prints a plaintext key.
BL Archives Catalogue (searcharchives.bl.uk), Cotton MS Caligula C VII record	catalog/040-001102384	7 Apr 1583	Scope & Content: "ff. 196r-197v: Letter of Robert Bowes to (?) Sir Francis Walsingham, Edinburgh, 7 Apr 1583. Original. Partly in cipher."	as quoted	CONFIRMS Tomokiyo's f.196 citation verbatim. Volume covers 1582-1584, listed Languages include "Cipher". Digitised Content link present but marked "(digital images currently unavailable)"; IIIF manifest at bl.digirati.io returns HTTP 403 (S3 AccessDenied).
BL Archives Catalogue, Cotton MS Caligula C VII record	catalog/040-001102384	31 Jul 1583	Scope & Content: "ff. 299r-v, 303r: Letter of Robert Bowes to (?) Sir Francis Walsingham, Edinburgh, St Johnstons, 31 Jul 1583. Original. No address; Bowes addresses recipient as Your Honour. Some use of cipher."	as quoted	CONFIRMS Tomokiyo's f.299 citation near-verbatim (Tomokiyo's wording matches the catalogue's). Two OTHER Bowes-to-Walsingham items same date in the same volume (f.297r-v, a 17th-c. copy; f.300r-302r, an original) are NOT flagged cipher by the catalogue, so f.299/303 is the specific cipher-bearing item.
BL Archives Catalogue, Cotton MS Caligula B VIII record	catalog/040-001102375	[1583?]	Scope & Content: "ff. 251r-252v: Copy of a letter from [Bowes?] to [Cecil?], reporting the state of affairs in Scotland [1583?]"	as quoted	Matches Tomokiyo's f.251-252 sibling fragment (his catalogue no.67, "Sir Robt. Bowes? to Secy Cecil? ... 1583?"). Not flagged cipher by BL's own summary here, but Tomokiyo's page says "A few words are in cipher, not deciphered."
BL Archives Catalogue, Cotton MS Caligula B VIII record	catalog/040-001102375	[1580?]	Scope & Content: "ff. 290v-292v: Bowes's report of his conferences and negociations to supplant Lennox, partly in cypher [1580?]"	as quoted	Matches Tomokiyo's f.290-293 key-sheet lead (his catalogue no.84) and the interlinear/reconstructed-key image elizabeth_bowes.png (now also snapshotted to sources/cryptiana/web/).
BL Archives Catalogue, Cotton MS Caligula B VIII record	catalog/040-001102375	undated (ca.1577-83 context)	Scope & Content: "f. 306r: A note, with some cipher, on Scottish affairs."	as quoted	Matches Tomokiyo's f.306 fragment. No date given by the catalogue; sandwiched between an Oct 1572 item and undated 1577-83 items.
