page	line	idx	token	doubt
f138r	1	1	y34	0
f138r	1	2	s327	1
f138r	1	3	h34	0
f138r	1	4	f15	0
f138r	1	5	d10	0
f138r	1	6	p29	0
f138r	1	7	r41	0
f138r	1	8	a127	0
f138r	1	9	e145	0
f138r	1	10	h10	0
f138r	1	11	f15	0
f138r	1	12	t40	0
f138r	1	13	o126	0
f138r	1	14	c216	0
f138r	2	1	h168	1
f138r	2	2	y8	1
f138r	2	3	d156	0
f138r	2	4	i318	0
f138r	2	5	p149	0
f138r	2	6	e75	0
f138r	2	7	p325	1
f138r	2	8	c7	0
f138r	2	9	t89	0
f138r	2	10	d78	1
f138r	2	11	d105	1
f138r	2	12	d35	0
f138r	2	13	r41	0
f138r	2	14	c136	0
f138r	3	1	i7	0
f138r	3	2	t89	0
f138r	3	3	r41	0
f138r	3	4	n60	0
f138r	3	5	d156	0
f138r	3	6	e145	0
f138r	3	7	p20	0
f138r	3	8	n90	0
f138r	3	9	p224	0
f138r	3	10	p10	0
f138r	3	11	a153	0
f138r	3	12	m136	0
f138r	3	13	p13	0
f138r	3	14	e25	0
f138r	3	15	c32	1
f138r	4	1	m8	0
f138r	4	2	i21	0
f138r	4	3	c321	0
f138r	4	4	p150	0
f138r	4	5	s213	0
f138r	4	6	s138	0
f138r	4	7	i100	0
f138r	4	8	q47	0
f138r	4	9	n40	0
f138r	4	10	c227	0
f138r	4	11	h10	0
f138r	4	12	f15	0
f138r	4	13	o20	0
f138r	4	14	d15	0
f138r	4	15	y13	0
f138r	5	1	r278	0
f138r	5	2	s346	0
f138r	5	3	m8	0
f138r	5	4	g140	0
f138r	5	5	L107	0
f138r	5	6	h34	0
f138r	5	7	r140	0
f138r	5	8	m9	0
f138r	5	9	o8	1
f138r	5	10	L77	0
f138r	5	11	m188	0
f138r	5	12	o23	0
f138r	5	13	L99	0
f138r	6	1	d36	0
f138r	6	2	r41	0
f138r	6	3	s208	1
f138r	6	4	i131	1
f138r	6	5	d10	0
f138r	6	6	c187	0
f138r	6	7	p9	1
f138r	6	8	o9	0
f138r	6	9	p10	0
f138r	6	10	r41	0
f138r	6	11	d35	0
f138r	6	12	X	1
f138r	6	13	c271	1
f138r	6	14	i70	1
f138r	7	1	s9	0
f138r	7	2	p191	0
f138r	7	3	p256	0
f138r	7	4	d37	0
f138r	7	5	a89	0
f138r	7	6	y23	0
f138r	7	7	L131	0
f138r	7	8	s233	0
f138r	7	9	s8	0
f138r	7	10	p10	0
f138r	7	11	e7	0
f138r	7	12	c183	0
f138r	7	13	c8	0
f138r	7	14	t89	0
f138r	7	15	d36	0
f138r	8	1	q49	0
f138r	8	2	f196	0
f138r	8	3	y31	0
f138r	8	4	f10	0
f138r	8	5	c185	0
f138r	8	6	m34	0
f138r	8	7	i306	0
f138r	8	8	d34	0
f138r	8	9	f16	0
f138r	8	10	s270	0
f138r	8	11	m10	0
f138r	8	12	i29	0
f138r	8	13	t164	0
f138r	9	1	r205	0
f138r	9	2	n8	0
f138r	9	3	s139	0
f138r	9	4	p373	0
f138r	9	5	o7	0
f138r	9	6	t89	0
f138r	9	7	i100	0
f138r	9	8	t30	0
f138r	9	9	y27	0
f138r	9	10	t90	0
f138r	9	11	m11	0
f138r	9	12	y10	0
f138r	9	13	d179	0
f138r	9	14	m107	0
f138r	9	15	s17	1
f138r	10	1	d205	0
f138r	10	2	z8	1
f138r	10	3	n6	0
f138r	10	4	c170	0
f138r	10	5	h57	0
f138r	10	6	d10	0
f138r	10	7	r41	0
f138r	10	8	p97	0
f138r	10	9	r41	0
f138r	10	10	n90	0
f138r	10	11	L43	0
f138r	10	12	a209	0
f138r	10	13	m6	0
f138r	10	14	d37	0
f138r	10	15	p342	0
f138r	11	1	r41	0
f138r	11	2	i29	0
f138r	11	3	s22	0
f138r	11	4	o8	1
f138r	11	5	d281	0
f138r	11	6	p8	0
f138r	11	7	t89	0
f138r	11	8	r61	0
f138r	11	9	m7	0
f138r	11	10	p149	0
f138r	11	11	o113	0
f138r	11	12	h113	0
f138r	11	13	r193	1
f138r	12	1	o9	0
f138r	12	2	d30	0
f138r	12	3	m107	0
f138r	12	4	n38	0
f138r	12	5	a61	0
f138r	12	6	p5	0
f138r	13	1	m56	0
f138r	13	2	t79	1
f138r	13	3	p190	0
f138r	13	4	d153	0
f138r	13	5	a51	0
f138r	13	6	n8	0
f138r	13	7	c187	0
f138r	13	8	d78	0
f138r	13	9	z15	1
f138r	13	10	p308	0
f138r	13	11	s6	0
f138r	13	12	c216	0
f138r	13	13	q12	1
f138r	13	14	L10	0
f138r	14	1	r70	0
f138r	14	2	e67	0
f138r	14	3	n7	0
f138r	14	4	y18	0
f138r	14	5	a120	0
f138r	14	6	e67	0
f138r	14	7	n9	0
f138r	14	8	i100	0
f138r	14	9	e73	0
f138r	14	10	o156	0
f138r	14	11	z8	1
f138r	14	12	m136	0
f138r	14	13	q45	0
f138r	14	14	c170	0
f138r	15	1	L77	0
f138r	15	2	m50	0
f138r	15	3	r10	0
f138r	15	4	y8	1
f138r	15	5	d18	0
f138r	15	6	L10	0
f138r	15	7	m57	0
f138r	15	8	e67	0
f138r	15	9	n8	0
f138r	15	10	z6	1
f138r	15	11	h51	0
f138r	15	12	y7	0
f138r	15	13	d10	0
f138r	15	14	r10	1
f138r	16	1	n9	0
f138r	16	2	m107	0
f138r	16	3	n38	0
f138r	16	4	a61	0
f138r	17	1	n60	0
f138r	17	2	r203	0
f138r	17	3	a104	0
f138r	17	4	m8	0
f138r	17	5	q18	0
f138r	17	6	p149	0
f138r	17	7	L17	0
f138r	17	8	h57	0
f138r	17	9	s116	0
f138r	17	10	m9	0
f138r	17	11	p13	0
f138r	17	12	e106	0
f138r	17	13	m10	0
f138r	17	14	t7	0
f138r	17	15	n9	0
f138r	18	1	z6	1
f138r	18	2	d180	0
f138r	18	3	d37	0
f138r	18	4	m82	0
f138r	18	5	f4	0
f138r	18	6	m176	1
f138r	18	7	i93	1
f138r	18	8	s3	1
f138r	18	9	p152	1
f138r	18	10	o66	1
