page	line	idx	our_token	witness_source	witness_token	type
f136r	4	12	p373	f9r	p363	replace
f136r	5	5	m110	f9r	m100	replace
f136r	6	11	m109	f9r	m104	replace
f136r	17	6	X7	f9r	[m?]	replace
				f9r	z7	replace
f136r	18	3	c25	f9r	e25	replace
f136r	18	10	b7	f9r	h7	replace
f136r	19	1	n95	f9r	n97	replace
f136r	19	3	b51	f9r	h51	replace
f136r	19	5	b35	f9r	d35	replace
f136r	24	5	k10	f9r	t10	replace
f136r	24	11	m172	f9r	m162	replace
f136r	25	1	h10	f9r	b10	replace
f136r	26	1	m171	f9r	m172	replace
f136v	1	10	L77	f9r	n77	replace
f136v	2	2	r41	f9r	t41	replace
f136v	2	4	b78	f9r	d78	replace
f136v	3	5	b114	f9r	v114	replace
f136v	4	13	X7	f9r	[c291	replace
				f9r	z9	replace
				f9r	c170]	replace
f136v	6	5	p153	f9r	p353	replace
f136v	7	2	L77	f9r	h27	replace
f136v	7	4	c7	f9r	e7	replace
f136v	8	7	m170	f9r	m160	replace
f136v	8	11	X10			extra-in-ours
				f9r	z8	missing-in-ours
f136v	14	3	e67	f9v	p67	replace
f136v	14	9	b7			extra-in-ours
				f9v	q6	missing-in-ours
f136v	17	5	o152	f9v	d152	replace
f136v	18	1	i100	f9v	y100	replace
f136v	18	6	L10	f9v	b10	replace
f136v	18	7	p7	f9v	f7	replace
f136v	19	1	b211	f9v	v211	replace
f136v	19	2	s138	f9v	g138	replace
f136v	19	13	b114	f9v	v114	replace
f136v	20	6	s10	f9v	g10	replace
f136v	21	2	f2	f9v	f?	replace
f136v	21	5	b13	f9v	v13	replace
f136v	21	8	b191	f9v	v191	replace
f136v	23	10	c320	f9v	c3?0	replace
f136v	24	3	o18	f9v	Q18	replace
f136v	25	11	m6	f9v	m8	replace
f136v	26	8	e133	f9v	t133	replace
f136v	27	11	s113	f9v	g113	replace
f136v	27	12	s138	f9v	g138	replace
f136v	28	5	s116	f9v	g116	replace
f136v	28	6	s8	f9v	g8	replace
				f9v	p34	missing-in-ours
				f9v	z6	missing-in-ours
				f9v	m47	missing-in-ours
				f9v	d36	missing-in-ours
				f9v	g127	missing-in-ours
				f9v	h8	missing-in-ours
				f9v	t74	missing-in-ours
				f9v	g1	missing-in-ours
				f9v	c170	missing-in-ours
				f9v	q44	missing-in-ours
				f9v	c170	missing-in-ours
				f9v	t163	missing-in-ours
				f9v	s113	missing-in-ours
				f9v	t10	missing-in-ours
				f9v	n8	missing-in-ours
				f9v	s299	missing-in-ours
				f9v	i29	missing-in-ours
				f9v	m212	missing-in-ours
				f9v	a204	missing-in-ours
				f9v	d156	missing-in-ours
				f9v	y17	missing-in-ours
				f9v	p153	missing-in-ours
				f9v	i286	missing-in-ours
				f9v	n90	missing-in-ours
				f9v	t74	missing-in-ours
				f9v	s113	missing-in-ours
				f9v	t296	missing-in-ours
				f9v	i100	missing-in-ours
				f9v	z15	missing-in-ours
				f9v	s191	missing-in-ours
				f9v	g140	missing-in-ours
				f9v	n40	missing-in-ours
				f9v	y13	missing-in-ours
				f9v	m212	missing-in-ours
