page	line	idx	token	doubt
f136r	1	1	b5	0
f136r	1	2	f3	0
f136r	1	3	c227	0
f136r	1	4	g72	0
f136r	1	5	p246	0
f136r	1	6	v212	0
f136r	1	7	t74	0
f136r	1	8	h57	0
f136r	1	9	s116	0
f136r	1	10	m9	0
f136r	1	11	t163	0
f136r	1	12	t30	0
f136r	1	13	p78	0
f136r	2	1	m223	0
f136r	2	2	t7	0
f136r	2	3	c9	0
f136r	2	4	f8	0
f136r	2	5	t10	0
f136r	2	6	m136	0
f136r	2	7	i100	0
f136r	2	8	L77	0
f136r	2	9	a62	0
f136r	2	10	n8	0
f136r	2	11	d37	0
f136r	2	12	L47	0
f136r	2	13	o65	0
f136r	2	14	c170	0
f136r	3	1	s138	0
f136r	3	2	n89	0
f136r	3	3	n38	0
f136r	3	4	f213	0
f136r	3	5	s323	0
f136r	3	6	m7	0
f136r	3	7	p246	0
f136r	3	8	z9	0
f136r	3	9	p238	0
f136r	3	10	z8	0
f136r	3	11	a62	0
f136r	3	12	z6	0
f136r	3	13	t89	0
f136r	4	1	d10	0
f136r	4	2	i11	0
f136r	4	3	p149	0
f136r	4	4	v190	0
f136r	4	5	s268	0
f136r	4	6	d35	0
f136r	4	7	d52	0
f136r	4	8	d36	0
f136r	4	9	f48	0
f136r	4	10	t41	0
f136r	4	11	c136	0
f136r	4	12	p373	0
f136r	5	1	t10	0
f136r	5	2	Q9	0
f136r	5	3	L47	0
f136r	5	4	t92	0
f136r	5	5	m110	0
f136r	5	6	s8	0
f136r	5	7	d34	0
f136r	5	8	o66	0
f136r	5	9	h30	0
f136r	5	10	t269	0
f136r	5	11	p282	0
f136r	5	12	c8	0
f136r	6	1	t89	0
f136r	6	2	d30	0
f136r	6	3	s6	0
f136r	6	4	p257	0
f136r	6	5	i165	0
f136r	6	6	d178	0
f136r	6	7	e72	0
f136r	6	8	z8	0
f136r	6	9	s271	0
f136r	6	10	y9	0
f136r	6	11	m109	0
f136r	6	12	d35	0
f136r	6	13	L47	0
f136r	7	1	c320	0
f136r	7	2	s7	0
f136r	7	3	s170	0
f136r	7	4	s9	0
f136r	7	5	i100	0
f136r	7	6	s70	0
f136r	7	7	d36	0
f136r	7	8	L47	0
f136r	7	9	q12	0
f136r	7	10	n77	0
f136r	7	11	a152	0
f136r	7	12	a61	0
f136r	7	13	e67	0
f136r	8	1	a143	0
f136r	8	2	n38	0
f136r	8	3	a154	0
f136r	8	4	L99	0
f136r	8	5	c51	0
f136r	8	6	t89	0
f136r	8	7	f8	0
f136r	8	8	n87	0
f136r	8	9	Q18	0
f136r	8	10	e72	0
f136r	8	11	p4	0
f136r	8	12	o2	0
f136r	8	13	d270	0
f136r	8	14	t41	0
f136r	9	1	s233	0
f136r	9	2	d30	0
f136r	9	3	t74	0
f136r	9	4	L109	0
f136r	9	5	d35	0
f136r	9	6	i246	0
f136r	9	7	t41	0
f136r	9	8	g82	0
f136r	9	9	p149	0
f136r	9	10	g82	0
f136r	9	11	i29	0
f136r	9	12	t164	0
f136r	10	1	y12	0
f136r	10	2	n60	0
f136r	10	3	m109	0
f136r	10	4	i223	0
f136r	10	5	s8	0
f136r	10	6	f13	0
f136r	10	7	n38	0
f136r	10	8	t71	0
f136r	10	9	m9	0
f136r	10	10	a48	0
f136r	10	11	q21	0
f136r	10	12	p280	0
f136r	10	13	t163	0
