page	line	idx	our_token	witness_source	witness_token	type
f137r	1	1	p34	f9v	p34	equal
f137r	1	2	z6	f9v	z6	equal
f137r	1	3	m47	f9v	m47	equal
f137r	1	4	d36	f9v	d36	equal
f137r	1	5	g127	f9v	g127	equal
f137r	1	6	b8	f9v	h8	replace
f137r	1	7	t74	f9v	t74	equal
f137r	1	8	c170	f9v	c170	equal
f137r	1	9	q44	f9v	q44	equal
f137r	1	10	c170	f9v	c170	equal
f137r	1	11	t163	f9v	t163	equal
f137r	1	12	s113	f9v	s113	equal
f137r	1	13	r10	f9v	t10	replace
f137r	1	14	n8	f9v	n8	equal
f137r	1	15	s209	f9v	s299	replace
f137r	2	1	i29	f9v	i29	equal
f137r	2	2	m212	f9v	m212	equal
f137r	2	3	a204	f9v	a204	equal
f137r	2	4	d156	f9v	d156	equal
f137r	2	5	y17	f9v	y17	equal
f137r	2	6	b153	f9v	p153	replace
f137r	2	7	i286	f9v	i286	equal
f137r	2	8	n90	f9v	n90	equal
f137r	2	9	t74	f9v	t74	equal
f137r	2	10	s113	f9v	s113	equal
f137r	2	11	r296	f9v	t296	replace
f137r	2	12	i100	f9v	i100	equal
f137r	2	13	z15	f9v	z15	equal
f137r	2	14	s191	f9v	s191	equal
f137r	3	1	g140	f9v	g140	equal
f137r	3	2	n40	f9v	n40	equal
f137r	3	3	y13	f9v	y13	equal
f137r	3	4	m212	f9v	m212	equal
f137r	3	5	c125	f9v	c125	equal
f137r	3	6	m8	f9v	m8	equal
f137r	3	7	y18	f9v	y18	equal
f137r	3	8	a137	f9v	a137	equal
f137r	3	9	b211	f9v	v211	replace
f137r	3	10	m170	f9v	m170	equal
f137r	3	11	v13	f9v	v13	equal
f137r	3	12	r296	f9v	t296	replace
f137r	3	13	d78	f9v	d78	equal
f137r	3	14	L10	f9v	L10	equal
f137r	3	15	v7	f9v	v7	equal
f137r	4	1	t30	f9v	t30	equal
f137r	4	2	y15	f9v	y15	equal
f137r	4	3	q21	f9v	q21	equal
f137r	4	4	L107	f9v	L107	equal
f137r	4	5	f10	f9v	f10	equal
f137r	4	6	r296	f9v	t296	replace
f137r	4	7	t30	f9v	t30	equal
f137r	4	8	n38	f9v	n38	equal
f137r	4	9	z9	f9v	z9	equal
f137r	4	10	c208	f9v	c208	equal
f137r	4	11	f8	f9v	f8	equal
f137r	4	12	e44	f9v	g44	replace
f137r	4	13	r10	f9v	t10	replace
f137r	4	14	n7	f9v	n7	equal
f137r	4	15	n60	f9v	n60	equal
f137r	5	1	p313	f9v	p313	equal
f137r	5	2	i286	f9v	i286	equal
f137r	5	3	p5	f9v	p5	equal
f137r	5	4	q2	f9v	q2	equal
f137r	5	5	d36	f9v	d36	equal
f137r	5	6	L47	f9v	L47	equal
f137r	5	7	L99	f9v	L99	equal
f137r	5	8	q12	f9v	q12	equal
f137r	5	9	c242	f9v	c242	equal
f137r	5	10	r10	f9v	t10	replace
f137r	5	11	n85	f9v	n85	equal
f137r	5	12	f75	f9v	f75	equal
f137r	5	13	L27	f9v	L77	replace
f137r	5	14	d201	f9v	d201	equal
f137r	5	15	n8	f9v	n8	equal
f137r	6	1	s233	f9v	s233	equal
f137r	6	2	m107	f9v	m107	equal
f137r	6	3	s233	f9v	g233	replace
f137r	6	4	c227	f9v	c227	equal
f137r	6	5	s267	f9v	g267	replace
f137r	6	6	e106	f9v	g106	replace
f137r	6	7	m9	f9v	m9	equal
f137r	6	8	f10	f9v	f10	equal
f137r	6	9	r41	f9v	t41	replace
f137r	6	10	z6	f9v	z6	equal
f137r	6	11	m46	f9v	m46	equal
f137r	6	12	t74	f9v	t74	equal
f137r	6	13	s233	f9v	s233	equal
f137r	6	14	m107	f9v	m107	equal
f137r	7	1	f75	f9v	f75	equal
f137r	7	2	L27	f9v	L77	replace
f137r	7	3	y8	f9v	y8	equal
f137r	7	4	m170	f9v	m170	equal
f137r	7	5	v13	f9v	v13	equal
f137r	7	6	r296	f9v	t296	replace
f137r	7	7	s346	f9v	s346	equal
f137r	7	8	b9	f9v	h9	replace
f137r	7	9	L10	f9v	L10	equal
f137r	7	10	v116	f9v	v116	equal
f137r	7	11	d34	f9v	d34	equal
f137r	7	12	L97	f9v	L97	equal
f137r	7	13	d78	f9v	d78	equal
f137r	7	14	m168	f9v	m168	equal
f137r	7	15	d35	f9v	d35	equal
f137r	8	1	p255	f9v	p255	equal
f137r	8	2	L108	f9v	L108	equal
f137r	8	3	s316	f9v	s316	equal
f137r	8	4	z6	f9v	z6	equal
f137r	8	5	t89	f9v	t89	equal
f137r	8	6	c3	f9v	c3	equal
f137r	8	7	q6	f9v	Q6	replace
f137r	8	8	p10	f9v	p10	equal
f137r	8	9	q7	f9v	q7	equal
f137r	8	10	n86	f9v	n86	equal
f137r	8	11	g3	f9v	g3	equal
f137r	8	12	n5	f9v	n5	equal
f137r	8	13	p4	f9v	p4	equal
f137r	8	14	a84	f9v	a84	equal
f137r	8	15	n6	f9v	n6	equal
f137r	8	16	r10	f9v	t10	replace
f137r	9	1	n9	f9v	n9	equal
f137r	9	2	e82	f9v	e82	equal
