page	line	idx	token	doubt
f137v	1	1	p246	0
f137v	1	2	c296	0
f137v	1	3	m8	0
f137v	1	4	p150	0
f137v	1	5	n90	0
f137v	1	6	s8	0
f137v	1	7	z282	1
f137v	1	8	c170	0
f137v	1	9	p260	0
f137v	1	10	L10	0
f137v	1	11	m241	0
f137v	1	12	z35	1
f137v	1	13	b103	0
f137v	2	1	p8	0
f137v	2	2	L115	0
f137v	2	3	L10	0
f137v	2	4	z211	1
f137v	2	5	n7	1
f137v	2	6	c8	0
f137v	2	7	t89	0
f137v	2	8	s271	0
f137v	2	9	c288	0
f137v	2	10	c41	0
f137v	2	11	c170	0
f137v	2	12	i100	1
f137v	2	13	o113	0
f137v	2	14	c96	1
f137v	2	15	r201	0
f137v	3	1	z8	1
f137v	3	2	i100	0
f137v	3	3	q45	0
f137v	3	4	s323	0
f137v	3	5	m8	0
f137v	3	6	e25	0
f137v	3	7	z289	0
f137v	3	8	y17	0
f137v	3	9	z8	1
f137v	3	10	n77	0
f137v	3	11	m212	0
f137v	3	12	p281	0
f137v	3	13	s9	0
f137v	3	14	f8	0
f137v	3	15	L108	0
f137v	3	16	r23	0
f137v	4	1	c6	0
f137v	4	2	h149	1
f137v	4	3	s138	0
f137v	4	4	b224	0
f137v	4	5	h7	1
f137v	4	6	z246	0
f137v	4	7	q65	0
f137v	4	8	r41	0
f137v	4	9	i295	0
f137v	4	10	c227	0
f137v	4	11	y127	1
f137v	4	12	z8	1
f137v	4	13	y28	0
f137v	4	14	s233	0
f137v	5	1	e8	0
f137v	5	2	f138	0
f137v	5	3	z8	1
f137v	5	4	f10	0
f137v	5	5	r41	0
f137v	5	6	z35	1
f137v	5	7	m212	0
f137v	5	8	c170	0
f137v	5	9	s8	0
f137v	5	10	r198	0
f137v	5	11	t89	0
f137v	5	12	i100	0
f137v	5	13	q49	0
f137v	5	14	n38	0
f137v	5	15	a	1
f137v	6	1	h255	1
f137v	6	2	f13	0
f137v	6	3	c9	1
f137v	6	4	h149	1
f137v	6	5	i29	0
f137v	6	6	c170	0
f137v	6	7	y16	0
f137v	6	8	p150	0
f137v	6	9	z299	1
f137v	6	10	b8	0
f137v	6	11	t30	0
f137v	6	12	L47	0
f137v	6	13	g198	1
f137v	6	14	n89	0
f137v	6	15	s233	0
f137v	7	1	p255	0
f137v	7	2	e143	0
f137v	7	3	s8	0
f137v	7	4	e73	0
f137v	7	5	o105	0
f137v	7	6	q12	0
f137v	7	7	n89	0
f137v	7	8	s233	0
f137v	7	9	p255	0
f137v	7	10	c27	0
f137v	7	11	z9	0
f137v	7	12	r41	0
f137v	7	13	s329	0
f137v	7	14	b80	0
f137v	7	15	L47	0
f137v	7	16	i28	1
f137v	8	1	s290	0
f137v	8	2	c268	0
f137v	8	3	z6	0
f137v	8	4	t89	0
f137v	8	5	y31	1
f137v	8	6	p161	0
f137v	8	7	m9	0
f137v	8	8	z13	0
f137v	8	9	c146	0
f137v	8	10	y19	1
f137v	8	11	z10	0
f137v	8	12	a155	0
f137v	8	13	i259	0
f137v	8	14	n8	0
f137v	8	15	a176	0
f137v	9	1	c170	0
f137v	9	2	n88	0
f137v	9	3	f10	0
f137v	9	4	c183	0
f137v	9	5	p149	0
f137v	9	6	m107	0
f137v	9	7	p155	0
f137v	9	8	f9	0
f137v	9	9	m170	0
f137v	9	10	z280	0
f137v	9	11	z9	1
f137v	10	1	s6	0
f137v	10	2	y17	0
f137v	10	3	c170	0
f137v	10	4	p246	0
f137v	10	5	p304	0
f137v	10	6	p344	0
f137v	10	7	a135	0
f137v	10	8	a152	1
f137v	10	9	o105	0
f137v	10	10	h3	1
f137v	10	11	m7	0
f137v	10	12	y23	0
f137v	10	13	p246	0
f137v	10	14	p149	0
f137v	11	1	t165	0
f137v	11	2	y166	0
f137v	11	3	m172	0
f137v	11	4	p150	0
f137v	11	5	b30	0
f137v	11	6	b8	0
f137v	11	7	z246	0
f137v	11	8	g72	0
f137v	11	9	c320	0
f137v	11	10	z9	0
f137v	11	11	s323	0
f137v	11	12	b80	0
f137v	12	1	i29	0
f137v	12	2	m61	0
f137v	12	3	m7	0
f137v	12	4	m171	0
f137v	12	5	y28	0
f137v	12	6	z36	0
f137v	12	7	c109	0
f137v	12	8	m172	0
f137v	12	9	m170	0
f137v	12	10	p342	0
f137v	12	11	k10	0
f137v	12	12	s272	0
f137v	12	13	s177	0
f137v	13	1	z8	1
f137v	13	2	L10	0
f137v	13	3	g84	0
f137v	13	4	a155	0
f137v	13	5	e142	0
f137v	13	6	y16	0
f137v	13	7	b6	0
f137v	13	8	c8	0
f137v	13	9	r41	0
f137v	13	10	e106	0
f137v	13	11	t118	0
f137v	13	12	o157	0
f137v	13	13	r271	0
f137v	13	14	t10	1
f137v	13	15	s8	0
f137v	14	1	z18	1
f137v	14	2	e72	1
f137v	14	3	b255	0
f137v	14	4	s234	0
f137v	14	5	e118	0
f137v	14	6	a273	0
f137v	14	7	p152	0
f137v	14	8	e76	0
f137v	14	9	m170	0
f137v	14	10	k197	0
f137v	14	11	m8	0
f137v	14	12	i100	0
f137v	14	13	q49	0
f137v	15	1	p342	0
f137v	15	2	s272	0
f137v	15	3	z36	0
f137v	15	4	f13	0
f137v	15	5	m170	0
f137v	15	6	p325	0
f137v	15	7	s8	0
f137v	15	8	r41	0
f137v	15	9	z36	1
f137v	15	10	b190	0
f137v	15	11	p296	0
f137v	15	12	i10	0
f137v	15	13	i100	0
f137v	15	14	L10	0
f137v	16	1	c10	1
f137v	16	2	m107	0
f137v	16	3	r10	0
f137v	16	4	z35	0
f137v	16	5	L10	0
f137v	16	6	s346	0
