query	host	record_id	title	date	shelfmark	status	reason
cipher (control: Viete-equiv not applicable, see note)	sources.nli.ie	-	-	-	-	control-note	No cipher item at NLI/PRONI/TCD/RIA was already known to this project (checked QUEUE.md, CATALOG.md, LANDSCAPE.md, ciphers/, sources/cryptiana, both solver repos: zero hits on nli.ie/proni/tcd/ria before this sweep), so the brief's "known item" control could not be run as specified. Ran instead: sources.nli.ie/Search/Results?lookfor=cipher returns 51 relevant hits (manuscripts, journal articles) across many repositories with correct cipher/cryptography subject tagging, not noise (no "decipher" false hits, no foliation/statistics noise per LESSONS.md pattern) -- treated as query-form-verified by result quality, logged here rather than asserted silently
cipher	sources.nli.ie	MS_UR_088020	Four ciphers used by the Earl of Orrery, late 17th c.	late 17th c.	NLI (ref not in snippet; record page Cloudflare-blocked)	dropped-key-only	A cipher key/table itself, not a ciphertext letter; no paired unread letter located this sweep. Kept as a resource note, not a row.
cipher	sources.nli.ie	MS_UR_019357	Correspondence in cipher by statesmen and others relating, mainly, to the negotiations carried on from Belgium concerning the prospects of the restoration of Charles II.	[c.1656-60, undated in snippet]	NLI (ref not in snippet; record page Cloudflare-blocked)	kept	IE1. No decipherment noted in the snippet; full record and image not reached (Cloudflare 403 on /Record/ pages via curl, browser_fetch.js and WebFetch, all logged as one attempt each)
cipher	sources.nli.ie	MS_UR_066509	Minute da porsi in cifra a varii Nuntii, 1608-10.	1608-1610	NLI (ref not in snippet; record page Cloudflare-blocked)	kept-uncertain	IE2. Italian "instructions for putting into cipher for various nuncios" -- may be an administrative minute/nomenclator instruction rather than ciphertext; material type unconfirmed, record page unreachable
cipher	sources.nli.ie	MS_UR_028273	Volume entitled 'Rendition of Ireland 1690' containing mainly letters to Sir Robert Southwell... Also a (Jacobite?) cypher of names (1690) and letters from the Navy Office to officials at Woolwich, 1639-1741.	1690	NLI (ref not in snippet; record page Cloudflare-blocked)	kept	IE3. Small name-cipher/nomenclator inside an otherwise-plain volume of Williamite War covering letters to the Secretary of State for Ireland; no decipherment noted
cipher	sources.nli.ie	MS_UR_053333	Miscellaneous quatrains and extracts from annals and other sources with glossarial notes in cipher (by Sean O Murchu of Sunday's Well?), early 19th cent.	early 19th c.	NLI	dropped	Literary/glossarial cipher (a scribal notation device), not a political or personal ciphertext letter; low historical weight, wrong kind for this project
cipher	sources.nli.ie	MS_UR_050136	"A dissuasive from Protestancy": a reply bearing the ciphers "W.N." in the Dedication and "N.W." at the end of the treatise.	-	NLI	dropped	"Cipher" = printer's/author's monogram device, not an encryption; false positive
cypher	nli.ie PDF finding aid (a017_ormond.pdf, Ormond Papers Collection List)	Ms. 11,061 item 3	[Letter] in cypher. With 2 photostat copies.	[c.165-]	NLI Ms. 11,061 (1-20), item 3, section XV "Miscellaneous items concerning lands in Kilkenny"	kept	IE4. Within Ormond Papers, group Ms. 11,061 (1-20), "Miscellaneous items relating to the Ormond's lands in Kilkenny etc., 1640-80"; the group's own summary line ("Including letter in cypher c. 1650...") and the item-3 entry both describe this same item, checked against the surrounding item list (items 1,2,4,5 read, none else cipher). No decipherment noted. Found by grepping the PDF finding-aid text, not the blocked catalogue search
PRONI eCatalogue simple search (GET)	apps.proni.gov.uk/eCatNI_IE	-	-	-	-	blocked	GET SearchResults.aspx redirects to SessionTimeout.aspx (session/postback required)
PRONI eCatalogue search (POST with VIEWSTATE)	apps.proni.gov.uk/eCatNI_IE	-	-	-	-	blocked	POST with __VIEWSTATE/__VIEWSTATEGENERATOR/__EVENTVALIDATION copied from the search page returns a WAF "Request Rejected" page; one attempt, not retried. Query form unverified, not no-candidates
TCD Digital Collections keyword search	digitalcollections.tcd.ie	-	-	-	-	blocked	GET /catalog?q=cipher returns a Cloudflare/hCaptcha "One More Step" challenge page (matches CLAUDE.md's existing note on this host). One attempt, not retried. Query form unverified
RIA Archives and Manuscripts portal	archives.ria.ie	-	-	-	-	blocked	Proxy CONNECT tunnel failed, 502 "policy denial or upstream failure" (egress policy, not the site). Query form unverified
NLI catalogue viewer (search)	catalogue.nli.ie	-	-	-	-	blocked	Cloudflare "Just a moment" JS challenge via curl and browser_fetch.js; digital.nli.ie proxy-blocked (502). Superseded this sweep by sources.nli.ie (search-results pages load; record pages are also Cloudflare-blocked) and by PDF finding aids under www.nli.ie/pdfs and www.nli.ie/sites/default/files
